iteration	mean	std_dev	min	max	median
250000	-20.975	0.157	-21.000	-20.000	-21.000
500000	-20.975	0.156	-21.000	-20.000	-21.000
750000	-20.969	0.173	-21.000	-20.000	-21.000
1000000	-20.478	0.611	-21.000	-18.000	-21.000
1250000	-19.275	1.202	-21.000	-17.000	-19.000
1500000	-15.879	3.327	-21.000	-8.000	-16.000
1750000	-13.595	2.664	-18.000	-3.000	-14.000
2000000	-10.205	4.052	-17.000	2.000	-11.000
2250000	-1.167	3.862	-12.000	7.000	-1.000
2500000	0.625	8.677	-11.000	18.000	-5.000
2750000	13.553	4.284	3.000	19.000	14.000
3000000	17.130	4.158	8.000	21.000	19.500
3250000	20.525	1.095	15.000	21.000	21.000
3500000	20.259	0.756	17.000	21.000	20.000
3750000	19.589	1.411	15.000	21.000	20.000
4000000	18.462	2.024	14.000	21.000	19.000
4250000	20.986	0.118	20.000	21.000	21.000
4500000	19.918	1.309	15.000	21.000	20.000
4750000	21.000	0.000	21.000	21.000	21.000
5000000	20.957	0.203	20.000	21.000	21.000
5250000	20.985	0.120	20.000	21.000	21.000
5500000	20.896	0.351	19.000	21.000	21.000
5750000	21.000	0.000	21.000	21.000	21.000
6000000	21.000	0.000	21.000	21.000	21.000
6250000	20.824	0.567	18.000	21.000	21.000
6500000	20.941	0.235	20.000	21.000	21.000
6750000	20.971	0.168	20.000	21.000	21.000
7000000	20.986	0.120	20.000	21.000	21.000
7250000	21.000	0.000	21.000	21.000	21.000
7500000	21.000	0.000	21.000	21.000	21.000
7750000	21.000	0.000	21.000	21.000	21.000
8000000	20.836	0.370	20.000	21.000	21.000
8250000	21.000	0.000	21.000	21.000	21.000
8500000	21.000	0.000	21.000	21.000	21.000
8750000	21.000	0.000	21.000	21.000	21.000
9000000	21.000	0.000	21.000	21.000	21.000
9250000	20.986	0.120	20.000	21.000	21.000
9500000	20.986	0.118	20.000	21.000	21.000
9750000	21.000	0.000	21.000	21.000	21.000
10000000	20.986	0.120	20.000	21.000	21.000
10250000	21.000	0.000	21.000	21.000	21.000
10500000	21.000	0.000	21.000	21.000	21.000
10750000	21.000	0.000	21.000	21.000	21.000
11000000	21.000	0.000	21.000	21.000	21.000
11250000	21.000	0.000	21.000	21.000	21.000
11500000	21.000	0.000	21.000	21.000	21.000
11750000	21.000	0.000	21.000	21.000	21.000
12000000	21.000	0.000	21.000	21.000	21.000
12250000	20.884	0.467	18.000	21.000	21.000
12500000	21.000	0.000	21.000	21.000	21.000
12750000	21.000	0.000	21.000	21.000	21.000
13000000	21.000	0.000	21.000	21.000	21.000
13250000	21.000	0.000	21.000	21.000	21.000
13500000	21.000	0.000	21.000	21.000	21.000
13750000	20.614	0.515	19.000	21.000	21.000
14000000	21.000	0.000	21.000	21.000	21.000
14250000	21.000	0.000	21.000	21.000	21.000
14500000	21.000	0.000	21.000	21.000	21.000
14750000	21.000	0.000	21.000	21.000	21.000
15000000	21.000	0.000	21.000	21.000	21.000
15250000	20.971	0.241	19.000	21.000	21.000
15500000	21.000	0.000	21.000	21.000	21.000
15750000	21.000	0.000	21.000	21.000	21.000
16000000	21.000	0.000	21.000	21.000	21.000
16250000	21.000	0.000	21.000	21.000	21.000
16500000	21.000	0.000	21.000	21.000	21.000
16750000	21.000	0.000	21.000	21.000	21.000
17000000	21.000	0.000	21.000	21.000	21.000
17250000	21.000	0.000	21.000	21.000	21.000
17500000	21.000	0.000	21.000	21.000	21.000
17750000	21.000	0.000	21.000	21.000	21.000
18000000	20.986	0.120	20.000	21.000	21.000
18250000	21.000	0.000	21.000	21.000	21.000
18500000	21.000	0.000	21.000	21.000	21.000
