iteration	mean	std_dev	min	max	median
5000	770.959	114.701	640.577	964.323	717.916
10000	697.778	24.217	663.789	732.754	689.549
15000	356.533	152.665	23.715	510.302	423.599
20000	209.455	129.745	83.090	422.420	150.383
25000	402.570	250.657	23.647	733.530	463.634
30000	392.563	116.715	125.787	533.738	428.928
35000	380.025	172.310	84.875	561.908	459.415
40000	224.327	200.968	-1.090	519.755	183.100
45000	214.178	123.484	53.201	430.385	178.519
50000	94.065	128.927	2.745	456.754	52.637
55000	72.913	111.806	-10.638	398.635	31.843
60000	102.339	157.697	-0.807	452.024	27.355
65000	109.434	158.244	-12.032	423.769	42.819
70000	33.497	28.024	2.130	91.659	32.375
75000	14.341	31.949	-62.656	71.289	14.245
80000	27.999	31.113	-15.489	99.334	25.300
85000	46.279	92.991	-4.282	318.127	8.123
90000	37.820	108.926	-32.151	362.109	4.790
95000	49.405	110.721	-4.981	380.375	17.008
100000	17.774	20.483	-9.733	52.189	18.866
105000	17.783	18.658	-2.093	53.859	7.189
110000	12.961	15.237	-7.120	36.494	12.711
115000	7.189	8.917	-1.810	29.834	4.203
120000	129.812	234.242	0.215	681.303	14.102
125000	22.331	19.128	-7.426	52.433	17.628
130000	42.889	98.895	2.741	338.963	10.309
135000	7.979	9.529	-2.995	30.586	6.250
140000	2.887	6.389	-4.384	19.086	1.172
145000	19.677	23.551	-0.377	78.242	9.979
150000	3.877	2.777	0.827	10.400	3.016
155000	11.725	15.924	-0.043	57.427	7.818
160000	13.598	23.772	-5.822	80.207	6.351
165000	19.776	24.929	-24.784	65.883	13.978
170000	3.192	7.167	-7.748	14.319	4.148
175000	2.124	3.542	-1.658	9.847	0.172
180000	3.176	8.277	-5.073	26.595	0.768
185000	4.761	18.502	-13.020	58.524	-0.285
190000	4.498	10.001	-2.584	32.797	1.840
195000	-0.945	3.428	-5.139	5.728	-0.761
200000	-0.503	4.618	-5.651	8.131	-1.546
205000	3.829	5.893	-1.200	16.023	1.739
210000	1.796	4.447	-2.431	10.276	0.069
215000	39.448	90.420	-0.977	303.186	3.141
220000	6.848	8.171	-2.372	27.505	4.336
225000	7.934	5.798	0.271	19.943	6.767
230000	5.349	4.306	0.954	14.413	3.835
235000	50.916	130.603	-1.455	441.601	5.578
240000	25.494	41.701	0.841	134.557	6.724
245000	15.019	12.787	1.856	39.798	9.322
250000	12.870	16.015	-0.146	52.070	5.187
255000	5.947	5.270	0.190	15.931	4.234
260000	6.733	4.292	0.733	12.568	6.141
265000	12.048	8.886	1.332	35.023	9.703
270000	9.603	5.334	0.788	18.275	9.410
275000	13.181	8.706	3.548	29.744	11.076
280000	23.351	13.361	10.264	60.036	21.390
285000	15.204	7.672	5.170	28.802	13.061
290000	18.659	13.226	0.629	43.364	13.532
295000	78.448	194.039	7.257	660.376	14.116
300000	15.640	6.893	4.649	26.867	15.949
