iteration	mean	std_dev	min	max	median
5000	-1.765	1.249	-4.080	0.146	-1.441
10000	-2.510	2.176	-5.796	2.089	-2.208
15000	-361.843	72.980	-471.443	-245.924	-351.849
20000	-367.502	84.349	-608.510	-284.727	-343.216
25000	-333.299	123.368	-580.498	-190.784	-290.317
30000	-543.837	46.632	-617.573	-483.759	-554.360
35000	-242.340	52.381	-367.270	-156.834	-230.701
40000	-492.364	35.464	-549.701	-445.879	-487.124
45000	-195.193	49.118	-316.031	-135.425	-190.489
50000	-314.746	21.743	-355.140	-291.048	-306.420
55000	-259.971	114.921	-559.090	-107.918	-252.006
60000	-327.796	171.639	-722.592	-121.682	-287.602
65000	-167.989	201.584	-597.658	-11.606	-92.360
70000	-127.279	132.058	-508.947	-47.701	-84.432
75000	-80.554	244.198	-573.175	214.236	-2.195
80000	-291.500	158.431	-549.213	-84.466	-226.598
85000	-464.204	42.889	-511.324	-364.943	-474.619
90000	-460.910	192.327	-820.107	-216.304	-422.637
95000	-243.535	201.936	-563.178	118.508	-236.976
100000	-180.850	78.242	-275.309	-6.444	-190.833
105000	-256.806	92.010	-292.028	19.097	-286.927
110000	-208.145	0.641	-209.383	-207.091	-208.181
115000	-185.213	1.146	-186.570	-182.307	-185.353
120000	-170.333	0.886	-171.803	-168.622	-170.399
125000	-153.986	1.427	-155.972	-151.757	-153.919
130000	19.633	422.887	-322.168	1098.857	-142.002
135000	-131.041	221.839	-318.617	359.760	-221.478
140000	-157.452	173.025	-494.901	120.949	-203.274
145000	274.884	427.585	-132.442	1109.541	122.531
150000	265.497	458.173	-340.577	1286.732	219.656
155000	-27.954	206.609	-265.419	470.932	-44.717
160000	1092.959	47.732	1030.395	1176.165	1086.226
165000	1329.376	81.813	1163.408	1438.615	1357.522
170000	948.446	747.675	-203.252	1652.911	1340.866
175000	1852.400	75.561	1687.311	1973.983	1858.746
180000	1986.552	184.907	1609.428	2272.385	2011.542
185000	377.853	599.501	-301.838	1349.124	164.123
190000	-329.642	0.877	-331.053	-327.926	-329.770
195000	1394.266	74.065	1246.377	1481.349	1406.640
200000	231.038	301.070	-283.741	752.368	230.293
205000	571.391	629.412	-219.850	1967.671	547.186
210000	1326.159	736.651	-48.864	2133.619	1579.660
215000	1662.131	462.172	682.720	2065.719	1851.282
220000	2093.005	101.253	1944.867	2236.074	2100.249
225000	2027.308	821.472	617.336	2781.132	2423.705
230000	1357.501	1080.589	-612.209	2510.930	1658.090
235000	1590.171	874.836	7.760	2571.912	1974.426
240000	782.832	691.252	-265.777	2131.160	797.088
245000	1700.224	1076.447	-425.784	2812.410	2032.171
250000	1958.306	957.726	-306.070	2809.123	2475.830
255000	2480.288	106.417	2305.136	2607.995	2505.192
260000	2356.718	626.854	566.258	2837.872	2566.738
265000	2397.475	808.582	323.577	3018.187	2778.408
270000	2606.896	125.109	2410.157	2753.336	2632.083
275000	2727.509	616.158	927.726	3201.979	2890.108
280000	2866.887	155.502	2615.383	3066.500	2923.798
285000	2895.814	82.269	2776.687	3007.943	2904.310
290000	2780.632	519.273	1271.425	3124.190	2940.038
295000	3026.508	131.419	2805.320	3264.387	3004.658
300000	3088.520	161.762	2849.101	3374.543	3073.621
305000	3072.410	155.442	2758.591	3408.626	3077.919
310000	3241.029	100.054	3007.417	3357.391	3251.220
315000	3021.620	197.408	2680.643	3339.323	3016.133
320000	3164.659	154.528	2900.427	3367.231	3233.567
325000	3317.191	142.878	2989.493	3483.584	3328.655
330000	3130.116	528.656	1600.962	3553.295	3278.643
335000	3219.094	121.258	2991.766	3412.254	3213.206
340000	3310.650	255.213	2826.588	3570.600	3433.526
345000	3223.317	190.051	2920.581	3543.385	3191.569
350000	3421.369	158.491	3227.764	3668.940	3434.000
355000	3153.948	1153.957	-277.226	3831.677	3483.731
360000	3458.861	183.395	3062.734	3677.872	3477.895
365000	3385.191	206.148	3088.850	3814.534	3375.510
370000	3368.145	641.445	1567.073	4018.044	3489.635
375000	3355.197	646.024	1450.910	3703.035	3595.924
380000	3836.513	140.705	3649.695	4085.366	3811.423
385000	3270.080	302.329	2800.946	3656.988	3302.619
390000	3625.613	838.292	1151.663	4164.667	3901.775
395000	3907.710	173.318	3631.651	4190.931	3932.085
400000	3995.382	195.720	3716.811	4329.143	3945.872
405000	3771.571	165.647	3535.884	4159.670	3758.765
410000	3914.598	150.019	3647.274	4126.225	3963.003
415000	4019.632	335.601	3365.722	4604.354	4066.971
420000	3974.035	248.032	3513.928	4342.818	4027.174
425000	3730.717	879.968	1135.700	4256.845	3997.294
430000	3965.560	171.422	3720.138	4345.450	3926.811
435000	4307.283	235.756	4066.384	4793.663	4202.632
440000	3439.863	1024.468	1230.202	4242.883	3820.189
445000	3649.385	1269.002	1109.115	4855.324	4130.357
450000	4185.432	142.916	4025.328	4510.852	4140.994
455000	4403.213	185.779	4062.265	4692.921	4439.507
460000	4337.926	315.857	3499.635	4720.195	4373.557
465000	4525.967	238.885	4088.271	4814.133	4573.586
470000	4575.195	373.382	3704.085	5059.081	4581.551
475000	4495.804	225.571	4056.508	4828.912	4534.464
480000	4520.983	248.010	3940.507	4839.699	4603.012
485000	4550.419	335.638	3906.197	5013.492	4613.435
490000	4884.509	360.192	4258.868	5299.409	4887.550
495000	4295.182	840.378	1950.167	4845.859	4668.461
500000	4872.318	172.139	4614.826	5194.211	4848.731
505000	4284.565	571.543	2803.821	4757.803	4500.026
510000	4586.242	320.277	3941.107	5157.218	4517.199
515000	3479.460	582.340	2349.002	4255.069	3519.542
520000	4684.811	187.577	4361.073	4955.780	4685.930
525000	5007.642	336.723	4140.380	5492.031	5062.181
530000	4549.110	716.922	2536.708	5195.332	4716.589
535000	4298.636	1318.252	933.534	5363.800	4855.663
540000	3946.494	1209.121	1535.233	5138.043	4560.121
545000	4633.296	475.501	3444.213	5309.258	4700.681
550000	4708.151	907.759	2005.341	5226.460	4997.631
555000	3473.105	1863.569	-302.610	4806.726	4581.437
560000	3453.887	1696.454	305.962	4912.209	4455.487
565000	3851.179	1250.180	1127.952	4863.419	4433.001
570000	3759.359	775.363	2185.522	4562.711	4124.895
575000	4764.490	295.154	4227.780	5276.231	4726.790
580000	4712.281	233.400	4202.684	4971.390	4742.854
585000	4521.156	177.834	4211.541	4783.477	4541.813
590000	4841.483	186.111	4349.490	5054.699	4874.059
595000	4897.442	189.721	4633.764	5261.370	4891.097
600000	5005.372	171.224	4646.324	5333.662	5005.155
605000	5054.431	151.261	4810.690	5263.527	5095.365
610000	4994.006	162.334	4697.013	5251.712	4999.550
615000	4900.304	137.647	4737.539	5095.251	4877.463
620000	5171.547	246.257	4773.958	5686.642	5144.967
625000	5245.974	189.299	5012.461	5573.992	5157.974
630000	5190.522	164.804	4821.936	5365.952	5212.338
635000	5478.417	167.013	5152.272	5706.139	5493.521
640000	5460.196	309.749	4973.922	5934.301	5500.770
645000	5124.716	417.968	3912.920	5465.548	5212.694
650000	5245.291	202.912	4994.219	5557.823	5159.797
655000	5381.196	166.828	5039.139	5607.210	5373.781
660000	5313.153	98.414	5143.955	5500.350	5281.887
665000	5498.690	199.335	5246.338	5820.706	5513.517
670000	5148.277	419.395	4416.601	5870.028	5268.213
675000	5385.072	150.361	5096.170	5572.993	5418.974
680000	5318.403	550.239	3761.700	5700.611	5492.084
685000	5551.747	419.851	4467.683	6028.810	5613.467
690000	5563.623	160.848	5331.412	5832.247	5597.161
695000	5393.892	193.043	5015.571	5627.575	5454.338
700000	5247.171	114.665	5076.386	5416.155	5236.561
705000	5234.122	127.395	5089.312	5488.935	5191.540
710000	4755.504	134.888	4510.964	5034.896	4764.714
715000	5339.321	200.622	5076.699	5806.193	5308.648
720000	5031.730	326.909	4187.004	5410.171	5044.273
725000	5344.257	170.417	5064.168	5584.057	5361.934
730000	5118.418	268.594	4633.137	5609.962	5075.613
735000	5080.381	144.988	4873.644	5349.209	5026.329
740000	5385.250	186.337	5086.712	5747.089	5340.500
745000	5025.909	1520.761	517.661	5937.541	5552.664
750000	5491.024	125.960	5258.857	5729.905	5507.883
755000	5544.787	154.662	5200.130	5707.422	5565.809
760000	5715.032	122.181	5496.257	5913.214	5719.936
765000	5718.748	126.163	5499.551	5885.122	5677.608
770000	5599.844	236.020	4974.005	5876.371	5650.105
775000	5555.994	105.410	5373.515	5723.341	5562.543
780000	5727.057	172.304	5492.757	6026.317	5710.898
785000	5662.019	139.393	5482.251	5912.618	5622.548
790000	5768.903	102.931	5651.269	6010.475	5777.674
795000	5504.022	191.408	5123.270	5767.901	5513.139
800000	5861.766	127.653	5657.319	6128.614	5854.057
805000	5800.902	75.346	5723.032	5935.029	5773.456
810000	5739.540	100.374	5538.589	5891.537	5733.488
815000	5689.834	174.812	5378.370	5959.596	5732.863
820000	5932.280	189.406	5618.090	6349.569	5907.623
825000	5915.401	135.162	5616.282	6165.795	5948.143
830000	5915.779	282.892	5455.990	6228.442	5975.541
835000	5852.526	185.891	5468.091	6082.938	5914.283
840000	5890.451	114.813	5683.955	6028.174	5914.577
845000	5740.919	87.525	5569.800	5897.125	5745.555
850000	5802.198	143.920	5616.004	6011.537	5777.345
855000	5697.858	220.331	5418.712	6137.831	5653.680
860000	5779.648	102.592	5565.992	5919.634	5799.833
865000	5948.278	414.594	4834.646	6305.860	6083.497
870000	5859.626	126.647	5653.951	6016.013	5921.487
875000	5683.400	197.101	5439.633	6024.112	5626.606
880000	5943.655	336.261	5019.479	6305.996	5998.856
885000	6046.463	149.231	5875.655	6254.433	6009.887
890000	6053.335	194.166	5774.638	6338.049	6070.457
895000	6022.620	145.594	5718.714	6315.830	6047.888
