iteration	mean	std_dev	min	max	median
5000	229.041	228.428	-31.156	1064.259	303.274
10000	124.709	210.456	-54.249	791.557	17.523
15000	162.250	223.900	-38.107	983.117	68.516
20000	89.960	189.211	-48.414	937.891	5.887
25000	192.157	258.729	-35.273	1036.637	63.529
30000	218.376	163.562	4.029	992.242	226.486
35000	240.176	105.381	25.914	527.299	246.255
40000	278.222	181.266	17.335	948.205	245.699
45000	343.189	212.257	28.844	984.244	306.091
50000	331.935	185.145	36.405	992.916	298.168
55000	313.615	162.723	58.279	969.731	284.297
60000	306.848	102.806	120.015	570.537	297.284
65000	299.476	120.716	-0.166	615.314	279.529
70000	282.003	121.876	41.179	696.079	274.370
75000	332.288	192.278	41.564	1058.799	297.614
80000	264.177	158.709	36.026	593.612	278.279
85000	345.481	156.130	78.218	976.341	336.091
90000	355.578	113.300	158.958	752.385	361.031
95000	387.940	173.943	72.696	1042.389	395.585
100000	358.766	134.765	210.777	1061.423	328.144
105000	442.891	161.657	162.584	989.278	430.869
110000	432.455	131.727	191.273	815.142	426.940
115000	375.352	145.196	50.565	723.003	389.378
120000	482.709	209.040	190.376	1292.721	432.226
125000	391.118	208.715	145.186	1156.109	346.832
130000	424.644	197.405	112.478	1063.267	413.129
135000	450.061	204.735	184.868	1000.615	421.234
140000	338.542	141.624	66.787	751.942	313.175
145000	399.236	175.823	155.992	1007.231	384.075
150000	426.235	225.633	158.651	1007.448	383.342
155000	540.376	370.258	202.851	2305.015	443.476
160000	483.658	280.648	172.331	1686.848	419.404
165000	560.662	418.228	157.904	1891.368	433.215
170000	504.336	329.554	166.823	1359.740	346.737
175000	502.274	319.447	193.618	1821.165	442.005
180000	487.289	197.499	149.899	1196.888	481.192
185000	568.497	226.848	187.777	1111.119	536.571
190000	582.892	278.771	116.287	1021.387	546.260
195000	472.461	216.900	193.318	1262.765	405.991
200000	516.706	227.177	173.053	1240.848	494.990
205000	547.530	308.466	184.414	1689.906	445.654
210000	510.645	243.130	207.708	1549.193	424.292
215000	542.749	269.036	194.353	1380.694	449.204
220000	521.676	268.980	160.872	1065.426	481.587
225000	414.730	201.867	-2.045	988.042	408.639
230000	541.079	278.857	111.588	1224.160	488.873
235000	446.114	178.053	121.025	1022.920	452.395
240000	733.831	662.967	170.096	2288.589	434.690
245000	431.407	162.149	184.811	961.704	397.817
250000	449.364	155.437	175.761	872.622	451.975
255000	528.200	247.521	89.276	1137.132	525.034
260000	489.528	231.001	139.739	1248.886	469.063
265000	575.364	354.054	157.534	2046.146	505.230
270000	439.043	181.210	180.269	824.051	401.447
275000	462.997	184.258	180.149	1140.029	417.811
280000	469.104	224.414	151.242	1156.589	421.284
285000	556.906	327.282	208.867	1915.963	441.702
290000	557.352	295.362	164.710	1632.410	474.764
295000	524.979	276.122	178.661	1355.238	440.175
300000	498.107	262.525	118.830	1537.258	437.711
305000	471.156	180.220	161.013	1207.721	449.877
310000	516.710	295.140	161.909	1185.671	380.904
315000	556.707	306.528	164.816	1292.143	498.033
320000	650.042	324.687	223.887	1506.047	580.369
325000	572.292	216.868	220.764	1071.264	561.595
330000	493.201	236.011	157.937	1122.645	490.761
335000	583.384	228.704	206.444	1214.527	600.590
340000	583.176	282.559	159.094	1534.521	518.692
345000	496.834	203.620	207.661	1149.580	454.250
350000	639.103	257.657	249.563	1337.546	616.574
355000	566.370	248.488	179.178	1211.917	554.846
360000	576.312	243.086	181.807	1323.032	528.365
365000	671.216	227.676	265.050	1225.436	628.545
370000	538.065	195.625	270.583	1151.172	469.099
375000	496.534	185.807	172.992	986.355	439.521
380000	563.523	257.073	212.096	1283.131	478.053
385000	556.798	308.048	224.680	1569.785	440.075
390000	547.254	275.848	181.554	1533.079	495.327
395000	677.621	321.299	251.020	1559.894	688.522
400000	643.862	299.312	242.132	1975.515	626.798
405000	501.546	265.385	137.160	1605.442	438.813
410000	638.468	247.733	288.820	1520.436	652.694
415000	509.920	288.662	152.816	1804.261	471.669
420000	579.916	227.465	245.537	1707.084	541.242
425000	652.907	279.602	260.214	1954.845	636.196
430000	621.631	337.819	131.244	1543.523	643.251
435000	562.154	252.664	166.748	1568.786	498.290
440000	534.666	240.623	122.383	1262.753	526.851
445000	670.238	298.667	221.696	1838.540	600.047
450000	715.256	267.306	310.703	1699.686	678.202
455000	640.172	187.138	246.655	1084.992	672.697
460000	765.500	351.650	272.612	2319.667	724.234
465000	545.243	180.949	220.920	877.127	556.023
470000	721.154	236.994	347.513	2016.829	683.393
475000	750.876	515.015	81.019	2656.809	647.621
480000	605.784	289.822	229.738	1747.928	644.426
485000	593.992	274.012	153.071	1211.634	645.293
490000	583.790	246.277	192.174	1279.070	602.039
495000	536.573	206.052	213.089	1107.162	510.396
500000	700.272	243.936	237.617	1472.853	728.775
505000	871.679	463.378	478.685	2665.366	756.707
510000	654.732	383.190	128.196	2097.806	682.243
515000	476.589	279.380	128.664	1270.059	366.825
520000	610.466	384.659	129.386	2626.438	631.427
525000	840.783	668.400	238.833	2951.574	648.252
530000	772.807	530.910	205.234	2904.300	680.481
535000	734.339	390.795	260.378	2272.802	679.067
540000	777.999	489.164	233.088	2476.736	751.987
545000	666.182	382.089	189.588	2176.410	638.242
550000	702.829	535.502	215.417	2736.064	547.947
555000	604.278	282.159	216.328	1624.018	619.759
560000	662.909	303.775	197.261	1238.077	805.669
565000	690.102	328.218	179.649	2153.138	707.181
570000	619.478	459.861	202.410	2421.614	535.158
575000	657.741	421.823	132.891	2579.666	616.500
580000	771.848	407.464	216.857	1961.066	728.121
585000	686.097	308.164	204.479	2018.086	703.889
590000	605.069	437.947	196.152	2033.691	415.904
595000	843.588	527.669	245.457	3115.471	768.590
600000	768.656	477.182	194.053	2617.660	676.585
605000	709.325	330.667	167.617	1980.226	651.889
610000	799.935	322.787	344.216	1695.777	723.342
615000	640.414	375.727	251.839	2110.526	545.429
620000	701.757	346.108	216.444	1976.338	650.112
625000	688.497	451.390	261.176	2403.828	582.321
630000	767.475	366.265	262.001	2196.824	691.302
635000	836.595	463.742	154.790	3070.220	800.327
640000	777.383	454.034	191.323	2456.961	686.527
645000	768.990	482.824	247.500	2663.591	709.130
650000	508.205	271.577	159.561	1254.384	404.871
655000	933.847	493.569	169.638	2994.624	842.228
660000	689.240	259.067	248.873	1696.979	659.886
665000	846.762	610.364	218.055	3101.676	681.166
670000	919.520	538.517	291.648	2684.537	714.979
675000	776.526	444.662	180.262	2528.872	652.173
680000	868.022	618.052	203.512	3086.671	688.885
685000	888.033	597.128	180.086	2863.712	698.687
690000	736.534	442.752	154.904	2605.130	743.173
695000	985.684	586.815	184.359	2984.741	746.106
700000	1045.112	706.449	442.954	2909.493	732.990
705000	955.199	600.037	311.012	3098.041	760.504
710000	1056.845	533.876	271.575	3167.423	928.928
715000	1188.386	807.558	205.010	3235.208	892.461
720000	758.189	537.682	180.427	3001.903	757.231
725000	1054.364	553.729	264.158	2761.978	829.596
730000	1094.732	776.123	232.790	3388.644	779.595
735000	915.756	513.844	443.393	3202.964	766.305
740000	933.593	686.119	332.163	3160.445	720.942
745000	1205.320	880.840	249.188	3133.224	797.391
750000	857.775	523.881	193.721	2931.049	731.431
755000	1069.397	603.858	548.205	2930.859	764.127
760000	1262.737	800.131	250.330	3180.301	965.214
765000	970.703	751.132	180.458	3077.857	736.581
770000	1096.926	711.476	212.415	3158.103	794.998
775000	1226.381	740.327	169.807	3455.274	1011.346
780000	1421.884	808.577	348.757	3202.580	1052.768
785000	1340.030	853.197	364.366	3244.427	1052.262
790000	1225.873	862.906	193.461	3160.928	806.905
795000	1115.283	596.354	234.866	2738.047	920.600
800000	1255.116	811.528	101.440	3364.852	985.740
805000	1297.497	937.718	213.713	3356.973	862.057
810000	1367.973	889.442	322.559	3269.576	930.280
815000	1347.023	1081.135	354.084	3393.801	776.862
820000	1068.503	526.492	180.980	2371.276	910.040
825000	1320.401	974.151	162.429	3286.073	1062.016
830000	1553.046	951.029	294.043	3171.239	925.524
835000	1386.934	834.619	423.584	3160.854	997.260
840000	1037.207	707.721	209.948	2995.518	877.965
845000	1229.808	962.922	237.306	3079.809	760.350
850000	1381.901	1029.533	147.926	3243.060	1166.124
855000	1354.473	1007.101	283.241	3057.566	827.182
860000	1438.865	918.867	250.240	3184.269	922.052
865000	1282.651	959.806	341.323	3350.061	870.481
870000	1467.316	986.679	390.828	3332.013	941.147
875000	1049.969	785.524	210.119	3319.742	809.399
880000	1347.425	941.762	155.114	3254.542	928.801
885000	1356.688	886.808	250.888	3295.495	1041.836
890000	1531.822	921.378	177.598	3419.903	1170.596
895000	922.294	645.317	143.542	2856.015	820.516
900000	1348.507	925.874	465.486	3322.765	912.409
905000	1257.975	871.978	313.382	3188.298	870.202
910000	1479.637	999.807	204.815	3420.502	911.924
915000	1289.625	992.547	161.047	3183.208	893.595
920000	1374.525	958.053	158.825	3180.808	882.640
925000	1423.252	952.907	451.715	3232.659	1020.820
930000	1442.607	1056.516	270.188	3537.153	842.784
935000	1141.599	961.862	161.624	3407.435	760.242
940000	1425.946	1071.994	215.115	3679.008	1008.029
945000	1182.243	841.644	146.794	3239.193	906.802
950000	1548.737	1023.399	216.361	3307.471	1152.733
955000	1582.674	1114.603	400.728	3560.776	880.563
960000	1176.466	443.790	621.860	2859.149	1007.667
965000	1574.042	1106.344	259.453	4057.580	1082.182
970000	1383.896	944.033	223.568	3348.158	1120.430
975000	1011.126	638.897	158.347	2817.560	811.578
980000	1179.109	549.510	190.404	3011.465	1024.196
985000	1232.702	824.786	319.899	3587.254	865.284
990000	1214.046	891.939	207.960	3284.973	871.102
