iteration	mean	std_dev	min	max	median
5000	321.628	17.973	296.084	355.404	319.791
10000	42.986	80.940	-54.249	253.452	10.525
15000	48.526	59.915	-4.682	220.017	30.959
20000	50.893	73.838	-19.319	259.803	36.806
25000	180.733	193.265	-35.273	593.674	92.249
30000	228.926	159.242	86.199	595.418	196.291
35000	218.529	160.287	25.914	441.344	239.517
40000	350.824	170.420	66.776	760.508	348.371
45000	314.330	109.286	81.455	501.355	327.162
50000	335.546	114.319	36.405	457.529	344.262
55000	412.948	128.529	241.816	640.804	370.997
60000	330.865	124.968	222.894	570.537	239.500
65000	413.194	126.984	120.406	615.314	427.361
70000	228.193	66.170	148.591	370.941	202.120
75000	440.977	145.544	124.958	696.142	442.368
80000	306.615	144.680	73.602	574.365	328.648
85000	423.527	48.577	333.497	497.947	422.813
90000	469.897	102.428	356.115	752.385	450.626
95000	495.682	186.418	374.498	1042.389	431.981
100000	421.806	85.821	290.772	560.169	427.644
105000	482.752	104.103	384.227	759.754	455.491
110000	529.407	86.989	372.803	657.063	520.306
115000	502.643	60.563	433.428	631.078	477.264
120000	611.525	164.742	415.751	962.888	613.726
125000	591.697	249.577	145.186	1156.109	543.655
130000	568.794	226.572	147.753	1063.267	602.740
135000	510.351	216.852	212.500	939.523	444.725
140000	386.860	140.453	227.732	688.287	399.760
145000	477.736	135.090	329.645	811.829	416.299
150000	585.247	120.472	383.916	820.635	590.665
155000	742.954	433.741	396.483	1838.510	530.836
160000	769.173	357.291	372.318	1686.848	693.581
165000	933.454	502.550	470.935	1891.368	754.450
170000	674.885	350.201	305.117	1359.740	537.936
175000	505.120	51.185	439.126	575.333	517.763
180000	667.774	205.785	448.485	1196.888	642.566
185000	570.052	98.992	455.419	782.082	535.541
190000	644.006	215.077	283.027	1005.016	657.236
195000	506.052	148.382	380.419	875.958	436.833
200000	440.975	57.613	356.797	536.176	429.922
205000	542.354	207.808	419.959	1135.162	445.123
210000	637.105	339.768	283.860	1549.193	613.219
215000	443.608	44.510	375.317	550.758	437.071
220000	569.840	188.445	393.149	1022.300	507.957
225000	401.087	224.663	-2.045	737.619	435.759
230000	724.023	329.655	111.588	1224.160	685.662
235000	502.015	131.226	366.524	772.474	446.085
240000	566.276	176.096	383.176	998.869	526.627
245000	457.617	185.167	304.298	961.704	397.817
250000	472.028	145.627	264.273	804.015	437.551
255000	498.164	127.393	315.028	735.857	451.376
260000	474.959	157.423	139.739	641.839	526.876
265000	559.643	240.789	344.753	1140.375	482.458
