iteration	mean	std_dev	min	max	median
5000	848.064	94.515	726.625	954.920	844.829
10000	799.653	115.665	642.913	945.269	745.666
15000	301.825	67.376	104.955	363.150	317.099
20000	236.090	53.743	152.532	341.454	236.851
25000	470.250	179.354	9.859	618.399	542.883
30000	329.315	10.227	309.256	344.115	329.806
35000	560.755	18.904	533.317	587.684	563.896
40000	558.110	97.071	441.361	758.707	514.482
45000	338.302	172.203	9.703	515.976	400.766
50000	396.865	171.607	67.742	567.349	483.755
55000	439.978	182.807	-12.118	581.915	520.298
60000	337.566	190.207	3.331	507.360	449.963
65000	305.136	214.739	3.260	622.483	304.017
70000	398.233	196.856	22.756	580.624	500.036
75000	421.242	172.257	83.201	705.202	465.893
80000	287.663	197.119	25.322	624.637	255.503
85000	122.513	82.221	23.822	287.977	125.022
90000	176.970	174.977	26.247	577.793	91.387
95000	44.507	67.727	-104.182	153.861	48.901
100000	82.791	78.215	8.609	251.203	54.177
105000	198.974	233.134	9.018	758.623	107.330
110000	187.915	241.719	4.595	653.780	34.879
115000	51.542	27.073	8.976	102.390	46.819
120000	94.706	108.218	21.151	412.059	67.437
125000	101.144	161.088	20.822	579.498	48.434
130000	71.650	38.332	17.097	129.874	78.523
135000	30.254	27.167	3.393	100.258	22.635
140000	38.313	18.515	5.639	64.305	37.818
145000	209.354	243.078	9.621	668.209	46.245
150000	156.767	245.562	-0.369	720.495	35.386
155000	31.331	23.890	5.363	91.815	29.841
160000	138.878	222.452	8.469	723.951	44.611
165000	25.489	14.706	6.614	54.323	25.826
170000	41.796	25.526	7.482	83.279	36.154
175000	107.081	188.860	24.086	670.188	41.043
180000	24.183	17.375	-6.422	54.041	26.937
185000	3.773	10.489	-20.998	18.214	6.936
190000	21.331	15.698	3.146	55.347	16.928
195000	78.647	176.560	2.676	606.090	15.440
200000	26.237	33.588	2.260	121.549	13.843
205000	80.448	128.347	6.591	461.876	47.288
210000	31.876	11.770	14.408	55.763	30.352
215000	58.577	124.948	2.273	431.026	14.619
220000	22.679	15.615	-0.842	55.394	20.913
225000	38.166	30.379	4.997	101.719	37.903
230000	22.728	19.430	-8.713	56.959	22.844
235000	19.297	17.034	-3.324	49.300	13.961
240000	21.047	19.623	0.262	64.337	14.552
245000	29.614	23.113	4.137	71.318	22.511
250000	23.185	12.816	7.360	53.311	18.245
255000	67.742	183.126	-1.176	616.635	3.177
260000	98.722	193.759	1.980	674.453	33.365
265000	28.499	22.392	6.605	70.135	20.025
270000	96.953	209.992	4.859	724.682	22.876
275000	42.965	30.944	7.827	97.366	34.801
280000	31.269	20.675	4.405	73.802	28.234
285000	28.564	8.440	7.412	38.221	28.233
290000	29.137	27.351	6.635	108.123	20.405
295000	22.642	15.989	3.185	58.078	18.956
300000	51.961	44.270	1.467	155.472	43.073
305000	37.804	41.639	5.247	156.511	29.100
310000	31.651	16.543	10.551	62.966	27.177
315000	44.230	43.154	6.799	168.475	31.389
320000	33.786	16.120	5.628	50.968	40.167
