iteration	mean	std_dev	min	max	median
5000	-1.781	1.235	-4.064	0.077	-1.473
10000	-2.542	2.138	-5.824	1.925	-2.223
15000	-256.676	92.443	-397.710	-85.411	-262.201
20000	-114.275	120.781	-314.632	39.650	-75.187
25000	-160.076	186.766	-520.382	153.284	-112.715
30000	-156.621	137.621	-425.897	48.037	-131.023
35000	-572.417	150.835	-846.990	-412.194	-526.552
40000	-487.047	100.495	-734.199	-382.614	-467.367
45000	-343.177	136.951	-685.696	-157.204	-300.368
50000	-121.595	154.459	-536.867	9.807	-67.060
55000	87.137	163.988	-378.297	250.194	128.868
60000	48.368	159.414	-300.495	178.832	113.106
65000	-128.177	215.725	-201.765	518.996	-200.143
70000	-51.224	289.670	-435.898	391.062	-92.776
75000	-213.069	69.146	-237.132	-5.642	-235.943
80000	-260.553	1.688	-262.935	-257.691	-260.917
85000	-264.076	1.192	-265.663	-262.051	-264.253
90000	-90.824	1.629	-94.831	-88.428	-90.728
95000	-60.876	1.249	-61.932	-57.423	-61.141
100000	314.885	469.361	-68.137	959.698	-66.817
105000	697.727	467.587	-243.077	1201.354	924.880
110000	253.902	447.501	-290.472	1287.254	41.242
115000	152.933	542.285	-687.656	1046.793	368.226
120000	120.380	383.048	-715.172	864.410	135.867
125000	3.907	153.953	-175.710	369.450	-37.895
130000	294.834	509.749	-259.305	1350.823	211.359
135000	-82.885	168.076	-191.285	374.552	-164.527
140000	135.654	323.718	-163.657	843.167	-31.793
145000	319.208	624.519	-119.261	1565.050	7.512
150000	319.759	498.491	-185.554	1276.700	106.542
155000	1227.237	345.506	221.801	1530.344	1328.844
160000	1114.962	521.713	-170.031	1526.125	1378.868
165000	1290.564	404.014	353.592	1669.587	1483.358
170000	1047.947	540.805	-43.678	1583.001	1292.520
175000	1359.507	485.379	-70.955	1680.385	1507.598
180000	1544.409	81.751	1390.164	1680.247	1545.569
185000	1292.704	279.565	754.436	1619.626	1381.327
190000	1389.585	74.772	1217.235	1474.500	1391.664
195000	1366.734	85.924	1268.330	1575.067	1334.948
200000	1340.118	57.554	1224.375	1421.621	1363.175
205000	1468.599	97.736	1302.724	1615.771	1465.099
210000	1406.292	294.483	539.815	1577.696	1511.746
215000	1469.972	77.735	1307.585	1598.824	1460.494
220000	1501.332	101.067	1288.026	1638.126	1505.580
225000	1597.812	23.659	1563.568	1643.176	1593.940
230000	1670.989	56.766	1569.077	1757.513	1692.837
235000	1511.975	404.010	379.659	1793.581	1696.889
240000	1606.140	67.237	1501.283	1708.655	1580.990
245000	1615.062	51.003	1520.623	1686.972	1625.731
250000	1598.494	73.959	1451.576	1684.588	1609.519
255000	1655.556	40.871	1603.023	1734.689	1642.590
260000	1696.259	231.380	1254.121	1948.116	1797.555
265000	1723.454	89.012	1527.682	1836.212	1726.045
270000	1687.977	142.616	1354.544	1835.803	1740.662
275000	1744.686	288.863	917.993	1981.563	1817.486
280000	1779.325	33.246	1736.990	1832.501	1783.715
285000	1731.801	242.400	1028.311	1874.509	1809.496
290000	1801.147	58.458	1704.174	1897.937	1817.747
295000	1713.388	32.262	1674.408	1765.925	1704.157
300000	1841.248	41.517	1762.044	1878.081	1856.031
305000	1933.031	58.158	1856.602	2037.211	1908.742
310000	1773.913	49.915	1694.877	1839.193	1771.777
315000	1980.127	96.641	1841.975	2133.900	1974.858
320000	2024.263	120.329	1880.786	2317.774	2020.842
325000	1905.710	49.922	1821.799	1973.177	1899.243
330000	1749.099	224.869	1193.094	1989.951	1802.301
335000	2069.747	96.286	1930.624	2199.607	2080.790
340000	1857.163	86.428	1696.147	2029.815	1859.029
345000	1983.572	60.011	1872.300	2068.036	1983.316
350000	2011.861	99.524	1839.859	2198.696	2001.947
355000	1798.490	137.031	1596.273	2012.639	1812.758
360000	2148.073	86.817	2030.824	2366.087	2137.261
365000	1821.888	83.781	1690.419	1962.068	1789.277
370000	1889.317	123.097	1679.391	2137.945	1879.109
375000	1770.884	39.861	1708.372	1834.323	1764.734
380000	1922.776	34.061	1867.224	1968.082	1931.708
385000	1860.619	92.982	1632.174	1974.013	1881.248
390000	1873.183	54.284	1769.091	1979.252	1871.435
395000	1957.547	104.402	1696.651	2093.374	1984.038
400000	1850.624	81.706	1694.284	1989.542	1862.994
405000	1875.329	56.208	1778.939	1986.160	1877.614
410000	1881.062	49.960	1783.378	1938.019	1898.301
415000	1873.108	39.212	1820.929	1941.551	1863.905
420000	1972.554	68.179	1849.683	2088.840	1991.600
425000	1936.495	51.430	1848.414	2020.279	1930.697
430000	1819.273	39.939	1750.822	1900.577	1816.221
435000	1849.164	33.641	1783.195	1903.270	1841.412
440000	1932.044	42.792	1854.837	1997.601	1925.207
445000	1850.360	26.383	1792.507	1895.020	1849.372
450000	2086.127	74.463	1997.656	2225.835	2071.112
455000	1922.624	87.037	1789.272	2076.271	1938.150
460000	1964.007	33.947	1913.421	2012.551	1968.328
465000	1821.293	54.192	1736.066	1912.140	1818.561
470000	1787.052	35.624	1703.946	1834.089	1789.944
475000	1832.166	26.493	1777.714	1859.696	1840.567
480000	1951.506	52.448	1872.768	2047.495	1946.323
485000	2012.664	65.832	1902.367	2125.705	2009.627
490000	1985.067	55.699	1873.718	2070.367	1986.754
495000	1931.569	53.713	1817.016	1996.085	1949.393
500000	1764.161	43.547	1685.540	1833.596	1765.077
505000	1934.806	42.067	1888.788	2037.751	1929.773
510000	2022.839	117.739	1709.461	2163.787	2036.349
515000	1950.862	53.640	1845.617	2025.268	1939.945
520000	1965.159	62.687	1842.117	2024.267	2000.945
525000	2026.411	66.278	1865.100	2111.496	2031.494
530000	2024.634	56.655	1942.391	2112.929	2020.919
535000	1865.327	40.086	1810.726	1939.235	1860.222
540000	2097.410	67.457	2001.785	2239.880	2084.112
545000	1856.968	47.266	1805.379	1964.424	1840.006
550000	2059.350	70.213	1947.314	2171.231	2068.296
555000	2015.388	20.689	1979.799	2041.866	2014.246
560000	2091.269	44.526	2026.128	2152.726	2088.314
565000	1974.219	34.631	1907.443	2011.346	1986.695
570000	1987.236	48.921	1908.449	2065.093	1983.318
575000	2076.241	81.918	1962.717	2193.524	2075.350
580000	2058.851	47.580	1974.127	2113.354	2068.857
585000	1971.915	48.151	1889.047	2041.945	1977.502
590000	1942.424	46.857	1881.679	2037.395	1936.922
595000	2064.059	73.331	1960.464	2163.503	2067.327
600000	1995.454	143.056	1638.921	2183.548	2022.324
605000	2001.837	36.894	1935.801	2076.893	2002.334
610000	2162.888	56.399	2060.580	2250.658	2153.989
615000	2052.125	75.196	1957.337	2207.520	2041.900
620000	2052.279	170.052	1620.309	2242.258	2074.703
625000	2029.822	45.734	1959.050	2124.133	2030.625
630000	1997.762	151.315	1652.916	2227.362	2026.091
635000	2089.830	69.922	1998.490	2206.055	2081.813
640000	1948.353	44.565	1870.164	2033.331	1948.926
645000	1919.573	147.241	1492.534	2034.518	1969.265
650000	1974.614	74.077	1869.370	2081.103	1978.175
655000	2007.936	62.903	1857.760	2086.381	2011.625
660000	2030.176	39.014	1972.897	2083.373	2024.182
665000	2104.983	54.991	2047.294	2186.300	2084.392
670000	2037.998	48.887	1966.705	2141.679	2037.078
675000	2168.116	86.580	2029.216	2315.589	2169.790
680000	2206.789	76.942	2088.924	2376.731	2192.396
685000	2281.969	150.525	1904.917	2500.883	2326.661
