iteration	mean	std_dev	min	max	median
5000	0.000	0.000	0.000	0.000	0.000
10000	0.039	0.118	0.000	0.394	0.000
15000	0.015	0.035	0.000	0.116	0.000
20000	0.005	0.011	0.000	0.033	0.000
25000	0.211	0.433	0.000	1.264	0.000
30000	0.590	1.177	0.000	3.257	0.000
35000	5.069	5.305	0.000	13.309	3.425
40000	6.881	6.034	0.000	17.025	8.227
45000	1.212	1.083	0.000	3.398	1.350
50000	3.434	4.448	0.000	11.514	0.198
55000	10.519	5.873	0.000	18.281	10.629
60000	7.373	6.995	0.000	24.128	5.609
65000	2.941	5.084	0.000	16.594	0.086
70000	27.643	18.501	0.000	55.835	32.854
75000	18.139	11.907	0.000	33.551	20.338
80000	0.018	0.053	0.000	0.176	0.000
85000	35.814	25.119	0.000	71.816	31.134
90000	77.148	12.221	60.700	100.633	77.216
95000	116.752	39.775	0.000	145.757	129.619
100000	143.360	43.602	19.237	175.151	155.665
105000	194.635	6.708	180.583	203.941	194.717
110000	209.688	15.361	192.896	239.750	210.797
115000	248.982	28.567	189.027	290.859	247.387
120000	315.136	10.783	290.231	329.231	317.192
125000	310.054	103.802	0.000	359.452	347.014
130000	371.601	7.491	358.749	389.186	371.333
135000	358.564	119.977	0.000	406.467	399.803
140000	402.127	12.744	373.911	420.346	402.400
145000	367.939	55.785	239.352	412.958	396.460
150000	397.970	25.734	348.540	429.272	401.603
155000	357.476	111.586	62.816	437.317	412.104
160000	0.000	0.000	0.000	0.001	0.000
165000	413.461	10.453	392.217	423.676	419.469
170000	439.776	25.095	373.424	469.164	447.552
175000	458.402	9.735	438.485	472.600	459.382
180000	377.820	34.590	332.707	437.478	374.086
185000	448.895	18.029	403.984	479.363	449.445
190000	458.631	12.555	438.822	476.535	459.502
195000	405.734	139.117	0.000	487.306	450.315
200000	471.754	21.938	415.811	492.326	480.851
205000	469.331	14.951	440.463	490.657	472.422
210000	380.211	190.932	0.000	497.468	465.251
215000	470.291	22.431	419.561	500.719	470.332
220000	478.087	15.525	452.282	498.128	481.344
225000	422.497	141.380	0.000	488.338	471.239
230000	424.737	143.067	0.000	493.251	475.924
235000	479.422	13.316	456.915	494.659	484.314
240000	0.000	0.000	0.000	0.000	0.000
245000	446.801	22.636	401.760	492.279	448.169
250000	440.295	147.414	0.000	505.801	486.992
255000	498.920	10.911	479.034	518.844	496.029
260000	484.196	65.809	292.825	522.316	510.768
265000	502.020	5.373	494.589	512.340	502.379
270000	455.340	152.141	0.000	518.648	508.935
275000	506.833	8.482	491.496	517.750	505.696
280000	504.314	16.598	473.729	527.744	506.368
285000	459.007	153.346	0.000	523.830	513.806
290000	398.492	199.571	0.000	520.838	491.954
295000	512.240	10.671	495.615	527.196	513.392
300000	495.969	16.921	468.979	521.584	492.090
305000	512.290	11.886	494.644	525.361	517.683
310000	510.498	10.531	486.142	522.531	515.133
315000	499.531	61.132	330.400	535.549	526.217
320000	0.000	0.000	0.000	0.000	0.000
325000	331.010	23.706	297.371	370.205	332.416
330000	464.377	16.426	431.135	492.555	464.368
335000	507.479	11.525	490.185	522.423	510.665
340000	467.491	156.238	0.000	537.583	516.356
345000	504.887	35.023	443.378	548.405	511.098
350000	507.155	19.848	474.720	538.465	504.047
355000	513.657	28.773	448.080	542.068	525.234
360000	527.348	10.039	511.040	544.521	527.449
365000	523.453	8.024	511.211	542.854	522.249
370000	474.113	158.493	0.000	550.731	520.063
375000	521.620	12.723	496.967	541.120	522.414
380000	530.652	12.654	501.702	545.149	531.050
385000	523.649	5.996	510.608	534.472	522.956
390000	533.238	6.691	524.115	543.795	532.398
395000	475.641	158.922	0.000	546.444	522.160
400000	0.662	1.985	0.000	6.616	0.000
405000	248.699	48.428	139.450	323.263	244.922
410000	380.300	32.569	350.215	433.962	360.023
415000	422.740	211.552	0.000	542.868	523.503
420000	469.204	158.026	0.000	546.260	527.420
425000	528.397	12.403	502.940	547.178	527.898
430000	513.754	19.540	479.868	546.892	516.214
435000	501.511	27.131	450.043	536.717	510.523
440000	525.058	20.885	479.472	549.947	534.753
445000	518.224	21.897	467.887	540.362	522.670
450000	520.857	9.293	504.934	530.894	525.250
455000	523.599	15.948	498.256	556.324	522.915
460000	479.363	160.313	0.000	548.156	535.067
465000	369.500	242.098	0.000	539.992	523.069
470000	537.613	10.106	517.721	550.565	538.402
475000	483.723	161.668	0.000	553.630	531.305
480000	0.137	0.275	0.000	0.742	0.000
485000	275.263	29.106	224.989	324.713	277.303
490000	400.835	35.490	346.355	475.578	400.994
495000	504.502	26.523	443.804	536.154	501.846
500000	515.889	27.723	472.522	553.930	511.202
