iteration	mean	std_dev	min	max	median
5000	0.000	0.000	0.000	0.000	0.000
10000	0.000	0.000	0.000	0.000	0.000
15000	0.000	0.000	0.000	0.000	0.000
20000	0.000	0.000	0.000	0.000	0.000
25000	1.403	2.519	0.000	8.066	0.000
30000	63.638	78.559	0.000	218.911	14.163
35000	235.056	159.846	0.000	415.965	294.715
40000	189.050	55.789	52.248	235.959	208.712
45000	15.865	18.045	0.000	59.353	11.417
50000	27.841	39.733	0.000	116.722	1.362
55000	211.087	88.178	33.009	328.724	235.297
60000	63.291	49.510	0.000	141.703	65.553
65000	300.290	157.921	0.000	459.314	353.207
70000	274.938	125.244	74.372	485.385	265.715
75000	376.021	209.827	0.000	653.004	444.962
80000	2.992	5.984	0.000	14.964	0.000
85000	810.221	131.966	536.609	906.182	881.393
90000	906.386	14.619	880.218	924.366	911.983
95000	830.305	85.154	629.087	916.653	867.475
100000	806.049	269.614	0.000	932.453	893.231
105000	885.898	28.567	843.727	941.290	884.755
110000	915.651	20.470	876.833	941.434	916.393
115000	799.741	267.560	0.000	909.027	894.588
120000	826.371	276.351	0.000	944.528	917.361
125000	926.601	29.457	882.234	969.214	933.592
130000	816.189	274.739	0.000	942.717	922.901
135000	748.021	286.379	20.364	943.885	917.542
140000	925.790	39.202	847.460	991.859	932.277
145000	916.807	35.840	860.471	989.179	925.133
150000	823.011	276.245	0.000	952.242	911.953
155000	925.231	29.512	872.574	987.436	926.460
160000	1.298	3.894	0.000	12.981	0.000
165000	912.037	23.827	867.922	936.678	917.843
170000	828.375	276.917	0.000	938.801	928.948
175000	932.694	13.242	907.409	953.367	933.326
180000	937.149	12.661	913.585	953.277	942.726
185000	942.113	7.451	922.321	950.885	943.236
190000	938.554	10.725	912.991	947.662	941.542
195000	940.395	19.624	917.527	990.696	935.111
200000	905.843	44.297	820.960	956.005	919.328
205000	911.606	36.017	851.635	993.559	910.697
210000	920.800	28.935	844.542	944.582	929.315
215000	934.443	34.678	851.516	978.813	946.961
220000	937.081	15.011	900.980	954.408	939.942
225000	927.342	36.419	851.905	966.710	943.385
230000	879.773	49.308	771.714	946.060	882.668
235000	930.731	27.430	859.691	952.442	942.844
240000	2.991	5.998	0.000	15.928	0.000
245000	916.344	22.037	868.093	943.543	914.019
250000	849.972	48.250	814.893	966.709	826.543
255000	921.600	15.602	903.597	953.449	918.032
260000	940.379	28.893	886.023	993.613	950.198
265000	831.387	280.208	0.000	955.985	929.240
270000	950.420	13.879	923.551	973.843	950.138
275000	933.282	30.146	864.291	989.967	940.185
280000	915.482	86.690	663.074	975.033	949.224
285000	936.993	14.403	913.073	951.437	943.048
290000	927.146	27.904	851.407	951.423	934.214
295000	950.664	22.158	896.751	992.170	950.795
300000	929.309	18.885	897.887	953.147	934.104
305000	933.772	31.103	854.815	962.804	945.203
310000	898.592	70.267	722.410	974.649	936.148
315000	605.362	398.135	0.000	909.506	842.763
320000	1.794	5.382	0.000	17.939	0.000
325000	831.655	278.643	0.000	972.843	926.546
330000	929.357	14.397	910.480	948.816	927.489
335000	937.444	17.265	901.512	962.178	938.730
340000	947.259	22.749	902.502	990.952	949.656
345000	930.869	28.428	861.197	955.463	942.604
350000	948.624	14.725	927.376	977.668	950.271
355000	940.629	13.024	915.002	957.951	940.928
360000	947.322	17.529	903.222	976.004	949.541
365000	943.769	8.013	931.723	956.663	946.764
370000	945.541	9.689	927.679	957.459	947.976
375000	949.050	15.091	931.781	988.760	947.884
380000	944.254	18.582	918.972	988.336	946.284
385000	849.408	284.198	0.000	987.914	946.280
390000	946.398	15.526	919.662	975.152	949.340
395000	943.161	13.077	912.012	955.432	949.433
400000	0.000	0.000	0.000	0.000	0.000
405000	886.222	61.391	727.391	944.456	912.991
410000	934.184	23.985	874.570	957.863	939.377
415000	935.516	34.100	847.294	988.386	943.948
420000	953.924	23.355	914.980	994.984	952.608
425000	903.232	22.130	850.782	942.013	904.327
430000	944.024	7.633	931.280	953.939	945.606
435000	941.547	27.551	891.685	994.182	949.891
440000	946.329	13.894	925.128	969.652	952.136
445000	953.952	10.224	930.408	972.528	955.381
450000	932.163	24.076	879.309	954.971	943.164
455000	949.773	13.245	932.137	978.311	952.691
460000	948.474	18.835	899.036	977.597	949.201
465000	952.822	13.914	913.819	968.794	956.916
470000	946.836	24.371	903.532	995.679	952.208
475000	854.674	285.047	0.000	958.912	953.723
480000	0.000	0.000	0.000	0.000	0.000
485000	789.489	134.389	459.431	903.877	829.446
490000	942.204	22.028	915.667	985.937	946.365
495000	948.838	11.597	927.153	975.582	948.325
500000	938.230	22.869	872.190	955.446	944.633
