iteration	mean	std_dev	min	max	median
5000	3.742	2.253	0.273	8.909	3.474
10000	4.313	2.381	0.245	8.786	3.490
15000	4.772	2.688	0.648	11.101	4.721
20000	4.460	2.609	0.121	8.825	4.704
25000	4.957	3.022	0.090	10.672	4.949
30000	4.168	2.408	0.516	8.908	4.338
35000	4.341	2.948	0.124	9.758	4.503
40000	5.212	3.049	0.722	10.890	4.833
45000	4.892	2.899	1.143	9.945	4.489
50000	4.377	2.844	0.372	10.269	3.862
55000	4.203	2.858	0.034	10.972	4.200
60000	4.422	2.595	0.070	12.361	4.002
65000	5.496	2.785	0.023	10.374	5.880
70000	5.317	2.933	0.241	11.371	4.577
75000	6.324	2.966	0.157	10.753	6.538
80000	4.898	2.932	0.082	10.064	4.616
85000	6.765	2.434	1.289	9.781	7.489
90000	5.541	2.732	0.691	10.207	5.405
95000	6.175	4.632	0.948	25.721	6.139
100000	6.960	4.103	0.234	20.372	6.473
105000	6.331	3.195	0.626	13.713	6.299
110000	6.502	2.704	0.176	10.590	6.778
115000	18.448	22.743	0.657	89.914	8.476
120000	33.583	43.871	0.564	142.812	9.334
125000	17.696	23.393	1.828	88.717	7.101
130000	21.088	26.598	0.714	85.871	8.539
135000	8.418	6.600	0.564	39.381	7.557
140000	27.654	38.739	0.619	164.785	8.718
145000	5.266	2.992	1.144	11.986	5.374
150000	5.650	3.645	0.375	18.891	4.817
155000	98.707	78.069	0.264	239.234	101.822
160000	5.152	3.281	0.014	10.635	5.130
165000	101.891	92.571	0.168	296.686	101.096
170000	111.943	89.111	0.434	240.580	111.450
175000	121.539	109.246	1.666	307.259	101.790
180000	50.919	68.304	0.261	175.794	8.111
185000	140.618	109.218	3.331	297.983	166.281
190000	138.668	118.603	0.611	326.916	140.004
195000	58.784	69.839	0.276	194.958	9.669
200000	112.454	103.446	2.072	286.361	117.056
205000	115.169	123.590	2.329	325.498	58.787
210000	151.828	122.806	1.843	338.261	171.523
215000	102.117	138.319	0.158	346.306	8.042
220000	131.387	109.243	3.744	305.476	131.131
225000	99.897	117.593	2.143	324.166	10.466
230000	42.344	60.409	1.369	211.358	9.430
235000	167.054	130.702	3.773	365.690	169.919
240000	4.434	2.722	0.031	11.251	3.950
245000	191.526	113.177	7.877	388.062	197.007
250000	225.959	124.255	9.116	401.513	212.545
255000	143.474	92.934	0.650	378.409	175.461
260000	250.031	98.429	56.553	435.101	244.964
265000	284.149	79.894	77.839	386.599	319.655
270000	284.557	79.677	57.157	395.664	285.093
275000	253.979	114.745	24.820	415.984	242.085
280000	179.978	136.460	9.593	401.605	197.839
285000	213.019	163.805	0.368	428.933	227.791
290000	247.823	120.504	23.540	420.516	250.477
295000	283.959	107.902	35.952	441.746	295.119
300000	293.528	121.706	9.863	410.489	349.784
305000	148.410	174.780	2.334	429.644	34.611
310000	306.127	116.038	5.877	451.370	335.854
315000	258.427	163.786	5.836	474.225	330.096
320000	5.306	3.213	0.071	11.289	5.088
325000	321.850	92.213	23.663	478.662	326.770
330000	310.497	131.493	25.818	464.065	361.433
335000	339.956	110.915	51.293	471.179	371.050
340000	301.413	153.363	7.562	505.580	337.174
345000	267.868	146.148	5.401	447.679	304.970
350000	372.234	77.622	263.432	506.846	353.703
355000	290.883	165.810	2.344	491.459	369.118
360000	307.963	144.741	5.924	486.232	364.783
365000	361.566	124.017	6.775	518.094	391.723
370000	387.428	79.386	85.292	485.161	390.901
375000	379.667	123.031	10.214	569.619	389.156
380000	384.511	62.655	246.203	478.743	386.288
385000	346.616	107.372	2.973	447.140	378.156
390000	380.024	94.633	109.366	492.253	392.724
395000	395.354	121.893	9.089	571.043	397.542
400000	4.445	3.266	0.079	10.819	4.176
405000	377.516	72.133	245.072	514.398	387.195
410000	369.977	70.595	135.595	447.105	393.942
415000	426.972	65.490	301.252	553.019	433.772
420000	393.930	137.902	31.578	575.383	455.025
425000	429.413	108.216	166.735	561.850	479.600
430000	455.086	105.361	183.041	774.088	467.658
435000	467.479	82.229	313.752	650.762	486.959
440000	491.815	80.782	353.619	675.149	499.755
445000	383.025	204.135	5.325	590.573	499.803
450000	487.884	140.463	63.210	774.121	498.380
455000	480.218	70.409	369.454	683.680	490.022
460000	499.933	139.464	171.397	797.196	480.835
465000	512.244	88.382	383.652	817.769	513.790
470000	476.749	168.855	7.262	733.776	526.530
475000	463.235	224.016	7.648	800.308	521.367
480000	5.593	3.007	0.884	11.360	5.608
485000	413.413	96.003	292.935	698.947	409.921
490000	492.045	71.549	346.252	684.752	494.962
495000	521.414	116.737	335.532	803.031	517.122
500000	605.716	139.385	372.260	840.317	608.332
