iteration	mean	std_dev	min	max	median
5000	3.842	1.683	1.509	6.753	3.804
10000	4.490	1.930	1.413	8.256	4.524
15000	5.894	1.686	3.604	9.838	5.819
20000	4.381	2.283	1.675	8.825	3.410
25000	5.299	3.157	0.161	10.672	4.615
30000	3.452	2.014	0.662	6.815	3.218
35000	3.612	3.315	0.124	9.254	3.125
40000	4.772	2.129	2.784	10.692	4.581
45000	5.318	2.927	1.143	9.792	5.148
50000	4.696	3.102	0.372	10.269	4.718
55000	3.594	2.775	0.034	8.283	3.233
60000	4.445	3.497	0.273	12.361	3.615
65000	5.204	2.068	1.131	7.776	5.076
70000	5.660	3.523	0.992	11.371	5.310
75000	6.648	3.228	0.649	10.753	7.879
80000	4.932	2.070	1.674	9.466	4.952
85000	5.535	3.072	1.289	9.781	5.820
90000	5.409	3.098	0.691	10.207	4.965
95000	4.623	2.594	0.948	8.122	5.768
100000	6.577	2.632	3.114	11.133	6.473
105000	6.259	3.383	1.834	13.713	7.037
110000	6.770	2.392	2.913	10.275	6.766
115000	6.080	2.445	0.657	8.916	6.812
120000	4.330	2.010	0.564	7.270	4.646
125000	8.367	3.223	4.284	15.421	8.048
130000	6.170	3.101	1.617	11.398	6.008
135000	8.401	1.501	5.979	10.415	8.643
140000	6.995	2.775	0.619	11.079	7.355
145000	5.389	2.644	1.265	10.094	5.134
150000	5.938	2.409	2.212	8.558	6.891
155000	4.330	2.494	0.264	7.873	3.880
160000	3.624	2.743	0.014	8.580	3.482
165000	8.302	2.911	2.808	14.430	8.189
170000	7.343	2.928	0.434	12.102	8.186
175000	6.536	2.268	1.666	9.182	7.196
180000	6.055	3.240	0.261	10.877	7.207
185000	6.705	1.899	3.331	9.687	6.263
190000	5.036	2.849	0.611	9.020	5.529
195000	7.022	2.145	3.821	10.301	6.968
200000	6.612	2.074	2.072	9.165	6.884
205000	6.271	2.226	2.329	9.305	6.581
210000	6.095	2.567	1.843	9.006	7.191
215000	5.892	3.056	0.158	9.483	7.146
220000	15.904	8.272	3.744	33.392	13.024
225000	9.434	3.138	4.321	15.217	8.534
230000	6.314	2.756	1.369	10.381	6.644
235000	7.998	4.414	3.773	19.732	6.991
240000	3.809	2.115	1.820	8.800	2.790
245000	59.904	37.457	7.877	116.097	56.846
250000	112.457	66.012	10.652	206.557	125.522
255000	126.254	57.240	52.943	212.449	107.249
260000	143.305	36.125	56.553	182.604	154.057
265000	198.108	59.769	77.839	272.121	212.139
270000	239.517	34.440	151.623	287.711	239.931
275000	235.516	29.567	195.248	305.695	235.753
280000	57.076	49.683	15.227	193.745	36.581
285000	232.524	29.250	189.284	293.621	227.791
290000	233.812	39.603	154.926	305.621	233.606
295000	167.083	92.056	35.952	288.788	198.304
300000	147.150	103.841	9.863	299.679	148.722
305000	24.111	17.750	3.311	54.757	20.443
310000	172.125	92.149	5.877	267.725	203.909
315000	34.382	34.768	5.836	100.339	10.871
320000	4.605	2.843	0.071	11.008	5.088
325000	231.594	72.723	23.663	294.045	254.842
330000	142.971	82.550	25.818	321.844	122.527
335000	210.039	91.382	51.293	308.902	250.180
340000	139.338	116.580	7.562	334.607	95.782
345000	299.181	17.336	269.493	336.362	294.914
350000	308.221	21.076	276.985	351.604	307.046
355000	69.117	69.002	2.344	207.256	51.031
360000	196.440	146.105	5.924	393.922	182.413
365000	225.543	119.376	6.775	359.147	281.801
370000	331.728	22.105	305.259	379.819	329.140
375000	282.777	96.045	10.214	361.281	304.116
380000	322.898	21.353	277.181	361.836	328.387
385000	304.899	30.425	267.234	374.128	298.149
390000	281.053	88.530	109.366	356.690	310.353
395000	314.270	78.940	176.281	416.808	343.231
400000	4.167	3.298	0.184	10.072	3.773
405000	289.661	33.146	245.072	343.686	273.845
410000	322.288	55.731	241.300	413.458	324.476
415000	373.553	47.986	301.252	450.134	369.464
420000	264.231	126.869	31.578	370.035	334.151
425000	289.370	62.495	166.735	363.057	310.259
430000	368.103	15.779	332.168	385.917	370.764
435000	366.301	30.467	313.752	420.821	371.037
440000	396.305	28.061	353.619	443.502	393.467
445000	99.896	48.639	5.325	166.883	110.917
450000	338.746	93.569	63.210	385.785	377.454
455000	404.977	28.918	369.454	468.694	396.222
460000	390.568	40.044	303.223	431.971	405.291
465000	424.041	22.010	383.652	462.508	428.595
470000	308.394	186.306	7.262	485.660	402.953
475000	207.512	179.915	7.648	483.710	145.080
480000	6.033	3.031	1.464	11.360	6.150
485000	310.845	16.794	292.935	351.283	304.997
490000	432.545	32.862	385.858	493.528	433.129
495000	403.195	35.196	335.532	446.230	412.223
500000	442.651	45.491	372.260	515.266	453.448
