iteration(key)	values
5000 (returns)	0.370	0.479	1.533	0.888	0.309	1.542	0.317	1.330	0.896	0.578
10000 (returns)	0.781	0.683	0.398	0.115	0.734	1.626	2.253	1.166	0.445	2.328
15000 (returns)	2.159	0.844	0.736	0.391	0.079	2.658	1.027	0.747	1.480	0.171
20000 (returns)	1.629	1.578	0.049	1.266	0.062	0.779	1.896	1.899	0.045	0.233
25000 (returns)	4.249	0.820	0.561	1.116	0.017	0.139	1.167	1.192	1.655	1.120
30000 (returns)	0.425	0.986	0.467	0.140	0.528	1.606	0.231	1.077	1.243	2.090
35000 (returns)	1.404	0.126	0.049	0.279	2.246	0.559	0.934	0.764	0.577	0.336
40000 (returns)	1.268	1.229	0.846	0.593	0.077	2.598	0.771	0.879	0.297	2.483
45000 (returns)	1.014	0.589	1.743	1.303	0.548	1.840	0.658	0.205	0.358	0.829
50000 (returns)	1.598	0.280	1.539	0.463	1.168	0.736	1.710	0.622	0.940	1.125
55000 (returns)	1.265	0.544	0.266	0.536	1.911	0.460	1.163	0.655	1.243	1.219
60000 (returns)	1.802	0.043	0.324	0.883	1.468	0.859	0.526	1.313	1.249	0.718
65000 (returns)	1.176	1.415	0.066	1.937	1.196	2.542	1.798	1.148	1.974	3.160
70000 (returns)	0.259	0.655	1.405	0.974	2.768	0.168	0.768	1.800	1.921	0.924
75000 (returns)	1.424	2.451	1.215	1.856	2.192	1.272	2.133	0.451	2.699	0.544
80000 (returns)	0.692	1.059	0.499	1.080	0.865	0.399	0.035	1.449	1.307	0.018
85000 (returns)	3.373	0.322	1.821	0.596	2.084	1.616	1.132	0.841	1.180	1.915
90000 (returns)	1.811	0.596	1.430	1.619	1.952	2.082	0.922	1.490	0.981	1.846
95000 (returns)	2.058	2.775	2.334	1.786	0.554	3.449	1.068	2.774	1.052	0.595
100000 (returns)	0.349	1.699	2.674	1.744	1.133	2.184	1.787	1.033	2.636	0.888
