iteration	mean	std_dev	min	max	median
5000	1.200	3.600	0.000	12.000	0.000
10000	2.100	6.300	0.000	21.000	0.000
15000	600.600	373.442	17.000	1000.000	739.500
20000	788.100	269.775	0.000	942.000	866.500
25000	787.400	88.149	642.000	938.000	798.500
30000	780.900	126.880	599.000	1000.000	731.500
35000	818.900	95.093	670.000	940.000	816.000
40000	791.700	120.896	621.000	1000.000	751.000
45000	848.200	117.163	616.000	994.000	848.000
50000	795.600	85.669	653.000	942.000	801.000
55000	825.200	93.185	695.000	1000.000	805.500
60000	873.200	52.786	735.000	930.000	890.000
65000	879.000	83.954	736.000	1000.000	911.500
70000	796.600	75.239	697.000	962.000	787.500
75000	795.400	96.337	667.000	936.000	772.500
80000	0.000	0.000	0.000	0.000	0.000
85000	723.100	365.100	0.000	1000.000	883.500
90000	802.800	278.647	0.000	1000.000	912.500
95000	850.600	72.727	730.000	941.000	843.500
100000	477.000	317.553	143.000	883.000	437.000
105000	786.200	89.231	648.000	909.000	808.000
110000	849.700	100.628	702.000	944.000	895.000
115000	829.300	93.023	697.000	1000.000	824.500
120000	835.600	93.751	667.000	944.000	848.500
125000	828.500	81.455	664.000	943.000	828.500
130000	781.800	122.856	664.000	1000.000	733.500
135000	845.900	83.578	729.000	989.000	846.000
140000	878.300	80.709	702.000	944.000	918.000
145000	824.200	102.078	664.000	944.000	826.500
150000	841.800	100.542	665.000	944.000	853.000
155000	861.800	74.259	735.000	990.000	847.500
160000	1.400	4.200	0.000	14.000	0.000
165000	684.000	352.958	0.000	1000.000	808.000
170000	510.600	420.411	0.000	940.000	765.000
175000	850.000	99.663	724.000	1000.000	847.000
180000	848.900	77.358	736.000	1000.000	848.500
185000	832.100	102.929	694.000	944.000	850.500
190000	784.700	99.814	662.000	943.000	750.500
195000	757.200	81.517	664.000	894.000	749.500
200000	815.400	117.074	663.000	942.000	832.500
205000	814.800	107.095	667.000	1000.000	773.500
210000	848.800	86.812	702.000	944.000	851.000
215000	846.100	85.432	697.000	942.000	829.000
220000	840.600	102.634	695.000	944.000	870.500
225000	859.200	84.911	697.000	944.000	892.000
230000	826.600	71.133	735.000	943.000	811.000
235000	847.500	110.510	662.000	1000.000	811.500
240000	0.000	0.000	0.000	0.000	0.000
245000	726.100	369.058	0.000	991.000	914.000
250000	662.300	339.506	0.000	942.000	767.000
255000	435.200	438.205	0.000	1000.000	403.000
260000	672.400	346.144	0.000	1000.000	789.000
265000	697.500	357.218	0.000	1000.000	809.500
270000	691.600	350.041	0.000	943.000	831.000
275000	705.300	358.567	0.000	943.000	872.000
280000	786.300	277.985	0.000	1000.000	851.000
285000	831.900	77.893	694.000	937.000	827.000
290000	857.700	80.436	732.000	943.000	871.000
295000	790.900	78.308	697.000	944.000	773.500
300000	855.100	98.934	704.000	944.000	917.000
305000	860.800	89.095	699.000	943.000	894.500
310000	906.700	61.797	772.000	1000.000	936.500
315000	794.100	100.196	699.000	1000.000	754.500
320000	0.000	0.000	0.000	0.000	0.000
325000	607.000	404.186	0.000	1000.000	810.500
330000	805.400	281.913	0.000	1000.000	916.500
335000	820.900	55.168	713.000	895.000	829.000
340000	828.400	66.031	696.000	944.000	848.000
345000	807.800	102.534	643.000	943.000	849.000
350000	831.100	106.556	655.000	939.000	850.500
355000	800.800	279.630	0.000	1000.000	894.000
360000	875.400	101.672	658.000	1000.000	893.500
365000	901.200	95.132	759.000	1000.000	941.000
370000	807.900	110.340	676.000	943.000	792.500
375000	795.400	107.074	698.000	1000.000	754.000
380000	814.500	93.656	649.000	940.000	830.500
385000	745.000	68.010	664.000	894.000	734.000
390000	838.900	79.775	700.000	943.000	851.000
395000	817.100	93.612	661.000	943.000	832.000
400000	0.000	0.000	0.000	0.000	0.000
405000	614.400	407.159	0.000	1000.000	827.000
410000	681.800	348.923	0.000	941.000	822.000
415000	818.700	118.835	663.000	1000.000	789.000
420000	842.100	96.959	620.000	942.000	850.500
425000	840.200	102.487	700.000	1000.000	829.500
430000	853.300	83.818	722.000	1000.000	846.500
435000	841.800	103.922	676.000	1000.000	868.000
440000	835.100	75.527	731.000	940.000	828.500
445000	814.800	103.083	658.000	942.000	850.000
450000	774.000	71.563	698.000	935.000	770.500
455000	805.200	74.276	701.000	938.000	792.000
460000	873.700	84.080	769.000	1000.000	894.000
465000	854.400	91.779	695.000	966.000	873.000
470000	872.100	113.006	687.000	1000.000	895.000
475000	893.300	99.753	702.000	1000.000	916.500
480000	0.000	0.000	0.000	0.000	0.000
485000	893.000	77.614	766.000	1000.000	912.500
490000	684.400	345.663	0.000	942.000	809.000
495000	819.200	69.302	728.000	940.000	808.500
500000	794.800	275.910	0.000	1000.000	894.000
