iteration	mean	std_dev	min	max	median
5000	25.811	17.818	10.953	58.240	17.126
10000	26.004	13.877	11.201	56.042	21.899
15000	59.913	12.531	33.304	74.821	63.650
20000	99.696	6.501	92.789	117.216	97.990
25000	141.658	35.367	48.563	177.650	151.270
30000	146.537	26.134	93.044	186.647	149.649
35000	207.207	36.833	127.589	257.808	209.455
40000	222.254	60.161	58.300	275.176	227.140
45000	292.359	36.217	233.519	342.661	283.030
50000	324.215	35.797	254.863	380.758	326.001
55000	346.971	100.758	72.203	429.219	392.042
60000	373.830	53.015	272.642	458.982	378.117
65000	405.959	203.187	5.247	570.379	530.717
70000	533.433	43.236	449.522	585.119	549.516
75000	549.434	33.438	474.576	608.239	546.374
80000	21.683	4.441	13.766	32.207	22.037
85000	626.246	9.774	613.664	639.016	629.252
90000	652.416	14.639	618.062	674.662	656.365
95000	666.591	9.443	649.882	681.566	666.349
100000	476.288	274.550	56.000	683.502	648.089
105000	651.810	16.575	615.283	666.941	659.604
110000	692.172	17.774	662.998	718.764	696.633
115000	694.881	23.166	653.807	726.900	699.760
120000	688.416	23.708	642.366	711.043	696.765
125000	692.612	31.132	626.706	730.031	702.636
130000	589.119	291.990	5.430	754.919	734.443
135000	732.656	22.045	690.032	760.869	732.324
140000	714.272	29.033	655.240	753.809	721.183
145000	733.590	18.442	701.602	765.467	729.269
150000	651.506	196.995	66.318	755.359	720.316
155000	211.626	214.967	21.652	729.749	177.895
160000	22.231	4.200	13.729	32.352	22.109
165000	705.811	15.884	674.552	732.976	707.074
170000	754.315	13.111	731.195	779.826	752.620
175000	727.046	18.215	693.114	758.342	731.853
180000	767.248	20.663	733.726	793.280	768.561
185000	753.988	13.500	736.935	777.497	749.066
190000	766.859	18.608	727.757	793.989	767.468
195000	772.205	14.488	740.977	799.684	773.943
200000	769.369	29.977	685.372	796.761	774.669
205000	758.876	30.719	677.193	795.607	763.514
210000	762.338	28.154	693.071	793.315	771.339
215000	773.779	25.492	711.546	805.080	780.940
220000	766.561	21.228	733.337	793.049	769.225
225000	780.365	17.150	755.819	811.401	783.109
230000	783.646	16.180	759.131	808.540	781.309
235000	781.415	17.020	744.545	806.608	783.578
240000	18.369	5.543	9.408	22.511	21.844
245000	753.020	13.027	734.403	772.189	751.295
250000	773.698	14.392	748.375	796.203	772.773
255000	772.528	14.618	744.313	788.331	773.083
260000	805.314	11.003	789.820	820.936	808.333
265000	792.821	7.383	783.646	809.259	790.699
270000	790.338	11.986	776.343	814.404	787.454
275000	798.852	12.226	777.544	816.584	800.607
280000	781.534	8.361	767.043	793.027	784.755
285000	780.915	28.538	714.276	813.737	787.738
290000	784.827	15.850	753.505	809.106	783.863
295000	797.668	19.931	768.586	819.844	802.830
300000	801.274	26.517	745.086	825.802	815.653
305000	779.887	23.185	739.263	809.116	778.693
310000	783.844	22.176	748.337	815.509	782.267
315000	795.222	14.692	773.535	822.710	795.125
320000	15.137	5.360	9.691	22.457	13.176
325000	737.598	11.994	725.036	765.019	735.996
330000	769.359	16.651	742.776	788.742	771.420
335000	782.716	13.291	757.073	806.770	780.611
340000	797.063	14.032	781.133	826.079	793.561
345000	806.324	17.357	774.999	830.973	808.863
350000	812.111	15.336	787.089	833.704	811.247
355000	792.860	29.868	711.997	822.661	798.144
360000	810.615	12.577	794.273	827.005	816.070
365000	814.930	16.355	780.696	830.724	822.073
370000	806.285	14.235	783.988	824.685	803.019
375000	811.504	12.120	787.713	829.999	812.864
380000	818.104	8.965	801.440	831.910	815.402
385000	810.490	24.647	765.651	838.131	815.029
390000	814.826	14.289	791.115	841.464	812.740
395000	800.366	19.974	753.615	823.285	804.260
400000	19.200	9.801	7.205	42.378	18.777
405000	690.603	21.779	641.620	719.114	691.993
410000	786.366	13.985	763.409	812.042	783.712
415000	790.150	17.775	751.547	815.574	793.121
420000	804.659	11.955	786.372	826.391	805.099
425000	810.846	12.361	788.442	834.299	808.749
430000	808.193	13.155	788.863	827.357	805.460
435000	812.136	13.897	782.485	834.125	813.220
440000	800.037	12.456	772.821	812.356	805.853
445000	813.000	8.369	801.232	826.569	810.748
450000	812.872	9.548	792.728	831.159	815.163
455000	816.140	8.803	800.024	829.301	817.067
460000	806.222	23.258	763.261	832.028	809.022
465000	728.804	241.464	7.568	842.243	804.572
470000	818.777	12.257	790.133	839.944	818.219
475000	736.462	242.558	10.018	842.613	814.704
480000	30.506	11.540	21.852	56.645	22.487
485000	709.036	15.080	678.582	735.098	706.509
490000	791.379	11.524	771.355	809.849	790.826
495000	800.482	12.241	776.568	822.971	800.027
500000	810.086	12.965	792.025	836.621	806.305
