iteration	mean	std_dev	min	max	median
5000	11.138	0.122	10.979	11.342	11.125
10000	11.146	0.093	11.009	11.282	11.146
15000	210.764	0.709	210.254	212.808	210.500
20000	254.167	2.837	249.958	259.483	253.784
25000	319.177	1.506	316.060	321.239	319.387
30000	265.535	1.693	262.716	268.364	266.013
35000	398.964	2.146	395.215	401.784	398.671
40000	446.353	135.132	173.020	532.410	504.315
45000	487.730	2.347	482.264	491.169	487.378
50000	516.479	2.903	512.618	521.877	516.105
55000	631.662	40.306	551.891	666.425	644.760
60000	629.802	3.890	624.442	637.412	628.409
65000	488.777	103.017	381.018	617.762	433.547
70000	543.967	18.433	513.801	572.383	548.285
75000	427.968	10.909	419.903	458.562	424.295
80000	643.094	9.694	627.722	659.996	641.144
85000	190.637	237.446	70.216	681.553	72.664
90000	1133.365	46.450	1082.736	1262.444	1127.909
95000	528.440	49.242	401.739	573.098	547.080
100000	601.124	45.564	554.756	691.150	581.130
105000	27.448	6.804	22.700	42.832	24.210
110000	1185.935	59.295	1128.630	1345.972	1170.555
115000	1461.932	119.092	1372.753	1721.139	1407.014
120000	1209.279	81.622	1129.480	1347.964	1194.172
125000	1142.059	7.514	1132.673	1156.294	1139.353
130000	952.573	33.960	896.673	1022.964	946.283
135000	1014.158	104.173	912.273	1204.489	963.831
140000	1140.017	56.731	1050.069	1226.919	1138.125
145000	349.573	865.407	59.823	2945.794	61.367
150000	2731.118	120.940	2529.392	3044.569	2704.916
155000	2851.103	12.526	2827.064	2866.950	2852.449
160000	2951.197	39.771	2897.880	3023.792	2947.970
165000	1071.345	47.865	1005.616	1187.792	1058.915
170000	832.447	7.618	820.160	850.134	832.132
175000	845.861	36.468	810.081	922.377	827.806
180000	1242.161	118.015	1135.977	1532.287	1189.366
185000	1299.449	37.110	1249.368	1389.780	1290.570
190000	1117.703	69.782	1016.928	1233.539	1126.856
195000	1439.251	244.383	1219.269	2140.061	1347.971
200000	1610.677	601.685	1160.219	3251.252	1386.413
205000	2983.369	17.410	2962.159	3010.351	2978.182
210000	3077.747	1.959	3074.389	3080.119	3078.211
215000	3133.373	6.800	3123.504	3149.385	3132.267
220000	1375.945	137.057	1244.025	1626.025	1294.007
225000	1800.229	581.240	1239.029	3174.598	1691.395
230000	1519.184	437.422	1042.255	2132.455	1475.550
235000	1941.760	224.899	1710.176	2527.988	1932.498
240000	3140.533	5.756	3132.343	3150.757	3139.331
245000	1513.229	795.711	854.111	3115.144	1177.409
250000	1444.186	208.316	1149.973	1919.128	1448.996
255000	963.555	29.516	926.734	1041.606	960.350
260000	976.520	20.182	951.877	1006.759	970.865
265000	1368.562	69.070	1237.162	1498.196	1386.854
270000	3225.165	2.437	3221.467	3230.307	3224.782
275000	2045.973	176.265	1841.155	2536.500	1997.477
280000	2204.729	550.107	1600.992	3094.698	1984.105
285000	3200.781	7.190	3195.016	3221.600	3198.856
290000	1044.499	74.826	944.550	1165.466	1079.792
295000	3216.649	21.943	3203.611	3280.952	3208.938
300000	3187.570	4.345	3181.858	3194.890	3187.403
305000	1237.789	68.214	1152.317	1408.055	1223.655
310000	1815.031	402.244	1456.986	2463.766	1590.719
315000	3187.406	1.010	3185.916	3189.101	3187.432
320000	3163.182	5.357	3152.239	3171.440	3162.912
325000	2474.635	888.378	1137.962	3195.819	3186.360
330000	1223.613	670.699	969.981	3232.704	983.413
335000	2813.016	813.120	1169.509	3222.633	3218.298
340000	943.559	13.552	919.727	959.973	944.734
345000	3212.234	1.593	3209.244	3214.922	3212.306
350000	3220.609	7.163	3214.639	3240.622	3217.880
355000	3185.168	6.800	3179.744	3202.155	3182.321
360000	3192.912	3.218	3185.654	3196.886	3193.785
365000	3163.755	6.748	3151.604	3176.500	3163.695
370000	2903.582	529.066	1756.664	3247.542	3228.333
375000	3179.305	8.199	3166.397	3191.100	3178.188
380000	3249.211	16.573	3223.237	3279.405	3246.240
385000	2243.573	705.975	1469.643	3326.740	1832.844
390000	1907.955	1025.994	975.104	3178.532	1184.858
395000	3178.555	3.227	3173.445	3184.335	3178.535
400000	2661.016	608.855	1776.832	3254.466	2894.624
405000	3180.219	2.616	3176.120	3184.321	3179.639
410000	2322.840	705.062	1560.709	3164.239	2047.462
415000	2988.186	498.950	1492.220	3176.982	3156.936
420000	2621.348	620.883	1730.075	3176.552	2900.246
425000	3054.985	22.008	3025.034	3089.509	3056.045
430000	2202.057	864.330	1203.842	3244.188	1796.708
435000	3184.790	10.301	3172.626	3204.868	3181.865
440000	2195.299	792.995	1342.248	3218.641	2124.694
445000	3099.366	3.018	3093.536	3102.956	3099.823
450000	3148.160	3.780	3143.228	3154.997	3148.066
455000	3189.028	2.490	3185.472	3193.394	3187.902
460000	355.095	949.965	35.989	3204.987	39.748
465000	3275.147	3.711	3271.014	3283.017	3273.932
470000	3241.668	4.573	3237.226	3252.027	3240.420
475000	3247.227	7.817	3233.244	3256.889	3249.481
480000	3242.528	10.246	3222.801	3253.026	3246.323
485000	3083.061	274.908	2459.001	3373.577	3215.614
490000	3255.529	9.074	3239.387	3272.405	3254.025
495000	3265.995	5.313	3258.395	3275.310	3265.771
500000	3238.673	4.794	3232.534	3248.374	3238.190
505000	2754.170	644.096	1848.252	3283.713	3271.265
510000	3236.938	4.125	3233.112	3246.294	3235.272
515000	3272.954	5.892	3262.812	3282.615	3273.667
520000	3258.639	8.086	3245.192	3274.258	3257.864
525000	3213.415	103.459	2963.565	3287.612	3256.741
530000	3211.336	6.196	3196.884	3219.569	3213.502
535000	3144.864	33.763	3102.968	3231.488	3139.271
540000	3267.030	1.924	3264.178	3270.873	3266.799
545000	3241.427	5.874	3232.113	3249.052	3243.487
550000	3245.935	1.483	3243.477	3248.872	3245.880
555000	3252.603	2.580	3250.324	3259.038	3251.654
560000	3310.368	8.794	3293.746	3322.793	3310.603
565000	3239.932	1.209	3238.292	3242.153	3239.692
570000	3232.989	3.951	3227.785	3242.894	3231.635
575000	3221.328	11.286	3201.176	3233.733	3224.767
580000	3248.487	6.336	3235.602	3255.942	3248.927
585000	3277.143	1.537	3274.807	3280.143	3277.182
590000	3273.426	3.602	3267.365	3279.899	3274.310
595000	3288.715	4.820	3282.551	3299.943	3288.330
600000	2162.418	930.340	1319.768	3329.625	1494.917
605000	3297.222	32.786	3273.574	3392.276	3288.068
610000	364.880	976.582	35.422	3294.621	39.232
615000	3270.538	6.152	3263.630	3285.732	3268.559
620000	2454.251	328.610	2064.838	2999.414	2334.312
625000	2540.624	832.377	1312.395	3347.929	2901.094
630000	3242.695	8.692	3230.977	3259.813	3241.484
635000	3258.741	5.449	3250.181	3267.663	3257.452
640000	3259.329	7.030	3250.699	3273.938	3257.804
645000	1410.035	526.496	1132.903	2959.226	1194.075
650000	1425.983	621.914	1136.321	3278.087	1214.579
655000	2645.796	869.844	1310.321	3251.475	3233.666
660000	2492.988	962.165	1140.176	3285.631	3263.578
665000	2146.828	813.891	1254.226	3287.466	1819.016
670000	3244.650	13.598	3229.916	3266.437	3241.073
675000	3262.497	8.743	3242.682	3273.469	3265.226
680000	1304.077	79.294	1180.187	1414.401	1335.589
685000	2895.979	735.527	1411.782	3271.384	3262.554
690000	1383.873	149.609	1161.052	1631.926	1333.695
695000	2455.940	912.933	1234.205	3272.152	3054.827
700000	1495.096	258.358	1276.911	2168.423	1394.689
705000	2772.340	577.094	1764.509	3301.891	3008.064
710000	3280.195	4.990	3268.569	3285.350	3281.841
715000	3289.319	3.843	3282.178	3294.380	3289.321
720000	3251.908	4.855	3242.314	3260.316	3252.911
725000	2487.071	963.940	1186.837	3290.222	3265.636
730000	3091.379	518.168	1536.919	3272.703	3262.729
735000	3082.060	390.286	1990.349	3283.933	3274.292
740000	2145.809	820.615	1361.275	3265.820	1806.337
745000	3236.063	6.208	3227.116	3250.282	3235.882
750000	2869.878	776.710	1225.550	3274.513	3254.110
755000	2291.249	860.326	1234.129	3307.759	1959.845
760000	1980.128	886.050	1297.490	3399.034	1466.754
765000	3123.333	336.544	2120.932	3290.981	3243.037
770000	3261.130	5.011	3252.417	3268.989	3261.647
775000	2026.355	881.227	1225.616	3345.143	1557.877
780000	2658.956	825.009	1379.816	3289.200	3271.575
785000	2362.640	708.787	1317.788	3311.795	2269.788
790000	3262.674	7.898	3253.729	3283.573	3261.680
795000	2558.799	889.332	1198.153	3282.432	3272.642
800000	1502.809	373.433	1129.696	2546.152	1436.900
805000	3149.256	372.254	2032.570	3280.446	3270.784
810000	1467.594	612.598	1138.691	3279.558	1230.367
815000	3131.489	467.822	1728.200	3300.935	3286.355
820000	18.165	0.777	16.443	18.929	18.612
825000	562.830	1107.380	22.106	3292.837	25.246
830000	3095.215	358.314	2302.067	3292.488	3273.604
835000	3139.734	401.578	1935.471	3293.373	3269.444
840000	2963.350	514.031	2064.042	3302.158	3294.220
845000	1989.458	848.842	1311.557	3296.442	1462.914
850000	1241.930	36.167	1185.276	1311.144	1225.853
855000	1456.553	365.890	1181.827	2507.681	1354.476
860000	2800.009	750.762	1433.662	3306.392	3272.131
865000	2770.551	787.894	1477.782	3292.333	3278.284
870000	2933.934	704.251	1442.584	3297.203	3283.972
875000	1685.886	538.900	1385.375	3287.904	1524.902
880000	1879.324	838.276	1228.328	3297.674	1464.265
885000	2391.177	914.237	1180.650	3343.329	2586.063
890000	3277.151	7.843	3267.666	3295.955	3274.499
895000	1935.882	736.797	1159.201	3352.594	1632.672
900000	1986.911	865.244	1192.812	3295.023	1492.664
905000	2963.276	663.061	1522.440	3304.629	3293.441
910000	1348.109	98.411	1228.796	1495.438	1374.544
915000	2684.003	729.514	1499.150	3287.621	3259.623
920000	2810.150	716.360	1516.780	3296.502	3267.416
925000	1589.168	73.177	1436.224	1664.106	1623.716
930000	1538.666	78.931	1437.121	1757.170	1529.735
935000	1713.955	798.799	1203.839	3300.319	1271.196
940000	3187.569	292.728	2309.448	3290.345	3285.049
945000	3276.262	8.310	3260.064	3285.627	3277.626
950000	1875.482	713.109	1397.420	3291.372	1532.587
955000	1912.575	528.503	1467.946	3277.197	1752.605
960000	2357.836	804.577	1222.029	3304.987	2140.013
965000	1459.541	101.657	1256.347	1561.396	1485.135
970000	1251.395	29.676	1221.656	1320.217	1239.506
975000	2661.870	771.146	1604.125	3298.266	3282.365
980000	2099.304	821.244	1336.039	3382.430	1617.426
985000	3274.473	9.609	3258.681	3288.993	3272.089
990000	2764.996	779.521	1570.226	3283.734	3272.634
995000	3130.228	517.877	1582.798	3436.092	3283.420
1000000	3262.470	5.869	3255.574	3273.471	3260.842
