iteration	mean	std_dev	min	max	median
5000	0.184	7.055	-9.268	13.506	0.527
10000	0.409	8.166	-9.377	24.261	0.607
15000	319.232	35.800	260.751	368.696	333.014
20000	231.896	169.648	31.533	991.629	211.425
25000	261.171	150.874	-16.739	566.695	281.860
30000	369.137	328.971	-8.870	1063.682	275.868
35000	262.752	102.472	23.272	503.431	232.771
40000	385.619	143.392	159.102	788.708	339.376
45000	399.883	66.643	276.453	657.378	393.233
50000	364.495	117.396	136.918	610.220	342.211
55000	456.679	205.476	60.722	993.797	436.652
60000	347.355	167.906	39.301	768.459	341.902
65000	528.444	299.533	-78.369	1247.620	491.486
70000	316.339	116.659	24.849	539.769	334.580
75000	521.196	191.079	320.480	875.584	426.359
80000	390.099	157.244	144.739	754.858	350.298
85000	428.903	456.704	149.252	2607.045	300.313
90000	565.750	292.006	45.080	1261.855	505.859
95000	719.726	414.930	227.704	1777.321	555.264
100000	479.259	240.630	158.280	986.753	463.095
105000	584.519	202.134	215.031	909.864	570.993
110000	904.563	443.718	122.407	2359.299	805.960
115000	645.613	284.637	219.746	1339.279	658.839
120000	1212.027	703.852	277.224	2414.830	818.046
125000	1041.856	663.219	359.990	2590.853	877.584
130000	848.215	558.808	231.784	2721.191	715.452
135000	1178.723	845.560	267.202	3046.261	777.603
140000	689.622	455.740	224.165	2390.394	695.374
145000	613.146	315.446	234.676	1806.800	553.463
150000	1288.489	970.170	354.054	3085.484	798.682
155000	1286.617	1070.678	204.208	3299.885	840.467
160000	1338.909	1143.805	371.270	3363.814	662.741
165000	814.502	930.792	10.412	3136.144	530.326
170000	1824.272	910.363	468.619	3462.078	1398.910
175000	1242.259	913.752	229.392	3295.640	946.809
180000	1558.041	1159.249	151.901	3156.394	1690.535
185000	1498.474	980.920	659.408	3642.500	991.416
190000	1368.081	1140.595	186.838	3549.382	894.580
195000	1950.483	1073.742	161.483	3845.786	1707.976
200000	1752.319	1256.853	160.247	3682.676	1447.428
205000	1143.819	817.539	363.654	3279.490	837.047
210000	2160.092	1072.288	767.306	4004.042	1725.789
215000	1584.159	1271.022	356.410	3729.087	1070.049
220000	1993.500	1340.863	552.473	3918.261	1175.357
225000	1808.278	1227.625	138.723	3918.989	1440.298
230000	1601.503	1147.424	254.378	3867.864	1362.312
235000	2885.820	1074.776	423.218	3915.363	3383.753
240000	2902.142	1028.891	623.672	4279.423	3413.837
245000	1804.814	1430.759	239.978	3566.630	1118.584
250000	3117.700	1032.973	332.642	4048.352	3703.512
255000	2768.213	858.527	432.782	3928.298	3024.326
260000	3227.689	815.713	1440.204	3954.578	3663.373
265000	2955.416	1187.809	304.833	4075.575	3619.521
270000	2703.350	1430.898	211.680	4104.325	3506.747
275000	3154.675	1139.669	528.321	4570.042	3355.457
280000	2979.690	1063.978	1100.450	4596.592	3170.030
285000	3093.737	1091.430	653.546	4326.716	3341.419
290000	2408.432	1604.263	253.642	4152.061	3100.636
295000	3192.881	975.389	341.045	4041.991	3557.665
300000	3220.130	845.469	1546.915	4428.433	3246.248
305000	3332.973	1221.543	353.586	4392.235	3945.864
310000	3502.304	806.189	596.819	4206.266	3740.756
315000	3339.110	852.618	1352.303	4100.100	3771.342
320000	2830.561	1232.921	603.069	4215.106	3127.438
325000	3588.795	729.886	1300.924	4352.401	3751.789
330000	3430.414	1072.362	561.918	4428.114	3867.490
335000	3449.136	1014.109	305.340	4319.262	3938.293
340000	3677.670	908.324	648.561	4384.630	4094.958
345000	3445.096	769.156	1232.277	4435.676	3368.764
350000	3620.016	849.861	860.113	4543.426	3869.496
355000	3726.471	859.455	554.506	4570.052	3957.461
360000	3784.204	800.314	202.422	4400.702	3976.802
365000	3439.158	1301.722	698.240	4375.245	4182.448
370000	3818.246	844.514	202.689	4450.137	4254.661
375000	2876.557	2022.504	15.493	4554.865	4235.142
380000	3407.674	1384.484	1004.693	4646.032	4197.356
385000	3800.734	675.901	2275.836	4619.808	3674.417
390000	3900.014	817.494	1641.498	4799.093	4300.844
395000	4014.136	554.905	2367.983	4648.551	4338.275
400000	4086.023	495.399	3305.263	4539.084	4390.149
405000	3864.957	775.247	1059.645	4756.778	4241.944
410000	4083.615	510.321	2581.025	4609.883	4345.968
415000	4107.331	501.624	3286.120	4753.378	4336.134
420000	3949.276	534.814	3192.050	4584.370	4160.739
425000	4109.704	352.940	3395.654	4536.795	4286.998
430000	4111.315	637.319	1330.505	4746.188	4379.805
435000	3217.913	1495.777	218.838	4544.947	3582.126
440000	3106.309	1646.432	22.143	4602.609	3608.588
445000	3155.699	1914.514	120.029	4659.520	4341.240
450000	3639.699	1311.929	468.628	4704.372	3901.689
455000	4063.636	915.057	116.789	4750.284	4383.106
460000	3892.911	1059.530	62.303	4806.083	4230.909
465000	4204.461	439.363	3509.658	4881.476	4336.728
470000	4140.583	568.426	2161.498	4640.051	4413.069
475000	3921.572	986.224	285.637	4735.014	4304.142
480000	4026.966	736.762	478.789	4593.293	4289.559
485000	3526.880	1628.091	-42.192	4916.462	4322.150
490000	4287.818	497.552	3577.060	4866.633	4413.558
495000	4028.475	778.454	1980.433	4946.022	4360.515
500000	3990.162	925.056	1242.560	4767.399	4327.709
505000	2972.397	2027.045	56.079	4592.512	4373.290
510000	4148.989	728.847	1781.032	4707.395	4484.142
515000	4255.401	330.780	3749.286	4664.694	4373.366
520000	4299.160	488.923	3194.493	4990.787	4411.843
525000	4260.832	386.173	3733.863	4856.611	4307.928
530000	3210.578	1867.726	201.785	5019.150	3843.735
535000	4297.150	418.071	3665.237	4859.744	4389.390
540000	4188.048	888.739	753.611	4989.048	4483.428
545000	4309.861	436.692	3716.914	4970.678	4394.756
550000	4060.942	945.511	183.276	4910.966	4446.398
555000	3641.872	1413.004	353.375	4759.670	3955.345
560000	4188.026	628.488	2544.824	4984.814	4518.756
565000	3374.714	1929.238	78.712	4926.485	4430.891
570000	4250.332	615.065	2006.202	5056.789	4424.838
575000	4417.000	436.539	3848.593	5071.830	4429.858
580000	4453.085	407.225	3812.935	5124.254	4499.424
585000	3661.246	1471.347	157.044	5066.713	4310.568
590000	4146.199	642.966	1992.552	4838.695	4414.680
595000	4359.491	692.480	2292.862	5150.651	4656.399
600000	4440.246	390.865	3783.791	5072.147	4561.041
605000	4297.418	910.733	1533.340	5334.843	4593.405
610000	4468.978	505.441	3773.816	5105.838	4595.269
615000	4209.554	1051.386	544.109	5026.466	4602.847
620000	4404.816	540.647	2979.103	5187.937	4495.392
625000	4543.056	448.831	3899.954	5221.386	4604.088
630000	4382.021	1084.061	184.885	5424.403	4507.985
635000	4477.328	426.110	3917.950	5232.496	4471.691
640000	3586.327	1541.665	151.427	4791.532	4175.881
645000	3444.686	1985.892	100.372	4990.946	4551.614
650000	3845.363	1541.634	41.863	5139.082	4506.583
655000	4099.941	1051.540	948.996	5351.984	4215.703
660000	4013.221	1203.325	445.719	4974.562	4516.810
665000	4050.353	971.031	1872.371	5088.775	4053.912
670000	4229.581	1130.602	154.562	5193.601	4446.520
675000	4551.158	492.898	3903.250	5304.018	4464.034
680000	4487.119	668.081	1819.182	5369.571	4525.249
685000	4545.036	399.937	4037.103	5185.610	4517.344
690000	4246.390	1188.420	124.120	5215.678	4522.546
695000	3852.166	1747.937	119.790	5321.267	4488.285
700000	3784.112	1821.109	164.384	5243.799	4511.090
705000	4509.455	531.103	3759.663	5203.863	4554.657
710000	3698.978	1841.274	140.617	5326.902	4042.779
715000	4542.890	472.493	3921.581	5238.908	4510.728
720000	4572.813	508.598	3966.300	5390.594	4419.959
725000	3884.252	1037.001	155.032	4531.447	4030.311
730000	3759.535	1206.124	709.045	4534.519	4180.239
735000	4313.110	870.336	190.900	5059.918	4478.822
740000	4355.894	819.024	660.100	5091.527	4508.882
745000	4526.885	556.323	2891.072	5366.907	4482.674
750000	4457.855	798.909	921.849	5252.034	4578.212
755000	4487.484	855.249	742.550	5438.586	4485.926
760000	4535.984	476.748	3936.649	5248.066	4473.144
765000	4083.859	1372.067	555.153	5250.871	4517.609
770000	4501.190	582.710	2544.864	5167.893	4611.997
775000	4569.396	519.405	3636.906	5353.245	4577.481
780000	4001.745	1612.196	97.114	5305.831	4552.721
785000	4606.665	530.678	3886.569	5337.958	4673.288
790000	4346.818	838.340	1931.321	5119.644	4546.582
795000	4594.269	480.781	3521.384	5203.031	4612.786
800000	4030.758	1519.383	317.615	5271.083	4511.922
805000	4489.774	533.549	3205.843	5144.405	4652.748
810000	4088.036	1253.568	707.083	5194.001	4444.033
815000	4599.771	660.644	2128.802	5245.052	4780.220
820000	4259.557	882.755	2237.169	5244.758	4102.040
825000	4061.569	1339.087	191.363	5184.547	4409.693
830000	4573.037	406.383	3991.279	5172.366	4573.045
835000	4215.228	1173.090	1407.546	5315.665	4552.684
840000	2917.331	2082.492	173.498	5175.603	3885.894
845000	4561.176	343.237	4075.403	5034.114	4583.169
850000	4561.625	508.438	3898.259	5338.636	4460.898
855000	4564.389	476.546	3871.500	5241.119	4698.834
860000	4458.645	858.833	337.873	5182.880	4595.230
865000	4299.608	830.126	1825.836	5122.896	4452.014
870000	4493.485	663.581	2189.606	5223.177	4662.710
875000	4568.381	474.714	3958.117	5283.660	4464.551
880000	4634.911	442.960	4054.560	5280.911	4585.955
885000	4653.321	432.013	4079.346	5272.962	4587.385
890000	4575.066	461.038	3932.066	5225.507	4663.601
895000	3696.582	1591.777	231.219	5158.911	4515.369
900000	4312.025	921.070	1823.086	5283.171	4565.876
905000	4523.266	435.615	3965.381	5197.589	4520.478
910000	3874.033	1412.622	1294.289	5151.780	4535.811
915000	4524.970	455.001	3908.113	5146.984	4539.818
920000	4557.744	415.472	3943.116	5134.496	4681.893
925000	4088.329	1153.316	307.489	5157.210	4563.115
930000	4563.433	526.567	3669.570	5254.247	4594.613
935000	4294.659	1162.266	284.206	5216.614	4545.120
940000	4031.738	1344.168	208.365	5258.343	4477.950
945000	4518.975	358.299	4026.737	5154.665	4527.584
950000	3230.566	2206.760	99.595	5226.168	4563.278
955000	4489.182	853.023	854.885	5412.726	4548.751
960000	3791.632	1728.534	341.639	5316.099	4555.115
965000	4436.711	923.012	313.580	5384.399	4464.677
970000	4307.136	918.992	1347.488	5467.875	4247.232
975000	4506.338	448.067	3648.773	5256.456	4463.303
980000	4598.618	380.916	4107.966	5170.490	4519.303
985000	4549.678	416.639	4029.445	5196.574	4535.892
990000	4564.650	431.856	4044.062	5192.282	4498.960
995000	4547.415	571.023	2928.968	5271.747	4568.202
1000000	3811.715	1674.280	199.503	5185.017	4255.738
1005000	4503.138	770.773	1452.351	5377.442	4607.658
1010000	4623.759	464.101	4016.116	5341.700	4609.913
1015000	4668.195	394.945	4167.422	5322.033	4597.220
1020000	4658.026	471.472	4073.637	5333.049	4629.741
1025000	4640.318	462.131	4065.660	5332.701	4569.703
1030000	4656.596	533.780	3712.111	5465.699	4512.932
1035000	4644.071	419.340	4138.624	5306.327	4542.200
1040000	4251.336	1197.878	599.188	5365.426	4564.157
1045000	4615.746	456.826	3997.481	5296.988	4652.059
1050000	4602.548	511.074	3977.615	5345.955	4518.524
1055000	4686.033	482.683	4063.092	5340.866	4736.372
1060000	4736.608	415.795	4228.118	5429.644	4676.495
1065000	4698.169	489.597	4039.103	5454.645	4746.096
1070000	4600.754	386.659	4118.128	5235.265	4514.227
1075000	4672.244	499.517	4143.010	5537.126	4509.058
1080000	4647.608	460.332	4123.056	5387.698	4505.385
1085000	4756.450	458.647	4206.774	5417.950	4710.744
1090000	4675.767	463.489	4077.354	5323.831	4619.676
1095000	4812.301	487.394	4139.901	5495.231	4832.934
1100000	4618.112	610.047	3375.229	5436.943	4731.634
1105000	3676.545	2013.746	115.953	5355.708	4657.695
1110000	4441.348	1127.525	422.613	5378.570	4637.488
1115000	4403.141	1130.883	448.314	5491.119	4572.790
1120000	4563.597	576.008	3933.121	5420.943	4355.413
1125000	4653.257	406.248	4074.999	5294.143	4625.226
1130000	1981.860	2432.086	43.649	5459.200	193.314
1135000	4451.498	880.038	186.835	5184.630	4530.897
1140000	3684.181	2070.662	70.393	5501.924	4680.477
1145000	4613.533	916.951	460.464	5532.474	4635.715
1150000	4713.986	503.659	4080.959	5466.904	4630.073
1155000	4689.479	492.704	4030.537	5429.565	4703.458
1160000	4741.632	517.571	4061.584	5500.630	4642.374
1165000	4749.483	599.477	4047.125	5608.939	4645.380
1170000	4815.303	516.147	4225.885	5553.826	4705.552
1175000	4758.441	532.655	4113.289	5642.617	4623.208
1180000	4767.993	524.161	4160.129	5592.616	4628.608
1185000	3326.801	2228.165	246.617	5592.583	4233.339
1190000	4620.120	616.925	2907.708	5340.095	4783.430
1195000	4596.665	1000.932	443.504	5664.604	4662.672
1200000	4156.267	1575.219	186.642	5808.839	4368.318
1205000	4599.199	446.395	4094.033	5352.040	4493.321
1210000	4722.051	664.788	2303.143	5605.574	4513.492
1215000	4430.282	1228.344	270.692	5502.199	4548.135
1220000	4718.868	722.501	2591.916	5636.159	4695.244
1225000	3514.867	2378.400	76.350	5737.608	4720.827
1230000	4802.715	545.287	4102.763	5608.931	4754.057
1235000	4679.951	922.239	650.609	5605.898	4710.905
1240000	4707.779	429.673	4116.641	5328.647	4673.149
