iteration	mean	std_dev	min	max	median
5000	-8.001	0.645	-9.268	-6.515	-7.995
10000	-8.428	0.639	-9.377	-7.657	-8.250
15000	272.590	8.006	260.751	283.134	272.906
20000	228.595	41.500	158.274	301.004	220.685
25000	224.011	141.613	24.522	437.639	267.758
30000	691.993	334.184	133.436	1063.682	772.114
35000	350.725	65.674	267.351	501.689	352.221
40000	344.768	36.633	288.496	415.104	339.377
45000	357.607	22.224	317.505	392.211	354.013
50000	465.863	25.891	430.044	516.349	468.717
55000	512.333	175.869	350.850	993.797	456.120
60000	393.053	43.853	325.637	466.129	384.021
65000	239.135	214.636	-78.369	478.524	371.916
70000	386.089	65.036	292.970	493.450	362.347
75000	391.787	32.269	344.503	441.876	395.799
80000	315.828	48.274	196.577	360.179	338.473
85000	280.831	52.993	203.208	350.346	296.273
90000	510.322	89.579	321.298	625.855	505.859
95000	1114.741	411.607	380.954	1777.321	1182.461
100000	529.642	130.403	263.011	645.369	590.351
105000	515.934	189.459	280.039	829.373	428.570
110000	943.371	187.687	621.895	1257.234	984.245
115000	643.676	173.874	442.887	899.014	670.044
120000	755.639	59.937	673.591	857.814	749.595
125000	874.228	88.084	673.494	1026.805	877.584
130000	718.267	11.881	700.893	739.654	715.452
135000	771.184	20.376	739.747	813.285	767.786
140000	725.528	37.405	646.737	757.703	738.829
145000	582.193	224.845	412.616	1144.681	448.668
150000	787.390	143.936	603.647	967.055	778.591
155000	720.246	237.194	383.537	1185.938	765.243
160000	607.137	172.280	406.269	936.211	557.798
165000	624.895	123.993	497.221	856.933	581.246
170000	1178.997	280.028	468.619	1572.819	1183.114
175000	1548.349	926.171	663.674	2772.566	906.481
180000	2748.265	362.157	1964.048	3061.929	2927.879
185000	964.810	316.784	720.309	1609.727	841.457
190000	1001.099	682.553	630.793	3022.232	806.229
195000	1405.993	594.023	755.923	2748.808	1360.415
200000	1018.849	515.625	340.310	1818.472	936.862
205000	469.730	165.797	363.654	814.003	394.162
210000	1373.870	239.695	1064.899	1777.102	1325.389
215000	625.326	328.581	356.410	1462.074	557.205
220000	1261.673	581.403	552.473	2716.426	1073.808
225000	1586.912	872.719	138.723	3137.281	1440.298
230000	2117.073	714.860	1003.511	3083.142	1877.778
235000	2442.619	762.997	959.686	3399.191	2432.129
240000	1809.272	289.721	1367.729	2286.845	1716.800
245000	1161.228	885.305	369.092	3082.056	825.654
250000	2492.600	603.214	734.518	2912.283	2689.154
255000	2016.669	563.851	1064.084	3146.412	1961.189
260000	2690.822	765.602	1440.204	3418.956	2931.579
265000	1688.803	797.073	830.289	3238.685	1461.429
270000	1501.413	970.131	602.737	3323.720	1133.220
275000	2618.177	1009.284	838.038	3353.846	3234.941
280000	2981.643	486.635	1551.424	3284.055	3102.657
285000	2788.717	588.028	1947.455	3376.403	3198.136
290000	2903.525	433.404	2017.408	3362.345	3100.636
295000	2696.192	618.898	1510.567	3353.311	2841.141
300000	3122.420	495.552	1646.856	3402.685	3246.248
305000	3071.534	387.763	2187.799	3348.809	3275.309
310000	2912.688	523.919	1941.692	3342.675	3207.885
315000	2337.142	762.453	1352.303	3400.804	2140.195
320000	2436.055	809.076	804.136	3443.939	2331.786
325000	2946.972	564.252	1300.924	3289.935	3161.616
330000	2930.843	463.800	1652.337	3274.048	3135.068
