iteration	mean	std_dev	min	max	median
5000	0.879	0.040	0.796	0.903	0.897
10000	0.721	0.094	0.279	0.760	0.754
15000	0.919	0.046	0.852	1.000	0.928
20000	0.885	0.022	0.797	0.896	0.891
25000	0.947	0.089	0.795	1.000	1.000
30000	0.999	0.007	0.931	1.000	1.000
35000	0.983	0.030	0.925	1.000	1.000
40000	1.000	0.000	1.000	1.000	1.000
45000	0.467	0.103	0.434	1.000	0.438
50000	0.968	0.074	0.795	1.000	1.000
55000	0.958	0.167	0.295	1.000	1.000
60000	0.849	0.105	0.555	1.000	0.919
65000	0.986	0.100	0.284	1.000	1.000
70000	0.964	0.158	0.274	1.000	1.000
75000	0.911	0.130	0.246	1.000	0.921
80000	0.871	0.205	0.244	1.000	1.000
85000	0.986	0.064	0.556	1.000	1.000
90000	0.896	0.141	0.439	1.000	1.000
95000	0.447	0.065	0.432	0.911	0.438
100000	1.000	0.000	1.000	1.000	1.000
105000	0.999	0.009	0.914	1.000	1.000
110000	0.975	0.108	0.435	1.000	1.000
115000	0.978	0.107	0.421	1.000	1.000
120000	0.962	0.140	0.431	1.000	1.000
125000	0.938	0.177	0.428	1.000	1.000
130000	0.860	0.115	0.439	1.000	0.922
135000	0.923	0.102	0.553	1.000	0.931
140000	0.977	0.113	0.420	1.000	1.000
145000	0.998	0.012	0.932	1.000	1.000
150000	0.933	0.104	0.247	1.000	0.930
155000	0.980	0.100	0.431	1.000	1.000
160000	0.951	0.139	0.551	1.000	1.000
165000	1.000	0.000	1.000	1.000	1.000
170000	0.999	0.007	0.932	1.000	1.000
175000	0.990	0.058	0.440	1.000	1.000
180000	0.937	0.120	0.424	1.000	0.932
185000	0.980	0.034	0.914	1.000	1.000
190000	0.973	0.095	0.437	1.000	1.000
195000	1.000	0.000	1.000	1.000	1.000
200000	0.990	0.063	0.555	1.000	1.000
205000	1.000	0.000	1.000	1.000	1.000
210000	1.000	0.000	1.000	1.000	1.000
215000	1.000	0.000	1.000	1.000	1.000
220000	0.996	0.044	0.554	1.000	1.000
225000	1.000	0.000	1.000	1.000	1.000
230000	0.721	0.063	0.277	0.731	0.730
235000	1.000	0.000	1.000	1.000	1.000
240000	0.982	0.064	0.746	1.000	1.000
245000	1.000	0.000	1.000	1.000	1.000
250000	1.000	0.000	1.000	1.000	1.000
255000	1.000	0.000	1.000	1.000	1.000
260000	1.000	0.000	1.000	1.000	1.000
265000	1.000	0.000	1.000	1.000	1.000
270000	1.000	0.000	1.000	1.000	1.000
275000	1.000	0.000	1.000	1.000	1.000
280000	1.000	0.000	1.000	1.000	1.000
285000	0.986	0.059	0.728	1.000	1.000
290000	0.991	0.091	0.089	1.000	1.000
295000	1.000	0.000	1.000	1.000	1.000
300000	1.000	0.000	1.000	1.000	1.000
