iteration	mean	std_dev	min	max	median
50000	969.679	17.170	937.262	988.080	977.592
100000	953.920	23.257	888.568	975.821	957.724
150000	927.627	17.779	887.520	953.524	925.148
200000	921.533	24.530	861.502	966.744	926.438
250000	925.305	21.218	880.722	956.386	928.855
300000	926.995	33.172	884.820	974.570	926.534
350000	916.526	27.423	860.424	957.297	917.917
400000	908.134	26.520	863.522	957.656	906.600
450000	918.506	17.746	893.335	959.534	914.181
500000	945.532	58.289	860.164	1059.837	921.769
550000	1081.472	93.051	901.191	1245.380	1057.397
600000	1169.299	183.736	971.870	1614.998	1071.942
650000	1667.720	179.345	1080.138	1973.797	1617.483
700000	1808.322	150.603	1552.670	2026.905	1878.549
750000	2072.370	270.654	1692.817	2452.704	1998.224
800000	2286.053	469.335	1744.670	3016.708	2084.017
850000	2503.104	697.565	1081.011	3549.168	2170.957
900000	2660.728	723.060	1222.862	3737.120	2285.856
950000	2826.064	736.967	1534.792	3952.342	2522.405
1000000	2956.746	759.274	1064.383	4109.923	2639.282
1050000	3106.946	666.011	2377.765	4150.733	2730.613
1100000	3200.944	761.233	1866.625	4341.530	2902.308
1150000	3225.006	957.781	640.077	4573.899	2974.644
1200000	3182.927	1059.488	111.609	4504.981	3024.252
1250000	3294.863	1044.154	784.535	4686.701	3136.372
1300000	3385.794	1035.638	439.839	4704.581	3225.706
1350000	3491.080	818.883	2026.115	4859.581	3241.984
1400000	3571.683	842.174	1594.235	4898.079	3289.625
1450000	3547.759	1102.015	207.096	4970.163	3374.422
1500000	3394.208	1243.927	112.718	5153.437	3347.878
1550000	3665.658	1013.063	1290.362	5098.926	3425.193
1600000	3695.666	1177.508	1089.687	5144.086	3638.051
1650000	3962.227	735.579	2535.127	5125.985	3620.873
1700000	3797.835	1047.727	618.983	5191.974	3664.073
1750000	3912.267	985.367	1057.337	5071.722	3721.999
1800000	3951.199	991.517	157.748	5319.325	3728.092
1850000	3824.478	1003.386	705.239	5239.147	3726.073
1900000	3807.973	1194.880	1103.790	5325.625	3778.274
1950000	3931.903	1094.908	359.369	5431.382	3867.481
2000000	4056.490	1009.674	937.528	5333.423	3911.704
2050000	3902.130	1213.895	818.252	5391.271	3963.674
2100000	4288.530	646.267	3017.666	5392.994	3957.417
2150000	4128.021	1010.942	834.534	5329.390	4013.216
2200000	4156.542	891.203	1320.498	5460.852	4033.869
2250000	4392.400	653.464	3020.292	5409.217	4064.664
2300000	4327.110	880.543	1134.969	5530.232	4081.164
2350000	4374.565	750.900	2031.688	5621.050	4100.003
2400000	4230.484	1064.167	1065.405	5592.912	4210.528
2450000	4523.073	635.883	3282.978	5529.309	4224.069
2500000	4460.220	728.572	1823.911	5509.486	4286.327
2550000	4343.593	1017.386	650.238	5561.902	4304.101
2600000	4422.542	831.550	1219.638	5496.617	4320.073
2650000	4433.667	927.891	1508.244	5607.047	4284.378
2700000	4349.936	1110.219	1068.817	5662.990	4305.806
2750000	4710.538	602.443	3886.195	5739.318	4422.955
2800000	4492.351	989.497	1176.997	5630.981	4361.224
2850000	4676.322	767.272	1978.688	5771.101	4400.614
2900000	4519.859	1045.839	121.344	5708.905	4407.640
2950000	4715.721	661.536	2844.918	5689.212	4512.474
3000000	4607.264	909.762	872.118	5835.179	4527.135
3050000	4827.920	514.419	4207.640	5766.431	4589.749
3100000	4575.751	1045.096	89.113	5677.492	4557.466
3150000	4893.698	492.950	4335.583	5703.170	4744.798
3200000	4759.861	913.126	680.848	5731.669	4706.615
3250000	4668.209	1002.870	416.360	5741.152	4713.617
3300000	4634.287	986.158	745.060	5780.855	4689.078
3350000	4911.741	697.280	2252.637	5893.253	4859.099
3400000	4967.214	465.837	4278.351	5740.562	4852.872
3450000	4856.936	842.626	1742.741	5875.850	4877.465
3500000	4828.949	919.584	1480.490	5799.009	4935.835
3550000	4957.870	633.349	2532.515	5762.590	5007.848
3600000	4940.683	911.238	681.379	5848.448	5033.541
3650000	4879.048	875.073	1448.979	5753.000	5061.550
3700000	5083.949	496.964	3557.801	5928.978	5091.677
3750000	5101.423	494.842	3451.664	5755.565	5186.210
3800000	5031.282	995.769	166.916	5952.890	5173.869
3850000	5198.324	428.772	4481.925	5875.413	5106.035
3900000	5052.322	830.618	1197.443	5784.837	5215.703
3950000	4752.063	1505.398	86.138	5831.693	5203.430
4000000	5074.146	821.180	1267.808	5822.907	5223.487
4050000	5046.776	896.009	1483.268	5957.368	5143.189
4100000	5234.015	378.841	4573.194	5890.006	5172.814
4150000	5248.644	437.247	4409.268	5909.352	5232.497
4200000	5262.232	354.208	4729.933	5868.025	5313.075
4250000	5279.050	416.816	4567.558	5914.182	5260.913
