iteration	mean	std_dev	min	max	median
50000	461.027	88.160	339.704	726.511	446.480
100000	364.718	27.571	312.552	415.010	362.117
150000	327.863	20.078	291.192	366.643	329.854
200000	308.699	20.827	270.285	367.689	306.866
250000	311.105	22.261	266.248	361.095	305.318
300000	314.337	32.107	271.607	406.195	307.152
350000	330.486	37.512	287.933	440.430	319.203
400000	320.923	33.102	277.195	406.136	308.312
450000	344.224	31.492	303.477	417.065	331.805
500000	332.691	24.000	294.574	381.939	329.119
550000	356.927	29.510	307.024	441.842	353.626
600000	380.928	31.252	331.799	446.300	379.653
650000	364.245	38.516	304.826	451.068	353.369
700000	396.131	20.888	361.615	456.886	391.000
750000	470.709	81.889	309.968	589.537	492.082
800000	484.746	81.297	348.650	774.654	498.248
850000	488.880	75.396	330.438	650.516	489.788
900000	546.414	65.346	397.351	732.132	553.154
950000	559.786	118.454	385.565	919.726	550.778
1000000	579.698	151.574	361.432	909.494	581.431
1050000	633.414	178.067	379.231	1095.510	574.766
1100000	695.261	136.935	397.087	1085.656	667.486
1150000	722.172	142.962	454.777	1045.958	715.725
1200000	687.370	192.838	404.538	1170.080	653.304
1250000	689.626	260.828	417.062	1273.242	575.793
1300000	782.119	251.226	397.004	1158.967	887.129
1350000	834.145	282.852	452.368	1723.469	852.016
1400000	797.820	281.542	413.077	1478.746	820.027
1450000	867.037	374.683	402.780	1928.346	841.582
1500000	800.025	265.719	321.896	1602.942	803.238
1550000	922.735	243.848	415.870	1525.258	935.778
1600000	837.990	226.496	530.096	1313.453	809.642
1650000	941.754	248.259	599.468	1629.167	903.904
1700000	907.771	244.509	316.841	1361.797	895.865
1750000	934.515	265.049	495.578	1641.697	920.168
1800000	957.385	420.883	490.173	2063.737	833.207
1850000	1056.459	359.870	616.523	2049.876	922.264
1900000	1136.832	308.616	696.413	1816.443	1112.015
1950000	1208.804	420.096	552.904	2404.884	1232.182
2000000	1181.265	393.967	670.934	2082.519	1095.803
2050000	1066.426	541.916	458.948	3141.924	932.418
2100000	1180.640	505.072	498.963	2688.215	1036.556
2150000	1423.757	693.988	337.212	3935.843	1247.977
2200000	1411.157	536.331	787.430	3197.867	1195.032
2250000	1420.471	511.970	335.221	2949.153	1291.751
2300000	1358.649	515.826	636.135	2503.756	1217.100
2350000	1487.175	585.375	444.570	2636.815	1333.579
2400000	1657.746	806.020	559.764	4197.924	1370.627
2450000	1539.891	442.167	798.822	2500.200	1528.087
2500000	1762.435	703.515	823.032	3525.022	1706.745
2550000	1787.555	662.156	709.024	3042.401	1530.921
2600000	1973.172	922.913	991.983	4650.831	1750.914
2650000	1802.732	704.330	526.879	3788.878	1601.395
2700000	2255.238	1491.614	739.070	6169.024	1428.778
2750000	2325.128	1322.375	982.264	6230.074	1723.784
2800000	2250.082	1222.739	1099.817	5575.189	1667.521
2850000	2514.384	1407.358	949.148	5583.896	1942.246
2900000	2356.778	1219.156	989.006	4945.477	1889.758
2950000	3029.859	2263.411	847.465	7990.587	1861.882
3000000	3521.212	2652.360	1349.726	8083.237	2101.198
3050000	3751.346	2754.641	1208.302	8094.519	2328.383
3100000	3344.862	2299.380	1454.346	7964.509	2118.269
3150000	3435.226	2342.484	1559.390	7987.718	2271.078
3200000	3223.771	2246.948	1302.260	7952.498	2101.233
3250000	4128.670	2663.102	1393.047	8001.696	2378.024
3300000	4113.374	2527.568	1100.192	8104.898	2886.394
3350000	3523.148	2282.193	1169.451	8061.620	2534.213
3400000	4026.326	2595.696	1632.264	8132.505	2543.407
3450000	4230.176	2619.481	1092.523	8115.793	3042.873
3500000	4287.675	2612.049	1289.842	8189.324	2851.454
3550000	4507.099	2619.512	1691.420	8188.925	3229.415
3600000	4564.140	2588.861	1631.065	8136.510	3295.625
3650000	4673.313	2288.604	1743.047	8215.167	3900.362
3700000	4451.095	2485.672	1496.006	8232.355	3021.877
3750000	4430.550	2568.312	1821.531	8215.186	2972.260
3800000	5227.971	2416.447	1876.691	8204.045	4510.193
3850000	4618.394	2378.260	1538.704	8108.239	3608.631
3900000	5175.650	2583.709	1896.724	8305.045	4155.151
3950000	5176.456	2479.712	1389.088	8239.904	4587.447
4000000	5189.286	2481.845	1892.712	8572.000	4493.827
4050000	4851.722	2425.294	2047.274	8201.143	3867.212
4100000	5372.296	2399.492	1486.991	8266.418	4775.931
4150000	5443.721	2464.720	1210.435	8252.957	5613.239
4200000	5844.605	2163.727	2095.388	8450.402	5943.882
4250000	5307.091	2465.038	1413.458	8406.352	4776.872
4300000	5786.381	2234.392	1995.892	9069.521	5659.641
4350000	6189.562	2336.026	2097.970	9166.355	7344.110
4400000	6882.045	1668.900	3501.672	9073.277	7368.058
4450000	6134.286	2406.492	2374.062	9078.178	7016.766
4500000	7359.910	1803.616	3792.613	9053.791	8371.428
4550000	7423.472	1808.417	1787.733	9175.412	8341.232
4600000	7830.658	1322.195	4140.854	9242.395	8378.551
4650000	8109.771	1546.729	2392.076	9379.209	8495.024
4700000	8135.377	1636.483	2495.162	9352.980	8503.403
4750000	8173.745	1527.375	3150.730	9335.643	8549.840
4800000	8040.238	1636.900	3419.480	9371.746	8512.628
4850000	8440.030	1223.305	3479.215	9344.941	8564.977
4900000	8711.641	453.075	7583.277	9365.677	8549.308
