iteration	mean	std_dev	min	max	median
5000	-1.484	0.736	-3.202	-0.174	-1.407
10000	-0.885	0.872	-2.065	0.443	-1.127
15000	-536.203	125.890	-731.813	-386.481	-499.114
20000	741.321	486.400	-87.706	1701.621	714.882
25000	1185.220	714.083	121.720	2212.410	982.389
30000	443.884	738.444	-513.853	1976.608	484.926
35000	718.544	1219.507	-510.373	2656.398	165.062
40000	2867.599	1142.471	-453.083	3627.553	3225.694
45000	3077.005	1006.352	614.547	3846.109	3525.404
50000	2482.285	1602.377	-608.281	3971.332	3421.009
55000	3304.248	1651.559	72.305	4716.646	4138.680
60000	4337.812	380.733	3756.177	4910.581	4366.646
65000	3796.159	1457.502	443.915	5202.802	4513.573
70000	3884.711	1525.099	-241.686	5164.618	4573.114
75000	4024.268	1115.137	1387.378	5106.402	4491.276
80000	4807.917	899.878	2199.042	5353.104	5116.473
85000	5319.612	463.009	4541.750	5910.984	5421.193
90000	5286.938	215.235	4902.768	5662.905	5318.018
95000	4213.485	2252.040	-102.555	6374.097	5059.106
100000	5038.954	1220.355	1627.002	6046.061	5576.539
105000	5946.425	540.409	4632.495	6453.695	6188.891
110000	5474.010	1270.560	2003.746	6717.981	5936.239
115000	6201.215	718.982	4245.808	6769.671	6377.292
120000	5404.323	1517.402	1761.114	6720.773	6135.337
125000	5863.681	1812.005	1993.873	7349.225	6566.146
130000	6264.712	654.763	4623.012	6909.416	6512.207
135000	6413.840	1514.935	2103.275	7627.979	6921.890
140000	6487.335	651.247	4669.276	7166.397	6589.713
145000	6951.682	418.122	6190.610	7383.935	7130.008
150000	5882.409	1413.284	2049.954	7260.488	6216.078
155000	7312.432	280.457	6814.048	7915.420	7356.890
160000	7316.954	370.885	6580.918	7791.106	7352.815
165000	7304.019	731.639	5258.095	7998.384	7453.907
170000	6894.206	1191.942	4778.249	8230.832	7155.020
175000	7068.731	1341.793	3243.262	7984.484	7556.382
180000	6799.323	2036.925	1034.166	8342.329	7583.959
185000	6207.831	2559.893	342.135	8254.964	7707.558
190000	6522.743	2257.741	1386.380	8312.953	7617.155
195000	7344.867	449.273	6174.352	7828.247	7404.684
200000	4524.807	2554.725	88.588	7921.017	4744.588
205000	6905.307	834.774	4650.187	7691.515	6953.101
210000	7532.831	706.823	6357.516	8314.224	7794.448
215000	6827.137	1942.994	2353.314	8472.259	7744.235
220000	8341.105	248.791	7814.504	8559.740	8446.367
225000	6825.082	1927.034	1425.401	8412.258	7383.299
230000	7109.683	2291.205	692.460	8622.021	8160.955
235000	7681.920	1634.062	2819.959	8643.379	8161.334
240000	7851.002	1673.013	2970.991	8999.004	8293.633
245000	7522.021	323.251	7081.877	8158.309	7482.538
