iteration	mean	std_dev	min	max	median
5000	456.372	192.195	259.431	877.480	385.995
10000	9356.511	0.225	9356.084	9356.847	9356.551
15000	9356.132	0.575	9354.784	9356.617	9356.342
20000	9301.498	1.007	9300.160	9303.989	9301.349
25000	9293.350	0.853	9291.816	9294.516	9293.395
30000	9279.203	0.480	9278.189	9279.869	9279.278
35000	9282.943	0.929	9281.600	9284.617	9282.996
40000	9269.666	0.610	9268.746	9270.943	9269.570
45000	9259.710	5.857	9256.066	9277.018	9257.750
50000	9245.756	0.169	9245.502	9246.145	9245.776
55000	9241.439	0.431	9240.923	9242.166	9241.248
60000	9239.193	0.398	9238.640	9240.072	9239.184
65000	9231.853	0.497	9230.950	9232.697	9231.932
70000	9230.730	0.267	9230.293	9231.122	9230.650
75000	9232.193	0.217	9231.791	9232.531	9232.131
80000	9230.245	1.052	9228.645	9231.413	9230.744
85000	9217.133	0.165	9216.842	9217.387	9217.184
90000	9222.354	0.167	9222.146	9222.756	9222.359
95000	9214.229	0.303	9213.645	9214.777	9214.276
100000	9201.757	0.269	9201.395	9202.329	9201.730
105000	9213.463	0.293	9213.008	9214.016	9213.355
110000	9212.504	2.810	9209.854	9218.562	9211.572
115000	9213.025	0.203	9212.616	9213.314	9213.043
120000	9217.408	0.387	9216.782	9218.099	9217.506
125000	9221.943	0.706	9220.929	9223.390	9221.771
130000	9212.157	0.498	9211.447	9213.082	9212.104
135000	9218.049	0.928	9216.633	9219.648	9218.053
140000	9216.717	0.261	9216.387	9217.213	9216.662
145000	9220.078	0.459	9219.619	9221.285	9219.968
150000	9211.414	0.819	9210.406	9213.199	9211.196
155000	9208.237	0.238	9207.863	9208.734	9208.203
160000	9226.435	1.261	9224.269	9228.801	9226.089
165000	9205.998	0.298	9205.340	9206.385	9206.029
170000	9221.934	0.759	9220.232	9223.215	9222.002
175000	9216.413	0.545	9215.265	9217.120	9216.488
180000	9202.098	0.884	9200.945	9204.078	9202.094
185000	9221.877	0.568	9220.653	9222.632	9221.875
190000	9215.147	0.269	9214.858	9215.625	9215.081
195000	9213.998	0.705	9212.630	9214.930	9214.059
200000	9218.477	0.829	9217.047	9219.392	9218.703
205000	9201.201	0.933	9199.543	9202.518	9201.239
210000	9203.053	0.677	9201.543	9203.820	9203.249
215000	9211.024	0.865	9209.526	9212.502	9211.073
220000	9215.467	1.081	9213.965	9217.291	9215.283
225000	9211.965	1.066	9210.369	9213.410	9212.125
230000	9212.905	0.814	9211.734	9214.423	9212.688
235000	9215.392	0.524	9214.990	9216.902	9215.225
240000	9211.779	0.516	9210.809	9212.402	9211.926
245000	9206.956	1.875	9204.264	9210.954	9206.658
250000	9212.521	2.380	9209.270	9217.402	9211.940
255000	9213.080	1.610	9210.634	9216.299	9212.770
260000	9210.444	0.654	9209.479	9211.521	9210.407
265000	9208.910	0.879	9206.898	9210.128	9208.839
270000	9225.059	0.744	9223.971	9226.102	9224.966
275000	9222.924	0.866	9221.472	9223.992	9223.148
280000	9203.636	0.616	9202.496	9204.543	9203.479
285000	9210.681	1.147	9209.057	9212.748	9210.683
290000	9211.640	3.055	9206.570	9216.743	9212.484
295000	9219.861	2.119	9216.489	9223.221	9220.038
300000	9202.332	1.222	9201.035	9204.826	9201.727
305000	9212.174	1.202	9210.742	9214.716	9211.922
310000	9204.105	3.385	9200.345	9210.285	9202.620
315000	9210.918	2.564	9208.403	9216.170	9209.709
320000	9211.219	1.130	9208.765	9212.973	9211.048
325000	9200.774	1.394	9197.707	9202.547	9201.391
