iteration	mean	std_dev	min	max	median
5000	27.164	0.845	25.867	28.340	27.152
10000	17.390	8.457	-2.963	28.541	18.299
15000	5.806	7.396	-11.028	14.184	7.891
20000	31.125	2.212	26.690	33.959	31.336
25000	22.791	2.709	17.866	26.978	23.789
30000	1.525	12.758	-5.112	39.380	-3.088
35000	29.540	0.808	28.641	31.295	29.200
40000	50.896	3.163	46.541	57.326	50.314
45000	54.217	3.067	50.525	60.329	53.063
50000	32.716	2.995	28.187	37.472	33.044
55000	39.495	4.548	29.453	47.443	39.137
60000	34.754	1.505	32.375	37.053	34.817
65000	64.098	4.711	57.589	74.151	63.859
70000	48.487	3.732	44.491	58.580	47.901
75000	61.641	22.960	23.052	80.330	76.285
80000	43.991	3.809	34.338	48.308	45.182
85000	-21.108	10.313	-35.394	-1.792	-20.518
90000	20.729	2.322	17.218	24.988	19.863
95000	43.535	1.210	41.958	45.224	43.235
100000	27.416	1.874	24.481	30.770	27.466
105000	36.798	1.776	34.201	39.893	36.531
110000	57.563	2.451	55.175	63.121	56.727
115000	50.890	0.944	49.321	52.969	50.687
120000	39.447	1.734	37.506	42.884	39.054
125000	63.090	6.884	53.511	77.823	61.391
130000	39.794	6.543	30.147	51.427	38.450
135000	68.813	7.990	55.990	83.389	69.268
140000	34.724	3.036	30.745	41.028	34.050
145000	59.178	5.529	50.957	67.446	61.366
150000	40.115	5.739	33.796	54.338	39.136
155000	60.560	4.441	55.201	67.222	60.314
160000	45.741	3.302	38.592	51.178	45.739
165000	54.957	5.108	48.085	62.503	52.537
170000	58.101	2.675	55.958	65.441	57.404
175000	56.097	7.144	44.381	69.713	55.246
180000	50.031	5.668	44.399	58.772	48.081
185000	66.433	14.042	46.369	89.974	62.870
190000	67.329	8.951	59.017	89.416	64.304
195000	52.725	1.512	51.402	56.970	52.194
200000	61.522	7.678	47.429	70.529	64.827
205000	58.089	1.939	56.069	63.167	57.747
210000	60.956	5.103	53.500	71.355	60.654
215000	68.798	2.694	64.865	73.344	67.959
220000	82.899	19.296	56.105	118.810	80.099
225000	60.866	6.849	51.255	71.196	61.640
230000	70.186	4.526	60.196	76.784	70.602
235000	59.356	3.072	53.737	63.321	59.548
240000	75.952	16.184	44.180	91.618	81.046
245000	74.923	2.444	72.319	80.480	74.478
250000	77.025	15.151	49.335	95.669	81.579
255000	87.503	3.247	80.768	91.553	88.188
260000	81.540	3.005	76.858	87.030	80.632
265000	55.306	12.427	42.462	74.789	53.589
270000	77.357	5.776	68.292	87.941	76.161
275000	92.116	2.571	88.450	96.035	91.677
280000	92.787	4.828	82.691	99.978	93.308
285000	82.771	4.789	73.381	89.456	82.781
290000	77.918	8.594	52.749	84.083	80.553
295000	89.524	4.453	82.210	96.265	89.563
300000	43.511	1.150	40.993	44.675	43.937
305000	73.117	4.117	66.946	79.871	72.426
310000	97.999	6.905	85.998	107.468	96.180
315000	108.838	3.123	104.712	115.016	108.088
320000	108.116	6.641	88.563	112.612	109.869
325000	89.391	21.626	52.662	111.885	104.224
330000	93.888	6.020	85.537	101.780	95.416
335000	81.439	5.018	74.923	92.180	81.133
340000	108.908	6.631	100.978	119.883	108.194
345000	124.112	5.824	109.033	130.899	125.143
350000	113.130	3.981	105.519	119.274	112.933
355000	142.990	2.540	136.640	145.322	144.084
360000	116.948	2.506	113.510	121.536	116.058
365000	108.516	3.257	102.827	114.003	109.375
370000	113.280	3.927	105.471	117.619	113.435
375000	119.726	4.582	112.268	126.582	120.975
380000	84.649	19.173	54.117	108.731	91.089
385000	124.584	4.398	119.808	132.670	123.074
390000	124.942	3.478	117.833	129.386	124.642
395000	129.391	3.146	124.609	136.025	128.826
400000	129.889	4.242	118.326	133.538	130.983
405000	134.721	4.884	122.907	138.513	136.348
410000	120.522	5.539	112.629	130.047	120.711
415000	125.968	4.393	119.965	132.837	125.560
420000	124.207	3.484	118.462	128.628	123.630
425000	116.838	2.043	113.533	119.376	117.131
430000	135.340	5.225	122.441	141.542	135.959
435000	131.055	1.701	128.802	133.796	131.083
440000	118.834	3.904	112.655	123.781	117.708
445000	127.223	2.093	123.422	130.750	126.866
450000	135.614	3.208	131.693	142.339	134.918
455000	143.232	2.763	137.615	146.598	143.548
460000	131.091	2.096	127.227	134.091	130.823
465000	157.092	7.935	142.288	170.064	156.764
470000	159.211	1.199	157.539	161.384	159.097
475000	158.093	6.217	140.557	162.135	160.812
480000	166.689	12.043	146.370	179.296	168.793
485000	151.852	4.043	141.091	156.001	151.989
490000	166.865	9.116	145.402	175.599	171.562
495000	150.822	7.395	134.836	159.181	151.460
500000	152.775	6.470	144.064	162.877	150.326
505000	172.268	3.603	161.755	175.539	173.034
510000	151.392	9.211	137.436	164.197	154.943
515000	159.373	0.600	158.221	159.968	159.628
520000	158.788	8.854	145.046	168.478	163.061
525000	126.940	3.131	121.115	133.292	127.158
530000	125.532	3.273	121.042	131.344	125.490
535000	165.448	8.578	145.858	173.074	169.242
540000	154.310	8.845	142.204	163.594	159.383
545000	157.528	6.405	143.423	162.784	160.614
550000	155.070	5.844	138.066	159.039	156.620
555000	161.743	2.623	154.137	163.245	162.839
560000	153.932	7.154	141.260	161.448	154.923
565000	158.139	0.610	157.104	159.240	158.132
570000	153.301	6.306	139.400	160.536	154.379
575000	157.252	5.530	145.867	163.081	158.643
580000	158.709	1.867	153.635	160.627	159.021
585000	167.243	0.817	166.130	168.509	167.329
590000	161.949	8.120	144.162	167.232	166.418
595000	156.870	6.468	143.292	162.371	160.685
600000	147.423	7.322	136.936	158.149	148.859
605000	129.001	3.859	122.207	133.450	129.552
610000	157.273	8.915	141.491	167.421	159.763
615000	154.425	4.711	141.129	157.676	156.117
620000	142.098	2.247	137.300	147.032	141.991
625000	160.902	0.476	159.885	161.437	160.931
630000	161.676	0.981	159.789	163.147	161.914
635000	166.097	0.821	164.881	167.600	165.846
640000	165.813	4.364	153.805	169.619	167.136
645000	163.243	5.736	148.348	167.334	166.226
650000	155.334	0.937	153.853	156.781	155.088
655000	154.164	5.662	138.410	159.197	156.155
660000	163.750	3.522	156.648	167.456	165.587
665000	158.515	3.222	149.202	161.498	159.330
670000	159.868	4.020	154.256	166.048	158.665
675000	158.522	1.355	156.486	160.594	158.478
680000	162.561	1.404	159.753	164.575	162.862
685000	154.589	6.048	145.496	163.223	153.663
690000	157.036	0.809	155.925	158.900	156.915
695000	152.709	1.833	148.054	155.509	152.786
700000	162.835	2.832	157.214	167.059	163.317
705000	161.584	0.767	160.651	163.281	161.273
710000	153.635	3.310	144.107	155.885	154.589
715000	157.192	4.233	144.578	159.534	158.392
720000	154.887	8.629	139.919	161.995	159.767
725000	158.439	1.118	156.315	160.005	158.444
730000	161.077	3.443	153.282	164.461	161.897
735000	162.075	1.133	160.066	163.892	161.936
740000	161.002	4.861	148.987	164.659	163.281
745000	147.786	6.870	136.600	156.723	149.413
750000	154.425	3.659	148.050	159.549	155.111
755000	168.191	3.987	157.876	171.147	170.286
760000	153.885	1.855	150.377	156.870	153.646
765000	164.218	1.512	160.721	166.250	164.695
770000	155.542	2.524	148.964	158.513	155.752
775000	156.384	3.960	149.088	161.281	158.313
780000	160.781	4.404	151.810	166.940	161.668
785000	154.698	5.598	141.515	159.033	157.505
790000	141.645	2.795	136.076	146.068	141.823
795000	153.841	4.507	141.344	159.424	154.859
800000	162.924	0.704	161.933	164.368	162.837
805000	160.195	4.639	150.003	163.916	162.573
810000	166.197	2.064	160.582	167.910	166.696
815000	138.439	4.574	128.090	144.444	139.090
820000	133.643	2.561	129.520	137.346	133.408
825000	150.106	5.343	141.878	155.739	153.190
830000	153.464	6.112	140.311	161.401	153.870
835000	137.368	4.307	129.895	144.921	137.011
840000	162.011	5.492	145.938	165.116	164.128
845000	133.256	3.620	127.909	141.114	132.560
850000	162.213	3.958	150.638	164.555	163.632
855000	155.917	0.896	154.644	157.138	156.062
860000	160.212	7.339	145.648	164.979	164.217
865000	163.203	2.507	156.046	165.609	163.560
870000	157.532	3.342	148.863	161.707	158.410
875000	162.501	0.871	160.924	163.780	162.197
880000	153.305	5.742	142.197	159.126	155.947
885000	158.047	4.007	149.243	161.057	159.340
890000	165.867	1.911	160.840	168.356	166.155
895000	161.651	3.882	151.770	164.389	163.439
900000	143.335	2.016	139.724	145.935	143.640
905000	154.396	2.359	148.780	157.731	154.555
910000	157.014	5.561	146.650	162.369	160.226
915000	155.983	6.877	144.078	167.812	157.730
920000	153.649	2.855	145.405	155.621	154.433
925000	150.604	3.264	146.509	156.478	149.747
930000	163.049	1.002	161.273	164.574	163.259
935000	168.376	2.543	163.780	172.255	168.596
940000	156.597	9.074	143.923	168.773	155.394
945000	153.732	5.739	146.027	162.320	151.979
950000	150.503	1.030	148.152	151.680	150.627
955000	159.067	4.891	144.754	162.164	160.684
960000	160.583	5.959	143.331	165.843	161.772
965000	152.131	5.740	145.655	163.193	149.836
970000	158.077	4.937	143.491	161.064	159.685
975000	157.613	7.587	145.991	167.365	157.174
980000	144.738	5.012	135.878	154.303	144.705
985000	162.292	1.127	160.721	164.045	162.533
990000	160.587	4.768	146.784	164.751	162.234
995000	158.706	5.491	142.751	163.110	160.187
1000000	164.445	4.154	153.206	167.226	166.202
