iteration	mean	std_dev	min	max	median
1000000	-5893.774	675.777	-7248.058	-5135.057	-5688.845
2000000	-5654.354	374.612	-6465.458	-5211.819	-5619.982
3000000	-4916.202	320.732	-5684.291	-4505.630	-4866.917
4000000	-4632.383	266.665	-5098.782	-4038.987	-4656.061
5000000	-4211.024	196.286	-4626.543	-3863.333	-4221.588
6000000	-3955.519	260.057	-4412.804	-3628.905	-3918.961
7000000	-3755.138	193.026	-4146.226	-3390.542	-3771.353
8000000	-3579.727	204.924	-3985.291	-3268.571	-3500.613
9000000	-3450.791	229.205	-3797.122	-3029.283	-3438.032
10000000	-3247.555	183.929	-3565.691	-2953.337	-3240.092
11000000	-3041.269	154.551	-3254.650	-2660.214	-3070.645
12000000	-2942.876	72.281	-3068.058	-2849.585	-2930.292
13000000	-2936.458	145.103	-3233.164	-2752.016	-2867.195
14000000	-2891.046	147.911	-3211.827	-2687.815	-2849.503
15000000	-2817.839	181.053	-3272.895	-2607.474	-2801.238
16000000	-2746.397	177.435	-3054.588	-2412.540	-2712.720
17000000	-2636.169	146.381	-2985.047	-2454.162	-2613.803
18000000	-2623.259	126.136	-2800.250	-2399.660	-2657.514
19000000	-2585.140	133.841	-2804.336	-2370.610	-2601.319
20000000	-2479.457	87.462	-2605.383	-2348.784	-2473.976
21000000	-2352.326	123.349	-2596.979	-2143.639	-2357.165
22000000	-2356.460	105.917	-2613.052	-2207.480	-2336.637
23000000	-2243.148	97.537	-2454.596	-2074.523	-2252.679
24000000	-2274.703	72.012	-2404.649	-2168.591	-2270.103
25000000	-2144.947	184.321	-2438.597	-1775.612	-2130.409
26000000	-2171.414	116.985	-2340.232	-1932.868	-2181.737
27000000	-2128.066	112.920	-2258.634	-1906.505	-2164.461
28000000	-2027.712	85.631	-2159.216	-1846.350	-2026.721
29000000	-2029.769	211.076	-2475.205	-1623.974	-2054.290
30000000	-1961.828	68.357	-2044.951	-1809.784	-1956.709
31000000	-1987.911	73.474	-2119.142	-1827.432	-1993.616
32000000	-1900.690	95.887	-2052.426	-1699.810	-1916.875
33000000	-1842.286	78.726	-2007.613	-1691.639	-1827.963
34000000	-1761.365	70.499	-1928.935	-1674.542	-1744.567
35000000	-1772.839	94.781	-1865.945	-1573.393	-1807.202
36000000	-1719.517	121.784	-1951.611	-1546.182	-1718.862
37000000	-1747.240	80.539	-1905.852	-1601.782	-1751.001
38000000	-1646.070	81.581	-1763.162	-1497.711	-1646.700
39000000	-1640.501	66.830	-1736.638	-1523.526	-1647.610
40000000	-1569.890	137.925	-1790.911	-1274.296	-1588.301
41000000	-1613.659	102.948	-1913.938	-1549.125	-1578.469
42000000	-1602.643	46.394	-1666.695	-1494.716	-1613.707
43000000	-1565.797	40.168	-1627.378	-1485.849	-1569.480
44000000	-1542.450	78.630	-1673.176	-1427.912	-1523.316
45000000	-1523.937	48.184	-1610.586	-1446.457	-1542.087
46000000	-1515.243	76.926	-1601.134	-1373.051	-1533.992
47000000	-1496.134	56.865	-1612.873	-1428.132	-1492.019
48000000	-1491.278	194.706	-1955.885	-1145.425	-1464.532
49000000	-1465.258	51.507	-1544.578	-1362.752	-1464.655
50000000	-1429.623	84.333	-1582.644	-1292.196	-1418.911
51000000	-1356.040	65.009	-1473.036	-1240.021	-1358.751
52000000	-1408.705	67.548	-1575.986	-1348.123	-1395.841
53000000	-1398.742	61.920	-1535.413	-1318.825	-1396.132
54000000	-1356.242	125.044	-1591.649	-1072.099	-1354.674
55000000	-1360.136	66.267	-1443.128	-1206.000	-1368.260
56000000	-1366.053	57.535	-1465.123	-1260.525	-1369.035
57000000	-1322.371	55.134	-1387.602	-1188.222	-1315.738
58000000	-1293.196	66.146	-1382.225	-1192.580	-1308.154
59000000	-1289.161	46.826	-1381.496	-1211.630	-1281.767
60000000	-1266.948	46.812	-1338.699	-1185.852	-1279.657
61000000	-1273.700	74.563	-1392.851	-1113.488	-1289.631
62000000	-1269.966	72.095	-1420.364	-1165.551	-1248.223
63000000	-1251.622	37.603	-1329.365	-1207.943	-1250.833
64000000	-1281.810	68.793	-1380.617	-1161.649	-1283.958
65000000	-1211.354	53.708	-1284.133	-1114.984	-1223.143
66000000	-1184.042	60.161	-1295.959	-1075.586	-1186.238
67000000	-1170.269	47.947	-1236.337	-1106.319	-1175.213
68000000	-1185.691	65.161	-1286.150	-1104.993	-1181.770
69000000	-1170.647	68.839	-1333.753	-1080.696	-1162.377
70000000	-1165.920	37.760	-1232.755	-1115.388	-1161.969
71000000	-1138.955	114.573	-1279.265	-834.536	-1156.653
72000000	-1168.617	49.928	-1245.659	-1080.630	-1167.627
73000000	-1111.515	66.170	-1233.032	-1008.602	-1097.311
74000000	-1126.744	67.676	-1187.630	-945.824	-1148.064
75000000	-1161.793	87.317	-1313.319	-1056.830	-1152.027
76000000	-1094.854	75.252	-1219.797	-977.483	-1108.345
77000000	-1035.080	67.812	-1119.332	-930.416	-1046.124
78000000	-1072.519	48.221	-1129.180	-972.507	-1090.362
79000000	-1087.806	62.060	-1170.416	-986.317	-1088.761
80000000	-1077.366	58.436	-1176.409	-990.374	-1074.148
81000000	-1050.230	50.936	-1136.527	-968.328	-1042.832
82000000	-1032.842	54.226	-1116.792	-919.294	-1042.458
83000000	-1046.527	109.123	-1283.825	-836.627	-1034.293
84000000	-1025.335	49.719	-1073.412	-894.830	-1040.567
85000000	-1013.783	38.591	-1072.860	-930.881	-1018.426
86000000	-978.999	73.175	-1092.097	-798.274	-985.418
87000000	-999.779	45.993	-1066.542	-935.187	-1006.970
88000000	-1024.286	70.926	-1208.025	-959.443	-1005.976
89000000	-972.872	51.232	-1038.408	-888.852	-974.770
90000000	-967.461	49.559	-1063.524	-902.995	-958.231
91000000	-949.268	56.501	-1083.764	-866.951	-945.705
92000000	-940.896	64.426	-1027.361	-830.664	-918.289
93000000	-940.859	41.852	-1011.644	-851.641	-941.282
94000000	-868.369	72.778	-989.004	-729.138	-871.181
95000000	-887.854	86.474	-1030.218	-718.135	-903.529
96000000	-915.836	95.164	-1107.225	-772.628	-913.087
97000000	-941.689	62.150	-1082.127	-851.457	-938.355
98000000	-925.861	55.549	-1001.891	-837.069	-926.229
99000000	-911.074	55.867	-1010.323	-836.240	-915.092
100000000	-865.956	49.497	-951.502	-783.957	-869.171
101000000	-914.616	48.219	-978.435	-831.016	-906.656
102000000	-853.273	44.416	-917.941	-755.634	-854.067
103000000	-892.947	58.047	-985.581	-800.125	-908.627
104000000	-883.783	43.951	-970.188	-821.524	-882.156
105000000	-899.859	61.398	-1019.811	-796.565	-913.621
106000000	-836.691	49.612	-924.211	-748.202	-828.303
107000000	-843.710	54.165	-970.330	-779.119	-830.245
108000000	-891.206	81.401	-1053.155	-748.043	-885.441
109000000	-868.481	86.719	-1100.537	-795.837	-843.229
110000000	-819.121	55.664	-926.733	-754.075	-802.836
111000000	-837.412	68.818	-958.428	-733.225	-842.181
112000000	-791.639	49.999	-897.371	-718.740	-791.872
113000000	-823.885	56.302	-912.160	-748.838	-809.992
114000000	-813.141	74.554	-1015.855	-724.398	-791.233
115000000	-756.781	55.250	-840.624	-671.769	-745.374
116000000	-781.005	59.186	-912.192	-717.262	-767.758
117000000	-779.418	48.017	-841.871	-709.671	-805.392
118000000	-779.459	65.188	-894.763	-704.392	-782.317
119000000	-768.776	36.905	-832.533	-690.670	-762.636
120000000	-765.215	28.521	-810.396	-729.247	-766.987
121000000	-777.972	55.205	-843.528	-682.745	-794.907
122000000	-725.913	51.911	-829.636	-649.885	-735.105
123000000	-731.697	56.228	-857.406	-625.501	-734.686
124000000	-705.835	41.720	-784.659	-624.011	-700.218
125000000	-711.734	56.789	-842.360	-646.384	-689.841
126000000	-704.462	56.186	-811.370	-611.396	-694.210
127000000	-705.248	61.001	-791.380	-602.589	-688.771
128000000	-704.727	49.117	-793.683	-633.982	-696.961
129000000	-727.520	40.705	-810.375	-663.191	-723.962
130000000	-650.287	50.221	-778.400	-596.975	-643.125
131000000	-720.068	89.638	-862.336	-591.984	-711.777
132000000	-666.811	69.830	-795.311	-556.834	-660.829
133000000	-674.817	53.103	-790.367	-594.863	-664.564
134000000	-711.049	64.128	-820.970	-620.851	-693.128
135000000	-639.556	50.838	-715.948	-533.927	-636.951
136000000	-725.506	60.406	-813.694	-617.811	-738.835
137000000	-662.434	84.073	-885.858	-574.724	-640.760
138000000	-645.184	33.667	-688.151	-592.178	-646.305
139000000	-636.818	43.439	-714.429	-582.418	-633.802
