iteration	mean	std_dev	min	max	median
1000000	6.571	0.966	4.816	7.821	6.406
2000000	7.238	1.868	4.569	10.411	7.524
3000000	7.636	2.410	4.267	13.695	7.680
4000000	15.525	11.089	5.947	44.372	11.259
5000000	9.205	3.618	5.886	19.293	8.654
6000000	12.157	9.391	3.726	32.712	9.336
7000000	11.065	4.036	5.731	18.356	9.486
8000000	12.460	7.367	5.225	30.233	10.579
9000000	44.725	53.666	6.738	152.045	13.065
10000000	73.114	58.005	10.428	154.728	62.602
11000000	58.143	46.327	5.361	119.840	51.289
12000000	61.360	39.288	7.740	119.925	66.597
13000000	104.532	41.163	10.698	150.917	116.124
14000000	100.012	37.078	9.988	142.265	115.185
15000000	117.989	15.506	96.673	155.419	115.616
16000000	120.371	40.296	7.749	163.977	127.156
17000000	125.117	37.880	31.256	181.068	125.484
18000000	136.564	21.440	104.968	179.717	132.393
19000000	139.848	35.836	65.785	194.183	137.708
20000000	118.745	39.437	51.271	194.468	120.043
21000000	141.527	47.465	46.380	216.765	139.733
22000000	164.193	31.472	124.221	214.168	160.967
23000000	175.822	28.827	125.710	213.192	183.381
24000000	157.291	30.031	98.795	196.533	158.998
25000000	173.798	21.667	132.845	204.793	183.319
26000000	184.513	25.567	145.339	224.003	189.861
27000000	191.395	18.012	156.095	214.477	193.446
28000000	208.124	13.339	194.904	239.374	204.539
29000000	183.146	22.097	150.274	222.205	181.484
30000000	200.055	26.545	145.325	230.473	205.470
31000000	203.414	19.078	168.447	238.687	204.340
32000000	199.445	15.905	169.251	219.614	201.723
33000000	206.587	13.479	189.772	238.513	203.835
34000000	206.075	9.895	182.383	217.693	204.821
35000000	200.181	9.058	177.200	212.958	201.441
36000000	205.410	20.002	163.687	233.039	209.681
37000000	205.917	9.723	186.173	219.809	207.486
38000000	202.061	12.724	178.205	223.791	204.610
39000000	211.496	12.361	195.433	236.753	210.814
40000000	201.112	10.843	179.817	223.310	201.368
41000000	205.459	10.207	193.785	229.901	202.821
42000000	208.420	10.742	186.197	226.597	210.447
43000000	207.822	7.832	193.774	221.353	207.337
44000000	206.932	7.032	196.033	220.518	207.231
45000000	206.132	9.317	193.916	228.960	204.949
46000000	209.609	12.646	187.046	233.036	207.880
47000000	209.644	9.281	198.780	228.274	209.099
48000000	214.592	8.465	198.868	231.528	214.730
49000000	206.265	8.866	193.234	225.537	206.053
50000000	207.502	12.157	188.325	233.972	206.150
51000000	212.000	7.929	196.611	222.838	212.191
52000000	212.170	18.755	185.239	252.525	210.049
53000000	211.280	7.095	198.526	223.682	213.347
54000000	210.904	6.115	196.583	220.162	211.314
55000000	207.998	5.283	200.279	216.490	208.883
56000000	209.050	10.170	196.047	226.526	205.904
57000000	207.271	7.927	188.821	216.375	208.699
58000000	212.520	11.120	198.350	231.269	212.559
59000000	220.708	11.440	198.038	235.892	221.472
60000000	223.254	8.769	208.953	238.886	220.416
61000000	219.388	12.274	205.636	243.681	216.937
62000000	220.538	13.280	206.158	255.013	216.649
63000000	213.739	20.333	180.215	250.364	214.672
64000000	215.311	14.071	185.857	232.237	216.162
65000000	206.181	40.296	90.757	244.018	211.604
66000000	241.811	22.320	212.160	283.378	246.135
67000000	226.353	34.115	200.243	323.353	214.399
68000000	214.023	41.439	105.126	263.782	223.329
69000000	239.448	20.612	209.258	267.545	245.241
70000000	238.699	27.863	206.328	281.969	231.856
71000000	249.456	48.130	150.210	303.679	258.692
72000000	247.026	81.997	21.090	331.620	257.810
73000000	266.789	55.089	210.866	382.384	247.853
74000000	297.210	52.732	173.651	374.543	302.500
75000000	307.201	35.698	250.424	346.481	309.933
76000000	322.991	85.522	236.618	540.658	290.856
77000000	311.265	78.483	171.408	505.217	310.867
78000000	324.779	37.147	230.650	371.785	328.738
79000000	342.559	48.693	257.492	409.079	345.028
80000000	308.571	53.334	244.645	406.774	288.589
81000000	337.937	64.358	239.507	438.603	341.909
82000000	392.785	68.570	337.923	587.627	367.258
83000000	412.977	153.934	276.181	835.448	371.735
84000000	348.291	57.269	245.230	462.899	356.846
85000000	361.525	83.955	239.950	525.131	364.274
86000000	355.041	140.460	17.288	533.159	354.002
87000000	320.649	67.388	171.918	439.901	329.625
88000000	336.056	79.150	215.970	529.830	342.263
89000000	457.571	115.508	236.307	668.381	452.510
90000000	350.798	70.484	245.468	454.905	353.593
91000000	341.380	85.247	149.415	475.286	357.161
92000000	395.931	136.131	210.143	725.636	373.834
93000000	440.555	89.479	275.535	619.173	440.644
94000000	437.173	78.951	352.456	575.933	398.274
95000000	402.443	67.570	289.487	528.658	392.817
96000000	381.129	90.891	246.653	513.996	384.027
97000000	435.032	162.070	243.989	805.114	399.300
98000000	485.272	133.999	264.434	814.866	476.838
99000000	472.895	112.531	248.104	624.543	497.574
100000000	490.636	171.398	298.654	930.661	440.438
101000000	452.794	92.118	309.427	619.974	440.878
102000000	580.518	173.156	299.603	921.920	572.381
103000000	527.009	85.261	386.077	675.062	529.406
104000000	460.137	170.469	223.194	844.300	448.638
105000000	547.950	211.615	237.806	1039.049	510.562
106000000	535.770	92.397	409.880	748.307	521.007
107000000	484.675	194.337	236.062	903.737	452.717
108000000	603.072	161.100	286.423	865.336	594.748
109000000	627.682	232.456	224.963	1090.736	565.820
110000000	583.289	229.382	347.910	1156.108	504.515
111000000	544.018	160.370	256.504	812.890	568.466
112000000	790.004	370.521	357.417	1469.018	566.507
113000000	639.447	235.417	267.914	1013.884	669.306
114000000	376.678	109.514	214.457	592.585	387.870
115000000	666.028	286.239	312.282	1320.867	514.075
116000000	625.894	356.366	220.010	1407.915	509.900
117000000	1020.906	473.972	437.082	1921.943	905.772
118000000	722.051	301.308	329.646	1441.686	634.336
119000000	1043.068	483.109	284.317	2004.185	1163.918
120000000	961.469	416.293	561.225	1878.351	760.907
121000000	623.477	206.435	399.324	1161.272	563.263
122000000	959.026	539.995	480.802	2015.622	675.829
123000000	859.600	279.876	566.823	1338.509	763.211
124000000	830.660	469.274	402.594	1782.908	633.240
125000000	1284.133	563.028	556.392	2022.112	1201.085
126000000	794.412	426.111	204.630	1907.829	742.294
127000000	896.021	411.291	442.335	1959.182	776.935
128000000	818.274	342.806	198.105	1377.450	718.237
129000000	721.564	301.046	418.739	1331.575	606.816
130000000	976.442	397.766	403.794	1595.085	1001.848
131000000	847.103	380.957	372.217	1715.637	770.610
132000000	890.300	442.310	459.785	2006.938	771.341
133000000	1120.857	522.190	497.404	2075.974	1088.747
134000000	819.977	391.305	445.407	1641.825	677.834
135000000	1058.830	532.880	487.629	2035.554	764.578
136000000	955.769	343.260	400.901	1527.472	959.999
137000000	902.642	332.128	472.184	1440.138	857.652
138000000	912.401	503.535	439.548	1780.117	662.862
139000000	1138.289	524.731	683.832	2216.551	846.536
140000000	1061.610	534.340	539.630	2077.459	878.313
141000000	1153.235	518.004	644.272	2230.011	977.978
142000000	832.935	223.536	538.608	1240.569	793.120
143000000	862.737	495.912	278.806	2104.259	720.096
144000000	918.999	350.505	439.442	1441.768	994.353
145000000	1022.854	471.901	452.739	2157.347	1019.282
146000000	1401.068	604.507	426.576	2124.257	1593.134
147000000	938.206	360.398	553.549	1819.589	855.060
148000000	940.874	410.085	308.847	1549.387	888.149
149000000	1131.996	538.720	417.701	2126.636	961.982
150000000	1117.478	716.197	226.908	2272.794	851.520
151000000	1075.531	435.322	553.275	2011.958	959.992
152000000	1542.289	640.480	528.829	2235.701	1774.535
153000000	1090.230	611.793	495.990	2156.035	861.619
154000000	728.108	185.336	420.123	1022.919	697.061
155000000	842.920	266.150	548.477	1389.021	747.995
156000000	1040.086	635.810	183.950	2319.548	931.350
157000000	1022.900	560.478	203.558	2184.571	825.678
158000000	1162.290	492.034	690.771	2156.255	998.964
159000000	1005.817	366.924	571.943	1848.824	976.720
160000000	1261.520	536.775	589.654	2358.584	1162.343
161000000	1080.205	394.152	526.564	1868.843	987.568
