iteration	mean	std_dev	min	max	median
5000	-1.169	0.609	-2.106	-0.238	-1.184
10000	-1.200	0.990	-2.887	0.278	-0.884
15000	-74.767	6.765	-86.289	-64.381	-75.095
20000	-95.573	7.935	-118.496	-89.959	-92.948
25000	1107.262	27.658	1056.255	1152.690	1105.708
30000	699.687	482.545	3.584	1433.853	766.972
35000	100.717	112.205	-11.799	296.319	37.510
40000	1912.697	524.249	355.587	2163.907	2098.756
45000	2681.635	120.505	2404.068	2835.461	2709.927
50000	2507.026	887.929	522.836	3278.899	3038.567
55000	3176.784	866.561	605.636	3770.687	3417.060
60000	3588.002	671.754	1599.836	4053.766	3782.352
65000	3730.850	239.795	3300.092	4112.302	3678.397
70000	4366.597	88.039	4241.215	4529.085	4348.288
75000	4697.021	163.326	4353.867	4876.754	4745.250
80000	4068.910	746.866	1920.556	4556.705	4293.851
85000	5018.802	125.544	4778.264	5179.863	5028.686
90000	4989.745	160.021	4714.940	5256.370	5042.562
95000	5296.979	87.068	5130.489	5447.449	5272.446
100000	5462.033	57.501	5338.779	5527.388	5472.708
105000	5505.014	154.095	5361.408	5812.618	5472.940
110000	5562.986	118.543	5410.070	5819.770	5547.375
115000	5843.280	54.356	5743.497	5935.160	5848.843
120000	5893.833	54.478	5808.646	5983.742	5884.647
125000	5922.432	56.931	5830.620	6023.566	5907.182
130000	6012.075	122.135	5692.507	6177.333	6014.471
135000	6174.312	52.144	6090.566	6267.420	6176.020
140000	6232.604	83.126	6130.526	6378.668	6212.825
145000	6263.671	68.768	6151.403	6392.146	6251.693
150000	6317.446	51.763	6260.872	6439.542	6309.373
155000	4996.285	1986.101	730.625	6519.555	6349.657
160000	6433.931	47.740	6335.299	6500.063	6426.267
165000	6775.591	142.180	6535.029	7033.737	6748.976
170000	6816.276	106.658	6691.057	7059.191	6796.311
175000	6526.478	832.075	4043.732	6969.676	6810.134
180000	6875.728	87.807	6645.497	6997.248	6883.641
185000	4272.987	1843.168	539.649	6504.353	4521.694
190000	7013.499	64.535	6875.001	7122.229	7009.201
195000	6879.776	44.485	6803.093	6953.327	6869.179
200000	7052.028	87.555	6931.953	7195.601	7029.093
205000	7044.188	66.858	6937.160	7116.063	7069.354
210000	6857.972	632.903	5057.306	7248.070	7117.531
215000	7148.639	63.743	7040.597	7241.988	7162.083
220000	7332.688	57.022	7262.508	7428.614	7323.058
225000	7312.178	67.351	7223.093	7449.771	7283.781
230000	7295.400	94.033	7118.246	7432.275	7306.169
235000	7356.608	104.534	7215.897	7604.401	7359.559
240000	7214.095	81.809	7103.790	7379.870	7213.149
245000	7442.687	44.191	7355.172	7494.191	7453.908
250000	7646.735	103.217	7451.267	7775.282	7669.758
255000	7458.394	95.239	7309.268	7569.230	7496.575
260000	7607.534	132.182	7388.521	7765.579	7623.865
265000	7726.318	77.635	7534.880	7833.449	7744.591
270000	7980.470	71.163	7854.429	8088.401	7992.162
275000	8012.519	139.900	7720.449	8210.236	8042.329
280000	7904.567	133.028	7579.684	8119.703	7921.634
285000	7271.333	198.823	6950.869	7540.181	7261.637
290000	7664.763	177.330	7395.100	8047.337	7681.455
295000	7982.260	107.404	7733.794	8115.619	7962.537
300000	8082.028	201.748	7624.163	8376.223	8063.348
305000	8090.771	110.106	7886.641	8294.150	8096.574
310000	8250.478	139.792	8041.858	8528.874	8236.999
315000	8360.243	152.640	8132.858	8657.993	8330.715
320000	8308.410	112.622	8072.246	8471.584	8303.197
325000	8451.225	128.333	8232.036	8597.632	8506.135
330000	8071.320	148.058	7887.598	8334.453	8029.467
335000	8179.676	167.279	7962.847	8518.390	8141.727
340000	8273.028	147.755	8072.721	8522.607	8268.575
345000	8507.629	82.315	8371.576	8672.436	8496.568
350000	8532.342	171.306	8275.800	8907.092	8564.727
355000	8505.701	55.666	8396.306	8569.539	8530.207
360000	8817.521	93.438	8672.851	8999.191	8798.817
365000	8616.097	122.977	8406.531	8811.596	8616.221
370000	8882.442	139.520	8639.583	9079.223	8862.702
375000	8780.535	105.847	8610.971	8944.275	8794.746
380000	8841.075	124.342	8652.638	9026.582	8842.066
385000	8991.615	138.119	8760.534	9219.387	8976.363
390000	9041.743	110.738	8869.086	9195.809	9060.673
395000	8832.008	74.128	8716.250	8953.791	8821.199
400000	9140.753	135.831	8928.634	9343.014	9134.176
405000	9083.095	86.112	8974.142	9251.234	9055.748
410000	9131.911	85.818	8958.084	9289.984	9123.217
415000	9008.784	104.659	8784.396	9138.597	9040.857
420000	9254.631	114.806	9084.365	9407.590	9269.479
425000	8958.248	143.242	8696.947	9271.587	8950.297
430000	9141.648	139.858	8985.230	9493.042	9141.670
435000	8948.383	47.732	8885.010	9053.252	8948.908
440000	9215.115	98.211	9006.741	9325.730	9254.135
445000	9323.791	99.562	9155.893	9476.896	9337.389
450000	9521.197	83.145	9318.094	9644.254	9532.230
455000	9313.786	60.192	9200.461	9431.119	9328.027
460000	9296.994	104.803	9077.432	9466.314	9318.667
465000	9399.686	106.226	9198.090	9560.014	9382.342
470000	9128.934	55.393	9041.795	9232.980	9119.990
475000	9616.661	109.499	9427.293	9784.748	9613.852
480000	9600.010	98.108	9468.049	9792.140	9575.398
485000	9522.547	119.413	9282.688	9695.756	9540.535
490000	9591.635	89.030	9446.246	9697.830	9579.833
495000	9082.135	104.787	8930.668	9238.832	9103.601
500000	9406.502	112.590	9199.658	9649.907	9402.337
505000	9544.697	124.950	9369.169	9798.354	9517.766
510000	9611.591	94.317	9436.512	9753.018	9643.180
515000	9551.811	94.368	9438.486	9718.801	9518.223
520000	9867.721	103.153	9723.064	10046.031	9828.180
525000	9549.677	115.247	9348.580	9754.883	9562.468
530000	9611.575	115.143	9340.455	9813.980	9633.506
535000	9639.242	125.183	9436.232	9820.833	9581.732
540000	9787.169	129.400	9547.928	10022.944	9773.000
545000	9731.432	45.290	9662.382	9803.862	9731.728
550000	9855.604	127.792	9648.661	10026.166	9863.995
555000	9855.938	104.102	9679.869	10053.867	9846.825
560000	9454.391	74.661	9330.844	9598.963	9459.279
565000	10051.058	138.183	9778.321	10205.891	10090.958
570000	10017.891	106.624	9823.971	10138.799	9997.047
575000	10026.799	66.414	9894.688	10128.102	10020.167
580000	9910.357	74.608	9765.902	10021.946	9924.722
585000	9960.182	63.802	9817.945	10033.980	9983.253
590000	9942.093	88.773	9807.637	10097.754	9928.991
595000	9730.563	123.431	9534.527	9947.810	9763.381
600000	10059.323	102.627	9884.552	10241.918	10062.241
605000	10176.409	82.661	9969.587	10302.947	10183.070
610000	10159.678	93.177	10019.256	10334.007	10132.121
615000	9675.260	94.421	9508.546	9822.674	9671.519
620000	10072.861	106.450	9868.042	10269.836	10064.389
625000	9976.047	97.205	9837.125	10204.174	9959.942
630000	10155.760	139.690	10004.219	10441.303	10112.241
635000	9820.081	133.821	9625.395	10034.012	9858.598
640000	10174.878	142.583	9929.861	10342.287	10233.333
645000	10228.840	109.437	10100.025	10451.359	10198.205
650000	10089.737	110.868	9831.666	10305.467	10099.666
655000	10253.373	106.394	10064.327	10454.829	10268.248
660000	10174.812	114.144	9998.379	10364.084	10199.426
665000	10241.435	40.553	10177.258	10313.010	10240.611
670000	9932.654	49.252	9864.841	10009.204	9933.420
675000	10082.303	100.199	9953.730	10313.307	10077.668
680000	10392.089	61.463	10298.316	10524.420	10390.176
685000	10273.009	85.101	10132.061	10419.760	10285.537
690000	10241.566	93.776	10091.457	10360.840	10268.496
695000	10186.592	98.157	10083.109	10344.898	10150.275
700000	10327.269	131.288	10194.896	10588.214	10264.770
705000	10409.877	89.169	10241.804	10537.852	10433.748
710000	10381.618	91.369	10254.926	10566.812	10370.747
715000	10272.010	94.933	10070.867	10438.061	10267.316
720000	10440.753	111.161	10261.457	10605.136	10467.730
725000	10415.646	61.696	10300.690	10487.353	10445.998
730000	10319.186	74.620	10188.718	10447.727	10310.681
735000	10485.383	62.012	10376.477	10567.010	10480.699
740000	10496.624	73.206	10393.518	10664.074	10477.477
745000	10088.561	71.765	9989.227	10211.205	10075.851
750000	10426.167	72.678	10294.195	10531.705	10425.193
755000	10488.643	48.513	10400.928	10548.967	10499.144
760000	10358.703	92.967	10197.191	10495.639	10383.125
765000	10499.581	112.052	10203.809	10663.948	10521.803
770000	10374.826	74.866	10283.271	10530.499	10358.455
775000	9798.236	52.062	9676.019	9882.456	9798.775
780000	10516.281	66.421	10412.516	10590.474	10527.890
785000	9620.262	99.391	9435.875	9749.142	9631.938
790000	10567.675	96.047	10420.776	10751.201	10543.524
795000	10230.416	76.830	10093.059	10325.340	10268.268
800000	10567.582	42.053	10503.869	10629.076	10570.004
805000	10639.240	68.461	10551.754	10774.850	10623.722
810000	10144.492	98.025	10002.922	10323.668	10123.564
815000	10565.740	45.907	10475.688	10656.118	10572.950
820000	10546.984	121.693	10252.059	10688.276	10573.396
825000	10123.451	87.775	9996.969	10263.421	10114.201
830000	10362.448	113.870	10206.271	10550.655	10369.795
835000	10040.717	177.113	9840.764	10387.732	10009.938
840000	10381.731	106.526	10201.275	10588.271	10342.514
845000	10661.389	93.995	10477.424	10835.118	10653.254
850000	10559.682	90.823	10360.342	10749.480	10566.383
855000	10677.646	70.277	10531.783	10757.579	10710.827
860000	10585.420	100.712	10371.083	10739.912	10601.132
865000	10668.045	79.540	10509.940	10755.771	10699.156
870000	10130.913	90.497	9979.994	10329.627	10116.374
875000	10747.397	105.453	10628.557	10921.828	10702.732
880000	10691.209	59.191	10624.775	10839.352	10685.967
885000	10769.080	105.953	10614.692	10953.924	10798.268
890000	10643.229	99.419	10486.330	10869.117	10635.578
895000	10799.418	121.978	10551.525	10976.270	10819.124
900000	10740.564	88.048	10591.645	10885.764	10741.627
905000	10605.107	93.895	10456.612	10741.055	10613.425
910000	10753.924	96.790	10614.596	10962.461	10753.174
915000	10691.905	125.399	10524.424	11005.277	10661.551
920000	10091.194	87.380	9946.049	10236.592	10094.476
925000	10771.381	56.836	10659.027	10874.566	10780.229
930000	10649.111	124.799	10476.951	10834.845	10613.973
935000	10279.490	67.542	10161.461	10357.263	10289.929
940000	10552.568	67.546	10451.793	10644.135	10531.923
945000	10745.315	200.493	10468.329	11039.963	10721.255
950000	10463.279	140.533	10129.979	10616.974	10475.541
955000	10982.441	70.140	10887.754	11120.506	10973.790
960000	10840.131	98.594	10641.232	10960.031	10871.939
965000	10426.901	64.765	10305.647	10541.916	10425.040
970000	10770.327	116.893	10600.283	10960.393	10791.625
975000	10829.369	98.383	10649.150	11013.396	10825.424
980000	10192.000	66.364	10105.992	10304.918	10195.952
985000	10582.561	72.287	10457.976	10721.105	10589.722
990000	10943.950	111.909	10775.631	11100.521	10937.369
995000	10791.025	107.196	10540.082	10937.496	10806.098
1000000	10969.523	91.797	10752.521	11113.877	10970.697
1005000	10573.387	113.836	10446.477	10761.714	10549.598
1010000	11000.942	106.992	10823.953	11201.308	10994.030
1015000	10954.035	115.377	10749.943	11110.389	10969.184
1020000	10721.827	208.738	10328.253	11025.278	10762.582
1025000	10961.277	119.352	10680.972	11133.348	10960.289
1030000	10811.251	108.873	10553.873	10944.500	10845.332
1035000	10980.006	147.429	10647.260	11135.695	11023.210
1040000	10504.654	136.064	10173.191	10676.453	10516.832
1045000	10956.225	109.452	10767.739	11135.632	10986.684
1050000	10918.364	91.087	10728.218	11052.776	10907.726
1055000	10955.653	88.940	10820.129	11137.469	10958.843
1060000	11125.844	116.968	10909.483	11309.404	11126.398
1065000	10862.649	79.551	10730.367	10970.209	10873.629
1070000	10670.256	150.963	10285.822	10857.457	10670.828
1075000	10935.862	68.841	10793.655	11061.199	10935.903
1080000	11030.015	123.233	10855.984	11220.215	11007.562
1085000	10974.897	133.554	10706.990	11182.609	10986.840
1090000	11116.789	78.853	11038.838	11314.414	11097.766
1095000	10946.799	134.995	10755.011	11207.807	10986.541
1100000	11154.294	185.193	10869.177	11524.287	11160.053
1105000	11041.224	106.370	10855.115	11225.034	11031.344
1110000	11058.572	53.157	10983.465	11135.379	11063.576
1115000	10854.528	119.338	10678.996	11028.354	10841.225
1120000	10542.286	90.594	10352.273	10634.281	10575.960
1125000	10791.451	115.324	10601.938	10993.342	10785.549
1130000	11312.620	104.088	11078.188	11450.437	11320.880
1135000	10922.305	104.901	10718.033	11050.566	10958.105
1140000	11325.775	124.122	11144.963	11506.566	11359.225
1145000	11279.418	96.609	11100.916	11381.113	11320.668
1150000	11265.291	72.440	11109.818	11344.951	11291.369
1155000	11307.453	144.480	11023.851	11566.965	11317.420
1160000	11109.884	102.879	10928.443	11280.291	11131.174
1165000	11268.024	116.528	11118.049	11451.220	11249.667
