iteration	mean	std_dev	min	max	median
5000	182.373	5.575	176.288	191.443	179.735
10000	259.540	47.608	205.059	321.203	238.019
15000	300.690	17.959	276.578	330.991	303.123
20000	263.009	19.135	230.625	285.823	270.874
25000	313.753	29.566	249.785	353.521	313.965
30000	303.655	42.290	240.213	363.033	293.916
35000	304.123	53.319	234.839	387.395	300.197
40000	374.102	129.740	223.150	597.536	359.382
45000	368.185	85.019	259.450	555.940	373.632
50000	377.616	174.859	198.402	980.214	372.143
55000	392.184	137.234	253.264	737.956	375.453
60000	325.587	31.469	292.235	375.692	307.562
65000	392.068	42.975	340.362	450.296	385.165
70000	417.866	120.265	300.800	727.472	381.677
75000	485.546	199.787	304.026	900.295	373.846
80000	472.729	176.365	333.754	1053.723	396.325
85000	508.948	164.298	322.074	822.152	487.118
90000	468.834	149.895	328.631	787.600	400.666
95000	582.641	287.137	319.176	1283.898	399.640
100000	422.233	85.853	325.254	774.918	403.901
105000	487.603	202.288	374.921	1154.375	406.773
110000	597.897	366.554	238.416	1430.154	418.991
115000	655.293	396.060	350.499	1709.837	424.776
120000	697.943	460.140	388.602	1837.626	448.222
125000	681.838	421.399	393.771	2564.831	547.130
130000	1083.983	600.706	277.187	2582.649	910.872
135000	636.192	360.720	394.574	1540.297	409.918
140000	941.085	685.889	370.498	2602.159	826.311
145000	1281.445	897.255	367.538	3171.477	1026.841
150000	1233.203	982.612	371.968	2707.869	713.500
155000	693.367	405.886	415.924	2510.471	655.955
160000	730.921	601.411	245.943	2603.927	656.380
165000	831.183	567.750	415.295	2694.377	702.348
170000	953.066	538.686	350.213	2473.962	1012.403
175000	891.419	365.241	380.758	1712.706	1041.093
180000	667.236	492.822	213.505	2390.545	336.439
185000	969.800	668.513	306.004	2931.694	980.822
190000	976.281	712.384	300.919	2771.396	800.602
195000	1224.470	802.621	429.713	2919.865	1021.016
200000	902.276	486.673	352.572	2133.375	1010.778
205000	943.336	523.987	371.146	2828.917	1002.671
210000	1364.030	358.119	903.509	2264.637	1433.226
215000	1237.195	387.252	800.650	2193.465	1032.476
220000	1136.207	522.881	432.053	2543.108	818.510
225000	1782.879	950.565	647.410	3117.303	1349.709
230000	1168.844	611.001	449.677	3057.028	971.486
235000	1189.020	642.718	457.741	3050.067	1077.242
240000	1626.016	1155.186	413.946	3237.580	1149.821
245000	2428.756	690.063	1021.992	2957.958	2730.180
250000	1255.659	661.273	305.652	3022.243	1227.756
255000	1382.411	656.506	508.330	3166.346	1274.922
260000	1630.941	1060.782	302.943	3035.520	993.097
265000	2265.465	756.796	945.783	3047.455	2415.738
270000	2133.566	849.812	908.257	3074.915	2185.037
