iteration	mean	std_dev	min	max	median
5000	177.620	1.303	174.931	179.624	177.694
10000	170.211	1.944	166.909	172.971	170.339
15000	233.736	1.128	231.619	235.245	234.116
20000	10.134	0.489	9.702	10.909	9.866
25000	254.471	0.839	253.679	256.165	254.196
30000	302.959	9.608	283.822	315.255	304.018
35000	301.436	4.572	296.352	311.194	299.454
40000	284.319	2.228	282.176	289.890	283.632
45000	265.136	2.029	260.082	266.901	265.857
50000	273.656	2.941	271.453	281.993	272.615
55000	256.880	1.763	252.690	259.130	257.346
60000	334.968	9.134	322.543	355.158	334.884
65000	489.049	36.172	408.720	553.992	486.105
70000	272.009	6.360	263.118	279.871	271.780
75000	346.646	8.752	332.678	355.779	351.052
80000	353.892	7.247	338.358	363.481	353.673
85000	363.471	9.051	345.620	382.359	362.022
90000	359.789	7.233	345.537	369.836	361.458
95000	1006.768	0.695	1005.607	1007.899	1006.711
100000	482.245	20.602	442.197	514.023	489.594
105000	413.754	41.746	372.747	526.902	403.878
110000	318.298	1.368	316.333	320.886	318.388
115000	1003.130	96.640	895.269	1150.923	972.624
120000	592.042	63.973	495.910	700.988	575.699
125000	1127.555	247.284	786.082	1689.320	1128.159
130000	440.616	3.919	434.366	446.316	441.018
135000	1186.205	268.964	671.701	1577.214	1258.839
140000	1076.823	33.933	1001.482	1103.238	1093.685
145000	405.089	220.803	290.578	986.995	298.641
150000	1728.508	545.540	1021.355	2322.271	1794.498
155000	710.666	5.929	699.750	716.272	712.297
160000	923.650	28.263	863.478	950.032	935.265
165000	844.957	25.201	815.510	915.117	838.655
170000	2517.074	152.681	2067.482	2606.009	2571.904
175000	1854.155	586.825	798.155	2572.656	1853.844
180000	2787.559	29.963	2749.534	2857.190	2779.290
185000	2100.213	540.736	1450.270	2660.870	2156.939
190000	2393.194	315.872	1447.881	2534.125	2491.910
195000	2353.073	372.432	1892.334	2764.487	2466.530
200000	1857.236	638.458	1240.299	2799.306	1519.976
205000	1270.639	604.808	890.519	2491.729	942.107
210000	2746.366	161.519	2276.014	2861.730	2775.710
215000	2601.938	403.486	1768.917	2896.740	2830.464
220000	2648.717	380.092	1763.898	2873.029	2837.762
225000	2671.296	321.658	1844.925	2892.111	2818.975
230000	1433.119	551.775	980.826	2904.919	1214.760
235000	867.566	35.263	794.618	923.570	873.671
240000	970.980	10.108	961.187	991.458	965.062
245000	961.976	10.217	947.979	975.878	965.658
250000	1197.765	642.112	807.125	2825.259	829.782
255000	1942.238	569.569	1081.892	2913.695	1992.871
260000	2190.274	636.639	962.009	2885.594	2328.129
265000	2690.647	527.584	1231.632	3087.326	2935.189
270000	2668.444	392.203	1672.480	2974.869	2860.211
275000	1859.301	808.948	981.597	2925.724	1751.594
280000	2935.646	33.683	2864.689	2996.100	2944.834
285000	1394.249	1336.250	299.753	3072.468	305.860
290000	309.293	2.649	304.607	313.891	309.043
295000	1753.150	1118.560	308.700	3016.691	1727.694
300000	1691.806	509.362	1294.015	2864.954	1360.281
305000	2828.730	190.238	2364.995	2962.981	2920.605
310000	2293.854	980.920	903.710	3178.463	2923.619
315000	1765.722	753.973	305.456	2441.794	2058.112
320000	2264.210	865.706	888.449	2964.493	2748.195
325000	2428.368	762.674	1334.093	3092.341	3016.047
330000	3151.375	7.410	3138.999	3159.101	3154.915
335000	2849.955	464.339	1460.662	3049.006	3004.149
340000	3014.537	27.308	2987.978	3076.874	3009.687
345000	3101.094	12.871	3079.731	3122.609	3097.710
350000	3093.901	23.955	3038.339	3121.650	3097.363
355000	3136.694	13.651	3111.123	3154.234	3141.329
360000	2740.019	413.143	1961.855	3060.820	2995.184
365000	3107.916	19.038	3065.374	3130.451	3113.602
370000	2912.371	308.616	1989.271	3050.145	3015.403
375000	3110.070	187.416	2548.687	3183.162	3174.417
380000	2570.436	533.273	1693.698	3058.382	2920.409
385000	3122.292	3.935	3112.710	3126.674	3123.527
390000	3164.879	11.969	3141.479	3180.489	3168.635
395000	3217.854	4.544	3209.000	3228.600	3217.670
400000	3073.204	27.960	3008.895	3094.485	3086.593
405000	3219.756	4.429	3213.060	3228.510	3218.623
410000	3198.543	6.403	3185.083	3206.253	3199.558
415000	3173.351	7.431	3154.213	3180.781	3174.917
420000	3106.898	29.547	3067.692	3149.318	3103.739
425000	3297.788	2.272	3294.284	3302.691	3297.559
430000	3226.502	4.573	3218.128	3233.721	3225.629
435000	3172.864	9.473	3160.490	3188.410	3170.575
440000	3229.757	6.591	3220.576	3241.910	3227.904
445000	3347.626	2.696	3343.510	3354.185	3347.449
450000	3276.390	5.872	3267.121	3283.423	3277.853
455000	3323.775	3.812	3316.933	3329.870	3324.622
460000	3405.287	2.856	3400.009	3408.556	3406.749
465000	3373.202	2.307	3370.173	3377.180	3372.619
470000	3355.511	4.297	3349.771	3363.753	3354.494
475000	3212.184	5.453	3200.775	3220.423	3213.073
480000	3270.618	5.522	3263.342	3282.048	3270.907
485000	3316.050	1.407	3313.569	3318.782	3315.523
490000	3280.161	4.529	3270.647	3287.994	3280.367
495000	3281.620	2.527	3277.825	3285.915	3281.472
500000	3360.540	2.790	3356.051	3365.872	3361.439
505000	3282.992	1.942	3279.778	3285.912	3283.600
510000	3366.638	3.076	3362.610	3372.955	3367.216
515000	3325.945	6.595	3315.709	3338.419	3326.924
520000	3304.318	6.539	3295.739	3314.944	3304.281
525000	3349.566	14.178	3326.607	3370.320	3352.056
530000	3375.078	4.177	3369.054	3381.465	3375.943
535000	3287.516	7.692	3275.811	3302.188	3287.875
540000	3349.936	3.165	3345.048	3355.831	3349.795
545000	3395.458	3.406	3390.578	3403.003	3394.173
550000	3407.335	5.788	3398.124	3414.247	3408.492
555000	3418.284	3.046	3411.719	3422.072	3418.955
560000	3397.416	4.297	3391.537	3407.399	3396.784
565000	3422.042	6.606	3411.127	3436.554	3421.708
570000	3438.633	4.614	3430.520	3446.695	3439.518
575000	3289.368	17.870	3260.747	3327.351	3291.476
580000	3248.764	5.291	3241.830	3256.597	3248.187
585000	3306.083	11.310	3294.173	3326.109	3301.520
590000	3423.549	1.248	3420.819	3425.139	3423.728
595000	3403.335	3.573	3397.342	3410.392	3402.731
600000	3291.297	8.979	3278.150	3304.700	3291.871
605000	3409.556	4.700	3404.367	3415.749	3408.291
610000	3452.792	15.694	3415.181	3480.915	3453.854
615000	3397.500	6.817	3387.091	3406.055	3399.338
620000	3358.401	13.720	3325.350	3376.042	3362.066
625000	3437.290	2.552	3432.863	3441.050	3437.929
630000	3407.913	12.277	3392.496	3428.881	3408.572
635000	3384.247	6.810	3369.751	3390.660	3387.546
640000	3444.730	10.857	3431.732	3460.606	3440.291
645000	3419.868	13.739	3399.499	3440.586	3420.665
650000	3321.922	30.877	3260.076	3352.692	3333.010
655000	3285.124	33.941	3240.206	3350.728	3279.228
660000	3397.011	9.110	3385.931	3416.060	3395.535
665000	3332.069	17.453	3290.684	3366.383	3333.031
670000	3399.786	28.479	3342.406	3431.076	3406.459
675000	3391.438	47.545	3344.996	3471.300	3372.992
680000	3394.667	41.813	3350.251	3506.983	3384.757
685000	3390.784	33.804	3338.702	3439.218	3398.762
690000	3391.121	29.234	3323.552	3431.262	3395.034
695000	1832.682	47.681	1796.671	1932.530	1814.300
700000	2921.071	611.660	1894.764	3341.034	3305.789
705000	2886.821	421.007	1794.408	3360.432	2969.077
710000	3290.544	199.367	2707.324	3423.957	3342.974
715000	3359.166	41.498	3289.943	3431.707	3363.502
720000	2957.511	383.556	2402.554	3350.676	3118.254
725000	2402.409	247.305	1907.336	2707.260	2449.114
730000	3110.920	401.903	1942.893	3338.595	3277.824
735000	2289.020	599.134	1825.386	3363.285	1932.917
740000	3380.276	15.464	3356.069	3409.403	3379.398
745000	3325.681	30.546	3280.175	3381.022	3330.654
750000	3365.665	32.948	3317.757	3414.087	3360.641
755000	3417.385	23.149	3382.688	3447.949	3421.331
760000	3386.284	13.257	3364.499	3408.084	3383.388
765000	3331.026	161.398	2855.201	3462.786	3378.997
770000	3424.466	14.302	3398.424	3445.974	3420.571
775000	3417.728	26.665	3350.191	3440.524	3428.672
780000	3420.939	43.202	3363.416	3526.525	3422.750
785000	3191.713	447.634	1924.572	3441.305	3377.375
790000	3427.941	22.710	3380.901	3451.717	3437.635
795000	3386.501	15.806	3361.285	3410.489	3383.703
800000	3427.191	2.094	3423.630	3430.065	3427.436
805000	3424.936	28.337	3381.526	3468.963	3432.754
810000	3417.901	2.944	3414.698	3424.693	3417.308
815000	3386.999	20.980	3348.546	3413.617	3389.197
820000	3459.895	2.392	3456.763	3464.882	3459.258
825000	3395.657	14.586	3365.794	3412.617	3399.718
830000	3390.257	22.949	3366.252	3444.709	3383.436
835000	3389.548	6.704	3376.425	3397.598	3390.391
840000	3429.009	22.261	3376.128	3450.311	3435.175
845000	3392.542	24.265	3369.350	3452.586	3381.961
850000	3421.195	2.196	3417.973	3425.225	3421.055
855000	2999.007	494.852	2206.205	3522.236	3260.246
860000	3368.212	40.820	3319.142	3421.356	3368.595
865000	3407.301	28.352	3364.715	3446.454	3411.077
870000	3386.444	2.255	3383.865	3390.117	3385.845
875000	3366.775	27.600	3323.784	3425.004	3363.069
880000	3431.777	4.070	3422.476	3438.574	3432.553
885000	3414.429	21.100	3379.168	3465.000	3413.398
890000	3343.352	5.625	3332.266	3351.772	3341.445
895000	3324.532	152.107	2871.768	3404.474	3373.465
900000	3381.019	17.289	3353.375	3417.883	3380.119
905000	3407.529	8.095	3385.334	3413.478	3410.419
910000	3402.091	1.538	3400.564	3406.037	3401.687
915000	3406.002	7.944	3396.097	3421.980	3404.065
920000	3422.575	16.859	3392.914	3452.803	3419.201
925000	3420.500	10.896	3393.944	3432.395	3422.952
930000	3451.443	4.795	3445.791	3462.290	3449.656
935000	3424.384	14.866	3392.698	3437.900	3430.786
