iteration	mean	std_dev	min	max	median
5000	334.546	162.844	112.558	575.935	408.309
10000	338.282	28.617	302.211	387.243	334.524
15000	491.035	180.416	151.093	705.157	538.708
20000	439.784	40.091	358.568	529.313	439.203
25000	492.913	111.402	216.864	614.403	497.418
30000	476.137	94.870	319.206	624.637	445.415
35000	372.742	250.084	55.650	755.414	461.863
40000	311.840	237.052	141.038	805.615	205.804
45000	463.100	117.375	184.772	660.493	472.255
50000	491.978	83.853	252.590	559.885	519.430
55000	790.235	119.753	590.456	953.963	817.854
60000	320.816	170.749	201.213	734.843	226.479
65000	329.726	26.219	277.497	366.308	335.044
70000	275.569	202.622	93.715	625.805	135.312
75000	411.594	19.396	387.256	443.035	409.473
80000	564.456	79.238	365.100	667.320	571.073
85000	394.345	204.002	108.784	669.278	508.039
90000	268.027	109.378	149.685	414.521	257.132
95000	590.630	68.467	500.936	750.015	569.767
100000	768.227	87.336	559.589	863.377	784.171
105000	793.794	131.902	541.900	986.004	780.673
110000	974.421	170.017	774.484	1243.614	957.035
115000	827.614	247.524	151.940	1024.794	900.716
120000	558.162	101.335	414.789	765.721	558.015
125000	750.173	257.120	225.709	1217.786	758.282
130000	574.468	224.212	220.206	890.530	573.949
135000	681.651	138.265	311.894	867.097	721.000
140000	582.115	131.807	403.376	842.748	559.843
145000	425.003	63.400	345.848	563.442	402.884
150000	623.206	51.407	568.050	717.792	603.713
155000	598.514	74.947	427.606	733.454	602.952
160000	604.445	24.600	556.388	644.564	606.940
165000	689.047	119.912	392.996	913.120	690.523
170000	696.893	54.951	636.934	773.175	674.608
175000	959.498	34.659	901.250	1005.935	967.225
180000	874.051	328.909	112.154	1124.001	1017.220
185000	518.946	478.996	27.303	1170.418	387.331
190000	791.516	110.082	651.072	941.364	844.304
195000	431.445	375.717	52.388	1088.607	279.238
200000	656.997	83.134	563.659	807.361	615.356
205000	678.521	38.509	641.742	770.315	660.072
210000	804.077	34.563	758.441	865.862	802.507
215000	865.066	75.905	772.428	975.504	844.437
220000	1049.222	79.073	908.373	1152.971	1075.696
225000	722.704	42.778	669.931	819.164	722.030
230000	884.392	305.409	100.894	1412.056	895.046
235000	892.587	101.363	756.973	1126.792	904.764
240000	803.240	116.999	601.974	997.672	768.673
245000	945.638	105.899	838.152	1132.905	903.517
250000	658.066	295.550	272.323	1086.004	605.036
255000	896.715	133.576	791.904	1201.079	836.466
260000	1047.135	159.975	854.380	1333.613	1068.965
265000	1055.798	257.246	911.885	1803.557	954.987
270000	1551.135	409.588	922.030	2065.816	1735.036
275000	1332.252	203.539	1095.335	1740.198	1291.262
280000	1073.939	120.555	941.938	1379.992	1051.687
285000	1308.910	352.771	711.156	1985.782	1202.730
290000	843.709	84.477	774.803	1042.065	803.549
295000	946.945	33.360	894.975	987.986	957.893
300000	1009.330	25.506	964.837	1047.066	1015.193
305000	893.681	106.739	698.629	1013.083	919.589
310000	987.558	89.910	892.857	1132.231	934.470
315000	1171.601	385.439	660.131	1990.757	1103.837
320000	1375.948	388.778	632.006	1790.725	1572.531
325000	993.135	76.129	916.906	1121.020	955.691
330000	1431.108	168.220	1277.251	1773.020	1359.347
335000	1041.219	49.572	981.429	1165.236	1026.801
340000	1247.237	264.876	1072.597	2000.004	1156.584
345000	1298.896	351.581	387.996	1610.108	1428.305
350000	1237.781	99.344	957.493	1324.517	1252.355
355000	1152.776	123.107	1001.809	1385.156	1151.917
360000	1614.177	320.742	1290.945	2462.765	1517.285
365000	1255.075	158.037	955.284	1437.345	1312.489
370000	1099.131	80.904	872.590	1188.854	1110.375
375000	949.738	29.124	896.024	991.491	951.563
380000	998.905	51.115	943.449	1107.526	980.503
385000	1175.106	47.297	1133.135	1265.454	1145.886
390000	1195.381	71.697	1103.737	1342.551	1171.280
395000	1109.573	132.112	903.777	1316.410	1148.797
400000	1295.835	137.794	1001.011	1517.194	1289.486
405000	2106.058	558.431	947.813	3090.817	2073.662
410000	1115.478	60.694	1043.434	1213.502	1086.966
415000	1475.362	149.690	1275.611	1732.545	1442.042
420000	1992.911	622.711	1382.069	3263.182	1857.887
425000	1135.630	127.801	916.868	1340.503	1154.667
430000	2346.037	569.229	790.191	2883.054	2521.375
435000	2692.018	655.984	891.904	3137.108	2960.825
440000	2162.538	604.380	1145.739	2832.098	2445.471
445000	1341.494	423.022	114.313	1616.336	1477.215
450000	1940.743	550.229	1224.582	2853.451	1987.888
455000	2455.567	472.506	1552.456	3001.427	2635.289
460000	2690.262	324.539	1842.993	3028.289	2766.619
465000	2584.955	449.357	1664.233	3025.353	2698.372
470000	3015.823	68.438	2921.904	3164.635	3002.049
475000	3127.619	137.437	2751.711	3238.328	3179.873
480000	2972.983	399.012	1910.994	3317.806	3115.223
485000	2906.775	452.327	1704.643	3317.136	3034.122
490000	3266.540	45.979	3188.647	3378.832	3268.369
495000	3173.059	124.536	3047.225	3392.160	3117.050
500000	2631.034	607.369	1768.807	3440.938	2698.960
505000	3076.438	75.370	2901.094	3150.184	3115.664
510000	2775.200	419.211	1897.495	3178.961	2848.065
515000	1902.224	905.935	1116.915	3466.824	1368.918
520000	2161.261	621.529	1349.270	3107.029	2229.021
525000	2982.801	474.236	1631.312	3394.021	3140.558
530000	3084.208	146.817	2749.963	3260.934	3114.001
535000	3192.868	56.939	3102.948	3267.855	3208.004
540000	3199.338	102.823	3018.337	3388.489	3211.580
545000	3250.432	139.098	2849.052	3362.989	3296.562
550000	2359.258	856.188	1474.665	3444.329	1932.894
555000	3198.989	126.644	2972.396	3354.779	3225.290
560000	3287.731	64.271	3191.668	3374.398	3303.119
565000	3133.553	304.382	2393.904	3427.245	3254.297
570000	3073.176	419.003	1870.578	3383.139	3201.610
575000	2698.260	977.885	1182.205	3844.517	3334.465
580000	2931.630	700.328	1034.312	3393.479	3220.915
585000	3211.373	597.719	1460.768	3660.763	3389.060
590000	2322.665	775.595	1379.801	3389.765	2211.768
595000	3179.080	270.121	2402.481	3389.996	3261.197
600000	3139.748	439.946	1895.205	3462.939	3315.630
605000	3265.276	70.745	3175.719	3418.397	3252.039
610000	3314.279	86.735	3219.125	3490.322	3277.661
615000	3280.996	121.120	3008.466	3474.312	3273.420
620000	3009.748	635.352	1698.060	3411.142	3324.329
625000	3454.793	234.000	2805.265	3702.531	3492.389
630000	3267.730	107.406	3061.736	3486.469	3267.358
635000	3144.621	663.944	1385.877	3574.274	3435.227
640000	3440.556	57.808	3356.365	3538.170	3438.417
645000	3015.269	789.084	1289.987	3806.235	3394.598
650000	3401.167	58.433	3269.626	3492.659	3402.316
655000	3392.194	44.562	3312.533	3467.703	3383.813
660000	3309.651	96.724	3176.715	3449.595	3307.403
665000	3437.050	72.215	3349.119	3585.700	3428.584
670000	3341.621	54.879	3222.970	3421.964	3360.655
675000	3466.025	75.061	3289.669	3537.573	3502.032
680000	3375.269	59.944	3284.307	3507.556	3376.476
685000	3422.504	152.774	3071.376	3594.242	3477.022
690000	3436.291	56.252	3310.025	3520.023	3439.550
695000	3201.214	147.141	2920.941	3445.067	3198.975
700000	3372.831	167.388	2924.120	3535.366	3412.385
705000	3485.948	80.299	3363.248	3608.145	3479.206
710000	3363.938	71.941	3261.182	3543.672	3352.100
715000	3437.132	385.461	2285.928	3625.186	3561.658
720000	3356.491	150.117	3080.338	3681.202	3318.248
725000	3428.834	113.599	3203.831	3591.423	3436.821
730000	3419.463	34.678	3369.136	3471.605	3408.795
735000	3564.138	67.870	3454.452	3636.764	3593.259
740000	3429.958	609.965	1616.703	3797.996	3591.712
745000	3314.358	589.591	1553.950	3606.880	3500.990
750000	3468.407	27.851	3393.132	3491.896	3476.863
755000	3373.958	323.918	2418.545	3551.722	3492.977
760000	3522.914	88.732	3407.029	3668.086	3502.391
765000	3393.026	491.296	1927.115	3675.010	3531.511
770000	3497.875	200.311	2932.970	3740.795	3538.194
775000	3239.644	528.362	2302.735	3722.391	3522.133
780000	3561.223	151.490	3219.101	3810.716	3576.269
785000	3523.658	65.764	3445.344	3670.013	3504.698
790000	3412.814	490.088	1955.859	3754.980	3551.186
795000	3543.930	43.203	3453.970	3595.324	3555.089
800000	3537.631	58.648	3465.059	3688.114	3527.257
805000	3780.519	88.310	3670.087	3966.585	3762.336
810000	3544.819	182.097	3055.831	3800.906	3565.135
815000	3587.487	42.825	3533.813	3674.883	3581.104
820000	3582.121	72.008	3472.039	3672.301	3575.554
825000	3387.038	616.676	1973.938	3823.585	3656.557
830000	3388.633	490.404	2088.434	3679.718	3600.841
835000	3316.579	700.752	1838.318	3825.532	3656.841
840000	2985.653	870.094	1126.663	3582.119	3475.458
845000	2941.309	827.630	1484.303	3623.459	3536.274
850000	3405.499	585.026	1690.653	3797.435	3577.666
855000	3402.514	357.844	2651.921	3682.961	3588.573
860000	3659.613	27.166	3614.894	3709.981	3661.727
865000	3685.022	46.757	3609.376	3764.363	3682.832
870000	3487.402	412.086	2292.976	3783.408	3618.797
875000	3114.057	688.869	1531.698	3738.348	3353.646
880000	2728.766	949.523	1161.275	3613.061	3295.115
885000	3649.139	47.104	3556.572	3745.516	3642.871
890000	3588.076	49.049	3499.359	3672.996	3585.390
895000	3163.610	564.475	2081.578	3588.312	3535.640
900000	3665.024	76.092	3550.737	3814.772	3670.780
905000	3675.917	57.618	3568.575	3753.216	3668.923
910000	3511.380	588.955	1756.954	3883.371	3696.564
915000	3555.367	356.988	2495.283	3770.024	3676.264
920000	3613.144	53.948	3515.081	3703.363	3605.345
925000	3040.257	842.376	1452.183	3760.136	3425.884
930000	3715.259	29.758	3665.641	3777.239	3715.778
935000	3678.218	71.602	3526.999	3783.627	3685.002
940000	3754.334	74.543	3637.547	3905.069	3757.300
945000	3629.443	207.389	3156.669	3859.750	3711.187
950000	3632.964	329.447	2660.156	3847.390	3715.395
955000	3758.047	53.814	3677.902	3856.198	3752.564
960000	3655.227	42.758	3595.233	3717.693	3647.669
965000	3548.536	443.009	2234.063	3770.151	3703.258
970000	3404.599	601.647	1695.134	3826.011	3616.029
975000	3479.186	725.223	1460.432	3853.759	3789.516
980000	3745.171	77.909	3662.877	3869.386	3714.167
985000	3763.641	39.863	3711.465	3854.740	3769.832
990000	3168.475	773.452	1581.029	3815.353	3706.179
995000	3586.042	481.829	2144.647	3837.909	3727.181
1000000	3846.919	70.117	3759.781	4009.068	3833.694
