iteration	mean	std_dev
5000	4.693	3.677
10000	7.146	7.258
15000	8.422	8.307
20000	13.965	10.583
25000	24.146	12.027
30000	32.324	12.611
35000	38.321	7.274
40000	42.051	1.657
45000	42.149	1.144
50000	41.138	8.065
55000	42.624	0.783
60000	43.208	0.767
65000	43.026	2.421
70000	44.135	1.204
75000	43.097	1.941
80000	42.970	2.137
85000	43.454	1.182
90000	43.875	0.965
95000	43.901	0.936
100000	43.417	1.231
105000	43.975	1.407
110000	42.646	7.542
115000	43.378	0.704
120000	43.895	0.772
125000	42.953	4.449
130000	44.110	1.027
135000	43.542	0.757
140000	43.956	0.805
145000	43.847	0.928
150000	44.271	0.954
155000	44.300	1.259
160000	43.816	0.901
165000	43.815	0.774
170000	42.320	8.205
175000	43.628	1.062
180000	43.401	1.102
185000	43.692	0.989
190000	42.849	4.352
195000	44.113	1.035
200000	43.721	1.023
205000	44.202	0.706
210000	42.496	7.263
215000	42.269	6.642
220000	44.071	0.977
225000	44.299	0.989
230000	44.311	1.035
235000	41.501	9.443
240000	44.002	0.845
245000	42.695	5.258
250000	44.155	1.094
255000	43.387	0.911
260000	42.764	8.175
265000	42.605	6.855
270000	42.579	5.414
275000	44.169	0.889
280000	43.866	1.081
285000	44.358	2.378
290000	43.647	1.065
295000	40.527	11.104
300000	43.949	0.910
305000	43.942	0.883
310000	44.305	0.914
315000	43.997	0.934
320000	44.247	1.100
325000	44.066	1.138
330000	43.157	2.860
335000	41.779	6.185
340000	43.496	0.857
345000	43.055	5.104
350000	43.604	1.098
355000	43.739	1.174
360000	43.883	1.762
365000	43.164	6.954
370000	43.986	1.135
375000	41.705	9.632
380000	43.134	4.092
385000	43.866	0.835
390000	42.903	6.653
395000	43.840	1.134
400000	44.310	1.067
405000	42.516	6.419
410000	44.111	1.166
415000	43.430	0.790
420000	42.806	5.012
425000	41.733	8.372
430000	42.651	4.811
435000	44.342	0.833
440000	42.769	6.714
445000	42.541	8.283
450000	37.623	13.992
455000	43.807	0.833
460000	43.353	4.023
465000	44.464	0.895
470000	40.401	9.265
475000	43.614	0.720
480000	44.097	0.786
485000	43.844	1.040
490000	43.920	0.820
495000	44.137	1.918
500000	43.072	4.329
505000	43.124	5.776
510000	41.718	7.800
515000	43.452	1.402
520000	42.604	8.348
525000	43.551	3.626
530000	42.290	4.952
535000	43.408	1.156
540000	40.954	8.287
545000	43.773	1.754
550000	43.084	1.402
555000	41.801	5.615
560000	43.078	3.733
565000	43.646	1.649
570000	42.895	6.848
575000	44.148	1.095
580000	43.178	5.238
585000	42.657	6.392
590000	43.389	1.900
595000	43.410	1.357
600000	44.077	0.706
605000	40.879	9.497
610000	42.922	4.760
615000	42.704	6.736
620000	43.688	0.871
625000	41.240	8.307
630000	44.143	0.855
635000	43.444	1.569
640000	42.643	4.777
645000	42.254	4.834
650000	43.894	1.242
655000	43.643	3.254
660000	43.027	3.523
665000	43.981	1.026
670000	40.795	9.046
675000	42.640	5.528
680000	42.386	5.735
685000	43.488	1.640
690000	41.916	8.314
695000	43.893	0.821
700000	41.108	9.620
705000	42.297	6.105
710000	43.655	0.944
715000	43.494	1.719
720000	44.089	1.031
725000	43.847	1.411
730000	43.052	5.254
735000	43.726	0.954
740000	43.654	1.519
745000	43.460	1.826
750000	44.260	1.134
755000	42.417	6.974
760000	44.133	1.324
765000	40.888	10.957
770000	43.931	1.131
775000	43.603	1.125
780000	43.790	0.985
785000	41.170	9.791
790000	42.465	7.009
795000	43.533	1.197
800000	43.031	2.232
805000	42.648	6.368
810000	43.746	0.819
815000	42.383	6.322
820000	43.354	1.230
825000	42.921	3.242
830000	43.044	3.728
835000	43.580	1.786
840000	42.208	5.418
845000	42.352	7.822
850000	42.772	5.954
855000	43.041	3.569
860000	43.368	1.541
865000	43.696	1.475
870000	43.234	1.303
875000	42.257	5.602
880000	43.109	2.112
885000	43.633	2.882
890000	42.654	4.688
895000	44.073	1.289
900000	42.953	3.978
905000	42.778	6.841
910000	42.615	3.897
915000	42.396	4.845
920000	41.648	7.052
925000	43.683	1.318
930000	41.636	8.078
935000	41.669	7.431
940000	43.428	1.247
945000	43.202	4.020
950000	41.856	8.563
955000	43.932	0.959
960000	43.141	3.851
965000	43.650	1.731
970000	43.251	1.542
975000	43.678	2.020
980000	40.590	8.349
985000	42.459	4.590
990000	42.789	5.308
995000	42.751	5.330
1000000	43.521	3.017
