iteration	mean	std_dev	min	max	median
5000	2111.275	1092.263	45.134	3760.819	1962.114
10000	1939.868	1080.349	49.597	3618.935	1938.351
15000	1180.463	1403.751	-509.147	3795.039	512.032
20000	3090.571	1631.630	327.956	4651.623	4022.329
25000	3585.202	1717.211	262.976	5090.849	4583.300
30000	1419.063	1433.311	70.575	4942.448	912.771
35000	2894.130	1598.771	687.641	4970.638	2837.196
40000	4682.943	1030.205	1733.850	5313.571	5026.118
45000	4569.424	640.752	3251.968	5068.387	4795.770
50000	5109.839	113.506	4947.072	5270.875	5134.704
55000	5243.091	134.281	4907.659	5416.003	5289.201
60000	5044.872	576.546	3333.932	5354.149	5225.126
65000	5291.393	120.772	5015.904	5421.852	5315.934
70000	5254.244	104.843	5017.823	5383.101	5283.706
75000	5323.183	122.453	5133.520	5527.838	5308.626
80000	5310.214	87.157	5172.104	5426.322	5298.744
85000	5371.526	87.696	5192.575	5570.552	5367.307
90000	5327.147	60.621	5251.606	5410.551	5313.704
95000	5378.789	139.828	5149.390	5574.370	5393.770
100000	5433.819	120.840	5240.245	5608.232	5484.566
105000	5303.534	84.858	5161.264	5420.513	5323.206
110000	5317.940	141.736	5110.048	5544.455	5305.206
115000	5342.920	92.362	5210.568	5510.426	5330.214
120000	5431.627	74.259	5320.328	5579.907	5421.239
125000	5354.380	81.031	5226.201	5464.446	5346.776
130000	5471.862	88.897	5341.213	5611.879	5446.689
135000	5292.923	116.610	5160.775	5538.956	5267.284
140000	5344.538	82.944	5213.996	5470.325	5366.180
145000	5471.449	82.367	5293.207	5582.667	5494.618
150000	5404.072	84.505	5314.328	5564.309	5389.152
155000	5357.065	79.556	5244.470	5496.032	5343.775
160000	5339.179	72.746	5259.527	5482.129	5330.312
165000	5443.376	86.014	5322.268	5578.071	5457.462
170000	5534.643	82.800	5403.309	5632.477	5517.235
175000	5398.399	82.676	5294.853	5574.641	5373.756
180000	5462.932	74.907	5353.465	5580.969	5472.824
185000	5342.398	52.799	5273.176	5447.775	5330.598
190000	5425.572	106.606	5284.316	5619.795	5398.656
195000	5404.431	106.700	5187.346	5623.075	5429.848
200000	5438.560	145.441	5192.763	5655.534	5441.946
205000	5436.529	109.045	5294.164	5671.267	5418.535
210000	5418.995	74.676	5297.328	5533.316	5441.642
215000	5425.403	72.046	5321.442	5541.687	5406.982
220000	5462.514	64.749	5379.185	5585.151	5452.023
225000	5431.365	82.563	5294.110	5558.858	5436.498
230000	5406.241	68.925	5295.860	5542.855	5403.874
235000	5519.354	39.993	5446.929	5598.553	5518.755
240000	5503.739	79.739	5396.207	5626.166	5496.791
245000	5400.561	104.287	5214.724	5533.381	5413.199
250000	5413.668	55.124	5332.809	5513.312	5412.895
255000	5462.445	59.672	5376.654	5587.278	5458.900
260000	5477.607	106.557	5306.685	5666.740	5486.441
265000	5435.305	94.162	5242.808	5561.311	5439.975
270000	5526.589	91.512	5401.368	5699.905	5492.158
275000	5487.875	79.591	5371.754	5638.865	5489.647
280000	5435.076	83.723	5269.627	5584.876	5428.132
285000	5579.893	110.769	5423.325	5788.859	5581.146
290000	5430.406	71.098	5355.675	5592.384	5408.500
295000	5504.802	71.820	5413.780	5627.105	5481.500
300000	5491.011	52.335	5379.225	5561.828	5503.514
305000	5546.616	63.046	5437.454	5641.725	5551.675
310000	5569.112	76.050	5444.300	5669.883	5587.119
315000	5484.379	57.417	5375.566	5540.741	5515.113
320000	5463.196	51.272	5347.122	5518.043	5479.581
325000	5534.517	49.647	5455.990	5605.941	5536.793
330000	5452.512	83.767	5318.519	5554.384	5443.116
335000	5472.588	58.171	5380.539	5542.020	5498.220
340000	5586.122	65.866	5519.839	5708.679	5563.149
345000	5415.496	50.435	5355.236	5535.382	5393.210
350000	5471.833	94.090	5296.693	5634.629	5473.177
355000	5499.029	55.207	5389.307	5571.321	5511.984
360000	5492.167	61.389	5344.439	5602.863	5494.929
365000	5543.536	63.500	5462.048	5669.286	5545.589
370000	5418.290	58.562	5303.628	5530.846	5401.784
375000	5535.223	99.930	5360.287	5706.261	5528.599
380000	5490.697	74.560	5346.890	5638.063	5500.500
385000	5462.541	54.273	5343.228	5537.831	5477.620
390000	5536.457	81.654	5368.943	5653.496	5539.775
395000	5526.934	77.399	5409.040	5634.183	5529.557
400000	5518.000	88.570	5368.621	5649.031	5534.684
405000	5532.982	84.820	5413.968	5709.467	5526.436
410000	5505.896	77.770	5364.871	5600.698	5527.534
415000	5510.315	53.811	5403.117	5589.083	5501.912
420000	5478.595	53.728	5389.038	5538.704	5504.784
425000	5418.799	39.134	5349.436	5475.921	5413.676
430000	5556.065	75.143	5455.353	5670.979	5567.625
435000	5518.688	81.947	5420.366	5662.731	5506.416
440000	5446.420	87.395	5296.531	5598.843	5447.589
445000	5471.249	97.134	5342.434	5657.269	5465.592
450000	5580.396	38.710	5505.116	5652.576	5580.263
455000	5499.899	38.404	5437.840	5579.725	5499.584
460000	5528.091	88.018	5371.237	5685.510	5534.373
465000	5435.973	61.565	5315.976	5521.331	5455.883
470000	5470.866	47.300	5392.322	5563.594	5462.954
475000	5490.722	49.704	5367.566	5559.025	5497.254
480000	5456.925	116.390	5186.687	5590.742	5444.164
485000	5517.944	71.241	5399.651	5630.465	5537.272
490000	5593.237	72.622	5474.877	5707.418	5598.011
495000	5584.383	81.084	5458.154	5710.385	5593.123
500000	5372.123	72.419	5263.786	5474.876	5397.136
505000	5480.131	73.802	5362.939	5592.927	5482.477
510000	5548.260	76.170	5452.385	5714.881	5557.622
515000	5493.433	77.928	5394.668	5598.672	5509.048
520000	5461.854	37.093	5400.510	5515.123	5475.060
525000	5559.895	47.777	5490.515	5626.689	5571.903
530000	5527.599	106.032	5334.726	5687.335	5513.941
535000	5522.597	72.608	5385.042	5612.496	5545.158
540000	5457.396	104.030	5198.893	5599.191	5470.663
545000	5492.939	48.317	5414.208	5552.330	5505.022
550000	5551.972	111.720	5345.524	5768.261	5551.806
555000	5492.824	65.361	5341.772	5572.380	5507.309
560000	5526.011	55.689	5457.560	5621.596	5509.686
565000	5541.645	61.929	5433.222	5637.070	5539.114
570000	5588.473	54.578	5519.139	5709.976	5590.866
575000	5492.199	65.501	5371.192	5591.431	5515.500
580000	5540.836	74.103	5418.239	5643.462	5551.517
585000	5496.232	75.285	5383.800	5606.338	5503.946
590000	5504.930	84.251	5355.656	5684.109	5498.803
595000	5447.714	56.570	5355.620	5557.622	5436.637
600000	5493.982	78.683	5381.376	5629.270	5488.405
605000	5492.235	54.817	5401.321	5570.086	5504.471
610000	5529.908	68.695	5400.927	5634.920	5531.852
615000	5446.947	96.195	5321.518	5623.368	5419.246
620000	5500.743	71.446	5365.107	5597.180	5516.568
625000	5563.060	74.631	5421.515	5682.905	5551.229
630000	5543.679	60.434	5402.365	5623.962	5561.045
635000	5495.715	96.615	5373.486	5702.243	5508.934
640000	5519.743	48.767	5427.648	5582.836	5527.742
645000	5486.725	78.030	5372.483	5606.202	5480.198
650000	5522.958	73.507	5387.938	5629.956	5508.258
655000	5566.247	59.809	5464.725	5681.675	5571.831
660000	5504.087	62.834	5419.378	5619.620	5515.442
665000	5506.822	69.823	5389.753	5626.363	5528.400
670000	5511.364	74.572	5367.678	5647.045	5513.259
675000	5591.923	43.917	5514.034	5645.813	5602.057
680000	5562.484	73.982	5388.628	5649.518	5574.945
685000	5521.012	58.005	5433.895	5597.192	5533.375
690000	5515.606	66.294	5404.417	5612.981	5536.224
695000	5524.517	79.538	5311.494	5621.001	5540.825
700000	5532.731	82.827	5365.841	5671.115	5522.320
705000	5518.261	81.624	5375.510	5628.265	5519.916
710000	5521.924	91.643	5389.489	5655.347	5543.145
715000	5580.220	72.986	5489.390	5712.637	5558.428
720000	5579.231	81.441	5389.594	5670.738	5608.227
725000	5591.546	59.985	5475.300	5688.957	5583.469
730000	5548.665	76.241	5406.503	5682.058	5562.862
735000	5523.550	52.758	5442.604	5603.002	5521.547
740000	5581.169	58.151	5466.555	5678.205	5587.560
745000	5585.060	104.763	5356.893	5710.904	5612.273
750000	5538.991	102.239	5360.950	5743.420	5530.959
755000	5531.539	84.093	5403.753	5636.766	5564.960
760000	5539.909	47.719	5487.183	5615.589	5520.950
765000	5523.683	52.518	5419.088	5619.482	5529.630
770000	5603.749	79.334	5491.544	5750.915	5577.605
775000	5520.423	54.717	5406.059	5595.491	5528.133
780000	5503.715	98.611	5300.209	5605.934	5555.107
785000	5524.654	75.961	5415.601	5668.199	5501.471
790000	5519.467	71.892	5440.354	5701.621	5509.474
795000	5539.530	67.813	5374.574	5612.064	5553.253
800000	5503.475	77.554	5315.598	5627.376	5503.409
805000	5515.245	90.099	5388.905	5646.990	5511.318
810000	5523.932	104.361	5391.457	5692.082	5536.790
815000	5541.231	95.091	5423.294	5715.624	5533.402
820000	5542.731	125.108	5318.643	5723.329	5555.448
825000	5496.533	63.071	5427.118	5611.499	5470.120
830000	5523.177	52.634	5415.015	5637.087	5523.962
835000	5552.143	82.228	5418.559	5664.247	5553.963
840000	5558.147	64.970	5464.463	5695.419	5546.029
845000	5511.009	63.907	5378.740	5594.146	5532.592
850000	5565.209	100.657	5346.094	5694.402	5581.463
855000	5548.507	79.277	5361.614	5641.488	5566.520
860000	5555.870	79.943	5437.275	5695.248	5560.586
865000	5560.559	39.937	5480.432	5603.934	5577.712
870000	5590.527	72.810	5462.247	5687.888	5588.584
875000	5536.627	63.004	5415.274	5652.552	5538.048
880000	5552.731	79.224	5386.156	5667.498	5561.276
885000	5509.431	40.962	5446.727	5567.026	5513.149
890000	5515.086	51.349	5412.581	5601.635	5522.521
895000	5515.069	102.254	5357.532	5683.867	5527.142
900000	5485.238	73.288	5321.408	5596.710	5491.952
905000	5574.206	68.827	5465.341	5708.776	5574.108
910000	5574.237	68.436	5425.234	5679.198	5572.981
915000	5528.261	77.048	5382.211	5654.010	5530.280
920000	5556.490	54.243	5461.653	5630.808	5565.598
925000	5538.563	62.372	5449.771	5657.767	5548.564
930000	5516.418	75.040	5380.869	5603.750	5538.279
935000	5549.876	95.105	5358.145	5701.489	5567.336
940000	5511.554	100.182	5305.705	5663.042	5531.205
945000	5559.183	87.527	5444.034	5686.537	5557.050
950000	5505.026	51.882	5446.539	5591.864	5492.802
955000	5557.771	61.717	5397.339	5622.362	5577.144
960000	5529.890	53.683	5448.942	5632.520	5512.229
965000	5581.952	53.741	5507.913	5685.165	5574.146
970000	5499.730	73.047	5352.211	5612.916	5499.286
975000	5527.044	54.979	5444.712	5629.148	5520.802
980000	5530.203	76.644	5457.825	5681.392	5496.011
985000	5546.033	88.452	5360.852	5687.314	5565.600
990000	5542.390	58.076	5440.183	5664.294	5540.185
995000	5487.798	87.422	5351.234	5621.475	5500.264
1000000	5562.518	99.865	5431.415	5776.896	5553.846
