iteration	mean	std_dev
5000	23.322	11.364
10000	13.304	4.046
15000	18.130	9.013
20000	22.395	10.590
25000	26.557	7.430
30000	24.405	9.506
35000	20.520	2.728
40000	23.755	4.569
45000	26.421	3.134
50000	17.391	3.071
55000	26.042	8.980
60000	42.154	17.585
65000	27.212	6.844
70000	56.832	27.783
75000	47.211	37.234
80000	33.714	21.651
85000	51.031	38.527
90000	41.043	36.953
95000	54.951	38.059
100000	37.761	4.318
105000	32.846	22.439
110000	25.328	20.917
115000	34.652	33.860
120000	38.412	30.319
125000	30.905	29.082
130000	24.319	24.255
135000	26.435	33.036
140000	5.748	4.815
145000	11.297	0.407
150000	16.888	15.194
155000	20.951	22.469
160000	12.139	2.216
165000	10.834	19.688
170000	5.541	4.656
175000	10.434	12.962
180000	30.216	37.355
185000	5.996	5.422
190000	7.289	4.585
195000	31.909	38.977
200000	29.035	34.888
205000	14.282	19.642
210000	14.769	21.560
215000	17.510	25.057
220000	10.061	20.224
225000	15.384	15.531
230000	11.610	7.306
235000	5.311	4.481
240000	37.483	42.491
245000	45.434	38.071
250000	6.149	5.419
255000	10.072	4.094
260000	7.817	5.131
265000	8.439	11.300
270000	23.032	34.235
275000	5.817	5.455
280000	6.740	7.381
285000	15.893	25.676
290000	9.992	8.300
295000	23.137	25.543
300000	40.471	50.616
305000	10.891	7.527
310000	8.597	4.715
315000	13.284	19.353
320000	6.360	4.558
325000	19.813	29.990
330000	16.980	30.183
335000	16.376	19.793
340000	9.479	12.359
345000	16.337	25.756
350000	34.471	42.284
355000	16.535	23.142
360000	13.269	19.179
365000	6.796	5.354
370000	41.591	45.356
375000	9.410	19.838
380000	68.436	47.327
385000	33.055	46.563
390000	33.959	43.052
395000	21.110	32.157
400000	19.443	23.155
405000	17.694	15.485
410000	20.961	23.511
415000	9.929	16.123
420000	26.657	40.005
425000	10.274	5.913
430000	29.464	39.560
435000	40.563	44.176
440000	44.750	40.451
445000	37.924	50.323
450000	27.955	39.520
455000	60.908	52.973
460000	47.942	44.658
465000	40.090	47.032
470000	6.748	8.553
475000	58.461	54.121
480000	45.379	42.297
485000	26.658	38.858
490000	48.649	50.353
495000	46.158	43.469
500000	34.926	38.291
505000	27.897	41.765
510000	39.043	51.533
515000	7.537	9.494
520000	34.324	43.250
525000	17.315	20.745
530000	24.957	22.332
535000	55.256	46.479
540000	57.972	49.801
545000	28.975	43.307
550000	12.515	22.545
555000	44.711	49.471
560000	57.340	49.867
565000	48.690	46.339
570000	81.475	41.927
575000	57.338	42.391
580000	68.078	50.171
585000	54.096	52.340
590000	56.269	43.995
595000	62.534	43.193
600000	79.749	35.197
605000	47.401	50.070
610000	30.469	34.450
615000	25.748	37.980
620000	67.108	53.272
625000	15.832	16.241
630000	64.792	51.565
635000	71.690	38.053
640000	37.203	46.009
645000	43.937	50.440
650000	25.992	39.565
655000	41.642	45.346
660000	31.555	44.899
665000	39.213	51.696
670000	74.828	46.323
675000	30.820	37.331
680000	45.719	47.228
685000	40.447	44.395
690000	48.794	49.106
695000	36.784	44.406
700000	44.511	40.629
705000	62.427	51.575
710000	59.399	47.827
715000	29.035	37.163
720000	66.082	41.578
725000	65.329	53.857
730000	50.268	43.562
735000	57.477	48.318
740000	53.908	50.254
745000	97.449	35.213
750000	63.426	52.559
755000	46.777	48.681
760000	64.991	52.258
765000	42.372	50.662
770000	41.493	48.116
775000	59.739	48.993
780000	60.646	50.642
785000	47.619	45.901
790000	50.165	52.700
795000	81.473	33.039
800000	83.108	42.912
805000	41.728	50.892
810000	54.625	48.319
815000	47.465	48.747
820000	55.014	50.026
825000	48.270	46.573
830000	61.038	51.647
835000	75.113	47.122
840000	57.849	49.083
845000	54.826	50.274
850000	72.412	42.274
855000	43.077	44.757
860000	37.462	41.301
865000	72.142	47.124
870000	56.757	45.725
875000	66.894	41.933
880000	53.339	45.052
885000	52.118	49.478
890000	43.379	46.301
895000	64.445	44.197
900000	64.770	47.850
905000	58.803	44.468
910000	70.445	44.135
915000	62.697	44.654
920000	50.582	49.651
925000	52.593	48.047
930000	47.618	46.066
935000	57.632	48.719
940000	49.598	48.484
945000	57.278	47.725
950000	55.619	45.496
955000	49.894	37.470
960000	50.510	47.350
965000	59.159	42.453
970000	38.738	43.972
975000	58.267	49.761
980000	57.457	45.234
985000	56.475	50.804
990000	60.473	46.283
995000	55.661	44.800
1000000	59.011	44.129
