iteration	mean	std_dev	min	max	median
5000	1395.929	167.557	1059.925	1635.796	1328.177
10000	1238.845	9.819	1227.500	1256.914	1236.101
15000	1453.298	113.891	1200.356	1683.286	1480.991
20000	2031.430	272.684	1801.140	2743.182	1965.907
25000	1295.703	105.296	1228.817	1545.264	1242.057
30000	1283.753	54.977	1192.311	1360.936	1283.749
35000	1342.884	121.180	1217.151	1534.482	1263.726
40000	1185.564	148.754	1032.425	1403.389	1109.103
45000	1643.701	350.873	1332.313	2637.898	1593.061
50000	1453.218	336.076	1141.924	2207.426	1338.289
55000	1421.506	168.346	1248.344	1755.020	1345.704
60000	1296.588	111.993	1199.253	1606.596	1254.178
65000	2272.565	572.763	1576.751	3316.734	2207.847
70000	1253.033	95.136	1152.861	1498.153	1237.450
75000	1901.490	485.221	1499.322	2813.886	1591.453
80000	1513.475	520.384	1119.541	2888.839	1280.829
85000	1640.179	108.483	1516.156	1841.541	1618.994
90000	1952.273	494.433	1494.481	3296.310	1868.701
95000	2052.404	676.022	1349.471	3337.696	1757.200
100000	1336.958	78.246	1275.431	1528.872	1299.990
105000	1511.154	180.196	1297.046	1914.571	1537.712
110000	1979.259	595.053	1451.451	3228.123	1613.348
115000	2206.850	503.728	1605.787	3250.382	2172.925
120000	2042.960	542.855	1526.478	3253.068	1984.233
125000	1713.682	164.436	1549.586	2076.602	1683.632
130000	1819.381	327.019	1338.642	2420.600	1833.205
135000	1865.230	399.044	1477.010	2793.476	1733.718
140000	2054.621	677.665	1458.625	3271.525	1712.922
145000	1882.054	461.365	1464.268	3070.863	1736.833
150000	1583.016	279.089	1319.539	2222.357	1492.117
155000	2035.116	514.955	1580.048	3145.873	1882.731
160000	1924.418	191.529	1539.490	2226.000	1916.301
165000	2383.069	633.490	1519.833	3356.620	2256.790
170000	1709.341	294.623	1353.662	2189.369	1650.606
175000	1794.754	520.273	1334.118	3265.168	1619.364
180000	1983.774	609.042	1370.126	3258.750	1626.064
185000	1717.401	185.401	1541.668	2155.367	1632.562
190000	1693.906	269.441	1347.251	2195.524	1609.550
195000	1734.776	240.836	1379.322	2127.942	1647.235
200000	1516.711	94.182	1327.962	1609.755	1546.635
205000	1644.469	378.728	1321.367	2423.215	1500.309
210000	1785.265	363.710	1348.405	2430.179	1811.760
215000	1789.397	541.453	1306.928	3074.023	1624.498
220000	2290.533	485.675	1464.171	3284.980	2375.966
225000	2356.422	562.240	1792.691	3282.676	2170.964
230000	2195.315	623.869	1586.577	3276.613	1903.158
235000	1963.041	324.395	1608.563	2807.466	1903.271
240000	1798.071	351.758	1366.326	2403.580	1701.762
245000	1856.452	264.653	1503.752	2452.001	1811.776
250000	2944.875	435.880	2162.638	3317.706	3178.032
255000	2518.198	489.603	1926.949	3306.868	2394.438
260000	1942.036	175.048	1595.602	2265.644	1915.337
265000	1816.382	130.320	1595.164	1949.743	1871.416
270000	2317.051	392.339	1915.758	3237.884	2290.498
275000	2194.186	577.210	1552.007	3283.768	2030.900
280000	2124.841	641.829	1427.419	3308.614	2002.992
285000	2287.847	496.132	1620.103	3304.719	2162.315
290000	1876.414	514.535	1317.816	3297.377	1832.780
295000	2074.215	603.468	1401.980	3270.751	1914.311
300000	2377.747	569.578	1593.600	3276.408	2373.428
305000	2110.825	407.712	1825.659	3246.737	1925.626
310000	2359.931	589.822	1524.114	3351.519	2168.016
315000	2090.440	439.919	1571.615	3247.104	1917.670
320000	2173.171	513.149	1623.722	3246.574	1931.621
325000	1849.359	141.469	1526.618	2021.664	1892.561
330000	2036.012	487.780	1459.165	3334.343	1930.667
335000	2049.294	432.907	1344.375	2991.388	1922.363
340000	2269.936	308.476	1919.486	3069.413	2195.236
345000	2225.633	489.794	1554.524	3067.005	2198.539
350000	2422.326	436.157	1837.259	3080.352	2466.999
355000	2274.274	545.387	1622.180	3277.133	2015.540
360000	2154.019	462.703	1618.423	3262.954	2011.969
365000	2028.135	214.970	1843.603	2537.548	1908.713
370000	1992.500	321.102	1621.470	2681.342	1901.301
375000	2297.978	407.248	1866.721	3258.814	2184.240
380000	2089.695	420.354	1859.753	3303.458	1901.582
385000	2009.585	621.760	1312.217	3363.860	1731.209
390000	1989.373	181.283	1772.272	2444.634	1928.987
395000	2159.056	590.466	1622.045	3290.089	1884.518
400000	2655.289	563.636	1933.588	3359.318	2652.370
405000	1948.285	442.109	1594.669	3225.218	1860.712
410000	2036.833	424.121	1772.237	3280.143	1900.287
