iteration	mean	std_dev	min	max	median
5000	-1.739	1.048	-4.122	-0.109	-1.599
10000	-15.478	1.408	-17.129	-12.391	-15.916
15000	3405.760	919.232	1078.473	4512.218	3434.077
20000	2357.008	1069.813	759.841	3753.523	2229.069
25000	3009.687	1684.947	818.301	4858.216	3825.308
30000	2371.859	1377.009	488.929	4723.581	2724.480
35000	4503.165	602.861	3232.333	4941.015	4861.646
40000	4167.845	1023.855	2496.284	5041.854	4938.257
45000	2447.083	742.671	1577.696	3783.846	2059.331
50000	4577.852	859.006	2007.291	4942.594	4860.193
55000	1564.628	1117.155	956.558	4638.001	973.332
60000	5052.075	36.944	4996.515	5116.064	5046.792
65000	4537.990	1128.957	1190.053	5013.535	4967.877
70000	4698.806	550.058	3489.016	5125.663	4995.441
75000	4455.881	998.355	1983.580	5072.069	4962.271
80000	4130.729	569.042	3162.582	4923.188	3988.822
85000	4332.550	1204.594	1617.911	5192.585	5003.935
90000	4777.351	536.668	3292.510	5084.722	4996.780
95000	4356.778	851.015	2809.939	5016.068	4844.442
100000	5030.412	38.625	4940.314	5079.703	5034.651
105000	4372.582	1065.654	1755.456	5101.840	4862.002
110000	4337.093	728.335	3287.516	5004.604	4828.254
115000	4738.166	740.461	2742.140	5217.109	5037.353
120000	4237.688	1073.262	1808.227	5094.861	4808.006
125000	4980.192	161.679	4515.268	5102.546	5031.281
130000	4894.202	107.443	4668.225	5026.531	4887.582
135000	3320.299	1140.708	2145.520	5150.391	2958.793
140000	4464.255	1077.929	1870.377	5094.928	4974.462
145000	4620.738	1001.977	1685.129	5153.400	5025.464
150000	4720.234	713.225	2615.740	5114.700	4997.944
155000	4930.694	500.024	3431.127	5120.265	5098.143
160000	4301.352	918.331	2777.396	4973.049	4874.798
165000	5010.209	49.849	4953.119	5087.521	5002.541
170000	4905.223	138.155	4687.369	5106.175	4917.467
175000	4896.502	284.001	4173.925	5170.398	5020.020
180000	4756.807	82.565	4635.660	4918.533	4729.598
185000	5041.268	67.009	4932.411	5171.114	5021.490
190000	5051.616	75.323	4917.744	5149.743	5047.562
195000	3813.937	1613.540	1302.866	5054.257	4814.683
200000	5025.354	58.119	4934.059	5154.079	5027.073
205000	4005.873	977.525	2699.468	5044.518	4519.603
210000	4727.938	633.575	2835.218	5055.914	4906.411
215000	5023.696	58.887	4938.335	5111.788	5030.901
220000	4789.700	476.357	3380.295	5088.745	4938.560
225000	4748.936	578.375	3019.870	5019.089	4937.033
230000	4256.881	806.164	2632.289	5094.886	4454.954
235000	3838.383	1101.612	2295.976	5034.575	3898.923
240000	4342.601	840.083	2652.536	5079.299	4780.634
245000	4784.092	569.075	3079.411	5024.786	4966.152
250000	4696.259	488.513	3707.505	5125.826	4928.834
255000	4264.358	940.629	2602.989	4983.042	4777.766
260000	4646.351	644.014	2979.269	5119.022	4978.960
265000	4972.009	87.729	4782.060	5068.448	4991.498
270000	4805.880	404.409	3652.012	5105.391	4967.060
275000	4581.403	704.444	2703.830	5033.017	4870.150
280000	5045.768	172.447	4530.312	5129.284	5098.891
285000	4748.151	643.818	2835.108	5043.193	4995.581
290000	4302.068	933.662	2732.695	5012.699	4864.589
295000	5068.612	14.484	5034.891	5086.347	5071.504
300000	4807.166	481.782	3396.993	5092.897	4955.230
305000	4624.241	690.198	2793.807	5062.144	4979.112
310000	4529.130	719.702	3146.225	5048.347	4957.394
315000	4460.735	768.197	3069.657	5123.735	4930.666
320000	5073.071	41.636	5013.390	5137.454	5081.837
325000	4613.002	1110.449	1282.789	5028.993	4978.955
330000	4991.191	143.685	4662.188	5171.927	4998.158
335000	4616.657	666.813	2696.492	5121.874	4845.087
340000	5004.889	133.413	4798.039	5176.131	5072.522
345000	4590.144	657.004	3159.847	5106.375	4985.354
350000	4977.975	68.350	4840.492	5091.375	4976.976
355000	4613.468	380.580	3792.780	5000.682	4786.598
360000	4736.629	552.827	3524.012	5114.390	4995.100
365000	4672.851	724.558	2515.036	5098.783	4892.470
370000	4804.667	410.897	3818.711	5037.996	4997.175
375000	4976.446	53.253	4863.158	5051.139	4981.638
380000	4266.824	1024.823	2144.481	5090.793	4938.104
385000	4823.157	359.566	3779.982	5057.674	4941.795
390000	4839.542	271.171	4241.157	5098.555	4906.009
395000	4959.030	40.894	4906.218	5043.938	4947.225
400000	4987.327	381.544	3845.185	5139.577	5118.559
405000	4771.582	398.563	3776.661	5132.360	4907.326
410000	4837.349	71.854	4677.571	4914.320	4869.720
415000	4964.951	92.288	4801.365	5078.774	4979.737
420000	5067.784	50.301	4919.394	5096.920	5078.534
425000	4184.040	962.597	2545.572	5042.506	4650.928
430000	4859.853	189.072	4369.993	5051.661	4902.339
435000	5002.801	73.184	4863.730	5085.215	5010.330
440000	4539.427	564.653	3529.897	5007.750	4835.714
445000	4367.106	915.503	2727.584	5069.222	4965.645
450000	3966.926	1019.556	2392.630	4928.550	4630.123
455000	3949.197	1232.229	2104.766	5066.667	4843.444
460000	4865.446	210.079	4276.553	5021.373	4922.681
465000	4912.878	177.814	4394.172	5039.310	4956.110
470000	4594.015	674.025	3123.981	5055.546	4964.751
475000	4877.850	273.871	4133.705	5098.767	4925.969
480000	4703.715	583.844	3161.396	5118.171	4974.479
485000	4928.542	134.827	4721.604	5100.947	4900.414
490000	5044.793	32.727	4978.113	5091.946	5049.052
495000	5002.970	66.977	4880.517	5088.535	5025.695
500000	5054.605	49.342	4918.069	5087.342	5075.421
505000	4957.154	287.477	4134.821	5138.610	5063.952
510000	5049.529	123.138	4729.804	5182.754	5099.516
515000	5111.107	58.204	4938.952	5142.286	5131.269
520000	4855.388	378.859	3908.975	5079.203	5040.987
525000	4958.737	295.726	4073.441	5082.042	5063.644
530000	4879.612	334.278	3926.705	5091.250	5000.503
535000	4072.727	910.949	2479.381	5012.427	4203.185
540000	4941.648	125.772	4688.953	5077.437	4987.017
545000	4576.431	780.529	3127.853	5116.531	5039.167
550000	4978.720	59.790	4819.642	5032.834	5006.874
555000	5063.717	69.147	4868.934	5114.583	5090.699
560000	5045.432	91.790	4805.847	5122.433	5077.755
565000	4355.634	766.879	3074.783	5115.450	4775.715
570000	4202.490	963.415	2769.628	5039.481	4889.308
575000	4936.987	157.816	4506.928	5104.184	4983.739
580000	5032.739	39.959	4949.151	5077.403	5046.649
585000	4965.269	116.228	4773.039	5105.579	4988.618
590000	3848.618	965.265	2652.399	5025.671	3612.174
595000	5044.978	85.876	4856.868	5133.560	5076.706
600000	4835.647	126.564	4590.848	4964.631	4888.023
605000	4835.175	426.534	3686.657	5086.280	5025.694
610000	4094.303	994.472	2764.123	5043.601	4642.386
615000	4844.620	400.948	3650.414	5059.286	4967.131
620000	4167.271	901.224	2879.586	5173.667	4380.096
625000	4764.298	569.954	3081.790	5107.846	4897.965
630000	4966.463	216.410	4334.972	5110.434	5010.368
635000	4518.203	928.242	2625.042	5156.301	5078.188
640000	4725.455	501.148	3519.268	5083.234	4959.741
645000	5109.968	23.601	5065.139	5135.328	5114.328
650000	5102.118	29.933	5056.867	5166.776	5095.120
655000	4670.977	821.107	2621.851	5129.988	5075.760
660000	5074.196	78.434	4848.982	5122.571	5104.999
665000	4422.136	870.069	2723.180	5136.245	5043.914
670000	5007.574	59.595	4919.388	5086.220	5033.249
675000	4809.396	206.665	4460.956	5073.687	4825.585
680000	4744.714	525.924	3510.816	5117.874	5040.632
685000	4204.901	891.286	2438.717	5104.676	4430.691
690000	4782.816	384.349	3878.476	5079.506	4949.067
695000	4376.213	961.821	2728.064	5073.125	4974.146
700000	4037.695	1104.814	2524.745	5123.316	4712.381
705000	5000.777	50.350	4923.323	5083.010	4997.381
710000	4579.326	788.239	2731.783	5050.646	4980.515
715000	4659.626	788.730	2545.649	5101.379	5026.049
720000	4833.169	328.816	3928.047	5120.121	4895.395
725000	4462.125	773.403	2703.046	5038.924	4875.839
730000	4746.852	443.910	3651.446	5075.352	4959.675
735000	4867.168	671.562	2854.338	5137.380	5090.304
740000	4663.208	640.539	3226.921	5167.769	5026.269
745000	4595.276	973.066	2541.501	5092.096	5082.677
750000	5071.303	53.850	4944.120	5132.283	5089.415
755000	5103.366	13.406	5080.463	5120.277	5105.123
760000	4786.739	615.739	2953.722	5119.467	4955.830
765000	4445.463	869.599	2526.202	5136.902	4974.029
770000	4428.859	647.761	3243.385	5017.825	4652.665
775000	4701.966	733.157	2716.595	5109.193	5011.000
780000	3513.740	833.234	2497.768	4994.732	3431.008
785000	4463.316	1006.417	2471.712	5140.862	5003.935
790000	4760.693	749.955	2530.502	5113.621	5000.521
795000	4894.597	172.669	4522.061	5088.799	4976.957
800000	4688.292	704.640	3276.188	5123.328	5008.366
805000	3611.205	1162.068	2512.484	5079.483	3007.074
810000	4056.354	970.776	2715.140	5018.502	4423.611
815000	4731.020	500.140	3491.143	5118.954	5043.713
820000	4904.026	269.703	4187.600	5101.499	5022.638
825000	4287.976	1000.688	2690.913	5119.667	5007.794
830000	5006.640	158.017	4571.880	5119.145	5056.069
835000	4441.474	716.178	3122.424	5113.248	4688.521
840000	4397.384	869.074	2804.474	5020.012	4933.823
845000	4064.175	1075.944	2575.581	5040.121	4807.124
850000	4481.187	1034.239	1925.367	5128.857	5105.041
855000	3949.061	1089.673	2525.297	5025.346	4362.172
860000	4453.045	861.978	2880.053	5112.114	4961.652
865000	4110.960	1121.275	2615.166	5102.490	4974.988
870000	5046.583	49.924	4925.698	5098.564	5061.657
875000	4669.599	763.496	2732.774	5096.833	5019.146
880000	4791.680	412.810	3931.531	5107.303	5020.439
885000	4616.582	836.273	2539.708	5126.535	5054.036
890000	4493.235	890.402	2589.502	5069.235	4941.753
895000	3806.167	1069.340	2476.006	5056.886	3960.981
900000	4317.950	966.165	2479.462	5039.751	4888.900
905000	4709.777	747.304	2532.609	5115.835	5000.573
910000	4523.897	916.718	2510.153	5078.123	4960.811
915000	4521.122	1015.845	2480.777	5113.745	5010.163
920000	3705.273	882.519	2710.425	5027.669	3356.442
925000	4820.405	645.389	2894.446	5134.709	5040.191
930000	3849.434	1078.598	2519.327	5120.070	3772.729
935000	4547.191	900.302	2559.720	5060.978	4965.452
940000	4474.806	821.371	2840.232	5096.741	4900.783
945000	4458.470	743.337	2504.957	5093.718	4733.607
950000	4319.197	974.211	2833.407	5120.046	4973.887
955000	4688.714	638.599	3047.613	5100.241	5040.779
960000	4770.696	530.519	3210.537	5109.571	4929.875
965000	3689.245	1040.312	2493.145	5092.026	3433.208
970000	4105.838	981.031	2694.174	5114.117	4586.909
975000	4151.234	1064.172	2741.621	5111.588	4919.451
980000	4553.801	932.516	2496.029	5115.344	5003.070
985000	4402.951	926.494	2698.887	5089.204	4983.215
990000	4348.290	1025.593	2552.596	5110.517	5032.121
995000	4569.104	730.786	3123.992	5103.747	4883.107
1000000	4969.443	184.061	4524.000	5110.822	5058.141
