iteration	mean	std_dev	min	max	median
5000	287.591	35.750	236.353	359.211	286.823
10000	452.240	114.252	282.932	573.652	525.323
15000	428.569	166.027	201.644	730.992	488.171
20000	238.070	79.465	115.035	324.823	269.434
25000	606.049	296.590	214.694	1294.052	555.410
30000	562.986	305.664	127.715	1589.494	464.857
35000	724.102	425.016	191.967	1875.074	697.135
40000	1162.592	1108.084	111.903	3364.350	551.427
45000	555.893	314.210	137.741	1286.452	559.693
50000	1376.868	835.353	158.398	3059.592	1420.198
55000	1263.294	817.229	339.298	2589.383	1368.646
60000	1874.484	1066.662	153.865	4012.357	1668.097
65000	1636.394	1051.788	305.238	3943.825	1140.784
70000	2066.924	513.073	1486.672	4039.018	1929.927
75000	2062.781	541.616	1027.295	3633.059	1926.234
80000	2541.327	844.948	1469.944	4001.468	2211.208
85000	2252.471	635.639	1392.827	3826.646	2170.699
90000	2825.075	810.257	1146.106	4395.375	2816.708
95000	2635.232	925.695	625.636	3990.229	2725.985
100000	2781.042	822.078	523.961	4072.014	2807.565
105000	2131.017	984.371	667.217	3940.304	1914.153
110000	2549.476	650.859	1178.392	4007.280	2416.890
115000	2863.245	923.256	963.403	3837.475	3133.305
120000	2849.856	813.682	997.073	3870.735	2900.585
125000	2488.023	1078.580	726.835	4158.739	2482.380
130000	3199.542	742.101	1847.162	4309.383	3555.751
135000	2651.951	1033.695	865.942	4212.009	2456.537
140000	2814.024	825.310	1470.978	4189.982	2623.477
145000	3203.522	748.581	1743.899	4119.691	3626.459
150000	2748.116	864.100	1480.092	3836.959	2466.543
155000	2601.630	985.526	1116.843	4279.396	2366.552
160000	3063.917	872.687	1180.244	3954.729	3328.937
165000	2604.303	712.791	1424.491	3968.050	2528.017
170000	2995.791	982.723	1685.629	4251.049	3074.155
175000	2815.579	916.422	1140.687	4322.246	2802.670
180000	3040.804	1033.015	1137.783	4368.800	3634.937
185000	2656.290	851.519	1000.138	4166.268	2629.237
190000	2671.841	970.583	1005.357	4120.817	2591.186
195000	2882.995	897.869	979.269	4199.172	2950.105
200000	3223.024	856.071	1548.987	4212.330	3641.831
205000	3142.249	989.312	1499.204	4313.515	3364.325
210000	2630.287	1011.734	1000.132	4275.897	2598.610
215000	3583.673	592.059	996.328	4084.477	3729.233
220000	2779.560	901.809	1248.491	4125.094	2488.376
225000	3084.345	887.521	1567.375	4307.979	3122.465
230000	3355.408	622.408	1809.591	3976.928	3656.283
235000	2925.511	1043.824	652.172	4156.171	3340.319
240000	3273.509	832.924	1218.750	4094.454	3706.591
245000	2800.450	803.119	1228.191	4198.927	2728.724
250000	3355.132	765.429	1634.036	4131.878	3736.024
255000	3281.895	848.357	1595.844	4350.064	3664.269
