iteration	mean	std_dev	min	max	median
5000	1554.717	870.434	649.258	3412.010	1372.533
10000	1024.094	147.437	943.273	1433.808	949.590
15000	3103.903	774.943	1622.210	4084.217	3357.444
20000	1204.085	460.553	666.790	1976.333	1180.681
25000	1769.814	770.084	978.353	3376.166	1388.031
30000	2492.239	921.057	1405.969	4411.249	2414.992
35000	2053.383	640.444	1196.408	3270.315	2036.128
40000	2707.792	850.371	1751.871	4054.110	2521.640
45000	532.695	302.007	325.357	1405.194	441.987
50000	2050.519	870.217	1139.680	3975.444	1816.424
55000	2927.451	857.011	1875.610	3969.264	2901.129
60000	3001.476	616.977	2031.458	3731.459	3180.120
65000	2221.844	1149.992	1110.322	4112.394	1763.836
70000	1828.995	1034.293	720.391	3826.629	1738.026
75000	2854.399	933.189	1517.857	3799.905	3198.306
80000	3750.934	409.881	2559.933	4093.346	3816.745
85000	3389.065	521.044	2188.481	3904.607	3487.004
90000	3536.058	580.682	1975.537	4049.022	3756.414
95000	3331.218	817.658	1614.003	4113.888	3790.575
100000	3715.788	602.240	1991.523	4156.263	3962.938
105000	3799.270	234.745	3204.179	3990.985	3901.114
110000	3526.117	630.948	1752.835	3950.496	3787.544
115000	3632.709	486.283	2198.703	3977.461	3770.218
120000	3604.534	357.368	2582.026	3829.334	3767.082
125000	3383.058	774.895	1487.318	3922.972	3816.924
130000	3354.428	802.447	1660.093	3989.184	3653.669
135000	3693.679	256.412	2943.314	3856.857	3760.982
140000	2915.372	1070.762	1317.730	3944.573	3401.682
145000	3358.243	735.715	1877.617	3837.799	3701.780
150000	1803.461	1356.405	342.394	4091.704	1411.256
155000	3487.144	508.286	2052.300	3802.215	3720.020
160000	3841.002	55.208	3761.527	3939.937	3846.192
165000	3328.311	789.770	1671.622	3926.130	3681.426
170000	3295.749	831.130	1429.025	3955.833	3769.112
175000	3412.275	789.358	1550.146	3969.293	3711.636
180000	3602.831	474.088	2193.113	3871.915	3750.361
185000	2651.993	1271.638	410.704	3895.981	2990.290
190000	3240.872	1354.842	493.842	4083.721	3898.175
195000	3675.428	288.158	2839.763	3880.817	3765.145
200000	3706.375	524.213	2138.619	3938.462	3873.934
205000	2962.329	1267.288	572.797	3935.582	3726.667
210000	3752.096	91.817	3583.624	3873.760	3765.881
215000	3645.306	388.348	2647.740	3902.305	3842.288
220000	2511.970	1479.458	689.623	3952.072	3255.767
225000	3529.372	817.418	1200.583	3965.058	3861.717
230000	3695.583	230.836	3174.033	3891.408	3770.196
235000	3764.322	366.670	2690.608	4035.791	3871.968
240000	3662.361	451.928	2524.687	3980.615	3857.626
245000	3653.374	685.179	1677.580	4057.678	3891.630
250000	3498.793	644.752	1890.149	3885.878	3804.311
255000	3704.012	206.948	3117.265	3845.198	3770.851
260000	3570.736	481.407	2252.797	3855.494	3807.744
265000	3062.804	989.149	1048.687	3973.380	3528.791
270000	3786.676	66.124	3621.879	3880.361	3806.091
275000	3822.869	37.204	3738.492	3876.633	3822.156
280000	3808.993	149.659	3371.094	3939.715	3846.356
285000	3773.349	50.865	3667.673	3856.885	3764.448
290000	3740.514	617.559	1901.752	4065.691	3934.298
295000	3787.562	385.776	2711.573	4280.288	3842.344
300000	3462.644	829.588	1793.878	4065.164	3806.899
305000	3869.956	28.232	3837.550	3916.671	3861.776
310000	3653.981	728.485	1492.294	4153.487	3846.138
315000	3764.601	81.314	3574.126	3859.846	3792.345
320000	3778.645	57.899	3703.191	3923.644	3761.795
325000	3821.174	80.457	3708.016	4029.347	3806.320
330000	3712.072	317.164	2793.579	3941.786	3815.698
335000	3753.094	203.571	3352.070	3920.566	3840.141
340000	3929.766	42.038	3869.209	4011.336	3925.247
345000	3818.692	75.986	3677.632	3901.182	3830.755
350000	3871.396	62.041	3768.981	4000.161	3854.820
355000	3733.395	362.443	2679.251	4022.556	3802.321
360000	3711.897	266.627	2933.538	3919.797	3801.194
365000	3806.916	67.295	3720.533	3928.623	3799.290
370000	3811.884	63.680	3715.518	3928.751	3823.102
375000	3857.943	53.142	3779.289	3978.014	3859.274
380000	3411.750	612.354	2333.253	3845.344	3782.283
385000	3570.764	643.893	1652.773	3926.426	3752.882
390000	3794.328	51.839	3710.625	3912.869	3790.793
395000	3584.738	666.557	1598.589	3941.587	3768.703
400000	3676.033	350.257	2638.245	3905.004	3757.056
405000	3566.102	445.027	2404.893	3850.042	3761.763
410000	3588.480	150.057	3291.427	3765.610	3635.498
415000	3714.693	45.169	3646.952	3801.601	3713.972
420000	3729.861	22.452	3688.171	3763.016	3730.699
425000	3647.067	604.341	1838.605	3918.484	3826.603
430000	3772.003	69.011	3676.614	3947.795	3753.904
435000	3813.143	140.691	3459.858	4002.854	3840.760
440000	3743.547	243.118	3057.843	3951.747	3800.902
445000	3605.792	492.643	2134.156	3824.620	3781.250
450000	3715.557	70.960	3606.167	3851.591	3708.864
455000	3592.284	591.951	1824.386	3892.410	3772.608
460000	3820.761	35.956	3749.553	3870.438	3837.185
465000	3795.104	52.193	3718.304	3864.626	3804.258
470000	3722.839	264.547	2940.606	3883.918	3805.296
475000	3745.642	178.282	3243.662	3925.081	3806.260
480000	3757.159	57.248	3667.948	3867.001	3761.461
485000	3746.576	57.188	3671.549	3840.215	3741.666
490000	3702.653	310.511	2778.413	3866.440	3797.186
495000	3367.531	895.580	984.082	3922.597	3745.887
500000	3245.365	938.124	741.738	3813.921	3636.315
505000	3821.906	104.124	3604.232	3934.439	3848.218
510000	3899.193	29.225	3864.571	3944.545	3897.497
515000	3737.357	121.425	3400.222	3852.981	3771.821
520000	3720.352	74.270	3602.316	3809.119	3739.702
525000	3725.832	61.291	3590.100	3824.926	3735.750
530000	3802.021	73.624	3721.833	3984.682	3780.160
535000	3721.856	149.018	3343.085	3875.815	3753.312
540000	3821.109	58.024	3741.581	3920.490	3813.961
545000	3413.015	897.521	735.643	3911.597	3688.092
550000	3712.233	72.013	3592.025	3790.002	3740.621
555000	3836.057	44.641	3746.779	3917.901	3839.606
560000	3841.609	71.862	3675.798	3930.387	3836.338
565000	3137.656	1246.415	626.343	3868.565	3721.518
570000	3716.577	59.884	3626.087	3812.955	3723.278
575000	3168.282	1238.323	690.527	3967.404	3748.424
580000	3209.110	1071.994	720.351	3785.091	3722.932
585000	3737.879	67.522	3659.026	3907.062	3731.681
590000	3743.651	74.841	3629.503	3871.639	3740.993
595000	3760.476	63.392	3628.052	3871.065	3750.769
600000	3551.014	592.347	1777.830	3815.825	3741.651
605000	3670.675	100.300	3405.970	3759.330	3718.652
610000	3613.472	553.728	1953.922	3846.604	3789.672
615000	3814.432	63.031	3716.843	3924.694	3823.317
620000	3676.050	467.195	2287.963	3960.069	3826.464
625000	3745.053	87.779	3587.191	3936.870	3750.526
630000	3579.598	618.130	1743.596	4019.149	3763.773
635000	3568.812	546.201	1945.011	3821.572	3764.583
640000	3567.272	427.088	2296.027	3798.192	3710.524
645000	3819.760	29.425	3786.070	3867.609	3811.609
650000	3773.372	60.769	3657.212	3845.559	3784.720
655000	3760.076	71.984	3665.453	3944.584	3741.828
660000	3739.565	40.995	3640.833	3793.966	3740.435
665000	3770.157	48.981	3671.593	3841.146	3756.307
670000	3769.444	62.433	3644.411	3858.174	3777.689
675000	3790.523	83.544	3637.404	3917.418	3780.214
680000	3778.425	52.965	3671.698	3849.574	3785.820
685000	3780.278	84.013	3673.087	3949.036	3778.566
690000	3732.891	43.877	3669.116	3812.087	3724.405
695000	3818.842	32.775	3770.981	3899.261	3813.508
700000	3617.564	635.747	1718.162	3921.222	3825.736
705000	3563.705	469.609	2164.197	3805.374	3698.584
710000	3815.635	64.471	3706.221	3905.125	3830.101
715000	3721.328	59.737	3637.948	3821.534	3708.475
720000	3787.209	49.104	3710.293	3889.314	3789.172
725000	3866.808	72.436	3794.266	4022.677	3854.514
730000	3769.505	76.649	3632.840	3900.250	3774.134
735000	3748.452	34.625	3697.331	3799.198	3745.816
740000	3774.275	36.736	3708.492	3835.035	3767.151
745000	3646.089	188.316	3102.397	3809.275	3698.105
750000	3813.563	51.603	3723.875	3874.085	3820.151
755000	3702.968	248.969	2988.506	3936.266	3751.233
760000	3452.152	686.289	1678.555	3950.919	3724.101
765000	3759.413	34.594	3718.924	3834.829	3757.851
770000	3710.102	58.734	3633.027	3803.499	3705.757
775000	3756.729	65.934	3663.178	3919.445	3745.139
780000	3751.642	67.902	3654.654	3865.678	3729.363
785000	3748.620	71.705	3629.581	3868.586	3748.123
790000	3761.507	61.853	3677.789	3873.905	3743.424
795000	3712.426	159.310	3252.542	3830.629	3755.632
800000	3738.705	76.353	3636.852	3863.139	3727.890
805000	3559.107	457.028	2309.972	3831.229	3760.370
810000	3808.280	43.628	3743.605	3876.326	3812.557
815000	3581.885	555.440	1921.360	3852.476	3751.818
820000	3802.668	68.352	3664.158	3955.236	3801.898
825000	3754.309	28.498	3708.815	3789.230	3757.214
830000	3762.556	41.150	3718.661	3862.319	3746.018
835000	3752.174	58.285	3616.357	3824.979	3760.849
840000	3675.759	240.144	2981.351	3815.118	3783.582
845000	3687.250	68.051	3591.030	3838.249	3663.135
850000	3748.486	46.137	3649.881	3830.281	3755.935
855000	3577.328	537.566	1972.808	3859.525	3751.209
860000	3751.148	51.674	3645.680	3854.238	3751.543
865000	3751.815	42.657	3692.583	3854.329	3751.952
870000	3561.349	624.655	1693.594	3837.624	3768.955
875000	3738.056	64.643	3622.889	3844.942	3743.081
880000	3715.229	54.253	3628.966	3794.472	3721.189
885000	3789.953	73.747	3707.734	3990.513	3773.245
890000	3741.832	70.558	3624.302	3851.509	3745.846
895000	3722.333	31.360	3678.369	3767.382	3715.153
900000	3754.072	55.222	3643.995	3846.383	3750.402
905000	3755.629	43.471	3687.241	3848.345	3753.679
910000	3810.438	56.403	3716.404	3879.623	3832.552
915000	3786.137	50.122	3710.592	3889.575	3787.204
920000	3752.946	66.506	3635.643	3833.606	3768.928
925000	3769.052	54.844	3682.265	3868.308	3776.813
930000	3728.010	45.496	3658.876	3796.644	3737.440
935000	3763.564	32.815	3708.124	3822.618	3761.702
940000	3741.871	53.789	3650.608	3815.754	3750.481
945000	3741.613	41.357	3677.913	3830.147	3749.926
950000	3760.210	32.148	3711.203	3818.334	3760.365
955000	3752.411	30.969	3695.272	3792.504	3764.550
960000	3708.027	36.984	3653.735	3761.635	3700.667
965000	3606.774	281.173	2850.158	3814.266	3719.321
970000	3722.318	47.980	3653.230	3780.656	3739.029
975000	3741.818	39.113	3678.072	3826.370	3738.064
980000	3740.321	48.795	3666.231	3853.511	3730.108
985000	3744.964	59.798	3656.843	3843.562	3763.282
990000	3747.672	33.270	3683.655	3779.693	3758.017
995000	3743.636	49.698	3673.287	3864.068	3741.766
1000000	3726.189	48.426	3650.953	3834.587	3728.049
