iteration	mean	std_dev	min	max	median
5000	10.153	11.662	-22.526	20.437	13.026
10000	23.338	7.990	4.780	35.672	22.870
15000	21.440	3.408	12.973	25.934	22.036
20000	22.907	3.292	17.398	28.634	22.167
25000	33.127	2.870	30.052	40.607	32.400
30000	36.808	1.444	34.657	39.811	36.714
35000	36.843	2.327	33.258	41.466	36.042
40000	36.026	1.891	33.197	39.133	35.462
45000	32.537	4.167	26.791	41.499	32.004
50000	34.684	3.245	28.676	38.879	34.576
55000	35.415	1.880	32.162	38.605	35.598
60000	36.199	1.343	34.532	38.533	35.818
65000	37.925	2.314	32.518	41.328	37.653
70000	38.155	1.971	34.094	41.204	38.026
75000	37.737	2.923	31.193	41.224	38.413
80000	39.422	1.733	36.941	41.996	38.939
85000	39.447	2.868	35.760	45.803	39.469
90000	39.957	1.982	36.936	43.068	39.875
95000	39.123	2.991	34.880	43.849	38.481
100000	39.544	2.147	36.208	42.627	39.646
105000	39.820	1.727	37.171	43.238	40.300
110000	39.261	2.487	36.387	43.532	38.743
115000	41.846	1.926	38.493	44.423	42.001
120000	42.288	1.909	39.773	45.400	42.428
125000	40.366	2.117	34.619	42.816	40.636
130000	40.373	3.294	33.839	43.943	40.673
135000	42.350	1.977	40.171	46.691	41.837
140000	42.317	2.311	38.667	45.737	42.273
145000	43.540	2.181	38.342	46.443	44.113
150000	44.905	2.419	40.917	49.126	45.499
155000	45.686	2.927	41.170	52.665	45.463
160000	45.127	2.353	40.829	49.471	45.233
165000	47.770	2.991	42.965	53.079	47.568
170000	47.879	5.089	36.394	55.073	47.275
175000	49.058	2.850	45.513	54.792	48.720
180000	49.156	3.900	44.067	54.601	49.158
185000	50.532	6.950	32.603	58.670	51.647
190000	53.179	3.438	45.326	56.883	54.285
195000	51.265	2.061	48.575	55.674	51.080
200000	52.441	4.277	42.944	58.870	52.875
205000	50.657	7.317	32.609	59.776	52.709
210000	54.047	3.405	46.105	57.769	54.775
215000	55.323	0.921	53.547	56.259	55.714
220000	54.995	1.739	52.351	57.674	54.789
225000	54.147	6.842	34.113	58.959	56.587
230000	53.594	9.378	25.699	58.429	57.141
235000	52.574	6.210	40.058	57.581	55.197
240000	55.820	5.019	41.527	60.832	56.705
245000	57.514	5.102	42.552	61.594	58.825
250000	54.484	3.604	44.395	58.847	55.073
255000	59.886	1.937	56.901	62.584	60.352
260000	59.709	2.073	56.643	64.028	59.984
265000	61.793	1.440	59.377	64.332	61.754
270000	58.871	1.443	56.859	61.437	58.786
275000	62.002	1.824	59.234	65.004	62.014
280000	64.309	1.982	60.676	67.891	64.415
285000	65.253	1.769	62.289	68.384	65.646
290000	65.586	1.300	63.925	67.855	65.309
295000	67.298	1.350	64.305	68.767	67.568
300000	68.824	2.321	65.579	72.524	68.850
305000	70.275	1.351	68.367	72.320	70.481
310000	69.817	2.107	66.262	73.523	69.950
315000	70.687	2.732	65.562	75.398	71.260
320000	71.250	1.865	68.338	75.077	71.109
325000	72.428	2.333	68.221	76.871	71.955
330000	69.712	4.493	59.614	74.051	71.835
335000	75.519	2.895	71.993	79.559	75.051
340000	73.281	3.433	67.034	80.665	73.255
345000	75.591	2.481	72.742	80.729	74.864
350000	77.478	2.901	73.750	82.540	76.836
355000	78.522	3.066	73.170	84.187	77.908
360000	80.249	3.256	73.508	84.032	80.590
365000	78.139	2.592	72.973	81.364	79.020
370000	74.680	3.141	70.418	79.264	75.069
375000	77.014	3.475	71.876	84.478	76.285
380000	81.317	2.281	75.832	83.438	82.384
385000	81.904	2.203	77.099	84.457	82.801
390000	84.192	3.010	77.892	88.923	84.453
395000	83.362	1.737	81.396	87.686	83.220
400000	86.705	1.581	83.636	88.696	87.039
405000	89.924	2.279	86.944	94.173	89.738
410000	92.798	1.121	90.502	94.051	93.311
415000	93.705	1.532	91.926	96.642	93.135
420000	92.048	2.305	88.815	95.800	91.634
425000	91.783	1.793	89.116	94.693	91.494
430000	90.756	1.559	88.023	92.707	90.848
435000	92.186	1.675	89.230	94.262	92.880
440000	92.463	2.238	87.901	95.434	92.562
445000	90.145	2.327	86.795	94.233	90.473
450000	91.817	1.623	89.706	95.489	91.647
455000	93.901	2.341	89.643	97.047	94.191
460000	92.092	3.188	86.878	96.187	92.851
465000	91.821	2.997	85.126	94.715	92.629
