iteration	mean	std_dev	min	max	median
5000	725.381	320.096	84.074	968.658	880.280
10000	494.446	394.696	20.036	909.319	522.743
15000	858.129	37.205	799.924	919.830	849.064
20000	747.924	66.407	655.369	872.739	723.654
25000	532.710	226.759	58.797	753.874	626.785
30000	856.420	67.950	766.166	949.948	852.564
35000	630.130	314.927	10.011	913.031	819.613
40000	689.619	333.356	2.764	922.248	856.366
45000	681.417	319.523	40.726	937.288	807.471
50000	737.647	308.231	79.645	981.429	922.331
55000	360.195	386.034	17.490	947.028	111.321
60000	565.987	365.263	74.286	983.405	658.127
65000	432.715	371.636	15.825	907.628	241.296
70000	558.550	410.750	6.552	946.807	816.436
75000	510.305	360.238	58.261	917.162	527.791
80000	653.824	405.758	21.247	1017.760	883.990
85000	778.303	261.163	51.959	918.526	886.095
90000	811.524	208.938	352.141	981.849	896.887
95000	521.677	426.043	25.859	1108.945	500.504
100000	629.684	336.030	63.235	981.103	752.114
105000	625.777	365.262	18.746	1056.567	673.507
110000	779.434	363.139	73.784	1129.690	950.569
115000	795.258	325.820	61.098	1108.665	956.151
120000	802.468	382.778	80.154	1203.483	997.046
125000	781.316	384.232	77.232	1285.544	887.495
130000	1088.103	332.132	324.570	1502.015	1117.033
135000	782.675	369.213	116.590	1131.567	982.647
140000	994.297	530.913	44.961	1707.546	1084.930
145000	844.321	572.897	93.289	1676.754	989.369
150000	1258.917	195.019	953.027	1731.213	1259.094
155000	1058.348	447.112	113.433	1662.018	1183.368
160000	1054.554	554.229	57.024	1830.271	1250.380
165000	1539.505	334.975	780.341	1815.373	1668.125
170000	1097.011	525.839	247.456	1916.179	1176.019
175000	1054.553	621.249	178.427	2045.195	1022.352
180000	1718.904	386.458	1005.362	2082.744	1903.211
185000	1553.952	423.461	1126.745	2189.855	1320.839
190000	1585.354	548.893	305.719	2147.182	1661.503
195000	1522.486	500.975	612.493	2121.586	1581.670
200000	1657.213	411.784	1007.009	2081.974	1847.080
205000	1183.136	628.431	121.684	1969.264	1293.098
210000	1465.785	672.010	217.340	2115.848	1646.339
215000	1363.302	466.770	525.744	2162.326	1265.704
220000	2002.698	348.880	1002.673	2266.568	2136.602
225000	1605.874	691.830	142.645	2369.987	1490.707
230000	1240.714	883.750	111.615	2315.927	1438.033
235000	1706.059	810.308	89.963	2375.839	2199.000
240000	1704.234	648.378	528.276	2348.655	1957.668
245000	2137.806	494.838	1248.360	2515.491	2424.885
250000	1540.513	794.647	462.552	2605.295	1061.324
255000	1786.785	587.927	798.588	2368.053	2106.543
260000	1905.067	672.632	481.966	2487.740	2191.142
265000	2087.491	832.680	377.137	2698.699	2585.199
270000	2634.714	59.630	2533.975	2728.001	2621.507
275000	2510.201	552.394	904.966	2820.081	2732.939
280000	1990.007	623.550	1065.201	2653.068	2308.627
285000	2435.364	504.568	1452.088	2794.728	2749.919
290000	2373.824	520.356	1198.882	2795.624	2673.924
295000	2395.698	747.557	460.758	2797.018	2734.130
300000	2381.688	899.390	35.207	2888.355	2795.155
305000	2343.545	913.704	148.655	3029.045	2730.583
310000	2651.542	646.355	724.165	2952.448	2832.094
315000	2043.814	881.732	308.252	2978.135	2501.550
320000	2277.200	808.205	643.707	2999.294	2727.264
325000	2737.511	610.220	937.591	3071.088	2964.017
330000	1930.703	860.649	360.131	2977.951	2108.569
335000	2904.518	75.903	2738.436	3044.584	2905.820
340000	2817.037	753.025	563.440	3155.847	3078.056
345000	3088.940	40.935	3033.995	3160.898	3080.060
350000	3072.547	70.331	2934.479	3174.718	3082.207
355000	2884.013	423.414	1634.637	3117.996	3038.603
360000	2319.592	943.789	409.908	3119.761	2991.004
365000	2675.656	684.754	1151.733	3135.404	3064.506
370000	2619.339	783.548	651.450	3146.226	2994.065
375000	3051.075	34.732	2983.482	3088.494	3053.686
380000	3205.556	103.092	2990.993	3330.304	3236.106
385000	2681.336	822.892	1162.671	3291.685	3182.645
390000	2549.079	888.110	697.721	3199.296	3009.638
395000	2750.671	927.178	538.860	3256.213	3193.784
400000	2020.562	1075.997	53.205	3269.513	1892.493
405000	2961.222	358.176	1976.698	3186.160	3103.584
410000	2203.132	1094.995	319.480	3239.730	2660.453
415000	2379.349	1121.291	279.351	3360.278	3203.400
420000	2369.557	1009.965	586.594	3302.203	3016.051
425000	3274.910	47.253	3209.906	3363.135	3259.023
430000	3164.142	494.740	1684.831	3392.591	3320.905
435000	1932.796	1145.466	192.419	3252.114	2402.748
440000	2957.799	871.013	869.595	3450.552	3371.543
445000	3159.151	444.121	2151.787	3439.671	3358.464
450000	3349.188	50.618	3246.048	3445.394	3354.609
455000	2539.596	1127.173	440.037	3371.872	3246.011
460000	3221.930	382.136	2128.839	3518.003	3350.391
465000	3025.106	904.421	317.252	3431.792	3302.239
470000	3189.226	758.510	918.769	3511.448	3450.959
475000	3165.966	599.641	1371.406	3437.252	3368.130
480000	2478.791	1080.592	801.721	3524.896	3042.512
485000	3557.839	64.997	3401.892	3649.376	3562.524
490000	3462.960	64.050	3357.745	3541.880	3470.839
495000	3566.783	33.708	3500.089	3606.241	3579.768
500000	3524.639	57.146	3419.997	3585.411	3552.438
505000	3472.693	272.312	2677.688	3641.582	3559.379
510000	2530.052	1200.454	539.901	3535.739	3423.865
515000	3490.588	32.375	3431.090	3543.111	3479.685
520000	3346.234	448.854	2037.318	3586.755	3512.046
525000	3205.388	1011.987	195.367	3684.278	3547.886
530000	2725.278	1182.381	575.157	3662.991	3429.960
535000	3566.102	187.619	3013.387	3684.989	3626.565
540000	3151.352	805.824	1142.697	3653.075	3511.381
545000	2893.259	1057.298	1168.215	3663.844	3555.888
550000	3362.791	687.260	1319.870	3726.865	3602.882
555000	2854.459	948.857	1005.045	3626.859	3229.872
560000	2926.809	1053.605	416.346	3637.812	3536.231
565000	2820.060	1285.251	197.467	3709.005	3591.866
570000	2887.747	962.372	964.375	3613.998	3485.660
575000	2367.261	1164.406	298.754	3620.829	2296.640
580000	3319.841	1074.722	98.835	3758.433	3665.415
585000	2732.242	1224.460	485.871	3664.607	3575.912
590000	3706.087	48.573	3606.876	3780.446	3707.526
595000	2829.906	965.349	1331.381	3838.343	3047.134
600000	3314.822	1047.902	174.914	3741.312	3655.929
605000	3658.537	32.106	3618.658	3713.857	3665.964
610000	3400.208	486.046	2360.206	3734.271	3626.792
615000	3671.746	354.148	2620.933	3921.794	3775.039
620000	3721.260	29.103	3679.297	3784.950	3721.738
625000	3395.220	966.342	497.027	3749.726	3722.071
630000	3762.050	42.533	3671.016	3826.962	3765.607
635000	3004.684	1087.616	602.916	3807.633	3674.025
640000	3440.760	829.909	1008.241	3858.717	3743.600
645000	3136.573	960.831	959.027	3742.288	3702.639
