iteration	mean	std_dev	min	max	median
5000	24.233	4.356	19.000	36.000	23.000
10000	24.800	8.336	18.000	58.000	22.500
15000	85.433	14.946	68.000	131.000	81.500
20000	406.600	421.140	63.000	1000.000	154.500
25000	1000.000	0.000	1000.000	1000.000	1000.000
30000	1000.000	0.000	1000.000	1000.000	1000.000
35000	1000.000	0.000	1000.000	1000.000	1000.000
40000	1000.000	0.000	1000.000	1000.000	1000.000
45000	1000.000	0.000	1000.000	1000.000	1000.000
50000	1000.000	0.000	1000.000	1000.000	1000.000
55000	1000.000	0.000	1000.000	1000.000	1000.000
60000	1000.000	0.000	1000.000	1000.000	1000.000
65000	1000.000	0.000	1000.000	1000.000	1000.000
70000	1000.000	0.000	1000.000	1000.000	1000.000
75000	1000.000	0.000	1000.000	1000.000	1000.000
80000	1000.000	0.000	1000.000	1000.000	1000.000
85000	1000.000	0.000	1000.000	1000.000	1000.000
90000	1000.000	0.000	1000.000	1000.000	1000.000
95000	680.333	452.077	41.000	1000.000	1000.000
100000	681.433	450.521	44.000	1000.000	1000.000
105000	1000.000	0.000	1000.000	1000.000	1000.000
110000	1000.000	0.000	1000.000	1000.000	1000.000
115000	1000.000	0.000	1000.000	1000.000	1000.000
120000	1000.000	0.000	1000.000	1000.000	1000.000
125000	1000.000	0.000	1000.000	1000.000	1000.000
130000	1000.000	0.000	1000.000	1000.000	1000.000
135000	719.100	397.253	157.000	1000.000	1000.000
140000	677.200	456.508	31.000	1000.000	1000.000
145000	668.667	468.576	6.000	1000.000	1000.000
150000	360.900	452.940	4.000	1000.000	78.500
155000	668.000	469.519	4.000	1000.000	1000.000
160000	668.000	469.519	4.000	1000.000	1000.000
165000	354.667	456.892	4.000	1000.000	60.000
170000	354.433	457.043	4.000	1000.000	59.500
175000	353.467	457.668	4.000	1000.000	56.500
180000	352.933	458.015	4.000	1000.000	54.500
185000	353.133	457.885	4.000	1000.000	55.000
190000	352.433	458.341	4.000	1000.000	53.000
195000	352.400	458.363	4.000	1000.000	53.000
200000	352.233	458.472	4.000	1000.000	53.000
205000	352.967	457.912	6.000	1000.000	52.500
210000	351.967	458.646	4.000	1000.000	52.000
215000	352.033	458.602	4.000	1000.000	52.000
220000	351.800	458.755	4.000	1000.000	51.000
225000	351.633	458.864	4.000	1000.000	51.000
230000	352.100	458.559	4.000	1000.000	52.000
235000	351.633	458.864	4.000	1000.000	51.000
240000	351.467	458.974	4.000	1000.000	50.000
245000	351.633	458.864	4.000	1000.000	51.000
250000	351.700	458.820	4.000	1000.000	51.000
255000	351.100	459.214	4.000	1000.000	49.500
260000	351.100	459.214	4.000	1000.000	49.500
265000	350.367	459.697	4.000	1000.000	47.000
270000	350.133	459.851	4.000	1000.000	46.500
275000	350.267	459.763	4.000	1000.000	47.000
280000	350.233	459.785	4.000	1000.000	47.000
285000	350.167	459.829	4.000	1000.000	46.500
290000	350.300	459.741	4.000	1000.000	47.000
295000	350.767	459.434	4.000	1000.000	48.000
300000	351.167	459.171	4.000	1000.000	49.500
305000	352.133	458.537	4.000	1000.000	52.500
310000	353.200	457.842	4.000	1000.000	55.500
315000	355.633	456.270	4.000	1000.000	63.000
320000	357.833	454.867	4.000	1000.000	69.500
325000	368.100	448.550	4.000	1000.000	100.000
330000	372.733	445.824	4.000	1000.000	113.000
335000	340.300	466.500	5.000	1000.000	15.500
340000	380.700	440.735	9.000	1000.000	132.500
345000	374.700	444.603	5.000	1000.000	118.500
350000	374.733	444.584	5.000	1000.000	119.500
355000	375.733	444.074	4.000	1000.000	123.500
360000	376.900	443.443	4.000	1000.000	125.000
365000	380.000	441.616	5.000	1000.000	134.500
370000	388.733	436.444	7.000	1000.000	158.500
375000	389.600	436.593	4.000	1000.000	166.000
380000	411.933	417.540	48.000	1000.000	163.000
385000	387.467	437.590	4.000	1000.000	156.000
390000	392.300	434.856	6.000	1000.000	170.000
395000	394.067	434.231	4.000	1000.000	179.000
400000	394.133	434.041	6.000	1000.000	176.500
405000	393.133	434.790	4.000	1000.000	175.000
410000	394.300	433.924	6.000	1000.000	177.500
415000	391.367	435.679	4.000	1000.000	170.500
420000	387.700	437.515	4.000	1000.000	158.000
425000	388.433	437.189	4.000	1000.000	162.000
430000	388.000	437.416	4.000	1000.000	158.500
435000	390.633	435.816	6.000	1000.000	164.500
440000	386.433	438.123	5.000	1000.000	153.500
445000	383.900	439.592	4.000	1000.000	148.000
450000	375.233	444.421	4.000	1000.000	120.000
455000	446.000	414.282	4.000	1000.000	337.000
460000	668.500	468.812	5.000	1000.000	1000.000
465000	668.000	469.519	4.000	1000.000	1000.000
470000	468.000	409.829	5.000	1000.000	405.500
475000	668.000	469.519	4.000	1000.000	1000.000
480000	409.167	427.300	4.000	1000.000	224.500
485000	668.000	469.519	4.000	1000.000	1000.000
490000	361.267	457.171	4.000	1000.000	29.500
495000	341.000	466.044	4.000	1000.000	13.000
500000	340.067	466.686	4.000	1000.000	13.500
505000	344.433	463.616	7.000	1000.000	26.000
510000	337.667	468.345	4.000	1000.000	9.000
515000	337.933	468.155	5.000	1000.000	9.000
520000	337.967	468.134	4.000	1000.000	10.000
525000	13.700	7.453	6.000	26.000	10.000
530000	10.000	4.705	4.000	16.000	11.000
535000	9.100	3.727	4.000	13.000	11.000
540000	8.600	3.353	4.000	13.000	10.000
545000	9.033	3.737	4.000	14.000	10.000
550000	7.333	4.198	4.000	14.000	5.000
555000	7.033	4.191	4.000	14.000	4.000
560000	14.467	6.712	6.000	25.000	13.500
565000	7.433	4.904	4.000	17.000	4.000
570000	9.333	4.894	4.000	17.000	8.500
575000	8.867	6.130	4.000	20.000	5.000
580000	19.600	13.215	4.000	50.000	19.500
585000	20.967	14.087	4.000	48.000	24.000
590000	236.300	365.697	4.000	1000.000	26.000
595000	88.133	244.722	4.000	1000.000	16.000
600000	340.833	466.151	4.000	1000.000	14.500
605000	339.633	466.971	4.000	1000.000	15.000
610000	9.467	4.280	4.000	16.000	10.000
615000	13.233	9.087	4.000	26.000	9.000
620000	336.533	469.142	4.000	1000.000	6.000
625000	336.500	469.166	4.000	1000.000	5.500
630000	336.333	469.283	4.000	1000.000	5.000
635000	12.000	10.614	4.000	27.000	5.000
640000	18.333	19.569	4.000	47.000	5.000
645000	22.833	25.937	4.000	61.000	5.000
650000	20.533	22.683	4.000	54.000	5.000
655000	22.367	19.149	4.000	46.000	6.500
660000	29.067	18.406	4.000	49.000	35.000
665000	29.400	18.279	4.000	48.000	38.000
670000	30.300	18.930	4.000	49.000	39.000
675000	30.567	18.992	4.000	48.000	40.500
680000	30.767	19.075	4.000	48.000	41.000
685000	31.267	19.471	4.000	50.000	42.000
690000	31.867	19.941	4.000	50.000	42.000
695000	31.933	19.915	4.000	50.000	43.000
700000	32.500	20.266	4.000	50.000	44.000
705000	32.967	20.611	4.000	52.000	45.000
710000	32.667	20.457	4.000	51.000	44.000
715000	32.900	20.543	4.000	51.000	45.000
720000	32.433	20.245	4.000	51.000	44.000
725000	32.533	20.309	4.000	51.000	44.000
730000	33.200	20.846	4.000	52.000	44.500
735000	35.067	17.476	10.000	51.000	44.000
740000	33.167	19.343	6.000	50.000	44.000
745000	32.200	20.044	4.000	50.000	44.000
750000	32.900	20.652	4.000	52.000	44.000
755000	33.400	21.042	4.000	53.000	44.000
760000	32.900	20.677	4.000	52.000	43.500
765000	32.333	20.288	4.000	52.000	43.000
770000	32.200	20.135	4.000	51.000	43.000
775000	32.567	20.462	4.000	52.000	43.000
780000	32.933	20.939	4.000	54.000	42.000
785000	29.867	21.379	4.000	56.000	31.500
790000	33.067	21.155	4.000	55.000	41.000
795000	30.333	21.215	4.000	55.000	40.500
800000	35.567	30.076	4.000	78.000	21.500
805000	41.000	33.364	4.000	86.000	41.000
810000	42.833	33.339	4.000	87.000	41.500
815000	32.367	29.444	5.000	75.000	18.500
820000	47.300	43.367	4.000	108.000	41.000
825000	47.367	39.140	4.000	103.000	42.000
830000	47.433	46.529	4.000	114.000	18.000
835000	36.567	27.044	4.000	71.000	40.500
840000	33.500	21.570	4.000	57.000	42.000
845000	33.367	21.585	4.000	56.000	41.000
850000	35.700	23.928	4.000	66.000	41.500
855000	32.600	20.819	4.000	54.000	41.000
860000	20.800	15.905	4.000	44.000	14.000
865000	30.533	20.976	4.000	61.000	39.000
870000	18.800	18.327	4.000	50.000	5.000
875000	17.533	17.487	4.000	43.000	6.000
880000	18.267	16.929	4.000	48.000	10.000
885000	19.800	16.239	4.000	43.000	13.000
890000	30.667	20.926	4.000	57.000	39.500
895000	22.633	20.160	4.000	50.000	7.500
900000	35.267	23.534	4.000	63.000	41.000
