iteration	mean	std_dev	min	max	median
5000	24.700	4.981	20.000	36.000	22.500
10000	26.400	7.338	19.000	46.000	24.500
15000	76.400	5.161	68.000	87.000	75.500
20000	153.300	10.918	136.000	172.000	154.500
25000	1000.000	0.000	1000.000	1000.000	1000.000
30000	1000.000	0.000	1000.000	1000.000	1000.000
35000	1000.000	0.000	1000.000	1000.000	1000.000
40000	1000.000	0.000	1000.000	1000.000	1000.000
45000	1000.000	0.000	1000.000	1000.000	1000.000
50000	1000.000	0.000	1000.000	1000.000	1000.000
55000	1000.000	0.000	1000.000	1000.000	1000.000
60000	1000.000	0.000	1000.000	1000.000	1000.000
65000	1000.000	0.000	1000.000	1000.000	1000.000
70000	1000.000	0.000	1000.000	1000.000	1000.000
75000	1000.000	0.000	1000.000	1000.000	1000.000
80000	1000.000	0.000	1000.000	1000.000	1000.000
85000	1000.000	0.000	1000.000	1000.000	1000.000
90000	1000.000	0.000	1000.000	1000.000	1000.000
95000	41.000	0.000	41.000	41.000	41.000
100000	44.300	0.458	44.000	45.000	44.000
105000	1000.000	0.000	1000.000	1000.000	1000.000
110000	1000.000	0.000	1000.000	1000.000	1000.000
115000	1000.000	0.000	1000.000	1000.000	1000.000
120000	1000.000	0.000	1000.000	1000.000	1000.000
125000	1000.000	0.000	1000.000	1000.000	1000.000
130000	1000.000	0.000	1000.000	1000.000	1000.000
135000	157.300	0.458	157.000	158.000	157.000
140000	31.600	0.490	31.000	32.000	32.000
145000	6.000	0.000	6.000	6.000	6.000
150000	4.000	0.000	4.000	4.000	4.000
155000	4.000	0.000	4.000	4.000	4.000
160000	4.000	0.000	4.000	4.000	4.000
165000	4.000	0.000	4.000	4.000	4.000
170000	4.000	0.000	4.000	4.000	4.000
175000	4.000	0.000	4.000	4.000	4.000
180000	4.000	0.000	4.000	4.000	4.000
185000	4.000	0.000	4.000	4.000	4.000
190000	4.000	0.000	4.000	4.000	4.000
195000	4.000	0.000	4.000	4.000	4.000
200000	4.000	0.000	4.000	4.000	4.000
205000	6.300	0.458	6.000	7.000	6.000
210000	4.000	0.000	4.000	4.000	4.000
215000	4.000	0.000	4.000	4.000	4.000
220000	4.000	0.000	4.000	4.000	4.000
225000	4.000	0.000	4.000	4.000	4.000
230000	4.000	0.000	4.000	4.000	4.000
235000	4.000	0.000	4.000	4.000	4.000
240000	4.000	0.000	4.000	4.000	4.000
245000	4.000	0.000	4.000	4.000	4.000
250000	4.000	0.000	4.000	4.000	4.000
255000	4.000	0.000	4.000	4.000	4.000
260000	4.000	0.000	4.000	4.000	4.000
265000	4.000	0.000	4.000	4.000	4.000
270000	4.000	0.000	4.000	4.000	4.000
275000	4.000	0.000	4.000	4.000	4.000
280000	4.000	0.000	4.000	4.000	4.000
285000	4.000	0.000	4.000	4.000	4.000
290000	4.000	0.000	4.000	4.000	4.000
295000	4.000	0.000	4.000	4.000	4.000
300000	4.000	0.000	4.000	4.000	4.000
305000	4.000	0.000	4.000	4.000	4.000
310000	4.000	0.000	4.000	4.000	4.000
315000	4.000	0.000	4.000	4.000	4.000
320000	4.000	0.000	4.000	4.000	4.000
325000	4.000	0.000	4.000	4.000	4.000
330000	4.000	0.000	4.000	4.000	4.000
335000	5.000	0.000	5.000	5.000	5.000
340000	10.100	0.539	9.000	11.000	10.000
345000	5.000	0.000	5.000	5.000	5.000
350000	5.000	0.000	5.000	5.000	5.000
355000	4.300	0.458	4.000	5.000	4.000
360000	4.000	0.000	4.000	4.000	4.000
365000	5.000	0.000	5.000	5.000	5.000
370000	9.100	1.700	7.000	13.000	8.500
375000	4.000	0.000	4.000	4.000	4.000
380000	74.000	20.357	48.000	116.000	68.500
385000	4.900	0.300	4.000	5.000	5.000
390000	6.800	0.400	6.000	7.000	7.000
395000	4.700	0.458	4.000	5.000	5.000
400000	6.000	0.000	6.000	6.000	6.000
405000	4.000	0.000	4.000	4.000	4.000
410000	6.200	0.400	6.000	7.000	6.000
415000	4.000	0.000	4.000	4.000	4.000
420000	4.500	0.500	4.000	5.000	4.500
425000	4.000	0.000	4.000	4.000	4.000
430000	4.000	0.000	4.000	4.000	4.000
435000	6.000	0.000	6.000	6.000	6.000
440000	5.000	0.000	5.000	5.000	5.000
445000	4.000	0.000	4.000	4.000	4.000
450000	4.000	0.000	4.000	4.000	4.000
455000	4.000	0.000	4.000	4.000	4.000
460000	5.500	0.500	5.000	6.000	5.500
465000	4.000	0.000	4.000	4.000	4.000
470000	5.000	0.000	5.000	5.000	5.000
475000	4.000	0.000	4.000	4.000	4.000
480000	4.000	0.000	4.000	4.000	4.000
485000	4.000	0.000	4.000	4.000	4.000
490000	4.000	0.000	4.000	4.000	4.000
495000	4.000	0.000	4.000	4.000	4.000
500000	4.000	0.000	4.000	4.000	4.000
505000	7.500	0.671	7.000	9.000	7.000
510000	4.000	0.000	4.000	4.000	4.000
515000	5.000	0.000	5.000	5.000	5.000
520000	4.000	0.000	4.000	4.000	4.000
525000	6.900	0.300	6.000	7.000	7.000
530000	4.000	0.000	4.000	4.000	4.000
535000	4.000	0.000	4.000	4.000	4.000
540000	4.000	0.000	4.000	4.000	4.000
545000	10.300	0.640	9.000	11.000	10.000
550000	4.000	0.000	4.000	4.000	4.000
555000	4.000	0.000	4.000	4.000	4.000
560000	7.000	0.775	6.000	8.000	7.000
565000	4.000	0.000	4.000	4.000	4.000
570000	8.600	2.200	6.000	12.000	8.500
575000	4.000	0.000	4.000	4.000	4.000
580000	4.000	0.000	4.000	4.000	4.000
585000	4.000	0.000	4.000	4.000	4.000
590000	4.000	0.000	4.000	4.000	4.000
595000	4.000	0.000	4.000	4.000	4.000
600000	4.000	0.000	4.000	4.000	4.000
605000	4.000	0.000	4.000	4.000	4.000
610000	4.000	0.000	4.000	4.000	4.000
615000	4.000	0.000	4.000	4.000	4.000
620000	4.000	0.000	4.000	4.000	4.000
625000	4.000	0.000	4.000	4.000	4.000
630000	4.000	0.000	4.000	4.000	4.000
635000	4.000	0.000	4.000	4.000	4.000
640000	4.000	0.000	4.000	4.000	4.000
645000	4.000	0.000	4.000	4.000	4.000
650000	4.000	0.000	4.000	4.000	4.000
655000	4.000	0.000	4.000	4.000	4.000
660000	4.000	0.000	4.000	4.000	4.000
665000	4.000	0.000	4.000	4.000	4.000
670000	4.000	0.000	4.000	4.000	4.000
675000	4.000	0.000	4.000	4.000	4.000
680000	4.000	0.000	4.000	4.000	4.000
685000	4.000	0.000	4.000	4.000	4.000
690000	4.000	0.000	4.000	4.000	4.000
695000	4.000	0.000	4.000	4.000	4.000
700000	4.000	0.000	4.000	4.000	4.000
705000	4.000	0.000	4.000	4.000	4.000
710000	4.000	0.000	4.000	4.000	4.000
715000	4.000	0.000	4.000	4.000	4.000
720000	4.000	0.000	4.000	4.000	4.000
725000	4.000	0.000	4.000	4.000	4.000
730000	4.000	0.000	4.000	4.000	4.000
735000	10.600	0.490	10.000	11.000	11.000
740000	6.000	0.000	6.000	6.000	6.000
745000	4.000	0.000	4.000	4.000	4.000
750000	4.000	0.000	4.000	4.000	4.000
755000	4.000	0.000	4.000	4.000	4.000
760000	4.000	0.000	4.000	4.000	4.000
765000	4.000	0.000	4.000	4.000	4.000
770000	4.000	0.000	4.000	4.000	4.000
775000	4.000	0.000	4.000	4.000	4.000
780000	4.000	0.000	4.000	4.000	4.000
785000	4.000	0.000	4.000	4.000	4.000
790000	4.000	0.000	4.000	4.000	4.000
795000	4.000	0.000	4.000	4.000	4.000
800000	4.600	0.490	4.000	5.000	5.000
805000	4.000	0.000	4.000	4.000	4.000
810000	4.000	0.000	4.000	4.000	4.000
815000	5.000	0.000	5.000	5.000	5.000
820000	4.000	0.000	4.000	4.000	4.000
825000	4.000	0.000	4.000	4.000	4.000
830000	4.000	0.000	4.000	4.000	4.000
835000	4.000	0.000	4.000	4.000	4.000
840000	4.000	0.000	4.000	4.000	4.000
845000	4.000	0.000	4.000	4.000	4.000
850000	4.000	0.000	4.000	4.000	4.000
855000	4.000	0.000	4.000	4.000	4.000
860000	4.000	0.000	4.000	4.000	4.000
865000	4.000	0.000	4.000	4.000	4.000
870000	4.000	0.000	4.000	4.000	4.000
875000	4.000	0.000	4.000	4.000	4.000
880000	4.000	0.000	4.000	4.000	4.000
885000	4.000	0.000	4.000	4.000	4.000
890000	4.000	0.000	4.000	4.000	4.000
895000	4.000	0.000	4.000	4.000	4.000
900000	4.000	0.000	4.000	4.000	4.000
905000	4.000	0.000	4.000	4.000	4.000
910000	4.000	0.000	4.000	4.000	4.000
915000	4.000	0.000	4.000	4.000	4.000
920000	4.000	0.000	4.000	4.000	4.000
925000	4.000	0.000	4.000	4.000	4.000
930000	4.000	0.000	4.000	4.000	4.000
935000	4.000	0.000	4.000	4.000	4.000
940000	4.000	0.000	4.000	4.000	4.000
945000	4.000	0.000	4.000	4.000	4.000
950000	4.000	0.000	4.000	4.000	4.000
955000	4.000	0.000	4.000	4.000	4.000
960000	4.000	0.000	4.000	4.000	4.000
965000	4.000	0.000	4.000	4.000	4.000
970000	4.000	0.000	4.000	4.000	4.000
975000	4.000	0.000	4.000	4.000	4.000
980000	5.000	0.000	5.000	5.000	5.000
985000	4.000	0.000	4.000	4.000	4.000
990000	4.000	0.000	4.000	4.000	4.000
995000	4.000	0.000	4.000	4.000	4.000
1000000	4.000	0.000	4.000	4.000	4.000
