iteration	mean	std_dev	min	max	median
5000	7.971	24.721	-28.361	35.093	17.512
10000	6.103	23.475	-30.818	34.347	16.500
15000	17.981	13.011	-14.222	31.541	23.603
20000	25.146	4.380	15.607	33.354	26.149
25000	21.025	4.999	13.795	29.163	20.287
30000	26.604	10.954	7.457	41.798	29.855
35000	49.822	18.326	30.720	94.003	43.056
40000	34.672	7.914	20.409	50.092	35.672
45000	43.015	13.585	27.988	65.735	38.797
50000	43.567	9.749	24.734	56.616	46.840
55000	38.707	10.310	0.347	54.000	40.353
60000	40.029	5.492	22.713	47.302	38.535
65000	40.209	5.252	24.310	48.387	38.926
70000	38.535	3.137	34.152	43.363	37.329
75000	46.608	1.893	43.072	52.599	46.577
80000	40.700	8.278	19.803	52.827	43.293
85000	44.414	6.311	30.888	54.882	45.342
90000	42.021	10.183	20.621	55.498	46.492
95000	32.237	27.078	-21.705	59.055	42.769
100000	43.856	6.733	33.491	55.067	45.182
105000	46.704	4.116	40.999	55.349	45.657
110000	47.570	2.666	38.908	51.940	48.176
115000	45.704	6.627	36.209	60.471	46.194
120000	48.601	4.287	41.813	55.094	49.886
125000	45.857	5.586	38.325	58.401	43.934
130000	52.868	10.850	37.849	72.595	50.849
135000	47.687	4.867	38.421	53.912	49.883
140000	47.970	7.195	33.915	62.367	47.203
145000	49.755	10.984	29.230	64.973	48.203
150000	47.762	3.244	43.620	54.666	46.788
155000	46.962	3.367	41.222	52.238	47.251
160000	49.322	4.690	41.500	58.158	48.181
165000	48.494	6.811	37.247	58.743	49.538
170000	51.051	5.186	44.787	59.848	48.374
175000	48.192	8.016	37.037	61.957	46.882
180000	49.444	8.438	38.004	61.319	46.334
185000	51.125	8.349	36.576	64.217	48.861
190000	46.243	2.150	40.956	49.881	46.763
195000	51.703	6.262	45.521	63.945	48.582
200000	48.705	4.187	42.175	62.533	48.139
205000	48.405	6.017	38.858	60.008	47.483
210000	48.446	5.937	38.688	60.339	47.456
215000	49.619	6.119	40.998	60.204	48.921
220000	51.787	8.470	39.095	64.864	53.394
225000	51.588	7.675	39.013	64.940	48.984
230000	47.961	5.465	39.482	56.276	49.307
235000	52.404	5.289	41.215	61.775	53.303
240000	53.513	7.847	38.424	64.468	54.349
245000	54.246	11.924	37.345	76.506	50.584
250000	53.947	9.357	39.503	67.835	49.798
255000	61.633	17.509	38.968	91.484	57.960
260000	57.872	17.840	34.461	99.929	54.424
265000	59.812	14.596	42.104	94.457	54.446
270000	65.001	16.678	40.259	98.148	63.191
275000	61.323	22.995	37.081	118.261	53.979
280000	68.121	22.339	40.585	106.119	61.659
285000	64.743	19.273	45.821	116.996	62.147
290000	61.080	17.428	39.660	102.601	54.746
295000	61.845	16.712	42.435	94.857	54.754
300000	60.172	18.073	43.712	107.081	53.398
305000	61.312	23.077	39.774	111.604	56.210
310000	60.227	15.142	39.754	93.979	59.907
315000	55.452	19.545	31.687	97.055	53.239
320000	59.525	23.825	39.842	114.926	51.453
325000	60.800	27.136	36.305	117.174	51.493
330000	68.153	18.701	42.666	103.849	60.588
335000	65.332	18.806	41.972	96.776	63.136
340000	69.941	16.450	41.927	94.849	65.841
345000	71.583	21.697	45.018	106.319	60.597
350000	67.661	23.722	41.326	113.705	61.484
355000	77.667	31.482	38.804	129.729	65.043
360000	66.070	21.963	41.157	103.612	57.781
365000	69.075	21.943	41.966	113.709	61.974
370000	73.367	23.981	42.351	111.427	61.956
375000	68.145	18.633	47.563	107.209	60.087
380000	75.117	24.253	42.896	113.714	61.962
385000	72.216	23.823	41.820	108.503	62.172
390000	75.622	23.854	46.700	112.667	62.838
395000	75.279	24.311	44.134	113.763	63.736
400000	68.629	17.282	47.265	106.270	65.130
405000	69.438	19.728	41.506	104.918	70.401
410000	72.741	20.704	43.106	106.472	67.959
415000	76.815	21.034	43.367	106.481	74.416
420000	74.423	22.095	45.327	111.653	72.781
425000	73.088	23.904	38.559	119.011	75.764
430000	75.668	20.780	39.347	110.034	72.831
435000	76.235	19.092	40.658	108.874	72.689
440000	77.591	22.798	46.374	116.443	76.444
445000	75.717	19.839	47.415	113.823	72.368
450000	79.998	25.376	41.923	113.948	74.925
455000	80.971	24.255	38.172	114.742	78.868
460000	75.500	23.631	39.057	118.389	73.874
465000	77.450	21.548	44.462	113.126	77.714
470000	79.063	24.724	40.311	115.546	77.727
475000	75.056	20.784	40.606	110.199	75.897
480000	81.906	27.872	44.726	132.689	76.250
485000	77.857	22.795	36.055	111.671	76.785
490000	82.064	26.678	43.224	130.197	74.787
495000	81.948	27.359	47.618	132.766	77.095
500000	80.222	27.300	46.041	129.965	76.433
505000	86.846	25.200	50.596	125.465	78.132
510000	80.187	20.248	54.597	113.851	77.137
515000	81.223	21.099	51.178	118.656	79.037
520000	82.428	19.838	49.383	116.333	76.912
525000	80.601	24.863	51.077	123.256	77.799
530000	84.075	23.880	48.404	121.045	84.251
535000	79.478	21.416	54.207	119.511	76.483
540000	79.272	19.272	53.676	113.274	77.508
545000	84.681	24.877	48.925	122.535	77.303
550000	84.534	21.512	49.981	114.559	78.378
555000	84.265	24.959	47.738	120.212	79.586
560000	81.480	22.798	50.406	118.061	75.036
565000	83.229	24.711	48.111	119.744	77.734
570000	76.957	26.289	39.785	120.860	76.349
575000	85.150	30.865	40.635	126.498	80.709
580000	86.435	26.088	52.169	126.704	78.979
585000	90.850	24.377	49.008	126.358	81.425
590000	82.382	22.732	50.583	119.703	78.827
595000	83.925	25.106	48.765	121.303	80.880
600000	87.933	27.299	43.307	124.453	81.823
605000	86.923	22.814	47.600	117.690	80.339
610000	85.855	20.800	52.892	115.301	80.323
615000	82.574	24.280	44.226	114.652	81.001
620000	86.043	24.140	53.271	122.866	81.000
625000	88.885	28.613	46.195	130.209	82.812
630000	90.131	25.414	47.491	125.795	80.013
635000	88.328	24.896	51.271	122.431	80.369
640000	89.419	25.770	48.565	126.163	83.181
645000	92.385	27.750	45.653	131.445	82.074
650000	86.698	27.094	52.519	126.730	80.444
655000	88.032	28.905	47.171	128.186	83.322
660000	85.247	29.092	39.063	126.601	81.053
665000	91.793	27.239	47.126	130.198	81.564
670000	86.863	25.166	44.373	122.003	81.999
675000	89.304	24.416	55.611	124.143	82.077
