iteration	mean	std_dev	min	max	median
5000	-1.387	5.939	-10.418	13.800	-0.841
10000	387.305	132.204	169.525	996.419	391.722
15000	430.373	153.778	14.166	774.266	451.624
20000	529.814	262.274	276.880	982.960	369.800
25000	472.324	160.721	124.827	827.447	475.366
30000	786.809	408.978	468.336	2373.474	659.570
35000	764.644	332.828	292.105	1111.777	920.334
40000	773.509	420.861	282.808	2448.335	799.538
45000	1190.153	397.905	501.046	1839.534	1185.700
50000	1432.861	512.160	813.649	2620.360	1381.201
55000	1530.412	630.280	823.107	2940.147	1384.026
60000	1486.939	530.810	701.950	3020.209	1388.001
65000	1320.656	359.609	723.929	2608.303	1218.571
70000	1846.569	856.470	835.005	3058.437	1328.488
75000	1958.513	883.014	708.047	3600.438	2089.843
80000	2359.619	850.898	1208.963	3334.309	2682.637
85000	1545.185	523.995	954.636	3528.780	1375.927
90000	2131.139	843.820	1155.332	3614.071	1669.084
95000	1872.299	755.602	971.577	3757.428	1751.740
100000	2139.143	733.266	1152.035	3568.562	1780.889
105000	2843.143	835.741	1247.513	3917.824	3285.694
110000	2958.360	730.120	1537.812	3918.353	3095.128
115000	3164.170	617.054	1834.921	3836.432	3323.712
120000	3190.085	714.891	1820.005	4011.518	3611.327
125000	3359.028	743.254	1792.266	4025.531	3809.466
130000	3140.625	754.076	1977.477	4186.276	3372.973
135000	3860.725	292.267	3478.755	4293.794	3955.172
140000	3507.666	760.168	1176.505	4221.908	3646.768
145000	3812.638	335.003	2799.504	4390.057	3842.083
150000	3332.611	832.067	1499.155	4215.779	3573.707
155000	3650.399	634.366	1972.303	4179.398	3822.162
160000	3859.788	334.182	2763.727	4319.683	3898.283
165000	3732.682	564.900	1925.626	4460.334	3966.636
170000	4045.645	231.742	3718.921	4470.131	4122.886
175000	3675.683	643.484	2040.077	4263.259	3825.613
180000	3996.095	357.490	2395.473	4284.547	4153.236
185000	4038.102	235.845	3689.123	4402.761	4122.238
190000	4053.309	253.702	3278.608	4396.829	4145.955
195000	3855.646	466.793	2725.971	4462.984	3877.659
200000	3521.214	961.389	1890.567	4511.253	4161.024
205000	3512.579	930.600	1611.809	4499.352	4172.203
210000	4064.188	267.334	3342.395	4414.781	4187.641
215000	4114.258	289.271	3684.709	4470.655	4243.725
220000	4070.351	338.929	2460.199	4431.847	4162.611
225000	4053.599	483.187	2472.319	4535.084	4247.312
230000	4191.179	197.153	3900.674	4495.370	4250.966
235000	3662.540	855.715	2034.450	4461.815	3844.873
240000	4163.835	310.343	3164.610	4532.800	4301.876
245000	4013.268	587.507	1982.478	4555.906	4258.154
250000	4210.883	193.517	3911.381	4454.423	4311.700
255000	4189.264	389.263	2388.777	4555.456	4328.191
260000	4280.261	214.702	3975.510	4609.908	4335.056
265000	4338.593	211.751	4045.087	4636.427	4417.451
270000	4313.707	261.858	3925.269	4629.030	4485.654
275000	3914.664	823.253	2382.962	4639.529	4439.794
280000	4323.320	241.757	3976.860	4645.295	4444.929
285000	4364.116	240.572	4023.086	4699.744	4460.185
290000	4333.977	191.360	4061.723	4592.959	4396.918
295000	2868.793	1801.639	196.806	4580.331	4011.378
300000	3728.647	1204.975	1954.551	4749.771	4524.291
