iteration	mean	std_dev	min	max	median
5000	3.824	5.544	-2.267	13.800	2.692
10000	411.340	23.267	368.745	443.190	419.244
15000	453.185	137.446	323.363	737.683	389.275
20000	351.239	36.658	303.473	441.112	342.376
25000	378.385	189.984	124.827	667.014	464.927
30000	798.335	529.020	501.268	2373.474	647.465
35000	307.953	11.723	292.105	326.691	310.788
40000	386.981	84.625	282.808	595.660	357.770
45000	910.473	368.114	501.046	1658.566	719.637
50000	1675.945	717.120	815.391	2620.360	1635.973
55000	2093.061	754.758	865.542	2940.147	2190.346
60000	1483.560	834.910	701.950	3020.209	1161.058
65000	1215.173	98.099	1064.869	1419.959	1203.617
70000	3013.889	23.126	2972.844	3058.437	3016.002
75000	2181.204	945.857	708.047	3429.642	2207.229
80000	3048.074	211.288	2586.975	3274.558	3146.942
85000	2124.627	519.546	1609.515	3528.780	2084.970
90000	1546.291	166.414	1155.332	1758.631	1562.286
95000	1125.692	144.270	971.577	1419.845	1101.748
100000	1917.996	693.056	1152.035	3111.405	1736.930
105000	2057.645	843.470	1247.513	3917.824	1694.729
110000	2544.438	675.878	1537.812	3796.983	2487.125
115000	2573.492	651.542	1834.921	3727.151	2354.871
120000	3263.167	665.984	2325.442	4011.518	3268.385
125000	3593.531	691.836	2115.494	4025.531	3896.964
130000	2855.220	741.245	2200.752	4186.276	2433.952
135000	4096.328	270.866	3493.933	4293.794	4239.485
140000	3105.449	1164.794	1176.505	4221.908	3567.926
145000	3969.806	510.669	2799.504	4390.057	4211.136
150000	2624.171	849.291	1949.390	4215.779	2122.953
155000	4116.754	57.789	4017.358	4179.398	4126.100
160000	3911.231	550.569	2763.727	4319.683	4223.461
165000	3939.713	522.068	2718.414	4460.334	4187.415
170000	4280.554	91.056	4117.381	4470.131	4256.729
175000	3215.722	931.824	2040.077	4263.259	3216.132
180000	4233.197	44.379	4147.966	4284.547	4247.221
185000	4259.915	89.902	4039.657	4402.761	4282.303
190000	4196.817	329.763	3278.608	4396.829	4335.324
195000	4054.227	572.717	2725.971	4462.984	4336.017
200000	4177.931	419.487	3007.129	4511.253	4327.327
205000	4101.911	833.210	1611.809	4499.352	4386.227
210000	4151.017	351.544	3342.395	4414.781	4347.814
215000	4396.099	55.378	4310.423	4470.655	4408.816
220000	4118.471	557.221	2460.199	4431.847	4282.135
225000	4090.573	765.744	2472.319	4535.084	4450.378
230000	4403.894	48.998	4328.080	4495.370	4401.353
235000	2841.935	1034.187	2034.450	4461.815	2310.240
240000	4300.995	384.907	3164.610	4532.800	4400.395
245000	3787.376	956.545	1982.478	4555.906	4341.612
250000	4376.453	42.155	4295.906	4454.423	4380.583
255000	4233.161	619.840	2388.777	4555.456	4436.740
260000	4508.486	64.712	4402.110	4609.908	4506.896
265000	4552.821	72.940	4356.337	4636.427	4560.440
270000	4509.095	59.872	4398.639	4629.030	4508.581
275000	4514.446	85.736	4327.936	4639.529	4528.129
280000	4545.305	60.083	4431.572	4645.295	4554.622
285000	4591.907	83.739	4445.381	4699.744	4603.241
290000	4527.522	54.907	4402.962	4592.959	4540.213
295000	4448.626	310.923	3523.023	4580.331	4565.548
300000	4631.259	64.512	4494.426	4749.771	4647.825
