iteration	mean	std_dev	min	max	median
5000	84.775	123.054	-2.105	307.388	-0.264
10000	77.936	112.383	-2.887	279.029	-0.239
15000	-48.329	72.379	-204.741	-0.300	-2.123
20000	24.752	36.920	-21.804	114.370	17.600
25000	200.341	588.985	-279.269	1382.926	-98.752
30000	850.504	569.592	-145.169	1847.017	705.076
35000	2103.928	522.475	143.698	2596.140	2268.439
40000	2693.220	508.701	492.956	3121.246	2856.605
45000	3314.261	690.112	215.451	3836.906	3556.257
50000	2876.891	1078.952	36.706	4171.410	3333.925
55000	3367.380	1013.506	176.985	4279.390	3641.809
60000	3278.922	1362.780	206.204	4411.913	3794.306
65000	4222.252	583.804	1458.233	4781.888	4438.519
70000	4251.206	603.410	2028.563	4773.706	4484.066
75000	4759.461	308.749	4186.475	5134.708	4898.199
80000	4650.611	334.393	4070.182	5183.063	4531.641
85000	4293.994	1315.745	934.816	5196.979	4813.341
90000	4903.230	175.665	4484.201	5206.126	4876.624
95000	5005.400	164.893	4762.260	5342.115	4970.785
100000	5232.990	296.509	4758.794	5751.153	5292.319
105000	5300.755	218.777	4887.085	5664.098	5306.996
110000	5526.995	255.050	4984.638	5872.696	5560.964
115000	5665.228	285.430	5110.395	5961.579	5825.743
120000	5686.635	252.796	5221.414	6061.689	5732.605
125000	5821.494	461.587	5138.002	6493.219	5723.423
130000	5958.922	332.215	5393.413	6415.368	6020.557
135000	6088.069	286.774	5587.556	6498.555	6110.951
140000	6128.925	446.515	5414.236	6866.728	6091.463
145000	6009.264	1001.751	769.203	6432.210	6309.532
150000	6346.875	354.489	5678.886	6902.031	6439.939
155000	6413.487	416.570	5790.598	7022.602	6318.686
160000	6500.090	365.551	5902.366	7009.764	6547.352
165000	6527.239	415.836	5859.373	7128.788	6544.673
170000	6506.617	396.034	5811.846	7069.956	6502.068
175000	6566.171	331.644	6019.209	7103.396	6605.861
180000	6739.554	381.580	6080.493	7243.160	6842.765
185000	6684.117	431.991	5919.901	7143.347	6947.511
190000	6831.241	388.576	6184.118	7415.444	6926.092
195000	6770.071	478.765	6210.237	7502.022	6548.240
200000	6949.892	506.266	6031.405	7601.073	7021.541
205000	6945.695	515.389	6198.827	7731.349	6890.574
210000	7167.562	487.443	6331.021	7845.276	7288.368
215000	7126.400	470.539	6399.676	7843.608	7102.785
220000	7226.255	505.095	6468.522	7918.777	7270.108
225000	7124.585	374.971	6466.546	7653.921	7189.966
230000	7075.514	329.271	6453.226	7559.924	7189.717
235000	7290.539	466.212	6631.263	8076.390	7270.294
240000	7185.207	971.198	3520.492	8199.340	7254.039
245000	7271.977	934.934	2890.636	8105.720	7348.992
250000	7418.488	479.147	6767.042	8173.295	7302.664
255000	7335.005	180.234	6952.176	7561.805	7361.206
260000	7575.013	458.669	6956.826	8281.504	7516.482
265000	7449.283	305.966	7068.032	8001.794	7309.789
270000	7546.724	401.071	6973.571	8264.242	7406.902
275000	7706.719	409.804	7297.975	8566.822	7485.370
280000	7736.368	492.584	7031.801	8553.170	7535.316
285000	7819.600	472.653	7224.123	8660.187	7585.644
290000	7790.431	488.349	7271.181	8603.451	7536.468
295000	7843.550	543.691	7294.800	8864.805	7570.261
300000	7914.108	420.703	7315.144	8581.443	7705.747
305000	7921.873	491.740	7434.308	8830.244	7609.655
310000	7723.635	1341.572	1367.427	9011.037	7554.737
315000	7738.246	1328.025	1276.548	8818.820	7658.812
320000	7571.943	1583.135	1278.871	8693.763	7757.630
325000	8063.129	489.591	7545.209	8950.566	7796.432
330000	8035.978	358.520	7642.487	8702.346	7840.854
335000	8057.044	416.531	7554.162	8882.972	7909.438
340000	8253.523	522.798	7708.778	9070.254	7941.808
345000	8272.340	593.095	7688.890	9280.801	7917.015
350000	8262.719	555.893	7692.422	9418.700	7965.736
355000	8340.333	562.545	7802.150	9253.758	7991.474
360000	8294.587	479.465	7651.792	9153.270	8051.118
365000	8319.807	636.278	7632.226	9331.795	7988.544
370000	8211.077	330.692	7832.535	8833.979	8043.417
375000	8469.599	498.623	7995.813	9398.511	8209.062
380000	8320.814	314.198	7912.029	8910.104	8172.139
385000	8516.591	469.693	7950.175	9327.240	8268.551
390000	8483.395	517.636	7932.200	9389.103	8220.561
395000	8559.698	574.136	7885.316	9564.402	8217.999
400000	8640.604	470.281	8216.833	9468.227	8344.363
405000	8642.909	601.876	8027.989	9641.213	8295.589
410000	8759.312	536.042	8198.332	9664.554	8483.240
415000	8697.674	552.175	8140.397	9734.616	8390.856
420000	8802.378	589.923	8227.313	9934.069	8509.243
425000	8712.444	565.101	7903.868	9710.668	8428.997
430000	8847.597	661.737	8103.047	10140.314	8440.814
435000	8976.453	636.836	8343.104	10074.590	8673.374
440000	8871.695	669.728	8273.902	9965.014	8459.643
445000	8952.374	635.695	8336.207	9998.461	8581.203
450000	8842.873	505.795	8319.328	9692.979	8611.328
455000	8958.785	633.306	8320.609	9984.073	8604.560
460000	9012.085	709.332	8143.671	10274.371	8692.987
465000	9026.821	644.218	8434.771	10098.746	8639.385
470000	9102.745	553.266	8501.811	10115.312	8777.534
475000	8879.732	609.725	8035.042	9926.418	8654.005
480000	9131.263	786.613	8295.209	10438.553	8674.031
485000	9182.353	502.654	8682.246	10053.592	8907.663
490000	9210.410	667.643	8490.787	10362.440	8882.169
495000	9205.604	638.628	8481.056	10279.779	8860.451
500000	9286.180	696.128	8671.765	10412.234	8895.340
505000	9254.878	656.417	8591.882	10390.521	8906.124
510000	9334.211	702.396	8616.139	10446.973	8992.502
515000	9406.854	699.219	8446.618	10633.691	9057.402
520000	9324.024	678.397	8542.550	10424.901	9008.307
525000	9449.167	582.568	8857.770	10563.633	9186.753
530000	9528.473	672.826	8782.585	10631.514	9148.572
535000	9529.921	727.737	8687.152	10809.090	9234.407
540000	9443.527	750.111	8709.287	10660.570	9004.557
545000	9488.806	728.250	8592.248	10662.723	9221.330
550000	9523.600	712.326	8748.136	10645.221	9242.985
555000	9523.782	683.221	8746.965	10726.113	9160.588
560000	9493.677	773.487	7751.514	10729.205	9312.905
565000	9631.257	558.492	8961.990	10495.883	9407.142
570000	9705.507	761.046	8901.341	10938.176	9364.526
575000	9643.453	762.560	8802.354	10969.287	9271.966
580000	9649.201	590.585	8895.463	10604.755	9321.219
585000	9722.057	660.314	8922.923	10757.365	9387.133
590000	9737.524	577.994	9126.465	10802.400	9479.808
595000	9670.024	683.521	8912.658	10822.729	9338.298
600000	9692.034	749.172	8955.770	11068.080	9311.193
605000	9771.548	786.962	8697.541	10945.084	9545.502
610000	9816.357	695.352	9013.715	10972.757	9559.489
615000	9882.418	662.663	9177.485	10965.939	9532.870
620000	9813.736	663.678	9138.108	10919.848	9446.526
625000	9901.707	681.400	9063.348	11062.201	9647.497
630000	9981.443	694.930	9097.416	11189.416	9741.938
635000	9954.824	745.341	9206.416	11103.092	9560.306
640000	9956.588	765.765	9111.133	11242.502	9655.783
645000	10011.997	688.032	9334.824	11172.596	9619.981
650000	10035.408	644.788	9303.969	11125.834	9678.453
655000	9831.583	860.107	8834.755	11169.689	9495.323
660000	9928.274	573.067	9155.479	10857.506	9692.011
665000	10025.641	657.529	9218.776	11123.921	9789.020
670000	10122.922	606.109	9459.137	11147.411	9874.624
675000	10079.580	583.073	9235.573	11000.580	9820.585
680000	10005.715	754.911	9203.385	11258.424	9673.673
685000	10090.533	648.200	9280.662	11121.113	9923.260
690000	10108.000	686.667	9198.896	11197.127	9871.165
695000	10139.355	675.650	9435.506	11264.225	9795.372
700000	10084.865	712.729	9197.760	11270.594	9778.707
705000	10237.645	685.557	9443.068	11431.997	9853.608
710000	9807.444	1317.094	3257.008	10980.537	9844.535
715000	10269.584	696.080	9411.190	11355.391	9993.408
