iteration	mean	std_dev	min	max	median
5000	-1.169	0.608	-2.105	-0.238	-1.178
10000	-1.200	0.990	-2.887	0.278	-0.884
15000	-1.051	0.449	-2.071	-0.300	-0.989
20000	-14.546	4.981	-21.804	-2.485	-14.801
25000	-110.997	64.020	-279.269	-54.576	-98.753
30000	728.238	330.019	304.686	1316.191	705.076
35000	2283.283	107.143	2134.352	2477.992	2321.077
40000	2923.293	137.583	2679.127	3109.068	2975.507
45000	3667.112	155.344	3319.948	3836.906	3680.290
50000	2355.070	1325.776	36.706	3869.364	2702.564
55000	2498.373	1312.067	176.985	4279.390	2274.282
60000	2091.487	1468.871	206.204	3892.219	1696.385
65000	4221.791	935.594	1458.233	4781.888	4486.412
70000	4045.035	906.319	2028.563	4773.290	4501.022
75000	5037.136	49.100	4967.581	5134.708	5029.298
80000	4373.544	150.608	4070.182	4580.136	4412.009
85000	5045.389	95.407	4871.641	5196.979	5067.877
90000	5097.198	77.327	4896.514	5206.126	5097.899
95000	4921.653	67.720	4828.371	5054.449	4913.551
100000	5270.078	78.103	5125.215	5369.670	5292.319
105000	5299.986	52.012	5194.533	5386.197	5306.997
110000	5805.200	50.910	5690.223	5872.696	5821.263
115000	5883.618	67.956	5735.887	5961.579	5895.136
120000	5964.082	53.913	5890.378	6061.689	5953.504
125000	6415.074	51.645	6323.637	6493.219	6417.127
130000	6310.649	63.097	6232.568	6415.368	6289.408
135000	6415.597	75.956	6257.061	6498.555	6440.086
140000	6686.483	99.667	6555.510	6866.728	6666.012
145000	6372.216	40.239	6299.215	6432.210	6384.175
150000	6734.595	63.979	6679.558	6902.031	6713.459
155000	6949.248	58.246	6842.162	7022.602	6965.475
160000	6925.134	73.995	6776.430	7009.764	6940.837
165000	7016.285	81.194	6877.153	7128.788	7022.893
170000	6973.496	136.707	6575.483	7069.956	7012.480
175000	6921.393	106.593	6736.555	7103.396	6939.023
180000	7135.577	65.545	7011.221	7243.160	7142.366
185000	7043.478	58.330	6950.508	7143.347	7042.161
190000	7252.513	128.608	6983.782	7415.444	7252.903
195000	7421.100	57.863	7327.207	7502.022	7439.586
200000	7498.798	68.606	7364.850	7601.073	7497.053
205000	7588.941	81.106	7461.444	7731.349	7586.399
210000	7681.278	103.664	7504.557	7845.276	7696.249
215000	7704.519	76.172	7595.360	7843.608	7696.332
220000	7815.830	87.449	7633.536	7918.777	7847.486
225000	7523.388	84.439	7391.854	7653.921	7498.809
230000	7212.611	71.218	7128.622	7328.171	7201.354
235000	7869.706	103.582	7692.887	8076.390	7848.584
240000	8077.891	74.020	7959.484	8199.340	8081.812
245000	8002.044	50.968	7940.866	8105.720	7996.255
250000	8052.436	82.956	7928.634	8173.295	8054.593
255000	7482.499	63.210	7339.744	7561.805	7505.260
260000	8167.474	78.447	8040.451	8281.504	8142.508
265000	7861.255	93.160	7707.822	8001.794	7891.706
270000	8074.641	141.565	7704.166	8264.242	8120.080
275000	8261.596	164.172	8017.856	8566.822	8288.080
280000	8404.162	86.546	8249.867	8553.170	8428.825
285000	8462.779	112.665	8271.932	8660.187	8447.893
290000	8464.580	97.069	8273.607	8603.451	8481.232
295000	8593.805	140.643	8324.894	8864.805	8621.484
300000	8493.873	60.474	8407.044	8581.443	8477.070
305000	8607.070	121.139	8418.711	8830.244	8570.246
310000	8818.081	121.138	8584.896	9011.037	8823.193
315000	8711.227	89.317	8538.104	8818.820	8727.850
320000	8514.615	134.486	8225.336	8693.763	8529.209
325000	8736.488	130.512	8519.389	8950.566	8753.207
330000	8527.990	102.645	8394.103	8702.346	8557.368
335000	8600.903	174.847	8269.230	8882.972	8622.758
340000	8986.562	54.035	8905.023	9070.254	8989.117
345000	9097.521	124.480	8904.317	9280.801	9111.788
350000	9026.674	171.371	8755.435	9418.700	9001.224
355000	9126.103	99.168	8967.412	9253.758	9118.412
360000	8948.256	114.509	8785.842	9153.270	8941.992
365000	9201.486	108.456	9036.132	9331.795	9221.594
370000	8661.335	99.510	8502.653	8833.979	8663.378
375000	9150.161	190.913	8687.680	9398.511	9134.076
380000	8740.631	119.164	8440.232	8910.104	8737.277
385000	9153.891	159.254	8877.650	9327.240	9182.212
390000	9194.798	133.571	8930.212	9389.103	9211.125
395000	9356.003	128.652	9101.393	9564.402	9345.070
400000	9298.651	76.661	9149.912	9468.227	9295.598
405000	9480.990	123.758	9243.211	9641.213	9476.832
410000	9499.206	107.893	9285.688	9664.554	9512.593
415000	9459.713	168.059	9205.481	9734.616	9467.612
420000	9604.555	182.018	9284.753	9934.069	9595.555
425000	9486.240	115.462	9303.580	9710.668	9468.498
430000	9767.756	150.775	9602.434	10140.314	9754.064
435000	9852.788	160.793	9578.571	10074.590	9891.201
440000	9809.305	116.468	9623.470	9965.014	9818.096
445000	9840.515	114.250	9637.787	9998.461	9831.072
450000	9537.354	115.010	9305.883	9692.979	9515.790
455000	9829.283	150.852	9411.457	9984.073	9852.406
460000	9987.903	141.176	9798.951	10274.371	9921.359
465000	9924.619	138.959	9684.473	10098.746	9952.751
470000	9869.075	131.451	9660.791	10115.312	9867.688
475000	9698.164	160.462	9394.090	9926.418	9726.438
480000	10225.795	192.023	9837.426	10438.553	10256.615
485000	9877.047	113.866	9597.349	10053.592	9883.076
490000	10135.386	134.777	9935.271	10362.440	10108.053
495000	10090.457	144.621	9732.252	10279.779	10117.638
500000	10260.508	91.385	10061.234	10412.234	10271.695
505000	10166.464	120.082	9983.050	10390.521	10180.547
510000	10302.803	116.725	10066.252	10446.973	10352.572
515000	10365.034	157.999	10128.018	10633.691	10340.604
520000	10257.790	92.212	10138.291	10424.901	10248.104
525000	10249.953	143.518	10007.343	10563.633	10238.250
530000	10462.175	148.436	10153.104	10631.514	10496.730
535000	10524.467	137.447	10370.928	10809.090	10520.769
540000	10492.378	99.101	10274.481	10660.570	10508.240
545000	10476.629	140.290	10205.338	10662.723	10507.466
550000	10499.129	117.988	10239.814	10645.221	10514.993
555000	10460.070	164.111	10155.451	10726.113	10474.511
560000	10294.365	857.933	7751.514	10729.205	10612.402
565000	10389.766	89.746	10169.779	10495.883	10411.762
570000	10750.492	158.809	10389.396	10938.176	10794.283
575000	10691.930	155.398	10486.290	10969.287	10709.703
580000	10465.756	122.839	10226.537	10604.755	10509.962
585000	10628.908	87.467	10476.983	10757.365	10636.225
590000	10527.735	162.848	10256.387	10802.400	10522.533
595000	10611.904	135.186	10328.162	10822.729	10611.514
600000	10629.081	571.982	8955.770	11068.080	10775.818
605000	10813.533	92.327	10666.848	10945.084	10828.651
610000	10763.747	111.840	10579.359	10972.757	10763.947
615000	10802.229	124.289	10619.902	10965.939	10851.992
620000	10736.136	118.235	10569.055	10919.848	10733.512
