iteration	mean	std_dev	min	max	median
5000	74.252	8.733	64.125	92.220	73.293
10000	78.850	11.193	64.081	101.169	77.839
15000	402.842	120.339	231.614	596.560	371.997
20000	8494.741	2595.396	708.554	9359.980	9359.853
25000	9359.803	0.132	9359.543	9359.934	9359.867
30000	9359.794	0.135	9359.566	9359.935	9359.873
35000	9357.810	0.065	9357.680	9357.896	9357.818
40000	9355.010	0.319	9354.056	9355.153	9355.107
45000	9354.819	0.183	9354.424	9355.055	9354.842
50000	9353.276	0.423	9353.039	9354.539	9353.153
55000	9355.701	0.219	9355.116	9355.877	9355.787
60000	9351.199	0.193	9350.986	9351.721	9351.164
65000	9354.948	0.131	9354.740	9355.118	9354.986
70000	9357.632	1.756	9355.975	9359.934	9356.358
75000	9359.712	0.376	9358.613	9359.976	9359.785
80000	9355.042	0.064	9354.957	9355.172	9355.026
85000	8485.990	2621.307	622.070	9359.959	9359.790
90000	9359.682	0.196	9359.404	9359.947	9359.768
95000	9359.813	0.121	9359.570	9359.938	9359.855
100000	9359.818	0.096	9359.613	9359.928	9359.843
105000	9359.883	0.072	9359.750	9359.986	9359.871
110000	9359.758	0.151	9359.368	9359.915	9359.808
115000	9359.643	0.354	9358.962	9359.987	9359.852
120000	9359.844	0.099	9359.605	9359.958	9359.859
125000	9359.659	0.443	9358.378	9359.979	9359.766
130000	9359.704	0.206	9359.354	9359.955	9359.772
135000	9359.409	1.048	9356.316	9359.953	9359.759
140000	9359.617	0.415	9358.767	9359.990	9359.824
145000	9358.820	1.809	9355.112	9359.971	9359.646
150000	9358.912	1.520	9355.757	9359.953	9359.660
155000	9359.713	0.269	9359.330	9359.989	9359.839
160000	9359.870	0.173	9359.459	9359.979	9359.957
165000	9356.739	4.479	9349.689	9359.918	9359.660
170000	9359.805	0.277	9358.982	9359.962	9359.883
175000	9359.646	0.154	9359.443	9359.885	9359.635
180000	9359.400	0.249	9358.914	9359.759	9359.490
185000	9359.611	0.277	9358.802	9359.771	9359.691
190000	9359.650	0.313	9359.038	9359.948	9359.745
195000	9359.814	0.204	9359.312	9359.944	9359.906
200000	9359.072	0.303	9358.437	9359.408	9359.199
205000	9359.416	0.152	9359.119	9359.581	9359.459
210000	9359.670	0.251	9359.172	9359.869	9359.762
215000	9359.751	0.200	9359.173	9359.900	9359.811
220000	9359.010	0.192	9358.614	9359.213	9359.098
225000	9359.805	0.156	9359.359	9359.900	9359.877
230000	9359.488	0.431	9358.513	9359.851	9359.688
235000	9358.949	0.152	9358.618	9359.092	9359.030
240000	9359.608	0.225	9359.197	9359.790	9359.736
245000	9359.451	0.190	9359.064	9359.646	9359.504
250000	9359.107	0.183	9358.629	9359.261	9359.170
255000	9359.111	0.259	9358.420	9359.322	9359.209
260000	9359.427	0.212	9359.002	9359.561	9359.525
265000	9358.425	0.214	9358.016	9358.642	9358.553
270000	9359.236	0.231	9358.780	9359.502	9359.320
275000	9359.323	0.347	9358.448	9359.637	9359.459
280000	9358.502	0.269	9358.084	9358.834	9358.490
285000	9358.968	0.185	9358.686	9359.259	9359.013
290000	9358.752	0.296	9358.307	9359.219	9358.844
295000	9357.705	0.335	9357.215	9358.154	9357.699
300000	9358.322	0.212	9358.054	9358.798	9358.349
305000	9358.707	0.209	9358.309	9358.953	9358.745
310000	9358.838	0.296	9358.067	9359.159	9358.906
315000	9358.539	0.342	9357.856	9358.906	9358.584
320000	9358.457	0.289	9358.107	9359.207	9358.410
325000	9358.912	0.184	9358.449	9359.127	9358.960
330000	9358.947	0.336	9358.115	9359.180	9359.104
335000	9358.309	0.209	9357.746	9358.505	9358.395
340000	9358.065	0.906	9356.828	9359.337	9357.777
345000	9358.575	0.383	9357.948	9359.100	9358.533
350000	9357.990	1.004	9356.861	9359.488	9357.428
355000	9358.863	0.628	9357.724	9359.437	9359.260
360000	9358.022	0.298	9357.420	9358.376	9358.094
365000	9359.115	0.216	9358.615	9359.303	9359.209
