iteration	mean	std_dev	min	max	median
5000	25.100	4.182	20.000	33.000	24.000
10000	26.500	11.552	18.000	58.000	23.000
15000	76.900	3.562	70.000	82.000	76.500
20000	1000.000	0.000	1000.000	1000.000	1000.000
25000	1000.000	0.000	1000.000	1000.000	1000.000
30000	1000.000	0.000	1000.000	1000.000	1000.000
35000	1000.000	0.000	1000.000	1000.000	1000.000
40000	1000.000	0.000	1000.000	1000.000	1000.000
45000	1000.000	0.000	1000.000	1000.000	1000.000
50000	1000.000	0.000	1000.000	1000.000	1000.000
55000	1000.000	0.000	1000.000	1000.000	1000.000
60000	1000.000	0.000	1000.000	1000.000	1000.000
65000	1000.000	0.000	1000.000	1000.000	1000.000
70000	1000.000	0.000	1000.000	1000.000	1000.000
75000	1000.000	0.000	1000.000	1000.000	1000.000
80000	1000.000	0.000	1000.000	1000.000	1000.000
85000	1000.000	0.000	1000.000	1000.000	1000.000
90000	1000.000	0.000	1000.000	1000.000	1000.000
95000	1000.000	0.000	1000.000	1000.000	1000.000
100000	1000.000	0.000	1000.000	1000.000	1000.000
105000	1000.000	0.000	1000.000	1000.000	1000.000
110000	1000.000	0.000	1000.000	1000.000	1000.000
115000	213.200	0.400	213.000	214.000	213.000
120000	1000.000	0.000	1000.000	1000.000	1000.000
125000	1000.000	0.000	1000.000	1000.000	1000.000
130000	1000.000	0.000	1000.000	1000.000	1000.000
135000	1000.000	0.000	1000.000	1000.000	1000.000
140000	1000.000	0.000	1000.000	1000.000	1000.000
145000	1000.000	0.000	1000.000	1000.000	1000.000
150000	1000.000	0.000	1000.000	1000.000	1000.000
155000	1000.000	0.000	1000.000	1000.000	1000.000
160000	1000.000	0.000	1000.000	1000.000	1000.000
165000	1000.000	0.000	1000.000	1000.000	1000.000
170000	1000.000	0.000	1000.000	1000.000	1000.000
175000	1000.000	0.000	1000.000	1000.000	1000.000
180000	1000.000	0.000	1000.000	1000.000	1000.000
185000	1000.000	0.000	1000.000	1000.000	1000.000
190000	1000.000	0.000	1000.000	1000.000	1000.000
195000	1000.000	0.000	1000.000	1000.000	1000.000
200000	1000.000	0.000	1000.000	1000.000	1000.000
205000	1000.000	0.000	1000.000	1000.000	1000.000
210000	1000.000	0.000	1000.000	1000.000	1000.000
215000	1000.000	0.000	1000.000	1000.000	1000.000
220000	1000.000	0.000	1000.000	1000.000	1000.000
225000	1000.000	0.000	1000.000	1000.000	1000.000
230000	1000.000	0.000	1000.000	1000.000	1000.000
235000	1000.000	0.000	1000.000	1000.000	1000.000
240000	356.300	4.291	351.000	364.000	355.500
245000	1000.000	0.000	1000.000	1000.000	1000.000
250000	1000.000	0.000	1000.000	1000.000	1000.000
255000	1000.000	0.000	1000.000	1000.000	1000.000
260000	1000.000	0.000	1000.000	1000.000	1000.000
265000	182.600	7.697	175.000	198.000	180.500
270000	1000.000	0.000	1000.000	1000.000	1000.000
275000	1000.000	0.000	1000.000	1000.000	1000.000
280000	1000.000	0.000	1000.000	1000.000	1000.000
285000	1000.000	0.000	1000.000	1000.000	1000.000
290000	1000.000	0.000	1000.000	1000.000	1000.000
295000	1000.000	0.000	1000.000	1000.000	1000.000
300000	1000.000	0.000	1000.000	1000.000	1000.000
305000	1000.000	0.000	1000.000	1000.000	1000.000
310000	1000.000	0.000	1000.000	1000.000	1000.000
315000	1000.000	0.000	1000.000	1000.000	1000.000
320000	1000.000	0.000	1000.000	1000.000	1000.000
325000	1000.000	0.000	1000.000	1000.000	1000.000
330000	1000.000	0.000	1000.000	1000.000	1000.000
335000	26.000	9.508	21.000	54.000	23.000
340000	26.700	7.295	20.000	47.000	24.500
345000	27.400	6.815	19.000	41.000	26.500
350000	23.300	1.616	21.000	26.000	24.000
355000	28.300	7.212	21.000	44.000	25.500
360000	25.000	4.074	20.000	32.000	23.500
365000	23.700	2.410	20.000	27.000	24.000
370000	24.000	4.879	20.000	38.000	23.000
375000	23.500	4.031	19.000	31.000	22.500
380000	25.300	5.405	20.000	34.000	23.500
385000	22.900	3.270	19.000	30.000	22.000
390000	22.600	2.375	19.000	28.000	22.000
395000	25.800	4.069	21.000	34.000	24.000
400000	22.400	3.412	19.000	28.000	20.500
405000	29.000	8.062	21.000	46.000	25.500
410000	25.000	4.494	20.000	35.000	23.500
415000	25.000	4.050	19.000	32.000	24.500
420000	24.600	6.200	19.000	42.000	24.000
425000	25.400	3.955	19.000	30.000	24.500
430000	25.100	4.700	20.000	33.000	25.500
435000	22.700	3.494	18.000	29.000	22.500
440000	25.700	9.198	19.000	52.000	22.000
445000	30.700	7.484	22.000	44.000	30.500
450000	25.300	3.407	19.000	31.000	25.500
455000	25.900	4.460	18.000	32.000	27.000
460000	21.400	2.538	18.000	27.000	20.500
465000	24.300	4.473	19.000	33.000	22.500
470000	22.300	2.193	19.000	27.000	22.500
475000	24.400	4.862	19.000	37.000	23.500
480000	28.200	9.379	19.000	52.000	25.500
485000	31.100	6.920	23.000	43.000	30.500
490000	27.000	9.413	19.000	45.000	22.500
495000	28.400	6.184	21.000	38.000	26.500
500000	23.700	4.900	19.000	34.000	22.000
505000	28.000	7.874	20.000	43.000	25.000
510000	26.400	4.055	20.000	34.000	26.500
515000	25.200	5.930	19.000	36.000	22.500
520000	25.900	5.088	19.000	36.000	25.500
