iteration	mean	std_dev	min	max	median
5000	-1.378	5.954	-10.418	13.798	-0.840
10000	-0.552	7.122	-9.187	23.650	-0.888
15000	302.198	21.147	272.855	346.053	289.930
20000	190.006	166.635	-23.124	635.822	219.912
25000	297.139	126.551	53.049	544.055	321.903
30000	284.651	98.699	87.054	515.603	263.244
35000	402.085	268.657	-6.451	1077.171	383.852
40000	226.580	148.510	-20.666	440.551	258.202
45000	247.887	190.373	-43.407	650.271	287.793
50000	342.256	165.212	27.723	1024.308	328.808
55000	258.398	173.778	12.539	632.825	281.296
60000	535.372	317.349	90.588	1543.978	433.722
65000	369.440	150.196	50.629	831.277	380.477
70000	504.382	336.331	34.826	1122.794	362.719
75000	366.657	172.590	103.969	1032.064	392.014
80000	323.135	179.407	21.199	1001.073	300.984
85000	285.886	133.218	30.917	600.218	275.510
90000	454.705	260.939	218.049	1347.255	395.263
95000	468.669	348.700	116.710	1551.202	362.279
100000	684.668	478.905	192.644	1989.987	546.562
105000	801.132	543.039	125.829	2621.207	619.279
110000	465.444	263.438	23.183	991.183	348.856
115000	599.033	548.979	100.297	2468.257	465.486
120000	963.157	767.510	229.154	2741.270	538.984
125000	977.243	792.164	237.877	2539.665	606.025
130000	647.925	380.050	231.701	2152.630	590.689
135000	557.310	406.871	182.327	2385.332	552.625
140000	1091.496	902.708	317.463	3289.589	625.028
145000	865.012	713.163	200.767	3106.796	788.862
150000	951.463	548.207	194.116	2317.350	1009.491
155000	1233.468	795.273	452.101	3340.705	781.995
160000	1525.930	860.268	402.850	3140.042	1327.247
165000	1393.933	775.772	106.660	3163.571	1314.014
170000	1070.597	682.227	178.351	3069.536	905.111
175000	1068.820	942.515	130.036	3459.221	711.077
180000	1253.301	743.011	196.712	2740.922	1135.095
185000	1099.993	738.266	368.758	3092.225	796.386
190000	1431.730	1028.879	312.349	3310.608	1045.420
195000	1833.736	1150.169	274.745	3598.431	1444.426
200000	949.727	428.447	376.536	2412.373	803.425
205000	1051.443	758.884	72.968	3129.955	759.997
