iteration	mean	std_dev	min	max	median
5000	-8.067	2.298	-12.000	-4.797	-8.811
10000	-7.491	2.284	-10.145	-1.745	-8.143
15000	-6.678	1.609	-8.996	-3.145	-7.002
20000	-5.608	1.656	-8.525	-3.390	-5.462
25000	-5.025	1.660	-8.314	-2.349	-5.024
30000	-6.693	1.833	-8.928	-2.761	-6.588
35000	-5.343	2.031	-8.273	-1.905	-5.071
40000	-3.978	1.284	-5.795	-1.214	-4.163
45000	-4.367	1.130	-5.936	-2.828	-4.505
50000	-4.619	1.372	-7.547	-2.680	-4.551
55000	-5.713	1.343	-7.643	-3.449	-5.252
60000	-4.324	1.243	-5.856	-2.079	-4.673
65000	-4.497	2.056	-7.832	-2.555	-3.595
70000	-4.429	1.318	-7.226	-2.610	-4.190
75000	-4.268	1.130	-5.975	-2.624	-4.333
80000	-3.706	1.402	-5.765	-1.364	-3.876
85000	-4.827	1.512	-7.567	-2.301	-4.549
90000	-4.451	1.442	-7.540	-2.014	-4.258
95000	-4.481	1.788	-7.769	-1.495	-4.645
100000	-5.059	1.099	-7.014	-3.046	-4.837
105000	-4.952	1.422	-7.386	-2.359	-5.266
110000	-4.258	1.622	-7.778	-2.053	-3.823
115000	-4.559	0.989	-6.319	-2.175	-4.625
120000	-4.242	0.711	-5.290	-3.034	-4.421
125000	-3.822	1.176	-6.073	-1.732	-3.763
130000	-4.651	1.322	-6.696	-2.301	-4.484
135000	-4.463	1.433	-7.171	-1.540	-4.403
140000	-3.910	1.782	-7.127	-2.101	-3.059
145000	-4.403	1.484	-6.661	-2.031	-4.296
150000	-4.745	1.486	-7.063	-2.526	-4.552
155000	-3.954	1.352	-5.903	-1.687	-3.995
160000	-4.215	1.404	-6.773	-1.903	-4.062
165000	-4.197	0.986	-5.484	-1.715	-4.368
170000	-3.982	1.305	-6.155	-2.382	-3.720
175000	-4.744	1.546	-6.610	-1.984	-4.995
180000	-3.930	1.378	-6.180	-1.743	-3.800
185000	-4.180	1.274	-6.093	-1.980	-4.212
190000	-4.779	1.194	-6.178	-1.959	-4.963
195000	-4.390	1.455	-6.351	-0.865	-4.793
200000	-4.086	0.955	-6.218	-2.897	-3.724
205000	-3.948	1.786	-6.776	-1.470	-3.558
210000	-3.755	1.456	-5.822	-0.830	-3.668
215000	-4.450	1.219	-5.895	-2.340	-4.390
220000	-4.269	1.610	-7.135	-2.210	-4.058
225000	-4.411	1.123	-6.611	-2.559	-4.422
230000	-3.455	0.903	-4.570	-2.064	-3.697
235000	-4.496	1.047	-5.817	-2.623	-4.576
240000	-3.904	1.155	-6.002	-2.091	-3.852
245000	-3.664	1.380	-6.018	-1.358	-3.974
250000	-4.087	1.391	-5.862	-1.351	-4.165
255000	-3.508	0.774	-4.721	-2.505	-3.341
260000	-3.638	1.572	-7.442	-1.278	-3.497
265000	-4.543	0.938	-6.752	-3.474	-4.401
270000	-4.177	1.394	-7.214	-2.287	-3.900
275000	-3.922	1.547	-6.542	-1.644	-3.963
280000	-3.478	1.315	-5.713	-2.024	-3.152
285000	-4.332	1.014	-5.783	-2.557	-3.993
290000	-3.290	1.104	-5.233	-1.764	-3.478
295000	-4.648	1.296	-7.083	-2.103	-4.427
300000	-4.449	0.887	-6.010	-2.685	-4.184
305000	-3.905	1.938	-7.791	-1.579	-3.417
310000	-4.814	1.252	-5.997	-1.885	-5.364
315000	-3.742	1.739	-6.437	-1.010	-3.656
320000	-3.806	0.998	-5.442	-2.057	-3.823
325000	-3.961	1.764	-7.032	-0.612	-4.127
330000	-3.300	1.022	-4.613	-1.312	-3.745
335000	-4.617	1.300	-6.566	-1.304	-4.857
340000	-4.688	0.847	-5.937	-3.116	-4.604
345000	-3.456	0.988	-5.183	-1.455	-3.561
350000	-3.558	1.448	-6.510	-1.619	-3.686
355000	-3.905	1.222	-6.494	-1.592	-3.981
360000	-3.434	1.244	-5.244	-1.605	-3.289
365000	-4.028	0.751	-5.252	-2.409	-4.031
370000	-3.299	1.295	-5.950	-1.030	-3.306
375000	-3.811	0.961	-4.819	-1.780	-3.960
380000	-4.249	1.730	-6.698	-1.279	-4.849
385000	-3.803	1.225	-5.818	-1.392	-3.827
390000	-3.728	1.488	-7.232	-2.026	-3.349
395000	-4.012	1.753	-6.262	-0.626	-4.182
400000	-4.405	1.180	-6.858	-2.804	-4.420
405000	-3.409	0.699	-4.600	-2.132	-3.539
410000	-3.698	1.131	-5.314	-1.903	-4.088
415000	-4.679	0.865	-5.509	-2.574	-4.999
420000	-4.142	1.244	-6.302	-1.872	-4.238
425000	-4.362	1.930	-6.650	-1.507	-4.938
430000	-3.594	1.367	-6.521	-2.135	-3.182
435000	-3.246	1.490	-6.205	-1.218	-3.292
440000	-3.867	1.166	-5.931	-2.357	-3.995
445000	-4.099	1.570	-6.287	-0.766	-4.512
450000	-4.177	1.217	-6.169	-2.508	-4.204
455000	-2.960	1.203	-5.153	-1.347	-3.225
460000	-3.668	1.734	-6.960	-1.096	-3.233
465000	-4.035	1.804	-6.238	-1.274	-4.105
470000	-3.747	1.116	-6.590	-2.209	-3.649
475000	-3.550	1.575	-6.763	-1.801	-2.916
480000	-4.085	1.074	-5.677	-2.770	-3.960
485000	-3.994	1.421	-6.336	-1.777	-3.817
490000	-4.180	1.503	-6.934	-1.970	-4.198
495000	-3.494	1.471	-6.186	-1.654	-3.316
500000	-4.495	1.439	-7.566	-2.557	-4.428
505000	-3.670	1.347	-5.851	-1.972	-3.234
510000	-4.216	1.174	-6.328	-2.483	-4.610
515000	-3.592	1.343	-5.786	-1.735	-3.066
520000	-3.760	1.157	-5.304	-1.374	-4.075
525000	-4.323	1.481	-6.437	-1.180	-4.496
530000	-3.900	1.389	-5.440	-1.825	-4.489
535000	-3.641	1.421	-5.700	-1.507	-3.540
540000	-4.097	1.426	-6.341	-2.402	-3.795
545000	-4.954	1.160	-7.036	-3.315	-4.955
550000	-3.798	1.196	-5.506	-1.586	-4.015
555000	-4.503	1.553	-6.875	-1.322	-4.560
560000	-3.390	1.032	-4.831	-1.822	-3.227
565000	-4.619	1.550	-6.928	-1.938	-4.926
570000	-4.189	1.207	-5.833	-1.465	-4.458
575000	-3.733	1.241	-5.308	-0.975	-4.115
580000	-3.526	1.193	-5.427	-1.933	-3.380
585000	-4.156	1.048	-5.938	-2.137	-4.166
590000	-3.964	1.711	-6.131	-1.198	-4.163
595000	-4.141	0.881	-5.462	-2.777	-4.051
600000	-3.791	1.620	-5.872	-0.665	-4.209
605000	-4.329	1.209	-5.953	-2.366	-4.494
610000	-2.936	1.358	-5.173	-0.870	-2.551
615000	-3.322	1.212	-5.518	-1.086	-2.981
620000	-4.017	1.494	-6.854	-1.610	-3.870
625000	-3.321	1.485	-5.634	-1.461	-2.993
630000	-4.087	1.043	-5.612	-2.445	-3.978
635000	-3.333	1.178	-5.553	-1.091	-3.077
640000	-4.150	1.403	-5.802	-0.951	-3.919
645000	-3.978	1.277	-6.009	-1.728	-3.971
650000	-3.873	1.424	-5.145	-0.855	-4.310
655000	-3.791	1.325	-6.206	-2.141	-3.603
660000	-4.284	1.470	-5.824	-0.705	-4.413
665000	-3.835	1.697	-6.858	-1.198	-4.024
670000	-3.655	0.961	-5.061	-2.358	-3.775
675000	-3.306	1.364	-5.703	-1.639	-2.981
680000	-3.527	0.872	-4.770	-2.129	-3.889
685000	-3.322	1.036	-4.983	-2.189	-3.031
690000	-3.876	1.230	-5.738	-1.558	-4.145
695000	-4.099	1.741	-7.493	-1.102	-4.058
