iteration	mean	std_dev	min	max	median
10000	25.821	28.088	3.981	115.386	15.262
20000	53.203	52.068	3.403	174.015	23.240
30000	83.727	50.804	11.148	186.951	72.037
40000	102.211	61.435	19.208	218.147	76.237
50000	123.399	64.504	9.986	232.713	100.987
60000	148.633	88.530	39.468	483.244	121.191
70000	171.215	57.710	73.086	270.281	166.695
80000	208.058	73.575	59.985	365.911	218.736
90000	228.442	84.346	11.846	398.304	228.055
100000	253.992	105.633	59.663	569.682	237.255
110000	284.890	102.477	18.852	556.501	285.454
120000	313.681	113.893	133.744	585.771	310.012
130000	341.944	118.547	204.285	603.076	345.471
140000	331.906	129.123	205.978	630.115	325.796
150000	350.324	131.486	206.261	720.207	362.704
160000	374.879	136.613	211.483	744.808	395.991
170000	441.069	229.271	210.132	1159.193	413.923
180000	452.405	237.364	203.732	1073.826	423.591
190000	477.596	255.811	210.823	1146.499	455.882
200000	488.454	290.746	210.572	1353.909	466.329
210000	502.256	282.692	210.611	1129.976	466.331
220000	610.414	389.503	211.364	1514.714	493.826
230000	656.213	458.184	212.666	1881.055	514.085
240000	707.379	513.788	212.920	1951.642	567.005
250000	722.180	479.099	212.668	2161.302	685.642
260000	880.162	693.500	212.722	2622.213	692.244
270000	1100.008	984.271	212.959	3155.494	713.714
280000	1075.463	937.664	212.638	3099.397	722.867
290000	1271.965	1175.207	213.460	3099.674	729.292
300000	1263.119	1158.183	214.983	3136.578	786.379
310000	1146.111	1009.457	213.554	3109.284	825.976
320000	1284.066	1142.808	216.193	3386.345	882.538
330000	1397.104	1226.693	215.956	3207.153	880.051
340000	1267.865	1130.497	215.241	3214.469	898.400
350000	1241.271	1119.674	212.853	3193.935	909.764
360000	1383.842	1211.008	215.729	3368.380	903.250
370000	1402.350	1216.807	213.687	3172.592	927.619
380000	1284.604	1091.996	215.770	3346.818	967.506
390000	1410.255	1213.279	215.976	3211.690	977.208
400000	1310.530	1115.864	215.267	3260.330	962.999
410000	1398.412	1223.107	214.268	3254.430	943.940
420000	1404.891	1159.539	216.373	3278.485	1125.074
430000	1391.665	1211.192	215.170	3291.187	996.639
440000	1266.445	1059.681	215.775	3279.852	1063.608
450000	1293.931	1087.511	214.035	3276.666	1120.648
460000	1218.697	915.989	214.334	3272.443	1215.340
470000	1528.469	1221.222	214.078	3324.716	1258.300
480000	1529.269	1228.726	216.110	3357.988	1209.401
490000	1629.581	1261.097	215.757	3289.686	1253.074
500000	1418.514	1108.479	216.308	3293.438	1310.624
510000	1666.557	1269.407	216.227	3297.515	1417.454
520000	1548.358	1199.622	215.745	3287.886	1392.086
530000	1574.309	1195.337	216.201	3283.357	1441.148
540000	1585.447	1213.826	215.947	3262.896	1378.048
550000	1597.617	1250.350	218.233	3236.784	1336.815
560000	1726.638	1303.238	216.384	3445.797	1391.713
570000	1676.307	1247.168	216.015	3344.028	1531.178
580000	1802.791	1303.679	216.440	3338.312	1611.797
590000	1604.091	1189.744	215.645	3293.560	1481.761
600000	1657.950	1280.947	216.398	3296.505	1373.497
610000	1800.725	1288.168	217.963	3350.770	1895.825
620000	1696.835	1196.382	216.455	3360.565	1908.255
630000	1812.344	1325.547	215.736	3463.866	1814.823
640000	1862.885	1332.617	216.467	3388.242	1826.707
650000	1906.157	1360.619	215.860	3453.175	2208.185
660000	2056.123	1400.678	216.142	3498.550	2839.607
670000	1811.634	1275.590	217.624	3387.523	1892.388
680000	1759.890	1243.242	215.945	3364.303	1861.360
690000	2050.597	1380.714	216.141	3530.256	2733.327
700000	1922.052	1337.126	215.656	3398.705	2260.981
710000	2087.568	1401.725	217.984	3502.000	2925.132
720000	2042.348	1400.599	217.558	3465.883	2843.286
730000	2187.097	1421.135	215.528	3389.749	3288.160
740000	2122.540	1409.109	217.810	3384.941	3270.533
750000	2273.490	1452.985	216.808	3376.007	3285.417
760000	2088.024	1421.882	217.499	3399.741	3275.886
770000	2097.440	1390.513	217.701	3420.313	2829.578
780000	2022.268	1421.482	216.092	3462.962	2855.164
790000	2228.853	1467.194	215.920	3539.275	3305.975
800000	2224.333	1458.862	218.133	3458.994	3309.310
810000	2242.811	1480.406	216.112	3460.146	3308.144
820000	2134.475	1421.636	217.959	3431.535	3074.590
830000	2059.379	1431.725	215.699	3478.161	2859.806
840000	2054.129	1423.821	217.578	3509.606	2734.152
850000	2202.587	1461.328	218.108	3581.886	3309.320
860000	2304.434	1477.013	217.798	3451.183	3311.632
870000	2214.150	1466.221	215.906	3492.041	3302.185
880000	2125.639	1431.099	217.772	3486.424	2969.499
890000	1976.058	1411.495	216.524	3586.594	2354.029
900000	2187.762	1490.269	215.867	3496.524	3311.876
910000	2222.655	1456.548	216.831	3478.836	3304.972
920000	2318.584	1486.473	216.320	3505.156	3304.313
930000	2198.787	1473.932	218.308	3474.621	3307.099
940000	2113.015	1413.037	216.072	3494.835	2848.237
950000	2207.568	1478.386	218.123	3486.769	3320.591
960000	2229.910	1483.933	215.525	3484.899	3324.977
970000	2322.015	1490.447	216.268	3484.417	3332.448
980000	2251.378	1482.589	218.052	3502.514	3321.688
990000	2348.019	1505.909	217.696	3529.721	3327.047
1000000	2146.797	1435.483	216.412	3523.428	3068.198
