iteration	mean	std_dev	min	max	median
10000	-160.584	37.603	-251.829	-104.494	-154.750
20000	-124.766	28.494	-196.294	-85.394	-118.070
30000	-101.175	28.515	-189.404	-68.876	-88.011
40000	-86.609	19.506	-149.539	-52.298	-84.669
50000	-74.066	19.123	-129.803	-41.178	-68.436
60000	-60.442	13.977	-85.636	-34.376	-57.513
70000	-50.604	11.698	-75.323	-35.691	-45.291
80000	-42.996	8.679	-67.123	-29.581	-43.148
90000	-38.005	8.089	-54.069	-25.811	-36.722
100000	-31.880	7.128	-48.143	-17.544	-31.061
110000	-27.318	5.280	-36.752	-18.724	-27.768
120000	-23.418	4.426	-35.341	-14.536	-23.259
130000	-21.880	4.404	-29.941	-11.715	-21.938
140000	-19.812	3.421	-27.436	-13.034	-19.875
150000	-17.157	2.738	-22.863	-10.513	-17.190
160000	-16.497	3.085	-22.738	-11.460	-16.500
170000	-16.218	3.557	-23.264	-9.753	-16.020
180000	-15.039	2.957	-20.403	-9.222	-15.088
190000	-14.143	3.731	-20.947	-7.999	-13.377
200000	-13.569	3.554	-20.454	-7.699	-13.070
210000	-13.119	3.218	-22.350	-8.557	-12.821
220000	-12.552	3.776	-20.044	-6.431	-11.841
230000	-10.998	2.580	-18.134	-5.822	-10.977
240000	-10.817	3.135	-17.089	-5.164	-10.062
250000	-10.075	2.698	-15.538	-4.507	-9.623
260000	-10.959	3.560	-22.220	-5.575	-10.288
270000	-9.790	2.657	-20.041	-5.647	-9.416
280000	-8.868	2.659	-15.501	-5.070	-8.326
290000	-9.687	2.569	-15.773	-5.896	-9.167
300000	-8.712	3.090	-15.764	-3.625	-8.562
310000	-8.634	2.847	-17.966	-4.366	-8.256
320000	-7.873	2.296	-13.830	-3.266	-7.556
330000	-8.635	2.906	-15.981	-4.484	-7.864
340000	-7.747	2.501	-13.316	-4.433	-7.623
350000	-7.170	2.529	-12.801	-2.635	-7.006
360000	-7.782	2.269	-12.716	-2.705	-7.611
370000	-7.174	1.916	-11.150	-3.469	-6.663
380000	-8.091	2.977	-13.383	-2.635	-8.198
390000	-7.441	2.522	-13.776	-3.121	-7.084
400000	-7.318	2.532	-16.500	-2.719	-7.046
410000	-6.643	2.516	-12.006	-2.325	-6.578
420000	-6.775	2.279	-12.179	-2.293	-6.636
430000	-6.832	2.232	-11.394	-3.148	-6.745
440000	-6.680	2.247	-12.900	-2.841	-6.615
450000	-6.515	1.834	-9.837	-1.804	-6.522
460000	-6.169	2.463	-13.919	-2.199	-5.916
470000	-7.218	2.117	-11.663	-2.999	-6.990
480000	-6.768	2.265	-12.887	-2.770	-6.441
490000	-5.737	2.147	-12.262	-2.310	-5.644
500000	-6.515	2.632	-15.182	-1.659	-6.436
510000	-6.861	2.356	-13.759	-2.117	-6.632
520000	-6.861	2.671	-14.417	-1.938	-6.531
530000	-6.907	1.731	-10.530	-3.129	-6.850
540000	-6.772	2.518	-15.742	-2.345	-6.114
550000	-6.032	2.171	-11.940	-1.921	-6.056
560000	-5.402	1.823	-9.255	-1.730	-5.341
570000	-6.062	1.634	-9.344	-1.694	-5.981
580000	-6.477	2.632	-12.648	-1.384	-6.250
590000	-6.438	2.596	-16.162	-2.381	-5.891
600000	-6.408	2.028	-10.330	-1.727	-6.470
610000	-5.995	3.315	-18.336	-1.212	-5.216
620000	-6.051	2.432	-12.633	-2.079	-5.739
630000	-6.432	3.307	-16.966	-1.747	-5.745
640000	-6.730	2.884	-15.900	-1.826	-6.466
650000	-5.503	1.901	-11.018	-1.282	-5.425
660000	-5.216	1.880	-10.339	-2.334	-4.971
670000	-6.535	2.479	-14.911	-1.977	-5.841
680000	-6.324	2.327	-10.396	-1.950	-6.441
690000	-6.059	2.079	-11.075	-1.355	-6.303
700000	-5.918	2.721	-15.233	-1.817	-5.480
710000	-5.092	1.505	-8.400	-1.545	-5.261
720000	-5.713	1.892	-9.822	-1.330	-5.769
730000	-6.115	1.332	-8.546	-3.587	-6.013
740000	-5.213	1.980	-8.876	-1.960	-5.117
750000	-5.871	2.136	-11.822	-1.976	-5.515
760000	-6.442	2.473	-13.039	-1.888	-6.341
770000	-5.355	1.992	-10.061	-1.673	-5.402
780000	-6.636	3.038	-19.502	-2.849	-6.395
790000	-5.381	2.228	-9.666	-1.653	-5.721
800000	-6.148	1.779	-11.828	-2.160	-5.991
810000	-5.337	1.693	-9.034	-2.594	-5.487
820000	-6.134	2.064	-11.771	-2.976	-5.830
830000	-6.131	1.773	-11.407	-3.396	-6.050
840000	-5.632	1.740	-10.210	-1.187	-5.436
850000	-5.733	2.809	-13.724	-2.398	-5.431
860000	-5.321	1.436	-7.956	-1.839	-5.237
870000	-5.739	2.477	-14.508	-1.955	-5.163
880000	-5.584	1.734	-9.039	-2.019	-5.353
890000	-6.110	1.795	-10.341	-1.571	-5.781
900000	-5.500	1.891	-9.190	-2.273	-5.005
910000	-5.397	2.726	-15.263	-2.113	-5.085
920000	-5.412	2.078	-11.219	-1.366	-5.029
930000	-6.145	2.746	-16.522	-1.585	-6.481
940000	-5.011	1.337	-7.852	-1.359	-4.758
950000	-5.595	2.476	-14.934	-2.418	-4.878
960000	-5.445	1.633	-8.502	-2.071	-5.548
970000	-5.332	2.043	-9.976	-1.099	-5.705
980000	-6.106	2.604	-13.044	-1.743	-5.603
990000	-5.462	1.851	-9.392	-1.110	-5.577
1000000	-5.760	1.645	-8.841	-3.175	-5.517
