iteration	mean	std_dev	min	max	median
10000	4.745	8.546	-16.163	21.854	4.964
20000	11.651	9.833	-14.096	31.528	11.500
30000	20.207	4.667	8.208	30.028	19.883
40000	29.067	10.069	17.048	51.834	25.378
50000	34.769	12.047	21.863	64.690	30.053
60000	38.683	13.096	20.364	59.555	32.549
70000	38.376	13.674	15.523	57.154	36.948
80000	40.381	11.561	15.876	58.034	39.659
90000	42.219	11.528	26.502	64.641	38.012
100000	46.945	12.712	31.222	75.671	39.324
110000	54.415	16.445	32.030	82.468	55.531
120000	69.914	35.576	31.209	179.709	66.490
130000	107.017	71.207	35.734	233.217	76.614
140000	122.547	81.667	36.282	252.274	87.594
150000	128.507	87.621	35.277	258.018	97.244
160000	141.094	94.214	40.886	280.665	111.493
170000	149.071	97.808	46.283	287.214	117.566
180000	156.540	100.807	42.591	297.599	129.246
190000	169.558	101.352	46.437	307.168	155.212
200000	181.793	99.966	57.820	314.956	177.947
210000	201.162	101.475	60.754	319.560	228.670
220000	218.525	106.697	64.179	323.164	269.803
230000	223.872	107.082	67.982	326.215	274.052
240000	231.831	105.614	76.865	330.479	285.524
250000	233.679	101.978	84.173	332.359	289.635
260000	239.943	101.126	91.559	333.349	290.014
270000	243.792	96.508	101.464	337.426	295.297
280000	248.922	94.306	108.464	338.259	297.877
290000	249.777	93.794	111.579	338.001	299.757
300000	253.297	94.431	112.820	339.863	303.802
310000	258.283	93.399	124.284	338.645	312.334
320000	259.512	94.504	118.035	338.995	319.674
330000	258.380	93.871	118.027	338.418	320.778
340000	256.063	94.801	117.430	340.783	315.624
350000	258.576	92.932	118.963	335.174	322.231
360000	259.874	94.998	119.782	339.121	322.200
370000	256.635	91.658	121.954	330.420	314.428
380000	258.177	91.499	121.534	329.498	317.755
390000	256.287	89.985	121.488	329.520	310.077
400000	258.185	88.523	127.460	336.128	311.781
410000	259.167	89.310	124.641	338.883	312.538
420000	258.378	89.098	124.058	333.134	313.245
430000	259.349	88.086	130.665	328.898	314.959
440000	257.269	90.399	123.199	331.105	314.432
450000	259.167	88.826	126.784	331.005	315.466
460000	258.786	90.489	126.339	332.277	316.704
470000	259.954	91.124	124.776	341.275	315.965
480000	260.404	92.719	125.551	341.187	318.150
490000	260.781	91.526	126.255	338.132	318.389
500000	261.766	91.825	128.474	339.583	319.409
510000	261.758	91.340	128.268	337.152	319.903
520000	261.030	90.591	129.746	334.718	318.946
530000	261.397	92.347	127.609	339.268	321.110
540000	262.051	91.042	127.059	339.794	321.332
550000	261.105	91.286	126.835	334.078	321.333
560000	260.914	90.686	129.452	330.626	321.606
570000	260.141	91.667	127.236	332.759	320.875
580000	261.748	90.355	128.590	332.568	322.520
590000	261.296	89.970	129.633	328.611	321.823
600000	261.905	89.447	129.934	333.556	321.102
610000	262.548	88.388	133.865	332.102	321.279
620000	262.303	89.578	128.270	330.885	322.719
630000	262.997	88.281	136.013	329.762	322.257
640000	262.630	89.352	129.470	332.990	322.115
650000	263.319	89.515	130.419	334.432	324.019
660000	263.330	89.514	126.431	332.841	322.484
670000	263.041	88.582	132.678	332.891	322.721
680000	264.092	90.371	129.541	333.073	325.161
690000	262.905	91.154	128.340	333.839	324.614
700000	261.979	91.531	128.366	333.496	323.036
710000	262.713	90.989	130.348	332.861	324.022
720000	263.014	91.957	127.775	337.578	325.827
730000	262.940	91.897	128.815	335.142	325.408
740000	263.535	91.121	128.569	334.078	324.708
750000	263.637	91.477	128.547	336.441	325.316
760000	264.413	89.789	130.962	334.062	325.697
770000	265.147	89.442	135.892	338.815	325.593
780000	264.508	90.660	127.388	337.739	325.572
790000	264.440	90.727	131.355	333.438	326.160
800000	264.462	90.492	128.693	336.632	326.400
810000	265.639	90.024	131.305	334.900	327.087
820000	265.197	90.668	129.196	341.891	327.004
830000	265.324	89.247	136.637	333.673	326.832
840000	264.816	88.570	137.361	329.111	326.803
850000	264.869	90.049	129.891	335.336	326.915
860000	265.174	90.652	130.173	333.825	327.485
870000	264.512	90.367	128.105	331.721	327.081
880000	265.082	90.066	131.794	333.585	326.926
890000	264.744	90.584	132.703	333.309	327.377
900000	265.238	89.071	134.633	330.682	327.393
910000	265.170	89.470	137.109	333.314	327.265
920000	265.768	90.011	135.346	337.131	326.486
930000	266.361	89.436	136.798	336.889	326.768
940000	266.315	89.588	134.681	334.639	327.200
950000	266.140	89.835	133.288	335.848	327.865
960000	266.001	89.871	132.981	334.679	327.019
970000	265.597	90.571	128.877	332.614	328.088
980000	266.462	88.911	139.122	334.532	327.659
990000	265.522	89.762	132.705	333.132	326.905
1000000	265.661	89.787	129.571	332.228	327.693
