iteration	mean	std_dev	min	max	median
5000	513.134	735.478	-15.832	4044.285	312.637
10000	625.525	799.807	-24.189	3332.980	351.860
15000	1187.919	1309.783	-556.730	4341.414	914.678
20000	2537.050	1444.497	-511.556	4673.163	2585.844
25000	4067.313	1022.434	-452.729	4773.576	4420.606
30000	4159.771	938.169	747.125	5055.079	4410.026
35000	4403.327	1063.139	381.626	5294.118	4673.640
40000	4648.660	912.360	424.200	5210.361	4895.400
45000	4915.420	142.943	4444.385	5133.363	4926.548
50000	4863.525	198.480	4251.111	5146.256	4874.254
55000	4856.877	756.519	855.379	5243.815	4986.935
60000	5021.778	154.261	4498.746	5355.565	5011.555
65000	4929.484	341.277	3564.349	5433.956	5021.986
70000	5055.362	179.087	4557.771	5328.365	5099.779
75000	5109.453	161.904	4616.629	5363.906	5136.349
80000	5184.991	183.565	4380.749	5416.733	5234.629
85000	5191.380	117.657	4927.789	5363.424	5198.628
90000	5093.881	106.662	4843.744	5314.604	5085.675
95000	5200.928	134.774	4895.593	5449.258	5223.971
100000	5245.214	134.969	4865.446	5453.119	5245.099
105000	5068.845	717.289	1289.475	5456.754	5240.604
110000	5139.047	117.881	4758.680	5379.807	5154.965
115000	5206.268	120.166	4930.188	5437.124	5209.816
120000	5183.400	143.266	4837.742	5465.890	5202.147
125000	5246.865	111.063	5057.763	5462.779	5246.415
130000	5200.831	497.866	2568.693	5512.812	5297.376
135000	5276.943	103.885	4974.114	5501.509	5272.815
140000	5081.249	219.036	4209.534	5413.385	5099.799
145000	5070.224	839.502	603.961	5492.161	5241.660
150000	5245.904	134.717	4948.566	5468.879	5251.078
155000	4941.102	1055.377	445.073	5496.325	5222.091
160000	5225.414	162.789	4965.859	5517.963	5201.023
165000	5109.725	263.618	4050.921	5496.280	5148.990
170000	5222.394	151.477	4895.870	5464.164	5256.550
175000	5239.770	159.634	4677.909	5485.823	5248.847
180000	5154.107	545.387	2292.037	5462.611	5251.689
185000	5134.785	362.502	3437.562	5479.950	5224.076
190000	5126.823	524.526	2673.096	5491.204	5256.395
195000	5226.808	158.678	4641.462	5415.593	5250.008
200000	5125.872	556.467	2257.869	5551.515	5250.212
205000	5239.972	112.494	4988.749	5416.290	5257.831
210000	5119.966	545.034	2302.029	5619.383	5198.831
215000	5236.220	104.403	5019.520	5440.980	5250.934
220000	5240.461	119.718	4922.501	5442.374	5259.632
225000	5286.380	104.073	5102.487	5547.249	5275.835
230000	5108.049	856.806	520.919	5459.491	5258.251
235000	4779.453	1328.475	137.684	5489.156	5174.266
240000	5141.041	564.848	2253.401	5524.230	5216.903
245000	5234.937	119.875	4952.683	5424.842	5241.037
250000	5262.072	136.993	5018.091	5678.702	5268.688
255000	5221.862	169.657	4812.133	5481.035	5214.265
260000	5197.100	351.986	3578.590	5503.251	5284.539
265000	5317.948	160.617	4918.135	5620.053	5322.207
270000	4941.910	1068.998	876.106	5452.971	5195.751
275000	5208.992	129.329	4784.128	5436.421	5204.391
280000	5094.695	689.826	1762.047	5543.705	5253.931
285000	5234.089	151.157	4923.309	5562.989	5212.900
290000	5178.657	288.739	3766.614	5447.428	5228.507
295000	5181.045	316.469	3544.573	5409.936	5245.181
300000	5268.857	109.993	4965.670	5415.629	5302.972
305000	5258.691	128.063	4946.815	5474.506	5292.186
310000	5222.994	130.831	4855.980	5495.206	5222.610
315000	5038.846	1047.321	795.103	5507.577	5334.841
320000	5275.550	141.215	4731.464	5471.573	5266.657
325000	5196.161	142.400	4913.076	5491.695	5192.633
330000	5165.713	163.720	4563.026	5450.271	5208.542
335000	5250.105	297.399	3804.845	5517.460	5303.927
340000	5016.886	864.445	695.953	5405.716	5202.570
345000	5099.956	853.392	777.799	5440.186	5323.525
350000	5253.917	122.648	4819.703	5489.369	5251.185
355000	5049.066	606.211	2912.397	5452.633	5240.810
360000	5128.103	533.637	2364.782	5521.937	5237.756
365000	5059.038	1056.181	-583.426	5575.754	5250.259
370000	5294.694	165.647	4642.419	5517.860	5336.605
375000	5208.726	153.496	4745.549	5427.854	5225.465
