iteration	mean	std_dev	min	max	median
5000	1015.670	1034.578	271.793	4044.285	748.825
10000	246.431	183.999	8.397	500.848	260.692
15000	1945.376	1406.427	116.172	4341.414	2267.955
20000	2927.055	1318.267	-511.556	4229.297	3252.800
25000	4093.140	318.962	3630.713	4583.524	4105.812
30000	4207.886	1176.169	747.125	5055.079	4501.365
35000	4200.489	1226.380	680.258	5294.118	4644.227
40000	4683.356	764.624	2414.027	5210.361	4910.069
45000	4836.396	161.588	4444.385	5065.706	4872.966
50000	4941.460	135.296	4678.608	5146.256	4910.519
55000	5017.808	204.247	4590.086	5243.815	5116.688
60000	5041.146	94.301	4902.323	5189.688	5029.680
65000	4736.350	457.844	3564.349	5196.454	4878.208
70000	5108.951	134.344	4816.340	5328.365	5138.454
75000	5198.795	114.562	5027.444	5363.906	5232.653
80000	5184.317	106.824	5061.244	5416.733	5157.534
85000	5268.396	74.159	5146.475	5363.424	5287.420
90000	5171.874	110.173	4941.094	5314.604	5174.933
95000	5193.814	111.361	4974.278	5338.721	5217.988
100000	5279.664	133.145	5091.927	5453.119	5288.737
105000	4780.979	1173.580	1289.475	5361.369	5200.806
110000	5161.290	85.367	4971.934	5315.668	5168.277
115000	5165.181	99.975	5013.423	5377.891	5162.767
120000	5099.555	158.130	4837.742	5382.265	5099.398
125000	5223.566	116.933	5063.451	5423.346	5204.957
130000	5260.887	86.778	5055.313	5351.351	5280.830
135000	5281.010	77.846	5144.947	5408.422	5272.815
140000	5095.875	319.799	4209.534	5413.385	5155.399
145000	5242.014	120.199	5064.361	5483.646	5258.092
150000	5093.275	70.707	4948.566	5184.706	5107.083
155000	4796.626	1045.087	1672.424	5264.400	5132.075
160000	5243.887	117.078	5105.194	5443.922	5207.242
165000	5103.385	403.971	4050.921	5496.280	5247.770
170000	5178.841	187.289	4895.870	5372.025	5275.171
175000	5304.470	123.474	5096.108	5461.816	5353.673
180000	5068.026	926.811	2292.037	5462.611	5365.125
185000	4975.537	583.375	3437.562	5479.950	5221.529
190000	5099.203	380.346	4004.067	5375.925	5206.994
195000	5175.535	212.955	4641.462	5415.593	5187.117
200000	4855.517	883.045	2257.869	5405.138	5182.997
205000	5288.679	89.949	5126.364	5416.290	5313.325
210000	5263.675	164.954	5047.699	5619.383	5254.185
215000	5261.462	81.323	5118.229	5406.466	5272.989
220000	5231.475	83.822	5078.898	5359.837	5219.982
225000	5232.114	96.203	5102.487	5396.522	5212.211
230000	4811.468	1433.023	520.919	5459.491	5258.250
235000	5261.876	144.270	5062.711	5489.156	5284.021
240000	5219.443	248.986	4574.938	5462.199	5229.566
245000	5288.470	99.269	5131.359	5424.842	5276.514
250000	5328.568	151.712	5114.735	5678.702	5316.871
255000	5278.479	129.156	5137.570	5481.035	5214.265
260000	5190.252	544.002	3578.590	5503.251	5355.779
265000	5442.520	134.294	5126.558	5620.053	5463.674
270000	5265.808	159.949	4964.087	5452.971	5323.493
275000	5158.785	171.016	4784.128	5436.421	5159.313
280000	5169.364	500.634	3762.874	5543.705	5311.712
285000	5356.069	106.833	5211.936	5562.989	5353.498
290000	5126.274	466.931	3766.614	5447.428	5308.199
295000	5245.562	94.656	5060.498	5409.936	5251.940
300000	5282.407	75.948	5181.295	5392.621	5274.402
305000	5225.560	145.853	4946.815	5430.993	5253.220
310000	5130.160	103.186	4855.980	5217.387	5173.261
315000	4793.744	1335.637	795.103	5375.113	5210.734
320000	5242.993	76.726	5126.412	5383.933	5226.258
325000	5303.833	148.116	5034.098	5491.695	5349.819
330000	5184.203	92.226	4996.300	5305.710	5208.542
335000	5311.237	88.809	5183.471	5440.537	5309.061
340000	4706.062	1340.668	695.953	5258.250	5167.794
345000	5318.276	82.467	5138.280	5440.186	5338.345
350000	5177.689	141.760	4819.703	5404.616	5191.825
355000	5096.329	358.427	4175.237	5404.105	5248.978
360000	5246.724	147.923	5052.179	5521.937	5235.059
365000	4580.783	1725.601	-583.426	5310.444	5140.425
370000	5228.882	234.704	4642.419	5449.631	5320.680
375000	5221.535	216.236	4745.549	5427.854	5287.458
380000	5293.351	117.148	5117.211	5483.473	5317.564
385000	5227.401	99.470	5097.024	5421.418	5246.881
390000	4826.798	1462.682	452.312	5472.181	5346.590
395000	4662.247	1430.144	423.991	5485.884	5215.609
400000	5258.387	99.587	5156.596	5472.854	5203.822
405000	5169.090	166.914	4709.979	5311.728	5210.832
410000	5209.046	290.984	4418.589	5533.023	5310.292
415000	5310.272	112.945	5015.414	5459.496	5332.209
420000	5041.380	496.332	3645.367	5353.141	5241.918
