iteration	mean	std_dev	min	max	median
5000	1520.223	1576.168	-359.691	3840.797	1172.442
10000	3224.151	1339.202	-216.027	4664.640	3682.757
15000	3746.598	1252.960	105.592	4620.333	4152.604
20000	4276.733	504.652	2985.255	4784.844	4413.665
25000	3495.342	803.483	2100.106	4485.083	3593.528
30000	4033.505	1069.506	1460.762	5126.387	4469.777
35000	4803.152	614.674	3039.226	5223.982	5027.644
40000	5092.275	124.998	4931.059	5388.259	5075.635
45000	4954.369	535.721	3384.960	5286.213	5052.968
50000	5033.091	114.897	4783.366	5217.700	5039.313
55000	4396.028	1543.308	927.080	5401.249	5101.557
60000	5189.454	152.125	4842.798	5365.914	5224.928
65000	5204.272	66.378	5099.876	5309.498	5205.587
70000	5214.361	146.539	5011.983	5501.802	5222.139
75000	5236.327	116.796	5006.681	5440.202	5207.837
80000	5012.565	766.186	2764.914	5465.446	5278.290
85000	5282.569	98.965	5161.484	5427.072	5239.670
90000	5268.911	83.005	5136.151	5414.575	5289.186
95000	5258.530	117.275	5095.995	5479.904	5219.828
100000	5382.276	115.492	5153.122	5486.217	5417.553
105000	5294.072	125.455	5126.150	5548.836	5275.017
110000	5318.442	83.686	5155.061	5427.429	5324.910
115000	5372.890	98.915	5165.324	5508.647	5408.181
120000	5336.241	59.470	5238.564	5451.179	5328.618
125000	5330.226	72.447	5213.741	5425.563	5352.255
130000	5390.432	106.308	5197.603	5540.945	5403.404
135000	5393.038	88.524	5236.696	5521.865	5418.214
140000	5455.327	48.036	5381.949	5538.725	5473.169
145000	5412.279	76.608	5230.427	5511.604	5413.269
150000	5417.306	69.098	5314.073	5516.289	5431.906
155000	5387.526	79.620	5212.339	5515.500	5397.958
160000	5388.872	100.950	5154.432	5515.649	5419.719
165000	5425.366	116.406	5232.134	5633.271	5394.111
170000	5471.055	82.986	5322.808	5571.383	5483.712
175000	5413.243	80.494	5292.475	5544.404	5422.612
180000	5565.364	75.201	5457.733	5721.610	5553.977
185000	5434.775	58.997	5296.246	5537.750	5439.090
190000	5384.862	125.919	5155.487	5510.621	5439.606
195000	5392.450	56.448	5317.024	5487.540	5389.982
200000	5474.533	108.799	5309.784	5633.206	5462.580
205000	5445.489	96.643	5297.723	5631.079	5444.284
210000	5415.491	81.325	5248.310	5511.768	5446.062
215000	5405.834	56.004	5323.434	5504.991	5407.860
220000	5485.926	83.565	5391.528	5675.301	5470.295
225000	5480.591	91.398	5371.932	5655.065	5468.265
230000	5508.535	48.012	5427.526	5592.299	5514.219
235000	5477.452	71.414	5367.328	5577.915	5475.784
240000	5497.262	63.396	5408.599	5639.685	5476.398
245000	5536.210	89.561	5409.056	5664.919	5506.899
250000	5416.565	20.031	5395.547	5457.573	5410.782
255000	5440.155	62.385	5305.223	5518.565	5443.173
260000	5532.650	77.188	5405.757	5633.244	5545.057
265000	5482.038	60.830	5369.915	5575.663	5461.988
270000	5453.004	71.888	5329.542	5549.924	5450.862
275000	5511.026	91.999	5348.620	5647.462	5542.654
280000	5506.607	70.491	5387.353	5592.446	5528.428
285000	5547.829	89.122	5423.947	5733.034	5537.265
290000	5518.392	61.163	5390.385	5603.779	5534.801
295000	5524.223	71.162	5393.297	5638.097	5531.581
300000	5556.571	65.320	5474.019	5675.994	5552.393
305000	5446.131	64.798	5283.582	5545.202	5451.496
310000	5478.876	90.450	5311.852	5562.573	5525.349
315000	5506.131	109.714	5337.260	5652.515	5503.058
320000	5572.790	97.231	5397.057	5749.607	5588.126
325000	5402.997	48.900	5325.976	5512.820	5394.883
330000	5493.678	79.909	5409.324	5671.457	5464.019
335000	5464.849	104.134	5283.993	5612.594	5466.906
340000	5568.585	52.210	5493.606	5660.153	5558.199
345000	5539.286	101.990	5392.993	5686.894	5534.137
350000	5483.567	78.307	5383.229	5600.066	5462.828
355000	5512.762	55.112	5429.097	5632.674	5507.417
360000	5609.376	74.795	5478.272	5717.263	5627.042
365000	5456.807	76.149	5315.479	5552.131	5486.896
370000	5512.460	97.060	5332.452	5676.923	5497.451
375000	5536.133	71.462	5414.965	5656.188	5536.433
380000	5483.876	100.108	5307.788	5623.407	5505.703
385000	5512.335	76.883	5377.067	5632.811	5508.463
390000	5568.974	64.989	5500.719	5730.911	5549.401
395000	5477.868	43.100	5420.757	5549.601	5467.317
400000	5470.561	127.003	5174.147	5702.182	5479.759
405000	5600.817	41.150	5535.585	5665.642	5606.447
410000	5498.390	79.299	5361.288	5663.079	5499.299
415000	5553.134	62.675	5435.207	5638.626	5558.612
420000	5451.157	83.525	5325.285	5611.508	5445.968
425000	5536.979	73.277	5435.466	5654.992	5518.659
430000	5519.960	77.961	5365.657	5633.540	5505.192
435000	5500.944	91.595	5315.214	5608.539	5520.452
440000	5578.699	33.134	5513.817	5633.686	5578.938
445000	5569.983	66.992	5470.979	5706.339	5568.451
450000	5507.157	103.464	5291.863	5657.608	5521.892
455000	5505.120	104.530	5353.716	5696.280	5466.800
460000	5511.432	58.665	5409.462	5589.052	5514.564
465000	5544.281	34.560	5481.234	5590.393	5551.080
470000	5511.376	89.319	5362.711	5675.813	5503.199
475000	5517.980	76.084	5395.912	5652.658	5503.553
480000	5556.124	88.370	5437.662	5740.592	5574.186
485000	5508.657	49.046	5416.391	5571.299	5509.149
490000	5526.074	83.142	5338.982	5670.063	5543.815
495000	5550.727	94.732	5356.812	5705.062	5581.043
500000	5523.435	78.316	5388.272	5660.497	5541.070
505000	5510.983	105.942	5293.883	5680.909	5511.528
510000	5467.185	71.495	5355.329	5632.716	5465.189
515000	5456.152	39.151	5398.233	5526.945	5459.150
520000	5503.761	80.985	5345.311	5628.446	5513.019
525000	5494.244	74.830	5358.455	5620.717	5499.136
530000	5571.944	55.565	5469.959	5642.404	5598.860
535000	5535.098	106.632	5283.422	5655.134	5583.100
540000	5548.133	93.663	5373.198	5664.769	5580.057
545000	5582.428	68.639	5482.403	5744.858	5581.542
550000	5502.802	68.422	5377.188	5599.100	5513.944
555000	5553.998	36.168	5485.749	5603.722	5551.053
560000	5533.073	46.826	5463.097	5598.200	5530.346
565000	5555.567	60.007	5476.425	5659.276	5544.978
570000	5570.517	83.674	5427.159	5699.332	5549.222
575000	5550.180	89.510	5398.716	5710.162	5558.286
580000	5519.628	91.583	5310.363	5628.746	5544.576
585000	5548.784	55.627	5445.072	5636.920	5541.976
590000	5530.772	73.307	5407.845	5657.046	5523.758
595000	5612.337	86.696	5464.186	5747.669	5609.900
600000	5548.065	74.008	5437.530	5693.407	5555.010
605000	5550.814	63.752	5437.781	5641.323	5556.212
610000	5558.798	71.890	5406.441	5654.407	5571.063
615000	5561.284	79.728	5460.517	5762.784	5564.651
620000	5543.431	106.136	5272.284	5698.093	5546.212
625000	5537.972	73.395	5413.586	5645.583	5555.283
630000	5568.630	84.882	5471.113	5732.322	5541.171
635000	5565.998	70.942	5419.231	5666.724	5573.720
640000	5575.477	72.586	5464.729	5664.851	5585.454
645000	5582.492	64.565	5497.299	5733.980	5572.522
650000	5597.120	83.864	5485.498	5718.774	5597.348
655000	5547.206	82.462	5390.853	5690.832	5566.024
660000	5543.547	55.702	5434.817	5626.021	5533.738
665000	5557.839	84.101	5457.106	5717.231	5541.800
