iteration	mean	std_dev	min	max	median
5000	649.104	2.962	644.543	652.777	648.742
10000	788.931	151.414	626.213	956.283	787.384
15000	338.433	1.767	335.947	342.224	338.739
20000	370.263	3.816	362.467	374.924	370.971
25000	451.696	2.682	447.803	457.563	451.190
30000	387.312	37.859	365.316	465.544	369.416
35000	339.080	2.311	334.818	343.029	338.869
40000	357.798	2.309	354.513	362.052	357.274
45000	699.319	68.432	627.802	803.871	667.065
50000	346.732	12.401	327.366	361.251	343.868
55000	350.471	4.651	344.388	361.978	350.285
60000	1334.042	170.665	1032.528	1510.349	1431.552
65000	919.780	382.976	788.375	2068.673	791.938
70000	454.802	12.561	431.810	465.300	461.073
75000	1011.008	439.550	476.129	1725.571	810.703
80000	473.838	13.151	463.932	502.653	467.957
85000	1216.979	455.343	736.759	2336.985	1120.331
90000	801.706	553.847	361.470	1915.253	642.479
95000	1039.838	433.420	498.724	1947.030	787.990
100000	702.854	329.909	362.811	1433.123	584.475
105000	567.065	276.891	471.018	1397.721	474.864
110000	721.484	327.446	467.831	1341.822	595.508
115000	460.482	14.591	442.374	473.214	471.582
120000	1586.716	978.350	753.807	3513.362	1084.406
125000	2693.088	604.180	1746.994	3682.611	2608.352
130000	1188.604	110.619	1055.854	1389.989	1174.748
135000	447.122	1.727	444.190	449.504	447.173
140000	518.231	108.633	444.012	734.857	473.984
145000	1068.093	810.149	460.194	2908.699	731.207
150000	1996.392	875.389	461.803	3331.933	2061.614
155000	2246.076	757.774	963.991	3631.833	2063.572
160000	3250.631	786.810	1672.164	3689.841	3629.485
165000	1481.221	1212.163	428.832	3650.958	1076.298
170000	2403.117	1018.150	738.093	3705.159	2763.239
175000	1971.584	361.910	1644.378	2614.588	1761.843
180000	2774.824	891.985	1703.530	3753.913	3040.110
185000	1643.902	1061.663	353.757	3709.029	1386.216
190000	2053.137	1503.063	343.671	3675.754	2344.890
195000	2360.635	1216.975	355.160	3658.198	2647.318
200000	2414.561	516.098	1979.093	3628.160	2198.893
205000	2831.960	1010.537	770.759	3762.626	3198.017
210000	3569.027	300.845	2672.912	3722.743	3671.106
215000	2680.041	937.209	1258.533	3684.999	2783.792
220000	2671.201	1265.388	795.897	3675.461	3588.101
225000	1237.989	816.032	428.651	2236.197	1097.444
230000	1624.894	1146.012	342.396	3660.335	1526.656
235000	2677.241	934.162	1423.606	3840.927	2846.702
240000	2931.837	861.371	1360.240	3665.597	3567.143
245000	3052.812	916.829	1291.338	3663.158	3613.087
250000	3089.690	723.748	2056.710	3755.125	3631.530
255000	3259.173	620.869	2049.347	3693.333	3636.625
260000	3458.283	380.027	2482.226	3686.624	3629.097
265000	1996.759	1314.536	360.923	3702.524	1917.339
270000	3106.831	1069.817	366.165	3689.915	3624.255
275000	2873.998	999.736	1381.877	3677.892	3586.209
280000	1608.028	674.010	1292.812	3624.228	1399.262
285000	2729.727	1221.515	353.825	3700.858	3659.010
290000	3389.236	586.871	1661.856	3652.281	3613.986
295000	3350.088	437.714	2494.736	3638.228	3602.396
300000	3468.510	389.127	2384.746	3682.548	3630.880
305000	3586.522	151.795	3140.406	3668.087	3645.038
310000	3625.318	16.266	3591.946	3658.021	3626.562
315000	3054.095	1097.379	362.430	3684.205	3614.850
320000	1476.666	245.226	1059.357	1915.267	1514.938
325000	3632.391	24.566	3598.507	3682.260	3633.610
330000	3377.054	658.705	1428.849	3682.856	3609.980
335000	2673.975	861.157	1396.425	3681.938	2516.193
340000	3636.582	17.470	3612.817	3669.464	3630.191
345000	3572.564	173.489	3053.143	3645.516	3624.656
350000	3559.344	205.159	2947.389	3665.155	3630.126
355000	2806.024	792.224	1352.144	3703.120	2821.807
360000	3291.902	975.974	365.756	3686.844	3611.511
365000	3399.489	602.609	1730.782	3733.343	3664.280
370000	3090.534	837.089	1378.465	3680.046	3639.111
375000	3439.734	469.316	2148.742	3689.170	3640.916
380000	2607.230	1013.182	1423.428	3687.242	2773.824
385000	3199.880	765.448	1871.003	3763.064	3668.716
390000	3249.875	803.352	1564.755	3752.727	3631.756
395000	2854.590	1045.930	812.252	3757.743	3443.471
400000	3658.415	46.425	3583.149	3737.329	3649.726
405000	2946.001	1140.753	360.767	3707.007	3626.905
