iteration	mean	std_dev	min	max	median
5000	1426.287	245.431	1133.142	1910.264	1283.451
10000	1227.931	343.325	706.012	2086.818	1013.226
15000	1508.466	326.836	1213.021	2253.791	1380.967
20000	2028.113	499.122	1460.564	3188.566	2005.452
25000	1615.046	191.484	1277.345	2100.645	1583.054
30000	1602.254	487.560	1021.036	2576.011	1401.603
35000	1483.654	170.118	1333.032	1918.940	1375.006
40000	1155.895	267.544	762.166	1647.232	1073.827
45000	1269.662	202.796	1031.919	1919.946	1248.845
50000	1413.530	287.241	1198.497	2743.067	1313.428
55000	1147.592	310.451	762.659	1983.058	1175.693
60000	1366.400	268.131	1048.240	2118.536	1296.577
65000	1601.079	457.893	1259.854	2993.252	1357.416
70000	1449.264	264.814	1266.681	2185.018	1313.486
75000	1422.421	325.292	1147.870	2926.977	1305.989
80000	1819.995	390.143	1291.155	3138.166	1831.094
85000	1572.953	388.528	1140.480	2758.613	1523.450
90000	1706.590	426.073	1267.745	2969.636	1549.145
95000	2021.980	650.077	1347.140	3285.626	1584.131
100000	1923.033	631.178	1321.663	3327.779	1601.201
105000	1671.403	321.360	1296.401	2514.659	1573.356
110000	1903.297	516.391	1432.901	3249.676	1622.447
115000	1740.097	429.092	1294.988	2745.679	1560.182
120000	1665.226	405.813	1295.788	3235.443	1545.510
125000	1865.212	506.285	1360.013	3286.053	1606.827
130000	1913.321	524.219	1388.531	3280.831	1602.073
135000	2073.146	482.724	1383.498	3226.560	1887.628
140000	1741.029	351.499	1304.410	2763.046	1607.918
145000	1865.447	526.282	1299.553	3268.346	1624.680
150000	1875.414	549.267	1323.171	3349.448	1601.546
155000	2242.852	686.076	1375.552	3283.040	2149.697
160000	1808.339	483.261	1050.214	3198.110	1835.402
165000	2229.060	559.789	1594.406	3335.365	1919.307
170000	2111.749	516.877	1352.996	3258.591	2085.765
175000	1942.338	595.615	1343.167	3320.450	1651.472
180000	1924.229	436.249	1303.281	3057.277	1823.757
185000	2004.156	526.437	1325.114	3300.986	1850.792
190000	1822.404	554.448	1280.321	3262.830	1545.300
195000	1990.744	580.986	1314.848	3278.052	1859.321
200000	2095.010	566.940	1303.838	3295.682	1916.010
205000	2096.083	610.395	1439.889	3316.611	1874.879
210000	2045.503	580.874	1448.335	3334.881	1904.450
215000	1779.619	442.811	1344.710	3277.219	1596.178
220000	1913.401	438.309	1413.421	3252.955	1816.429
225000	1985.600	587.483	1444.569	3366.571	1758.618
230000	1803.543	394.020	1336.502	3280.621	1778.530
235000	2101.321	591.922	1317.390	3328.476	1934.034
240000	2271.894	699.953	1311.943	3411.403	2082.413
245000	2138.961	529.067	1564.026	3225.691	2070.775
250000	1847.783	384.565	1404.336	3064.181	1770.990
255000	2043.068	578.934	1307.147	3366.486	1890.818
260000	2002.309	428.342	1479.499	3271.748	1938.033
265000	1980.132	552.458	1457.149	3313.040	1842.787
270000	2180.790	638.164	1334.564	3291.718	1946.968
275000	1966.035	486.320	1326.308	3379.672	1915.838
280000	1933.516	507.893	1470.047	3282.877	1684.812
285000	2064.213	496.365	1409.567	3276.042	1923.429
290000	2130.312	538.108	1541.617	3311.113	1898.092
295000	2252.360	550.615	1421.736	3261.015	2209.767
300000	1963.015	452.847	1364.025	2961.814	1841.837
305000	2313.647	565.187	1638.799	3338.568	2006.480
310000	1923.516	466.166	1298.949	3301.955	1777.238
315000	2314.821	509.916	1435.178	3360.215	2155.035
320000	2466.610	723.823	1441.661	3352.484	2324.141
325000	2150.577	419.379	1621.383	3260.740	1952.878
330000	2240.727	453.749	1808.322	3331.002	1955.351
