iteration	mean	std_dev
5000	5.305	0.081
10000	11.677	1.541
15000	10.220	4.957
20000	7.935	6.198
25000	6.211	4.004
30000	6.363	3.016
35000	18.705	13.092
40000	14.011	11.501
45000	28.998	14.487
50000	20.014	14.777
55000	33.284	26.423
60000	25.666	22.502
65000	9.186	7.976
70000	33.550	15.734
75000	37.130	23.185
80000	49.914	21.346
85000	51.596	16.227
90000	49.112	14.913
95000	42.986	23.075
100000	48.630	27.285
105000	44.779	26.108
110000	62.737	25.495
115000	46.792	21.937
120000	47.682	19.993
125000	52.617	23.119
130000	49.530	24.029
135000	45.696	18.634
140000	55.296	17.627
145000	52.545	25.441
150000	60.213	23.998
155000	39.387	20.936
160000	54.263	19.013
165000	34.763	22.557
170000	63.361	23.932
175000	62.504	26.706
180000	61.530	21.468
185000	52.732	19.272
190000	50.342	16.871
195000	53.884	21.850
200000	49.686	24.539
205000	67.748	21.200
210000	51.412	26.375
215000	74.398	20.649
220000	40.417	26.473
225000	39.751	29.527
230000	66.336	22.732
235000	59.238	24.972
240000	48.157	26.650
245000	56.886	31.557
250000	58.600	26.037
255000	58.871	21.189
260000	53.240	28.378
265000	58.587	32.500
270000	59.667	23.213
275000	65.780	24.521
280000	60.630	28.102
285000	57.442	27.121
290000	52.894	31.198
295000	64.348	31.275
300000	50.268	20.653
305000	52.520	21.906
310000	44.753	24.717
315000	42.978	26.486
320000	65.925	25.740
325000	52.420	23.022
330000	44.718	29.741
335000	53.938	22.853
340000	64.737	21.959
345000	45.606	28.071
350000	44.190	20.520
355000	55.337	21.190
360000	65.457	22.970
365000	49.184	21.245
370000	64.683	19.687
375000	57.963	29.784
380000	50.735	24.898
385000	74.625	18.634
390000	69.901	23.973
395000	47.479	20.800
400000	63.208	26.404
405000	73.208	23.673
410000	63.381	24.273
415000	49.782	21.822
420000	53.824	23.081
425000	49.099	27.492
430000	64.347	22.128
435000	57.126	22.201
440000	61.463	26.615
445000	59.257	21.781
450000	66.638	27.136
455000	57.440	20.895
460000	61.828	23.872
465000	51.117	14.996
470000	67.706	24.419
475000	62.698	26.031
480000	56.406	18.584
485000	47.381	25.673
490000	60.415	18.039
495000	59.885	25.855
500000	57.991	26.422
505000	56.594	23.460
510000	61.229	23.248
515000	63.243	28.688
520000	65.400	24.660
525000	63.692	22.765
530000	57.241	28.379
535000	59.422	25.164
540000	47.189	22.765
545000	57.826	26.825
550000	62.558	19.907
555000	52.586	17.201
560000	42.301	29.542
565000	60.569	24.722
570000	65.443	28.490
575000	55.181	24.972
580000	53.975	25.133
585000	57.517	29.100
590000	58.114	20.817
595000	56.040	24.220
600000	54.667	26.613
605000	57.124	24.798
610000	62.443	21.495
615000	61.794	25.176
620000	57.417	28.747
625000	63.291	29.402
630000	75.585	17.384
635000	54.302	24.823
640000	55.778	25.022
645000	58.212	26.135
650000	60.727	27.020
655000	62.108	25.024
660000	46.527	31.425
665000	58.780	21.811
670000	54.870	25.469
675000	64.926	22.238
680000	47.095	24.105
685000	66.792	20.060
690000	63.451	22.786
695000	54.859	28.528
700000	60.688	26.806
705000	59.077	27.249
710000	65.997	26.308
715000	52.186	23.413
720000	54.234	25.376
725000	61.023	26.813
730000	61.490	25.718
735000	68.576	25.039
740000	59.223	21.890
745000	49.720	26.457
750000	61.199	23.530
755000	58.148	30.251
760000	55.989	20.497
765000	56.857	22.669
770000	66.832	21.717
775000	69.577	22.625
780000	64.710	24.096
785000	57.160	29.929
790000	56.592	21.504
795000	56.356	26.985
800000	56.473	25.278
805000	56.813	26.715
810000	60.063	24.293
815000	59.405	29.319
820000	63.411	22.360
825000	64.609	26.748
830000	67.334	22.330
835000	60.268	26.299
840000	64.177	29.586
845000	58.499	23.386
850000	66.385	25.165
855000	62.212	22.839
860000	57.397	26.836
865000	51.308	32.591
870000	66.023	27.478
875000	55.885	28.672
880000	58.777	27.014
885000	57.950	22.516
890000	58.938	24.227
895000	64.656	20.862
900000	53.676	22.582
905000	63.946	26.922
910000	53.065	25.991
915000	62.135	23.520
920000	62.884	28.992
925000	65.977	26.723
930000	66.944	25.544
935000	53.131	26.500
940000	57.457	26.774
945000	62.155	26.585
950000	60.750	28.085
955000	56.666	25.725
960000	59.959	25.527
965000	52.008	27.047
970000	64.639	22.747
975000	56.747	28.020
980000	54.606	28.773
985000	62.554	28.194
990000	63.276	26.083
995000	60.945	26.497
1000000	59.811	27.953
