iteration	mean	std_dev	min	max	median
5000	1165.560	816.527	163.422	3184.069	1008.184
10000	1182.990	1160.828	-11.586	4139.901	1127.415
15000	2163.085	1125.643	4.042	3842.297	2214.142
20000	1758.352	1126.508	92.164	4089.547	1864.963
25000	1237.309	958.862	9.662	3358.181	1451.930
30000	2442.405	1024.983	302.969	3912.922	2365.644
35000	2026.263	1259.466	29.780	3890.255	2190.028
40000	2697.398	964.362	967.931	3986.730	2515.135
45000	2655.163	959.348	1345.941	4056.757	2354.486
50000	2942.208	940.823	1323.887	4257.945	3006.321
55000	2684.710	890.869	1233.181	4211.364	2676.878
60000	3070.893	857.559	1449.446	4223.688	3240.376
65000	3245.849	776.104	1710.955	4210.911	3596.122
70000	3292.617	790.758	1359.204	4146.361	3621.230
75000	2804.127	1140.751	700.480	4148.132	2978.894
80000	3207.617	968.389	1151.126	4258.000	3712.467
85000	3325.577	908.919	1332.345	4272.955	3850.614
90000	3175.161	943.693	1129.647	4182.237	3621.988
95000	2990.965	959.141	1388.445	4081.670	3168.511
100000	3297.793	804.346	1559.180	4055.207	3740.345
105000	3411.974	839.865	1344.224	4053.996	3845.993
110000	3386.751	1008.550	523.851	4163.709	3772.771
115000	3508.455	760.045	1058.201	4027.106	3862.968
120000	3096.377	775.348	1563.923	4167.780	3153.766
125000	3101.339	1049.185	1135.878	4151.705	3736.030
130000	2932.013	1024.829	1267.501	4103.786	2967.198
135000	3027.697	975.510	1163.817	3992.369	3573.637
140000	3176.266	918.410	1397.306	4044.164	3785.847
145000	3265.282	916.494	1570.844	4139.531	3848.811
150000	3540.367	657.040	1832.131	4128.904	3861.154
155000	2961.298	1185.102	427.751	4036.004	3690.106
160000	3006.177	1059.174	1203.156	4027.810	3829.051
165000	3318.364	761.733	1645.637	4294.971	3695.561
170000	3224.897	1010.539	541.348	4226.281	3807.101
175000	3326.857	910.592	1407.522	4072.359	3833.468
180000	3448.917	663.323	1344.407	4142.086	3732.713
185000	3184.180	913.044	1213.158	4125.696	3670.702
190000	2986.783	1027.995	655.784	4053.208	3569.242
195000	3475.856	961.018	453.526	4133.883	3898.073
200000	3644.899	563.128	1353.226	4106.364	3823.690
205000	3246.147	941.940	1341.423	4157.548	3768.541
210000	3126.884	1011.066	1253.914	4055.130	3827.444
215000	3050.308	1172.531	513.236	4111.994	3776.698
220000	3275.842	829.504	1492.513	4066.375	3824.467
225000	2973.065	1021.358	1094.734	4133.596	3232.101
230000	3377.285	790.453	1396.183	4077.073	3809.593
235000	3556.352	599.450	1974.593	4090.312	3868.715
240000	3432.872	799.089	1524.653	4058.987	3824.200
245000	3530.399	562.106	2194.508	4099.134	3838.997
250000	3347.306	1050.146	436.535	4078.317	3806.774
255000	3534.713	625.056	1510.835	4095.974	3839.382
260000	3321.943	889.132	1413.994	4102.498	3877.155
265000	3565.575	654.830	1231.607	4010.768	3864.066
270000	3095.684	1107.044	679.723	4188.005	3775.617
275000	3427.883	790.111	1748.875	4113.384	3814.238
280000	3545.449	656.396	1563.628	4062.523	3824.398
285000	3552.025	735.858	1285.630	4084.183	3881.721
290000	3533.372	613.208	1783.357	4001.640	3830.568
295000	3500.783	721.871	1582.203	4017.777	3866.342
300000	3327.977	963.218	509.908	4142.333	3811.421
305000	3372.843	810.717	1202.008	4010.196	3820.310
310000	3713.780	499.348	2231.925	4300.380	3866.061
315000	3489.916	706.821	1531.101	4113.636	3872.643
320000	3156.649	900.536	1608.394	4107.695	3619.751
325000	3164.160	1055.402	1185.234	4042.995	3823.863
330000	3577.485	780.711	901.241	4183.690	3881.082
335000	3536.796	726.382	1320.786	4020.987	3843.006
340000	3626.279	457.031	2562.125	4062.619	3861.460
345000	3292.007	976.939	565.721	4031.356	3831.029
350000	3206.591	881.761	1549.033	4105.497	3801.980
355000	3567.500	584.244	2329.208	4083.671	3905.912
360000	3487.585	626.044	2129.339	4137.688	3842.717
365000	3178.321	1015.205	1307.240	4170.752	3750.885
370000	3490.254	826.544	383.871	4208.961	3852.359
375000	3208.141	904.849	1316.348	4009.800	3750.329
380000	3415.690	833.448	1357.499	4117.262	3849.079
385000	3508.577	703.909	1893.453	4091.341	3864.360
390000	3079.821	979.776	1032.064	4079.290	3650.707
395000	3491.688	792.016	1530.266	4094.170	3890.367
400000	3512.279	729.158	1096.636	4169.478	3826.410
405000	3569.046	776.754	1418.391	4122.787	3909.069
410000	3357.063	858.334	1566.271	4062.253	3940.593
415000	3612.934	558.822	2126.826	4136.521	3822.264
420000	3485.310	804.122	1566.254	4114.278	3903.329
425000	3487.498	779.712	1521.383	4161.606	3877.634
430000	3476.147	811.378	1568.138	4070.002	3884.289
435000	3553.561	663.012	1909.342	4016.681	3851.333
440000	3623.223	690.015	1697.192	4135.986	3936.002
445000	3484.400	778.850	1290.573	4171.345	3898.849
450000	3306.718	901.901	1541.049	4130.534	3824.341
455000	3297.423	925.006	1335.882	4139.766	3860.552
460000	3258.972	922.552	1222.515	4139.310	3825.806
465000	3557.142	658.061	1974.891	4179.620	3904.136
470000	3450.004	765.673	1457.669	4072.830	3843.221
475000	3615.119	589.411	1810.307	4158.725	3873.350
480000	3521.410	688.477	1931.004	4134.102	3853.743
485000	3350.978	861.226	1163.030	4124.819	3819.997
490000	3630.575	651.365	1693.387	4150.650	3830.225
495000	3647.207	502.323	2504.184	4046.338	3863.139
500000	3633.998	572.771	1729.314	4154.814	3871.652
505000	3719.264	512.548	2362.505	4380.569	3924.948
510000	3295.382	810.100	1253.563	4134.566	3749.635
515000	3647.158	585.010	1898.365	4183.617	3864.305
520000	3725.870	406.292	2150.749	4077.156	3877.475
525000	3382.490	683.561	1996.427	4082.611	3824.595
530000	3494.415	776.648	1517.260	4019.218	3875.720
535000	3626.007	685.960	1388.206	3997.996	3897.230
540000	3300.600	775.909	1493.913	4113.735	3851.860
545000	3705.508	504.606	1826.362	4321.477	3865.851
550000	3828.452	349.518	2116.188	4047.660	3891.939
555000	3644.016	691.613	1717.205	4141.365	3889.490
560000	3584.265	634.577	1630.617	4069.593	3859.425
565000	3489.898	863.708	609.018	4103.832	3870.382
570000	3546.889	643.914	1893.889	4104.586	3825.552
575000	3434.520	765.575	1447.098	4009.734	3847.949
580000	3739.101	493.448	1544.837	4070.526	3878.162
585000	3642.459	615.203	1750.782	4075.039	3866.685
590000	3570.840	688.903	1189.616	4159.533	3863.904
595000	3732.814	609.477	1386.932	4080.496	3943.506
600000	3573.008	700.637	1651.505	4046.008	3873.907
605000	3377.904	910.656	1510.749	4269.072	3908.854
610000	3721.553	689.632	484.098	4146.551	3896.657
615000	3458.525	804.876	1170.051	4060.186	3863.606
620000	3628.593	652.154	1156.171	3988.111	3866.038
625000	3702.141	673.247	1450.130	4172.381	3906.531
630000	3613.238	592.554	1905.413	4110.545	3865.176
635000	3369.946	877.970	1320.011	4054.950	3865.908
640000	3309.979	886.775	1279.709	3957.642	3817.315
645000	3267.519	891.847	851.903	4073.944	3812.896
650000	3520.862	761.546	1662.018	4073.573	3903.887
655000	3602.851	677.521	1658.438	4077.744	3892.892
660000	3478.275	761.534	1523.219	4094.130	3882.452
665000	3660.899	589.864	1943.623	4068.956	3867.226
670000	3593.129	644.207	1909.329	4192.416	3884.890
675000	3703.976	505.890	1608.616	4068.383	3875.093
680000	3669.173	534.847	1538.172	4035.708	3843.948
685000	3376.419	824.349	1263.948	3976.325	3855.466
690000	3752.292	499.612	1432.532	4079.775	3894.441
695000	3651.445	589.984	1656.853	4049.982	3882.156
700000	3769.884	451.015	1962.531	4081.305	3857.371
705000	3748.309	385.074	2067.713	4046.637	3854.551
710000	3871.125	75.746	3607.088	4007.126	3873.957
715000	3580.983	662.078	1634.927	3980.422	3867.970
720000	3763.156	440.412	2165.625	4113.241	3905.104
725000	3677.956	584.335	1679.502	4036.256	3882.040
730000	3564.953	649.022	1541.239	4024.510	3842.151
735000	3440.866	741.850	1911.291	4075.163	3894.537
740000	3588.095	609.519	1800.201	4049.371	3850.162
745000	3688.336	612.879	1445.555	4027.384	3889.380
750000	3756.002	325.559	2635.709	4022.713	3849.972
755000	3522.160	730.037	1582.158	4063.746	3842.536
760000	3562.692	639.988	1510.929	3989.311	3841.540
765000	3517.079	789.794	1423.015	4234.577	3861.517
770000	3482.214	776.254	1457.187	4036.427	3863.030
775000	3530.534	850.122	1244.378	4128.436	3854.185
780000	3459.876	808.971	1477.996	4150.260	3830.162
785000	3627.396	742.540	681.692	4045.566	3882.364
790000	3637.243	578.293	1878.210	4100.171	3864.926
795000	3593.617	631.609	1579.344	3997.271	3899.230
800000	3718.802	500.601	1987.202	4058.958	3897.332
805000	3707.194	588.886	1678.664	4185.747	3896.366
810000	3781.375	403.562	2066.862	4034.105	3881.459
815000	3795.941	312.570	2613.396	4072.242	3871.256
820000	3504.284	753.257	1369.197	4242.157	3848.616
825000	3576.681	631.198	1886.431	4020.903	3855.424
830000	3795.437	465.288	1502.088	4040.140	3886.334
835000	3678.188	606.881	1481.579	4209.302	3867.758
840000	3721.726	580.024	1395.296	4039.684	3886.119
845000	3683.478	515.768	1891.421	4015.045	3867.115
850000	3740.474	491.156	1610.698	4065.396	3898.726
855000	3800.818	295.678	2371.012	4042.290	3844.376
860000	3807.035	382.296	2051.323	4103.623	3862.223
865000	3608.327	640.444	1629.179	4087.005	3839.050
