iteration	mean	std_dev	min	max	median
500000	584.071	7.395	560.626	595.361	584.427
1000000	581.011	8.360	562.463	594.784	580.396
1500000	579.703	6.986	560.341	592.839	580.147
2000000	576.612	23.136	367.493	592.927	580.777
2500000	577.282	20.306	393.452	593.646	579.975
3000000	572.221	24.797	396.422	593.513	576.437
3500000	556.495	61.073	352.374	590.766	575.917
4000000	572.220	22.861	364.047	587.267	576.158
4500000	566.494	36.948	358.718	589.048	572.938
5000000	567.021	23.536	372.097	589.053	569.375
5500000	566.078	14.153	517.577	585.300	568.080
6000000	559.360	36.262	323.668	584.736	565.126
6500000	521.087	86.635	335.554	584.643	561.815
7000000	528.226	76.797	332.108	586.404	561.079
7500000	538.413	57.686	334.358	582.654	555.663
8000000	542.911	54.695	358.026	581.315	559.292
8500000	543.792	42.234	363.788	579.546	551.129
9000000	540.199	46.393	337.515	580.268	552.122
9500000	542.150	37.614	331.504	578.188	551.487
10000000	539.567	40.839	330.238	578.929	546.524
10500000	522.388	61.754	318.950	582.512	538.878
11000000	541.293	31.272	344.629	581.590	546.276
11500000	539.061	40.828	334.297	581.328	550.206
12000000	536.810	29.880	384.322	581.295	538.981
12500000	537.381	33.931	335.698	580.655	540.791
13000000	538.535	27.480	341.904	578.230	540.415
13500000	525.706	44.349	344.465	573.922	530.291
14000000	528.953	45.787	335.446	573.005	545.010
14500000	519.086	53.745	313.045	572.676	529.278
15000000	457.967	113.995	102.980	573.796	507.989
15500000	418.408	155.487	93.003	573.164	507.536
16000000	457.799	105.651	101.535	579.016	506.781
16500000	382.785	166.211	110.761	577.919	386.693
17000000	418.897	111.951	91.917	573.284	392.999
17500000	444.180	95.364	160.930	577.110	444.458
18000000	442.537	92.835	206.726	572.894	445.956
18500000	362.532	157.814	107.080	577.217	355.363
19000000	370.497	145.698	150.105	577.542	373.745
19500000	375.663	161.463	76.067	578.220	385.974
20000000	350.980	149.876	105.843	574.775	353.622
20500000	340.129	169.936	92.780	576.285	347.853
21000000	332.184	140.552	114.866	568.699	339.647
21500000	379.396	147.726	171.336	577.820	364.693
22000000	338.313	159.600	108.453	573.843	355.935
22500000	342.806	144.591	88.325	579.817	332.267
23000000	356.019	158.765	145.439	579.748	356.548
23500000	278.655	165.871	105.979	578.464	313.476
24000000	238.143	168.894	73.083	577.381	147.710
24500000	227.858	134.772	110.430	577.706	150.156
25000000	215.194	148.699	73.615	577.281	142.868
25500000	209.639	141.422	76.953	578.500	144.660
26000000	215.591	150.221	97.194	568.907	124.883
26500000	170.057	132.131	101.137	576.413	113.585
27000000	197.830	132.269	105.243	577.161	153.858
27500000	213.335	158.169	93.474	571.229	131.428
28000000	154.530	95.873	103.239	571.329	113.740
28500000	138.877	55.955	87.802	359.740	129.032
29000000	137.942	86.878	94.254	567.969	107.146
29500000	143.565	93.314	93.239	571.313	108.876
30000000	123.965	94.004	91.040	567.856	98.872
30500000	117.505	62.667	79.978	546.426	93.740
31000000	116.399	59.714	80.150	559.345	101.853
31500000	129.658	84.204	86.722	567.256	96.506
