iteration	mean	std_dev	min	max	median
5000	94.040	251.779	0.000	951.000	0.000
10000	117.090	275.646	0.000	965.000	0.000
15000	48.720	194.810	0.000	981.000	0.000
20000	36.450	169.617	0.000	986.000	0.000
25000	92.510	260.760	0.000	981.000	0.000
30000	119.400	303.481	0.000	980.000	0.000
35000	51.570	189.157	0.000	970.000	0.000
40000	88.800	263.782	0.000	979.000	0.000
45000	100.420	267.947	0.000	986.000	0.000
50000	96.660	267.118	0.000	974.000	0.000
55000	122.110	299.123	0.000	977.000	0.000
60000	161.780	349.556	0.000	986.000	0.000
65000	112.820	291.489	0.000	984.000	0.000
70000	148.870	338.167	0.000	979.000	0.000
75000	118.330	295.395	0.000	978.000	0.000
80000	97.560	272.145	0.000	983.000	0.000
85000	114.710	293.201	0.000	977.000	0.000
90000	141.450	332.770	0.000	989.000	0.000
95000	90.130	272.246	0.000	978.000	0.000
100000	180.230	357.821	0.000	984.000	0.000
105000	124.060	307.122	0.000	988.000	0.000
110000	86.240	269.014	0.000	987.000	0.000
115000	233.690	405.144	0.000	990.000	0.000
120000	220.440	399.313	0.000	990.000	0.000
125000	202.270	373.130	0.000	981.000	0.000
130000	136.600	327.838	0.000	975.000	0.000
135000	98.450	279.724	0.000	973.000	0.000
140000	142.220	332.139	0.000	988.000	0.000
145000	136.440	325.472	0.000	987.000	0.000
150000	206.790	389.572	0.000	987.000	0.000
155000	184.980	368.632	0.000	987.000	0.000
160000	216.660	390.340	0.000	979.000	0.000
165000	204.100	384.335	0.000	983.000	0.000
170000	219.460	397.433	0.000	986.000	0.000
175000	233.490	395.161	0.000	987.000	0.000
180000	234.880	396.199	0.000	989.000	0.000
185000	242.540	400.278	0.000	983.000	0.000
190000	238.490	397.271	0.000	982.000	0.000
195000	298.590	432.002	0.000	980.000	0.000
200000	286.950	428.161	0.000	984.000	0.000
205000	271.620	421.734	0.000	982.000	0.000
210000	243.090	394.832	0.000	988.000	0.000
215000	256.400	398.860	0.000	980.000	0.000
220000	219.190	394.363	0.000	984.000	0.000
225000	170.710	359.418	0.000	977.000	0.000
230000	251.860	405.605	0.000	982.000	0.000
235000	255.990	410.461	0.000	983.000	0.000
240000	293.360	422.318	0.000	986.000	0.000
245000	229.640	383.007	0.000	986.000	0.000
250000	219.760	394.075	0.000	986.000	0.000
255000	296.940	414.819	0.000	988.000	0.000
260000	296.230	422.523	0.000	989.000	0.000
265000	242.990	406.046	0.000	986.000	0.000
270000	333.260	428.220	0.000	982.000	0.000
275000	321.450	431.722	0.000	987.000	0.000
280000	293.710	417.686	0.000	979.000	0.000
285000	264.660	419.047	0.000	984.000	0.000
290000	354.160	432.229	0.000	985.000	0.000
295000	293.600	434.563	0.000	987.000	0.000
300000	305.080	433.581	0.000	990.000	0.000
305000	313.010	436.735	0.000	988.000	0.000
310000	435.920	449.658	0.000	981.000	88.500
315000	416.190	461.097	0.000	983.000	0.000
320000	321.370	432.007	0.000	990.000	0.000
325000	280.140	417.551	0.000	988.000	0.000
330000	299.970	425.356	0.000	977.000	0.000
335000	374.250	451.546	0.000	984.000	0.000
340000	369.770	440.091	0.000	982.000	0.000
345000	305.590	424.494	0.000	985.000	0.000
350000	257.320	408.709	0.000	982.000	0.000
355000	310.120	417.579	0.000	985.000	0.000
360000	287.050	418.100	0.000	980.000	0.000
365000	400.810	450.925	0.000	989.000	2.000
370000	315.790	431.752	0.000	979.000	0.000
375000	297.530	426.554	0.000	984.000	0.000
380000	359.130	442.396	0.000	982.000	0.000
385000	477.450	463.458	0.000	984.000	629.000
390000	391.040	460.407	0.000	987.000	0.000
395000	383.150	448.065	0.000	974.000	1.500
400000	355.560	451.985	0.000	986.000	0.000
405000	362.480	445.790	0.000	984.000	0.000
410000	371.490	442.866	0.000	987.000	4.000
415000	391.450	454.959	0.000	985.000	0.000
420000	419.820	459.959	0.000	985.000	2.000
425000	384.130	452.173	0.000	983.000	0.000
430000	436.740	462.213	0.000	985.000	0.000
435000	422.510	463.028	0.000	989.000	9.500
440000	379.060	449.252	0.000	980.000	0.000
445000	383.350	457.895	0.000	984.000	0.000
450000	351.930	446.077	0.000	985.000	0.000
455000	409.300	456.067	0.000	986.000	5.500
460000	419.720	459.506	0.000	981.000	0.000
465000	381.360	451.039	0.000	989.000	0.000
470000	363.480	447.101	0.000	989.000	0.000
475000	480.370	464.568	0.000	983.000	725.000
480000	372.460	455.555	0.000	985.000	0.000
485000	335.580	438.762	0.000	985.000	0.000
490000	400.190	444.600	0.000	983.000	0.000
495000	285.330	426.609	0.000	979.000	0.000
500000	390.260	453.406	0.000	986.000	0.000
505000	319.510	430.577	0.000	984.000	0.000
510000	383.410	441.053	0.000	980.000	0.000
515000	390.610	455.323	0.000	985.000	0.000
520000	465.580	454.817	0.000	978.000	582.000
525000	476.830	456.510	0.000	983.000	692.500
530000	495.500	457.417	0.000	987.000	817.500
535000	493.320	453.103	0.000	984.000	752.500
540000	476.260	458.473	0.000	983.000	580.500
545000	458.200	467.999	0.000	989.000	135.500
550000	502.010	471.381	0.000	986.000	859.500
555000	369.360	459.251	0.000	981.000	0.000
560000	497.100	469.717	0.000	988.000	847.500
565000	459.820	461.053	0.000	987.000	347.000
570000	415.990	454.364	0.000	985.000	14.500
575000	459.360	464.115	0.000	987.000	182.000
580000	442.970	468.050	0.000	985.000	6.000
585000	394.700	463.655	0.000	982.000	0.000
590000	573.280	458.065	0.000	986.000	921.500
595000	469.750	461.573	0.000	983.000	625.500
600000	494.800	468.615	0.000	986.000	800.500
605000	560.640	451.965	0.000	984.000	902.500
610000	546.250	453.839	0.000	981.000	899.500
615000	558.450	464.418	0.000	989.000	916.000
620000	571.220	457.096	0.000	988.000	911.500
625000	527.460	461.296	0.000	987.000	880.000
630000	500.280	449.258	0.000	988.000	608.000
635000	552.520	460.252	0.000	990.000	897.000
640000	515.180	454.425	0.000	991.000	832.000
645000	529.300	460.132	0.000	985.000	869.000
650000	520.490	461.894	0.000	991.000	878.500
655000	436.120	463.555	0.000	991.000	11.500
660000	457.110	462.726	0.000	988.000	143.500
665000	493.710	465.916	0.000	988.000	857.000
670000	468.980	468.055	0.000	987.000	354.500
675000	404.640	460.536	0.000	989.000	2.000
680000	537.550	459.048	0.000	984.000	873.500
685000	415.710	460.785	0.000	988.000	4.500
690000	545.400	458.335	0.000	988.000	863.000
695000	487.370	470.401	0.000	987.000	829.000
700000	533.620	460.450	0.000	985.000	885.000
705000	565.670	457.794	0.000	984.000	912.500
710000	569.510	457.811	0.000	987.000	911.500
715000	513.820	451.482	0.000	986.000	810.500
720000	569.330	450.849	0.000	990.000	886.500
725000	462.490	465.401	0.000	988.000	290.500
730000	612.810	443.766	0.000	990.000	920.500
735000	634.490	430.031	0.000	992.000	926.500
740000	580.820	444.216	0.000	988.000	888.500
745000	632.280	441.418	0.000	990.000	932.500
750000	490.460	468.230	0.000	983.000	801.000
755000	483.130	467.243	0.000	984.000	678.500
760000	435.510	464.618	0.000	984.000	3.500
765000	558.050	449.573	0.000	991.000	879.500
770000	638.570	433.322	0.000	986.000	926.500
775000	576.400	446.284	0.000	992.000	876.500
780000	556.350	453.037	0.000	987.000	888.000
785000	511.380	465.416	0.000	991.000	855.500
790000	468.450	461.905	0.000	981.000	622.000
