iteration	mean	std_dev	min	max	median
5000	0.000	0.000	0.000	0.000	0.000
10000	0.000	0.000	0.000	0.000	0.000
15000	99.200	288.063	0.000	963.000	0.000
20000	27.400	77.015	0.000	258.000	0.000
25000	93.000	266.574	0.000	892.000	0.000
30000	189.300	374.640	0.000	969.000	0.000
35000	4.300	8.626	0.000	23.000	0.000
40000	5.100	13.715	0.000	46.000	0.000
45000	204.900	324.477	0.000	853.000	8.500
50000	7.700	16.236	0.000	50.000	0.000
55000	202.700	382.430	0.000	975.000	0.000
60000	99.400	291.267	0.000	973.000	0.000
65000	280.800	429.073	0.000	980.000	0.000
70000	98.000	291.343	0.000	972.000	0.000
75000	127.500	286.462	0.000	948.000	0.000
80000	275.800	417.440	0.000	927.000	0.000
85000	109.100	279.027	0.000	943.000	4.000
90000	213.800	374.771	0.000	980.000	33.500
95000	105.700	289.444	0.000	972.000	0.000
100000	379.900	465.777	0.000	978.000	0.000
105000	13.500	37.286	0.000	125.000	0.000
110000	2.800	8.400	0.000	28.000	0.000
115000	577.400	471.547	0.000	979.000	948.000
120000	392.600	468.770	0.000	985.000	29.000
125000	566.900	460.811	0.000	956.000	925.000
130000	669.400	432.467	0.000	975.000	948.500
135000	377.200	460.808	0.000	966.000	3.500
140000	283.700	432.513	0.000	956.000	0.000
145000	353.700	435.813	0.000	967.000	14.000
150000	294.200	436.695	0.000	974.000	0.000
155000	203.700	385.566	0.000	987.000	17.500
160000	477.600	477.660	0.000	970.000	470.000
165000	478.200	478.447	0.000	982.000	466.500
170000	480.300	480.340	0.000	970.000	473.500
175000	463.900	464.127	0.000	953.000	452.500
180000	382.900	469.064	0.000	981.000	0.000
185000	547.400	445.649	0.000	954.000	865.500
190000	377.000	457.651	0.000	954.000	10.500
195000	344.200	437.754	0.000	980.000	0.000
200000	201.000	375.851	0.000	964.000	0.000
205000	370.200	453.784	0.000	976.000	0.000
210000	402.100	452.963	0.000	983.000	102.000
215000	194.100	388.201	0.000	972.000	0.000
220000	192.200	384.402	0.000	964.000	0.000
225000	288.900	441.374	0.000	977.000	0.000
230000	384.600	465.546	0.000	978.000	14.000
235000	286.200	435.897	0.000	962.000	0.000
240000	293.800	435.186	0.000	965.000	2.500
245000	97.600	290.806	0.000	970.000	0.000
250000	381.300	467.250	0.000	981.000	0.000
255000	398.100	456.766	0.000	964.000	81.500
260000	286.000	436.994	0.000	970.000	0.000
265000	566.700	462.927	0.000	964.000	919.500
270000	659.600	432.412	0.000	974.000	934.500
275000	470.500	470.516	0.000	947.000	466.000
280000	385.400	468.708	0.000	979.000	8.500
285000	384.800	471.296	0.000	970.000	0.000
290000	470.700	465.314	0.000	966.000	473.500
295000	475.900	476.178	0.000	983.000	458.000
300000	281.000	429.417	0.000	958.000	0.000
305000	470.500	470.239	0.000	973.000	456.500
310000	472.100	472.357	0.000	967.000	451.000
315000	387.800	465.269	0.000	968.000	24.000
320000	380.200	465.714	0.000	968.000	0.000
325000	94.100	282.300	0.000	941.000	0.000
330000	576.300	460.252	0.000	977.000	922.000
335000	192.000	383.527	0.000	969.000	0.000
340000	564.700	459.029	0.000	972.000	923.000
345000	252.900	386.929	0.000	895.000	0.000
350000	282.500	427.674	0.000	971.000	1.000
355000	478.100	449.295	0.000	968.000	523.000
360000	188.200	371.913	0.000	961.000	0.500
365000	557.200	454.756	0.000	966.000	897.000
370000	371.400	455.323	0.000	971.000	0.000
375000	180.500	361.495	0.000	968.000	0.000
380000	665.800	425.201	0.000	961.000	933.500
385000	567.200	459.497	0.000	966.000	921.500
390000	281.800	431.045	0.000	980.000	0.000
395000	652.300	428.035	0.000	972.000	905.500
400000	379.600	460.553	0.000	964.000	11.000
405000	371.900	456.295	0.000	984.000	0.000
410000	579.300	468.765	0.000	984.000	940.000
415000	607.800	425.014	0.000	973.000	914.500
420000	290.700	438.004	0.000	969.000	4.000
425000	675.000	441.963	0.000	976.000	958.500
430000	664.300	435.035	0.000	968.000	944.500
435000	565.300	459.792	0.000	969.000	918.500
440000	764.700	368.730	0.000	980.000	949.500
445000	683.500	435.140	0.000	983.000	961.500
450000	387.800	467.768	0.000	984.000	16.500
455000	478.000	478.069	0.000	967.000	471.000
460000	326.400	431.132	0.000	975.000	5.000
465000	377.900	456.466	0.000	961.000	16.500
470000	572.200	452.302	0.000	957.000	921.500
475000	378.900	459.230	0.000	952.000	12.000
480000	584.600	448.339	0.000	966.000	936.000
485000	469.100	467.640	0.000	958.000	458.000
490000	382.100	458.947	0.000	966.000	23.000
495000	287.600	439.338	0.000	970.000	0.000
500000	473.500	473.905	0.000	965.000	446.000
505000	559.500	457.422	0.000	970.000	893.000
510000	384.500	470.919	0.000	965.000	0.000
515000	288.200	440.255	0.000	972.000	0.000
520000	360.000	442.650	0.000	969.000	0.000
525000	214.700	371.093	0.000	966.000	3.500
530000	569.300	465.156	0.000	976.000	923.500
535000	375.100	457.838	0.000	963.000	4.500
540000	422.600	458.175	0.000	982.000	172.500
545000	478.600	478.706	0.000	979.000	469.000
550000	290.000	440.825	0.000	969.000	0.000
555000	476.000	476.600	0.000	976.000	442.500
560000	774.100	380.052	0.000	974.000	969.500
565000	670.400	439.005	0.000	974.000	949.000
570000	351.500	439.875	0.000	970.000	0.000
575000	285.900	436.777	0.000	971.000	0.000
580000	394.100	461.689	0.000	965.000	54.000
585000	290.200	440.496	0.000	975.000	0.000
590000	665.700	434.363	0.000	969.000	949.000
595000	286.700	437.334	0.000	971.000	0.000
600000	675.400	442.220	0.000	980.000	961.500
605000	572.700	467.923	0.000	974.000	931.000
610000	668.800	439.055	0.000	978.000	966.500
615000	662.100	438.096	0.000	985.000	970.000
620000	382.700	466.696	0.000	973.000	6.000
625000	478.400	478.491	0.000	973.000	468.500
630000	698.800	408.105	0.000	985.000	954.500
635000	656.500	432.733	0.000	978.000	936.000
640000	452.300	459.294	0.000	970.000	326.500
645000	98.500	290.515	0.000	970.000	0.000
650000	390.300	478.074	0.000	985.000	0.000
655000	653.800	426.119	0.000	971.000	904.500
660000	568.900	423.799	0.000	974.000	823.000
665000	383.700	469.947	0.000	967.000	0.000
670000	482.400	482.442	0.000	975.000	477.000
675000	381.600	467.578	0.000	971.000	0.000
680000	480.600	472.011	0.000	962.000	489.500
685000	194.900	387.554	0.000	971.000	0.000
690000	384.600	471.180	0.000	979.000	0.000
695000	628.400	431.361	0.000	978.000	948.000
700000	483.300	483.340	0.000	977.000	478.500
705000	675.900	442.544	0.000	978.000	961.500
710000	387.000	474.023	0.000	985.000	0.000
715000	316.800	431.823	0.000	974.000	0.000
720000	676.300	442.780	0.000	973.000	965.000
725000	674.800	441.800	0.000	976.000	962.000
730000	482.500	482.526	0.000	975.000	477.000
735000	560.400	458.797	0.000	978.000	882.000
740000	672.500	440.305	0.000	977.000	954.500
745000	387.800	474.959	0.000	974.000	0.000
750000	388.600	475.960	0.000	983.000	0.000
755000	764.200	382.836	0.000	981.000	962.000
760000	582.400	475.566	0.000	984.000	963.500
765000	678.600	444.310	0.000	980.000	964.500
770000	579.900	473.512	0.000	978.000	961.000
775000	775.800	387.975	0.000	982.000	969.000
780000	660.500	430.336	0.000	972.000	959.000
785000	768.700	384.393	0.000	971.000	959.000
790000	386.500	473.377	0.000	974.000	0.000
795000	482.700	482.709	0.000	971.000	480.500
800000	482.300	482.309	0.000	973.000	481.000
805000	562.900	462.150	0.000	978.000	873.500
810000	674.700	441.730	0.000	971.000	962.000
815000	376.000	460.332	0.000	969.000	1.500
820000	853.700	287.462	0.000	977.000	961.500
825000	289.200	441.109	0.000	966.000	0.000
830000	578.400	472.294	0.000	975.000	956.000
835000	482.300	482.310	0.000	971.000	479.000
840000	331.700	432.486	0.000	967.000	0.000
845000	369.500	448.909	0.000	967.000	13.500
850000	575.300	469.804	0.000	972.000	945.000
855000	456.500	461.231	0.000	970.000	363.500
860000	97.100	291.300	0.000	971.000	0.000
865000	520.300	439.061	0.000	972.000	665.500
870000	386.900	473.856	0.000	970.000	0.000
875000	671.700	440.074	0.000	977.000	959.500
880000	481.900	481.911	0.000	969.000	478.000
885000	480.600	476.703	0.000	970.000	478.500
890000	658.400	429.381	0.000	985.000	922.500
895000	624.100	412.694	0.000	978.000	895.000
900000	313.800	409.332	0.000	974.000	0.000
905000	671.400	439.662	0.000	971.000	953.500
910000	667.200	432.222	0.000	977.000	946.500
915000	302.700	431.357	0.000	960.000	12.500
920000	662.700	437.205	0.000	984.000	960.000
925000	583.500	476.458	0.000	982.000	964.500
930000	99.800	287.505	0.000	962.000	0.000
935000	571.300	467.627	0.000	978.000	910.500
940000	485.600	481.456	0.000	979.000	491.500
945000	580.900	474.315	0.000	973.000	962.500
950000	373.200	459.004	0.000	974.000	0.000
955000	427.700	435.672	0.000	956.000	316.500
960000	677.500	443.576	0.000	982.000	963.500
965000	450.200	453.126	0.000	972.000	401.500
970000	578.600	467.486	0.000	979.000	943.000
975000	639.600	422.290	0.000	971.000	891.000
980000	631.700	421.848	0.000	972.000	901.000
985000	268.700	414.519	0.000	971.000	0.000
990000	569.900	466.295	0.000	981.000	908.500
995000	927.700	98.427	641.000	983.000	966.000
1000000	774.400	387.306	0.000	980.000	964.000
1005000	677.000	443.257	0.000	978.000	958.000
1010000	482.400	482.426	0.000	973.000	477.000
1015000	291.200	444.822	0.000	977.000	0.000
1020000	387.100	474.125	0.000	980.000	0.000
1025000	193.400	386.813	0.000	974.000	0.000
1030000	290.200	443.320	0.000	977.000	0.000
1035000	577.600	471.627	0.000	969.000	956.500
1040000	571.100	466.700	0.000	974.000	919.500
1045000	523.400	445.314	0.000	970.000	686.000
1050000	766.800	384.046	0.000	979.000	965.500
1055000	640.400	429.143	0.000	980.000	968.500
1060000	475.500	476.165	0.000	972.000	440.000
1065000	483.400	483.477	0.000	976.000	471.500
1070000	677.600	443.626	0.000	981.000	964.000
1075000	485.800	485.003	0.000	972.000	486.000
1080000	707.400	400.985	0.000	976.000	962.000
1085000	575.300	469.976	0.000	976.000	936.000
1090000	482.700	482.817	0.000	983.000	473.000
1095000	437.500	446.962	0.000	979.000	317.000
1100000	574.100	450.807	0.000	979.000	879.500
1105000	574.300	466.940	0.000	987.000	913.000
1110000	789.800	356.899	0.000	986.000	962.000
1115000	292.200	442.665	0.000	973.000	0.000
1120000	568.000	446.260	0.000	981.000	828.500
1125000	577.700	472.063	0.000	985.000	936.000
1130000	582.900	475.964	0.000	984.000	964.500
1135000	633.300	421.602	0.000	983.000	875.000
1140000	576.800	471.030	0.000	976.000	948.000
1145000	629.600	416.170	0.000	983.000	830.000
1150000	485.600	479.890	0.000	972.000	492.000
1155000	435.100	440.766	0.000	965.000	347.000
1160000	593.500	399.250	0.000	963.000	786.000
1165000	362.800	448.873	0.000	973.000	0.000
1170000	643.100	410.723	0.000	973.000	963.500
1175000	372.000	456.845	0.000	984.000	0.000
1180000	688.900	427.309	0.000	982.000	970.000
1185000	742.700	379.043	0.000	971.000	952.500
1190000	484.100	484.112	0.000	974.000	480.500
1195000	608.500	419.883	0.000	970.000	831.500
1200000	642.700	424.606	0.000	972.000	883.500
1205000	480.700	480.753	0.000	975.000	474.500
1210000	788.100	344.406	0.000	985.000	962.500
1215000	866.200	289.269	0.000	978.000	969.500
1220000	676.100	442.692	0.000	977.000	965.500
1225000	487.100	483.948	0.000	981.000	490.000
1230000	667.800	425.972	0.000	979.000	968.000
1235000	869.200	290.177	0.000	986.000	968.000
1240000	727.400	375.440	0.000	978.000	960.500
1245000	578.400	435.450	0.000	974.000	841.500
1250000	621.700	422.221	0.000	977.000	935.500
1255000	554.700	458.915	0.000	983.000	833.500
1260000	691.400	358.098	0.000	978.000	775.000
1265000	950.000	42.488	829.000	980.000	967.500
1270000	680.900	445.792	0.000	980.000	970.000
1275000	670.300	429.159	0.000	975.000	958.000
1280000	385.600	472.312	0.000	977.000	0.000
1285000	666.700	436.926	0.000	973.000	938.500
1290000	666.400	433.599	0.000	980.000	938.500
1295000	578.700	469.923	0.000	970.000	952.500
1300000	649.700	428.698	0.000	968.000	917.500
1305000	579.700	472.866	0.000	982.000	946.000
1310000	499.900	445.014	0.000	971.000	567.500
1315000	687.100	389.528	0.000	975.000	964.500
1320000	458.000	460.517	0.000	977.000	364.000
1325000	555.500	459.576	0.000	971.000	838.000
1330000	712.700	397.373	0.000	974.000	963.500
1335000	803.000	288.248	7.000	972.000	930.000
1340000	594.100	400.723	0.000	959.000	768.500
1345000	573.700	468.800	0.000	972.000	930.500
1350000	897.600	186.711	343.000	981.000	965.500
1355000	709.200	400.173	0.000	971.000	963.500
1360000	772.700	386.397	0.000	972.000	966.500
1365000	573.800	468.746	0.000	975.000	935.500
1370000	879.400	207.820	262.000	974.000	954.000
1375000	541.100	454.438	0.000	971.000	773.500
1380000	574.000	468.165	0.000	970.000	939.000
1385000	674.400	441.656	0.000	982.000	957.000
1390000	672.600	439.877	0.000	974.000	958.500
1395000	559.800	459.737	0.000	971.000	871.500
1400000	677.500	441.186	0.000	979.000	962.000
1405000	866.700	289.323	0.000	980.000	964.500
1410000	594.400	449.094	0.000	974.000	940.500
1415000	763.200	381.982	0.000	971.000	957.000
1420000	855.400	285.776	0.000	973.000	945.000
1425000	668.400	437.854	0.000	977.000	947.000
1430000	745.700	378.838	0.000	970.000	957.000
1435000	318.100	415.005	0.000	971.000	0.000
1440000	737.900	372.143	0.000	973.000	926.500
1445000	836.600	283.392	0.000	977.000	951.000
1450000	762.300	381.758	0.000	978.000	952.000
1455000	859.700	288.020	0.000	977.000	964.500
1460000	951.300	46.446	814.000	978.000	968.000
1465000	560.200	460.157	0.000	971.000	866.500
1470000	706.000	325.091	0.000	977.000	837.000
1475000	926.000	109.260	600.000	975.000	960.500
1480000	964.000	13.476	929.000	978.000	968.000
1485000	795.300	218.681	306.000	966.000	910.500
1490000	761.200	379.821	0.000	979.000	959.000
1495000	571.700	466.583	0.000	975.000	916.000
1500000	924.000	61.827	807.000	981.000	955.000
1505000	734.500	372.170	0.000	973.000	931.000
1510000	450.100	449.155	0.000	979.000	409.500
1515000	538.700	433.978	0.000	969.000	757.500
1520000	675.200	436.281	0.000	971.000	955.500
1525000	651.500	431.900	0.000	975.000	957.000
1530000	461.700	463.512	0.000	967.000	405.000
1535000	768.100	382.081	0.000	975.000	962.500
1540000	668.600	438.449	0.000	978.000	956.500
1545000	469.900	470.867	0.000	970.000	428.000
1550000	877.300	292.604	0.000	987.000	974.500
1555000	872.900	291.057	0.000	979.000	972.000
1560000	470.900	471.461	0.000	981.000	445.000
1565000	466.500	467.015	0.000	965.000	440.500
1570000	282.900	432.159	0.000	951.000	0.000
1575000	573.300	467.073	0.000	975.000	928.000
1580000	867.400	288.306	3.000	976.000	963.000
1585000	675.000	442.010	0.000	978.000	963.000
1590000	570.800	466.831	0.000	982.000	912.000
1595000	572.800	451.894	0.000	985.000	870.000
1600000	862.000	287.604	0.000	975.000	961.000
1605000	292.300	446.506	0.000	982.000	0.000
1610000	868.500	289.595	0.000	976.000	962.500
1615000	580.300	473.866	0.000	978.000	957.000
1620000	762.700	382.660	0.000	971.000	965.000
1625000	287.800	439.717	0.000	974.000	0.000
1630000	736.700	374.321	0.000	977.000	928.500
1635000	672.700	437.407	0.000	970.000	951.500
1640000	674.200	441.549	0.000	977.000	952.500
1645000	577.300	471.445	0.000	979.000	951.000
1650000	771.100	385.709	0.000	977.000	965.500
1655000	482.300	478.288	0.000	972.000	471.000
1660000	871.400	290.602	0.000	980.000	969.000
1665000	871.300	286.515	12.000	975.000	967.500
1670000	862.500	288.133	0.000	974.000	965.500
1675000	943.300	33.758	859.000	975.000	958.000
1680000	965.700	6.084	956.000	974.000	965.000
1685000	930.400	64.233	787.000	972.000	963.000
1690000	945.300	60.638	766.000	975.000	968.000
1695000	869.700	290.012	0.000	977.000	966.000
1700000	774.200	387.105	0.000	971.000	966.500
1705000	772.500	386.310	0.000	972.000	966.000
1710000	965.600	5.444	957.000	976.000	966.000
1715000	678.900	444.514	0.000	982.000	965.500
1720000	825.100	280.013	0.000	971.000	925.000
1725000	774.300	387.198	0.000	976.000	966.000
1730000	869.500	290.346	0.000	982.000	968.000
1735000	873.800	291.411	0.000	985.000	969.000
1740000	959.600	24.034	891.000	981.000	965.000
1745000	480.700	477.499	0.000	975.000	471.000
1750000	766.000	383.324	0.000	976.000	960.000
1755000	967.400	8.581	954.000	983.000	966.500
1760000	864.600	288.965	0.000	985.000	966.500
1765000	863.800	288.318	0.000	977.000	961.500
1770000	757.900	379.660	0.000	978.000	956.000
1775000	666.800	437.355	0.000	979.000	947.500
1780000	770.000	379.999	0.000	982.000	955.000
1785000	765.500	383.168	0.000	979.000	952.500
1790000	674.900	439.562	0.000	978.000	954.500
1795000	675.900	441.467	0.000	983.000	958.000
1800000	775.900	386.243	0.000	976.000	969.500
1805000	864.100	288.325	0.000	977.000	959.500
1810000	872.000	287.548	10.000	979.000	972.000
1815000	872.900	291.053	0.000	978.000	969.500
1820000	966.100	9.659	945.000	980.000	969.500
1825000	866.900	287.519	5.000	973.000	965.500
1830000	671.100	439.668	0.000	977.000	959.500
1835000	962.400	25.488	888.000	979.000	972.500
1840000	857.200	287.819	0.000	978.000	963.500
1845000	678.000	443.871	0.000	976.000	965.500
1850000	856.500	286.897	0.000	978.000	961.000
1855000	674.000	435.002	0.000	978.000	947.000
1860000	667.000	434.380	0.000	967.000	942.000
1865000	946.300	44.353	822.000	976.000	964.000
1870000	940.900	53.856	794.000	976.000	968.000
1875000	575.400	470.059	0.000	976.000	934.500
1880000	964.400	9.047	948.000	980.000	965.500
1885000	772.100	386.132	0.000	976.000	964.000
1890000	482.300	481.309	0.000	967.000	481.500
1895000	868.600	289.762	0.000	979.000	967.500
1900000	690.300	423.317	0.000	976.000	964.500
1905000	861.400	287.692	0.000	975.000	963.500
1910000	860.100	288.345	0.000	980.000	968.000
1915000	965.400	10.278	947.000	978.000	967.500
1920000	778.100	389.058	0.000	976.000	971.500
1925000	773.200	386.663	0.000	975.000	967.000
1930000	774.700	387.412	0.000	976.000	969.000
1935000	775.400	385.766	0.000	975.000	967.500
1940000	771.900	385.034	0.000	983.000	965.500
1945000	789.600	366.961	0.000	976.000	972.500
1950000	839.100	268.274	147.000	975.000	964.000
1955000	487.000	487.006	0.000	978.000	484.500
1960000	770.900	385.550	0.000	972.000	962.500
1965000	770.900	385.620	0.000	973.000	968.000
1970000	774.500	387.270	0.000	978.000	967.500
1975000	572.900	464.899	0.000	976.000	933.000
1980000	967.700	6.181	956.000	976.000	970.000
1985000	868.200	289.942	0.000	979.000	969.000
1990000	970.900	4.392	963.000	978.000	971.500
1995000	874.400	286.508	15.000	977.000	969.000
2000000	745.800	375.930	0.000	977.000	942.000
2005000	773.400	386.855	0.000	980.000	968.000
2010000	670.600	439.081	0.000	974.000	952.500
2015000	571.400	464.549	0.000	972.000	919.000
2020000	483.600	483.629	0.000	973.000	476.500
2025000	775.300	387.674	0.000	974.000	969.500
2030000	869.700	289.995	0.000	977.000	965.000
2035000	772.600	386.389	0.000	977.000	965.500
2040000	865.600	288.989	0.000	980.000	966.500
2045000	970.200	9.119	944.000	980.000	972.000
2050000	772.400	386.559	0.000	979.000	969.500
2055000	965.400	9.656	942.000	977.000	966.000
2060000	867.000	270.578	59.000	975.000	962.500
2065000	771.500	385.958	0.000	981.000	966.500
2070000	673.700	432.422	0.000	974.000	941.500
