iteration	mean	std_dev	min	max	median
5000	0.000	0.000	0.000	0.000	0.000
10000	0.000	0.000	0.000	0.000	0.000
15000	50.200	146.318	0.000	489.000	0.000
20000	455.700	322.896	0.000	947.000	466.000
25000	580.000	298.602	0.000	874.000	698.500
30000	494.400	325.540	0.000	937.000	527.000
35000	492.000	325.235	0.000	788.000	680.000
40000	416.100	339.335	0.000	761.000	620.500
45000	708.700	110.417	475.000	940.000	707.500
50000	703.200	53.697	595.000	775.000	713.500
55000	738.500	77.435	638.000	914.000	719.500
60000	720.200	77.983	583.000	823.000	734.500
65000	668.500	247.416	0.000	942.000	749.500
70000	726.200	154.942	370.000	935.000	755.000
75000	762.000	73.573	641.000	886.000	738.500
80000	767.300	96.793	593.000	900.000	781.500
85000	714.900	66.025	614.000	842.000	699.000
90000	746.800	109.179	585.000	949.000	710.000
95000	735.300	71.399	660.000	910.000	723.000
100000	771.900	57.101	612.000	828.000	790.500
105000	793.800	61.858	691.000	908.000	788.000
110000	768.600	49.762	670.000	849.000	776.500
115000	729.200	55.656	589.000	817.000	732.500
120000	711.300	79.370	572.000	839.000	741.500
125000	757.000	39.368	688.000	829.000	764.500
130000	768.500	54.968	680.000	879.000	758.500
135000	763.500	42.314	673.000	848.000	758.000
140000	721.400	81.700	639.000	945.000	696.500
145000	727.800	88.963	583.000	944.000	709.000
150000	693.700	80.010	520.000	797.000	718.500
155000	722.400	49.542	632.000	770.000	735.500
160000	694.500	90.323	567.000	822.000	696.500
165000	696.100	81.049	531.000	837.000	687.500
170000	740.100	36.574	688.000	801.000	735.500
175000	669.600	89.736	460.000	800.000	698.500
180000	710.700	86.057	588.000	837.000	740.500
185000	671.900	151.973	412.000	862.000	711.500
190000	648.500	76.403	514.000	769.000	638.500
195000	615.800	97.049	474.000	732.000	637.000
200000	719.400	62.097	560.000	782.000	740.000
205000	768.100	28.960	702.000	818.000	769.500
210000	816.100	55.722	715.000	944.000	815.000
215000	693.800	44.997	626.000	790.000	683.500
220000	659.500	69.215	494.000	746.000	673.500
225000	751.500	59.350	639.000	832.000	783.000
230000	763.600	51.414	665.000	832.000	772.000
235000	767.600	57.771	610.000	816.000	779.500
240000	777.900	46.211	700.000	844.000	769.000
245000	791.200	34.836	728.000	843.000	781.500
250000	781.800	22.565	746.000	815.000	792.500
255000	800.400	35.169	725.000	839.000	804.000
260000	749.000	58.131	623.000	843.000	750.000
265000	751.200	29.471	691.000	791.000	757.500
270000	738.800	40.169	677.000	792.000	738.500
275000	477.200	315.642	0.000	747.000	651.000
280000	649.200	225.539	0.000	814.000	728.000
285000	723.000	53.917	621.000	789.000	735.000
290000	729.300	57.512	595.000	798.000	750.000
295000	671.400	56.731	559.000	757.000	677.000
300000	789.000	27.568	725.000	822.000	793.000
305000	793.600	27.901	724.000	825.000	796.500
310000	807.800	21.493	768.000	852.000	809.000
315000	802.700	32.662	739.000	861.000	805.000
320000	789.200	29.185	742.000	830.000	787.000
325000	768.000	65.924	593.000	821.000	791.000
330000	770.500	29.706	717.000	805.000	776.000
335000	784.900	33.050	740.000	841.000	775.000
340000	767.200	28.386	733.000	812.000	765.500
345000	778.000	20.199	744.000	809.000	781.500
350000	779.700	21.620	728.000	802.000	788.500
355000	766.600	27.041	717.000	818.000	770.000
360000	781.600	21.476	752.000	824.000	773.500
365000	790.600	20.155	742.000	819.000	794.500
370000	774.400	16.469	747.000	797.000	774.500
375000	786.700	37.014	716.000	832.000	791.000
380000	754.100	26.614	711.000	795.000	757.000
385000	766.400	16.113	740.000	785.000	775.000
390000	760.300	34.684	675.000	796.000	767.000
395000	781.900	33.652	693.000	816.000	784.000
400000	770.900	32.892	699.000	818.000	774.000
405000	767.600	21.532	717.000	803.000	769.000
410000	771.700	20.587	732.000	805.000	776.500
415000	760.500	16.138	728.000	786.000	764.000
420000	765.700	26.904	716.000	796.000	771.000
425000	781.200	40.482	696.000	827.000	783.000
430000	770.300	24.183	722.000	798.000	772.500
435000	762.800	41.825	672.000	816.000	761.000
440000	754.700	39.085	691.000	807.000	767.000
445000	740.500	25.232	707.000	797.000	734.000
450000	765.100	28.023	733.000	828.000	761.000
455000	775.200	24.136	719.000	801.000	781.500
460000	764.300	35.953	705.000	841.000	770.500
465000	768.600	38.328	674.000	813.000	777.500
470000	749.500	33.281	694.000	818.000	752.000
475000	753.600	28.054	693.000	785.000	754.000
480000	800.000	28.351	752.000	857.000	792.500
485000	754.900	30.811	712.000	817.000	753.000
490000	779.700	23.787	733.000	820.000	784.000
495000	773.600	21.795	739.000	811.000	772.000
500000	764.800	36.559	677.000	813.000	773.000
505000	781.900	27.962	728.000	819.000	785.500
510000	795.800	24.285	760.000	847.000	792.000
515000	802.000	25.322	759.000	839.000	807.500
520000	762.100	28.581	707.000	805.000	770.000
525000	782.200	25.760	751.000	828.000	780.500
530000	764.500	30.637	705.000	827.000	768.500
535000	783.400	26.150	743.000	830.000	782.000
540000	754.800	32.258	700.000	804.000	751.000
545000	757.700	33.281	703.000	815.000	759.000
550000	783.000	13.689	765.000	812.000	783.000
555000	763.400	19.252	733.000	804.000	760.500
560000	746.500	22.182	708.000	776.000	755.500
565000	752.400	15.888	725.000	777.000	753.000
570000	750.200	18.643	722.000	793.000	747.500
575000	774.000	13.682	745.000	792.000	776.500
580000	781.900	16.861	759.000	817.000	784.500
585000	770.700	15.206	752.000	805.000	770.500
590000	762.000	23.707	727.000	799.000	757.000
595000	779.400	18.896	746.000	809.000	779.500
600000	780.600	35.649	708.000	834.000	782.500
605000	778.600	17.800	756.000	810.000	776.000
610000	781.400	11.101	767.000	804.000	778.500
615000	802.900	19.029	770.000	830.000	801.000
620000	793.100	25.524	740.000	818.000	797.500
625000	768.100	22.228	725.000	800.000	767.500
630000	777.500	37.489	690.000	824.000	782.500
635000	786.300	10.159	765.000	802.000	784.500
640000	785.400	21.308	751.000	819.000	791.500
645000	765.900	18.737	730.000	788.000	762.000
650000	772.800	20.218	732.000	812.000	771.000
655000	785.400	21.110	738.000	808.000	787.500
660000	778.600	16.347	744.000	801.000	781.000
665000	796.500	13.470	778.000	821.000	794.000
670000	763.000	30.803	693.000	796.000	772.000
675000	775.200	19.959	739.000	808.000	779.500
680000	778.800	26.540	739.000	827.000	785.500
685000	782.100	17.723	758.000	807.000	780.000
690000	770.100	16.867	750.000	801.000	767.000
695000	779.800	19.255	740.000	809.000	783.000
700000	773.800	17.843	734.000	793.000	777.500
705000	780.000	24.564	749.000	822.000	780.000
710000	772.200	14.288	747.000	793.000	773.000
715000	778.300	19.708	752.000	806.000	787.500
720000	782.300	13.842	762.000	804.000	780.500
725000	788.700	17.384	766.000	820.000	785.000
730000	769.200	17.600	734.000	795.000	771.000
735000	788.500	14.123	771.000	813.000	784.000
740000	786.900	22.536	763.000	836.000	784.000
745000	769.100	30.484	719.000	818.000	773.500
750000	800.300	23.499	751.000	828.000	807.000
755000	796.900	21.884	738.000	816.000	802.500
760000	765.800	19.046	732.000	794.000	765.000
765000	801.300	15.014	780.000	830.000	796.000
770000	781.300	21.781	758.000	831.000	773.000
775000	783.200	16.154	764.000	814.000	781.500
780000	787.400	13.930	759.000	812.000	789.000
785000	768.600	25.846	706.000	804.000	772.000
790000	784.900	15.846	758.000	814.000	780.500
795000	786.000	12.482	767.000	811.000	787.000
800000	787.400	22.883	745.000	818.000	786.000
805000	761.900	24.517	727.000	797.000	758.000
810000	780.900	13.619	763.000	798.000	783.000
815000	763.800	16.899	739.000	798.000	763.000
820000	785.400	13.071	754.000	807.000	787.500
825000	781.800	17.954	751.000	813.000	780.000
830000	786.000	18.022	760.000	815.000	784.000
835000	777.500	16.451	759.000	810.000	773.500
840000	781.700	24.204	742.000	822.000	781.500
845000	767.500	21.458	729.000	806.000	770.500
850000	788.300	12.305	769.000	818.000	784.500
855000	776.100	13.027	749.000	794.000	780.500
860000	786.400	18.418	748.000	810.000	789.500
865000	768.300	16.432	747.000	797.000	762.000
870000	772.900	21.561	727.000	807.000	777.500
875000	733.100	27.205	692.000	798.000	728.000
880000	774.600	13.851	747.000	792.000	775.500
885000	780.200	13.819	754.000	795.000	784.500
890000	710.900	29.841	676.000	770.000	709.000
895000	782.400	13.581	748.000	800.000	785.000
900000	779.700	19.713	750.000	816.000	779.000
905000	773.400	18.244	738.000	801.000	777.000
910000	759.300	17.922	731.000	791.000	758.500
915000	778.100	12.437	760.000	800.000	776.500
920000	772.100	20.511	739.000	798.000	782.000
925000	777.000	19.708	745.000	813.000	776.500
930000	769.400	17.676	741.000	796.000	771.000
935000	772.700	15.957	747.000	805.000	773.500
940000	766.800	13.151	736.000	788.000	766.500
945000	772.000	25.538	717.000	802.000	769.500
950000	766.400	19.765	733.000	804.000	760.500
955000	765.200	23.409	710.000	793.000	772.500
960000	781.000	14.772	755.000	802.000	780.000
965000	777.100	16.849	744.000	806.000	779.000
970000	765.200	13.970	736.000	787.000	765.500
975000	771.300	13.741	745.000	792.000	776.500
980000	754.700	22.244	718.000	784.000	757.500
985000	746.000	24.008	716.000	787.000	736.500
990000	788.700	14.954	770.000	812.000	784.000
995000	768.800	14.176	734.000	786.000	768.000
1000000	735.900	40.982	660.000	790.000	746.500
