iteration	mean	std_dev	min	max	median
5000	0.000	0.000	0.000	0.000	0.000
10000	0.000	0.000	0.000	0.000	0.000
15000	6.600	1.497	3.000	8.000	7.000
20000	0.000	0.000	0.000	0.000	0.000
25000	89.100	1.446	86.000	91.000	89.000
30000	77.000	19.084	40.000	92.000	89.000
35000	0.000	0.000	0.000	0.000	0.000
40000	10.100	1.513	7.000	12.000	10.000
45000	5.300	1.418	4.000	9.000	5.000
50000	69.600	141.639	14.000	493.000	20.500
55000	72.800	24.782	0.000	89.000	77.500
60000	16.300	8.626	0.000	25.000	19.500
65000	0.000	0.000	0.000	0.000	0.000
70000	7.500	6.120	0.000	18.000	7.500
75000	9.400	0.663	9.000	11.000	9.000
80000	61.300	35.091	0.000	110.000	74.500
85000	30.000	4.517	20.000	39.000	30.000
90000	49.900	24.226	21.000	82.000	39.500
95000	104.900	254.840	14.000	869.000	16.000
100000	471.000	265.079	105.000	838.000	399.500
105000	50.000	2.966	44.000	57.000	50.000
110000	235.500	6.438	220.000	242.000	238.000
115000	331.500	46.678	273.000	401.000	357.500
120000	0.000	0.000	0.000	0.000	0.000
125000	515.600	259.180	0.000	699.000	622.000
130000	871.200	44.400	738.000	886.000	886.000
135000	13.500	0.671	13.000	15.000	13.000
140000	0.000	0.000	0.000	0.000	0.000
145000	0.000	0.000	0.000	0.000	0.000
150000	0.000	0.000	0.000	0.000	0.000
155000	511.600	34.456	464.000	564.000	497.000
160000	817.900	2.879	813.000	821.000	820.000
165000	0.000	0.000	0.000	0.000	0.000
170000	0.000	0.000	0.000	0.000	0.000
175000	182.800	61.621	108.000	280.000	185.500
180000	8.000	1.549	6.000	10.000	7.500
185000	22.400	1.200	20.000	23.000	23.000
190000	823.200	1.600	821.000	826.000	823.500
195000	157.200	4.285	150.000	166.000	156.000
200000	0.000	0.000	0.000	0.000	0.000
205000	504.200	58.617	399.000	632.000	490.500
210000	375.700	10.335	361.000	387.000	380.000
215000	785.400	71.594	571.000	815.000	809.000
220000	0.000	0.000	0.000	0.000	0.000
225000	850.500	7.379	836.000	857.000	854.000
230000	677.000	50.612	591.000	726.000	702.500
235000	874.300	0.640	873.000	875.000	874.000
240000	660.700	118.798	333.000	773.000	698.000
245000	725.200	47.408	583.000	743.000	741.000
250000	125.400	6.974	117.000	136.000	124.000
255000	167.200	334.400	0.000	837.000	0.000
260000	769.000	97.045	478.000	808.000	800.500
265000	590.000	151.356	482.000	885.000	513.500
270000	800.300	184.434	247.000	863.000	862.000
275000	871.100	2.587	868.000	875.000	870.500
280000	875.300	0.458	875.000	876.000	875.000
285000	869.000	0.000	869.000	869.000	869.000
290000	877.900	0.700	877.000	879.000	878.000
295000	878.500	1.204	876.000	880.000	879.000
300000	873.900	3.015	869.000	878.000	874.000
305000	488.600	319.915	0.000	705.000	696.000
310000	869.000	1.342	867.000	871.000	869.000
315000	298.100	383.246	0.000	883.000	114.500
320000	882.800	1.536	881.000	885.000	882.000
325000	869.400	5.589	862.000	878.000	869.000
330000	879.400	2.458	876.000	884.000	878.500
335000	861.500	3.956	855.000	869.000	861.000
340000	880.600	1.200	878.000	882.000	880.500
345000	0.000	0.000	0.000	0.000	0.000
350000	197.200	11.161	187.000	229.000	194.500
355000	630.900	214.026	345.000	860.000	625.500
360000	883.700	2.452	879.000	888.000	883.000
365000	857.000	1.483	854.000	859.000	857.000
370000	0.000	0.000	0.000	0.000	0.000
375000	0.000	0.000	0.000	0.000	0.000
380000	880.900	0.831	880.000	883.000	881.000
385000	880.500	0.671	880.000	882.000	880.000
390000	873.000	0.632	872.000	874.000	873.000
395000	880.700	0.781	879.000	882.000	881.000
400000	881.400	1.562	878.000	884.000	881.500
405000	864.100	1.044	863.000	866.000	864.000
410000	872.700	1.676	870.000	875.000	873.500
415000	887.700	2.002	885.000	891.000	887.500
420000	0.000	0.000	0.000	0.000	0.000
425000	878.100	3.910	872.000	883.000	879.000
430000	879.600	3.353	875.000	886.000	879.500
435000	854.500	0.500	854.000	855.000	854.500
440000	878.500	2.377	876.000	884.000	878.000
445000	880.800	2.272	877.000	884.000	881.000
450000	873.500	10.249	843.000	880.000	876.500
455000	886.400	2.905	881.000	891.000	887.000
460000	807.600	56.155	673.000	851.000	842.500
465000	871.300	0.900	870.000	873.000	871.000
470000	890.800	0.748	890.000	892.000	891.000
475000	879.100	0.700	878.000	880.000	879.000
480000	883.100	0.300	883.000	884.000	883.000
485000	874.300	1.100	873.000	876.000	874.000
490000	881.800	0.748	881.000	883.000	882.000
495000	864.300	0.458	864.000	865.000	864.000
500000	768.800	11.847	749.000	785.000	772.000
505000	795.800	0.400	795.000	796.000	796.000
510000	871.800	1.166	870.000	874.000	871.500
515000	860.600	0.917	859.000	862.000	861.000
520000	855.600	84.872	601.000	885.000	884.000
525000	890.500	2.766	886.000	894.000	891.000
530000	881.100	1.513	879.000	883.000	881.000
535000	706.300	345.758	9.000	887.000	876.500
540000	864.500	16.188	848.000	888.000	860.000
545000	889.100	1.136	887.000	891.000	889.000
550000	887.400	0.663	886.000	888.000	887.500
555000	895.100	0.300	895.000	896.000	895.000
560000	889.000	0.447	888.000	890.000	889.000
565000	891.200	0.400	891.000	892.000	891.000
570000	894.200	0.400	894.000	895.000	894.000
575000	891.300	0.640	890.000	892.000	891.000
580000	891.800	1.166	889.000	893.000	892.000
585000	884.000	0.632	883.000	885.000	884.000
590000	888.200	1.077	886.000	890.000	888.000
595000	573.600	191.209	0.000	640.000	637.000
600000	891.300	1.418	888.000	893.000	891.500
605000	858.200	0.748	857.000	859.000	858.000
610000	883.300	0.781	882.000	885.000	883.000
615000	185.900	4.230	180.000	194.000	185.000
620000	868.000	0.894	867.000	869.000	868.000
625000	875.600	0.663	874.000	876.000	876.000
630000	885.300	0.640	884.000	886.000	885.000
635000	869.800	0.600	869.000	871.000	870.000
640000	873.600	0.663	873.000	875.000	873.500
645000	856.000	40.002	736.000	870.000	869.000
650000	881.000	1.000	880.000	883.000	881.000
655000	887.800	0.748	886.000	889.000	888.000
660000	889.100	1.221	887.000	891.000	889.000
665000	887.000	0.632	886.000	888.000	887.000
670000	16.600	1.356	14.000	19.000	17.000
675000	882.800	0.600	882.000	884.000	883.000
680000	891.400	0.490	891.000	892.000	891.000
685000	887.300	0.781	886.000	889.000	887.000
690000	876.100	1.044	875.000	878.000	876.000
695000	890.100	1.972	886.000	892.000	891.000
700000	882.200	0.980	881.000	885.000	882.000
705000	889.900	1.221	887.000	891.000	890.000
710000	889.200	1.470	887.000	892.000	889.000
715000	880.800	0.748	880.000	882.000	881.000
720000	882.800	0.980	881.000	884.000	883.000
725000	873.600	3.353	868.000	879.000	875.000
730000	874.900	0.831	874.000	876.000	875.000
735000	674.000	5.865	667.000	683.000	673.000
740000	490.700	401.524	0.000	840.000	786.000
745000	838.600	12.729	824.000	867.000	836.500
750000	770.300	6.230	757.000	783.000	770.500
755000	863.700	0.900	862.000	865.000	864.000
760000	891.500	1.118	889.000	893.000	891.500
765000	761.100	4.206	756.000	768.000	759.500
770000	0.000	0.000	0.000	0.000	0.000
775000	0.000	0.000	0.000	0.000	0.000
780000	117.600	235.200	0.000	589.000	0.000
785000	705.300	2.326	702.000	710.000	705.500
790000	826.300	1.005	825.000	828.000	826.500
795000	895.300	0.458	895.000	896.000	895.000
800000	843.300	2.865	840.000	848.000	843.000
805000	701.100	0.700	700.000	702.000	701.000
810000	652.100	0.831	651.000	653.000	652.000
815000	549.800	12.065	537.000	578.000	545.000
820000	368.100	285.781	97.000	747.000	287.000
825000	803.600	0.490	803.000	804.000	804.000
830000	754.600	1.356	753.000	757.000	754.000
835000	802.900	0.539	802.000	804.000	803.000
840000	783.500	1.025	782.000	786.000	783.000
845000	721.000	5.404	711.000	727.000	723.500
850000	778.400	2.200	775.000	781.000	779.000
855000	708.200	2.358	706.000	714.000	707.500
860000	827.300	0.781	826.000	828.000	827.500
865000	773.800	2.135	770.000	777.000	773.500
870000	810.800	1.166	809.000	813.000	811.000
875000	870.200	7.820	860.000	885.000	871.500
880000	784.900	0.943	783.000	786.000	785.000
885000	805.900	1.136	804.000	808.000	806.000
890000	780.700	2.369	777.000	786.000	780.000
895000	705.600	1.281	704.000	709.000	705.000
900000	753.200	0.980	752.000	755.000	753.000
905000	834.700	1.616	833.000	837.000	834.000
910000	794.600	2.458	788.000	797.000	795.500
915000	700.000	0.632	699.000	701.000	700.000
920000	799.200	2.040	794.000	802.000	799.500
925000	823.000	10.119	817.000	853.000	820.500
930000	779.400	1.625	777.000	782.000	779.000
935000	806.800	0.400	806.000	807.000	807.000
940000	785.600	1.744	784.000	790.000	785.000
945000	643.400	1.744	641.000	646.000	644.000
950000	775.200	2.821	768.000	779.000	775.000
955000	758.500	0.500	758.000	759.000	758.500
960000	781.400	0.800	780.000	782.000	782.000
965000	805.300	1.269	802.000	807.000	805.500
970000	783.700	1.345	782.000	786.000	783.500
975000	808.900	1.044	807.000	810.000	809.000
980000	795.900	5.108	783.000	802.000	797.000
985000	802.800	2.272	799.000	806.000	803.000
990000	815.800	2.676	812.000	820.000	815.000
995000	807.000	0.775	806.000	808.000	807.000
1000000	827.200	0.980	826.000	829.000	827.000
